"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
105,3119,726,15,"Niveoscincus greeni"
112,3152,571,9,"Niveoscincus greeni"
87,2818,1957,32,"Niveoscincus greeni"
63,3053,2074,30,"Niveoscincus greeni"
119,3200,735,26,"Niveoscincus greeni"
120,2880,805,22,"Niveoscincus greeni"
110,3203,777,27,"Niveoscincus greeni"
84,3168,1317,20,"Niveoscincus greeni"
59,3180,1888,29,"Niveoscincus greeni"
66,3169,1299,25,"Niveoscincus greeni"
92,3279,680,14,"Niveoscincus greeni"
123,3217,650,18,"Niveoscincus greeni"
90,3285,687,15,"Niveoscincus greeni"
103,2963,609,11,"Niveoscincus greeni"
59,3088,2328,25,"Niveoscincus greeni"
86,3195,921,22,"Niveoscincus greeni"
88,3068,963,28,"Niveoscincus greeni"
76,3281,809,18,"Niveoscincus greeni"
114,3169,725,13,"Niveoscincus greeni"
71,3020,2201,34,"Niveoscincus greeni"
68,3297,1086,28,"Niveoscincus greeni"
86,3184,1015,21,"Niveoscincus greeni"
122,3111,470,14,"Niveoscincus greeni"
82,3066,1996,33,"Niveoscincus greeni"
87,3191,1259,20,"Niveoscincus greeni"
80,3058,1524,30,"Niveoscincus greeni"
69,3287,1028,21,"Niveoscincus greeni"
75,3258,1071,19,"Niveoscincus greeni"
108,3182,703,17,"Niveoscincus greeni"
86,3303,523,11,"Niveoscincus greeni"
104,3090,578,15,"Niveoscincus greeni"
119,3232,764,20,"Niveoscincus greeni"
65,3148,1599,31,"Niveoscincus greeni"
111,2969,1041,31,"Niveoscincus greeni"
67,3266,1010,21,"Niveoscincus greeni"
92,3242,664,17,"Niveoscincus greeni"
98,3038,891,21,"Niveoscincus greeni"
69,3160,707,16,"Niveoscincus greeni"
76,3185,936,24,"Niveoscincus greeni"
119,3242,500,13,"Niveoscincus greeni"
81,2951,2456,28,"Niveoscincus greeni"
66,3125,1706,35,"Niveoscincus greeni"
68,3292,988,25,"Niveoscincus greeni"
80,3122,1413,24,"Niveoscincus greeni"
111,2938,807,13,"Niveoscincus greeni"
116,3164,775,22,"Niveoscincus greeni"
121,3197,553,14,"Niveoscincus greeni"
83,2893,2435,18,"Niveoscincus greeni"
109,3163,651,14,"Niveoscincus greeni"
121,3086,567,15,"Niveoscincus greeni"
76,3115,1635,25,"Niveoscincus greeni"
96,3023,895,16,"Niveoscincus greeni"
78,3259,804,19,"Niveoscincus greeni"
99,2880,1816,23,"Niveoscincus greeni"
106,3130,783,26,"Niveoscincus greeni"
84,3036,1986,24,"Niveoscincus greeni"
94,3302,513,11,"Niveoscincus greeni"
76,3345,861,16,"Niveoscincus greeni"
68,3272,943,24,"Niveoscincus greeni"
106,3175,700,16,"Niveoscincus greeni"
72,2973,2337,29,"Niveoscincus greeni"
45,3241,1844,31,"Niveoscincus greeni"
115,3101,826,29,"Niveoscincus greeni"
64,3201,1314,25,"Niveoscincus greeni"
110,2782,1831,27,"Niveoscincus greeni"
109,3014,729,21,"Niveoscincus greeni"
101,3237,705,17,"Niveoscincus greeni"
69,3046,2158,22,"Niveoscincus greeni"
79,3120,1828,22,"Niveoscincus greeni"
123,3144,732,24,"Niveoscincus greeni"
92,2801,1747,33,"Niveoscincus greeni"
80,3330,650,19,"Niveoscincus greeni"
67,3345,952,20,"Niveoscincus greeni"
94,3157,1027,30,"Niveoscincus greeni"
106,3255,665,21,"Niveoscincus greeni"
86,3095,1316,19,"Niveoscincus greeni"
74,3056,1640,24,"Niveoscincus greeni"
109,3092,875,28,"Niveoscincus greeni"
100,2927,1817,20,"Niveoscincus greeni"
81,3092,900,16,"Niveoscincus greeni"
105,3160,684,15,"Niveoscincus greeni"
88,2801,2147,21,"Niveoscincus greeni"
109,3078,593,11,"Niveoscincus greeni"
85,2970,1706,33,"Niveoscincus greeni"
72,3019,1907,24,"Niveoscincus greeni"
56,3223,1325,30,"Niveoscincus greeni"
110,3152,609,19,"Niveoscincus greeni"
123,3169,712,23,"Niveoscincus greeni"
108,3220,501,12,"Niveoscincus greeni"
99,3099,637,14,"Niveoscincus greeni"
92,2761,1840,28,"Niveoscincus greeni"
117,2880,785,16,"Niveoscincus greeni"
60,3233,1240,27,"Niveoscincus greeni"
97,3092,665,14,"Niveoscincus greeni"
84,3325,678,14,"Niveoscincus greeni"
95,2861,1516,33,"Niveoscincus greeni"
80,2932,1951,34,"Niveoscincus greeni"
56,3213,1388,26,"Niveoscincus greeni"
86,2888,2359,20,"Niveoscincus greeni"
112,3068,1186,34,"Niveoscincus greeni"
122,3170,563,17,"Niveoscincus greeni"
95,3013,1445,32,"Niveoscincus greeni"
112,3026,1222,34,"Niveoscincus greeni"
103,2932,654,13,"Niveoscincus greeni"
103,2844,1282,34,"Niveoscincus greeni"
118,2936,603,14,"Niveoscincus greeni"
119,3237,633,20,"Niveoscincus greeni"
73,3335,766,19,"Niveoscincus greeni"
121,3193,649,18,"Niveoscincus greeni"
77,3280,749,19,"Niveoscincus greeni"
74,3300,821,19,"Niveoscincus greeni"
77,3309,719,17,"Niveoscincus greeni"
96,3181,823,19,"Niveoscincus greeni"
114,3152,545,18,"Niveoscincus greeni"
109,3044,1094,31,"Niveoscincus greeni"
84,2978,2487,26,"Niveoscincus greeni"
107,3183,773,17,"Niveoscincus greeni"
112,2955,678,17,"Niveoscincus greeni"
89,2830,2423,30,"Niveoscincus greeni"
106,3166,715,21,"Niveoscincus greeni"
74,3175,1203,21,"Niveoscincus greeni"
100,3261,472,12,"Niveoscincus greeni"
102,2826,2216,20,"Niveoscincus greeni"
87,3189,951,23,"Niveoscincus greeni"
120,3150,794,28,"Niveoscincus greeni"
111,2750,1793,24,"Niveoscincus greeni"
95,3085,638,16,"Niveoscincus greeni"
64,3277,1034,26,"Niveoscincus greeni"
120,3073,483,15,"Niveoscincus greeni"
86,3156,1351,34,"Niveoscincus greeni"
79,3071,1808,21,"Niveoscincus greeni"
120,3135,720,22,"Niveoscincus greeni"
104,3201,755,12,"Niveoscincus greeni"
60,3035,2362,32,"Niveoscincus greeni"
69,3103,1537,26,"Niveoscincus greeni"
82,3322,588,13,"Niveoscincus greeni"
109,2701,1682,25,"Niveoscincus greeni"
63,3096,1794,24,"Niveoscincus greeni"
111,3170,727,14,"Niveoscincus greeni"
111,3117,1388,34,"Niveoscincus greeni"
121,3202,600,13,"Niveoscincus greeni"
53,3346,1354,25,"Niveoscincus greeni"
102,3209,559,15,"Niveoscincus greeni"
105,2878,930,15,"Niveoscincus greeni"
115,3016,764,15,"Niveoscincus greeni"
113,3164,684,11,"Niveoscincus greeni"
76,3066,2280,32,"Niveoscincus greeni"
81,2986,1583,31,"Niveoscincus greeni"
81,3311,670,15,"Niveoscincus greeni"
114,3255,654,16,"Niveoscincus greeni"
122,3176,682,20,"Niveoscincus greeni"
63,3301,1070,27,"Niveoscincus greeni"
102,3199,624,17,"Niveoscincus greeni"
68,3318,931,24,"Niveoscincus greeni"
90,3296,535,13,"Niveoscincus greeni"
102,3141,650,14,"Niveoscincus greeni"
83,3326,655,14,"Niveoscincus greeni"
80,3056,1685,32,"Niveoscincus greeni"
90,3173,1010,25,"Niveoscincus greeni"
96,3269,677,15,"Niveoscincus greeni"
78,3090,1669,25,"Niveoscincus greeni"
63,3177,1488,26,"Niveoscincus greeni"
76,3142,743,19,"Niveoscincus greeni"
105,3118,958,28,"Niveoscincus greeni"
121,2977,542,15,"Niveoscincus greeni"
124,3113,851,26,"Niveoscincus greeni"
97,2848,2071,30,"Niveoscincus greeni"
103,3097,925,22,"Niveoscincus greeni"
92,3179,1500,34,"Niveoscincus greeni"
99,2951,1695,27,"Niveoscincus greeni"
78,3230,1309,21,"Niveoscincus greeni"
76,2892,2577,26,"Niveoscincus greeni"
97,2948,2273,25,"Niveoscincus greeni"
96,3131,762,27,"Niveoscincus greeni"
60,3256,1238,28,"Niveoscincus greeni"
77,3187,1085,24,"Niveoscincus greeni"
70,2996,2463,27,"Niveoscincus greeni"
76,3143,1580,21,"Niveoscincus greeni"
82,3090,1326,23,"Niveoscincus greeni"
113,3248,546,13,"Niveoscincus greeni"
57,3171,1736,30,"Niveoscincus greeni"
82,3113,1034,27,"Niveoscincus greeni"
96,3283,496,11,"Niveoscincus greeni"
124,3172,621,20,"Niveoscincus greeni"
86,3141,1084,20,"Niveoscincus greeni"
91,2828,1902,35,"Niveoscincus greeni"
90,3263,641,17,"Niveoscincus greeni"
76,3175,1182,30,"Niveoscincus greeni"
97,2969,2145,24,"Niveoscincus greeni"
92,3061,1520,31,"Niveoscincus greeni"
110,2782,1792,21,"Niveoscincus greeni"
60,3166,1976,31,"Niveoscincus greeni"
92,2759,2127,35,"Niveoscincus greeni"
88,2830,2156,30,"Niveoscincus greeni"
122,3182,717,20,"Niveoscincus greeni"
87,3137,1192,28,"Niveoscincus greeni"
53,3205,1646,28,"Niveoscincus greeni"
120,3042,682,17,"Niveoscincus greeni"
62,3287,1272,31,"Niveoscincus greeni"
71,3324,798,19,"Niveoscincus greeni"
