"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
138,2556,741,22,"Niveoscincus metallicus"
123,2353,828,11,"Niveoscincus metallicus"
88,4178,1357,36,"Niveoscincus metallicus"
97,2951,2131,24,"Niveoscincus metallicus"
100,2197,1138,20,"Niveoscincus metallicus"
134,2618,847,15,"Niveoscincus metallicus"
91,3199,832,19,"Niveoscincus metallicus"
99,2955,1660,19,"Niveoscincus metallicus"
86,2899,2631,23,"Niveoscincus metallicus"
138,3420,1031,14,"Niveoscincus metallicus"
78,2367,1252,21,"Niveoscincus metallicus"
60,3132,1964,23,"Niveoscincus metallicus"
141,2324,840,24,"Niveoscincus metallicus"
80,3025,2128,27,"Niveoscincus metallicus"
96,3185,722,13,"Niveoscincus metallicus"
126,2287,1660,27,"Niveoscincus metallicus"
136,2830,974,25,"Niveoscincus metallicus"
124,3152,631,22,"Niveoscincus metallicus"
124,2523,1218,35,"Niveoscincus metallicus"
150,3229,615,13,"Niveoscincus metallicus"
101,3135,707,16,"Niveoscincus metallicus"
136,3669,677,17,"Niveoscincus metallicus"
150,3091,622,13,"Niveoscincus metallicus"
135,2599,923,24,"Niveoscincus metallicus"
100,3858,901,12,"Niveoscincus metallicus"
142,3348,1066,20,"Niveoscincus metallicus"
135,3803,656,15,"Niveoscincus metallicus"
129,2872,940,31,"Niveoscincus metallicus"
116,2642,1416,36,"Niveoscincus metallicus"
126,2683,696,12,"Niveoscincus metallicus"
104,2795,2043,22,"Niveoscincus metallicus"
104,2089,1854,25,"Niveoscincus metallicus"
126,2542,1120,33,"Niveoscincus metallicus"
68,3291,951,25,"Niveoscincus metallicus"
148,3285,729,12,"Niveoscincus metallicus"
130,3119,1024,21,"Niveoscincus metallicus"
93,2356,1812,18,"Niveoscincus metallicus"
88,3020,1427,23,"Niveoscincus metallicus"
122,2894,948,29,"Niveoscincus metallicus"
110,3129,916,28,"Niveoscincus metallicus"
142,2346,711,21,"Niveoscincus metallicus"
85,3319,930,18,"Niveoscincus metallicus"
101,2943,1937,21,"Niveoscincus metallicus"
148,3411,678,15,"Niveoscincus metallicus"
94,2290,2432,21,"Niveoscincus metallicus"
133,3450,1044,14,"Niveoscincus metallicus"
129,2698,672,11,"Niveoscincus metallicus"
128,3134,1248,27,"Niveoscincus metallicus"
132,3990,934,26,"Niveoscincus metallicus"
104,2513,1582,24,"Niveoscincus metallicus"
90,2773,1939,23,"Niveoscincus metallicus"
144,3610,930,20,"Niveoscincus metallicus"
114,2705,687,9,"Niveoscincus metallicus"
144,2949,826,23,"Niveoscincus metallicus"
139,3400,978,14,"Niveoscincus metallicus"
83,2939,1736,19,"Niveoscincus metallicus"
120,4111,1413,30,"Niveoscincus metallicus"
148,3298,786,16,"Niveoscincus metallicus"
105,3178,749,16,"Niveoscincus metallicus"
105,2774,889,11,"Niveoscincus metallicus"
113,3085,1189,34,"Niveoscincus metallicus"
129,1953,1025,32,"Niveoscincus metallicus"
116,3143,563,11,"Niveoscincus metallicus"
123,2413,2099,23,"Niveoscincus metallicus"
100,2969,1276,22,"Niveoscincus metallicus"
97,2812,1655,22,"Niveoscincus metallicus"
140,3078,1054,25,"Niveoscincus metallicus"
88,2110,1601,17,"Niveoscincus metallicus"
126,2907,550,10,"Niveoscincus metallicus"
86,3209,940,20,"Niveoscincus metallicus"
116,3233,470,12,"Niveoscincus metallicus"
140,3389,990,17,"Niveoscincus metallicus"
130,2215,1314,34,"Niveoscincus metallicus"
83,2316,1363,20,"Niveoscincus metallicus"
58,3043,2466,32,"Niveoscincus metallicus"
108,3039,669,11,"Niveoscincus metallicus"
112,3042,1278,34,"Niveoscincus metallicus"
116,2462,1685,34,"Niveoscincus metallicus"
87,2897,1991,21,"Niveoscincus metallicus"
70,3181,1235,25,"Niveoscincus metallicus"
149,3266,643,12,"Niveoscincus metallicus"
117,2889,644,13,"Niveoscincus metallicus"
148,3258,844,14,"Niveoscincus metallicus"
114,2624,1810,26,"Niveoscincus metallicus"
80,2892,3109,21,"Niveoscincus metallicus"
110,2767,983,12,"Niveoscincus metallicus"
124,2447,1084,33,"Niveoscincus metallicus"
122,2868,640,13,"Niveoscincus metallicus"
108,3080,491,9,"Niveoscincus metallicus"
118,2289,751,18,"Niveoscincus metallicus"
141,3526,874,20,"Niveoscincus metallicus"
106,2496,2494,24,"Niveoscincus metallicus"
130,2969,878,30,"Niveoscincus metallicus"
130,2779,934,29,"Niveoscincus metallicus"
116,3619,1196,16,"Niveoscincus metallicus"
57,3238,1296,29,"Niveoscincus metallicus"
119,2616,631,17,"Niveoscincus metallicus"
122,2834,975,33,"Niveoscincus metallicus"
137,3001,720,10,"Niveoscincus metallicus"
64,3083,2048,24,"Niveoscincus metallicus"
89,4115,1167,23,"Niveoscincus metallicus"
143,2750,951,23,"Niveoscincus metallicus"
122,2626,1670,22,"Niveoscincus metallicus"
119,3196,509,12,"Niveoscincus metallicus"
71,2130,1747,18,"Niveoscincus metallicus"
120,2931,629,18,"Niveoscincus metallicus"
142,2323,654,18,"Niveoscincus metallicus"
91,2371,1917,19,"Niveoscincus metallicus"
85,2902,761,20,"Niveoscincus metallicus"
134,2880,1178,23,"Niveoscincus metallicus"
106,3200,842,27,"Niveoscincus metallicus"
146,3029,742,13,"Niveoscincus metallicus"
87,3182,1124,21,"Niveoscincus metallicus"
141,2333,831,24,"Niveoscincus metallicus"
112,2156,1514,20,"Niveoscincus metallicus"
100,3244,654,14,"Niveoscincus metallicus"
75,3265,1021,19,"Niveoscincus metallicus"
116,2442,1780,27,"Niveoscincus metallicus"
115,2802,850,16,"Niveoscincus metallicus"
92,3094,857,15,"Niveoscincus metallicus"
142,3830,1021,21,"Niveoscincus metallicus"
112,2517,1857,29,"Niveoscincus metallicus"
111,2654,2156,25,"Niveoscincus metallicus"
113,4100,1366,36,"Niveoscincus metallicus"
148,3086,600,12,"Niveoscincus metallicus"
111,3026,1006,32,"Niveoscincus metallicus"
99,2807,2233,28,"Niveoscincus metallicus"
93,2862,1618,35,"Niveoscincus metallicus"
150,3445,610,14,"Niveoscincus metallicus"
109,2432,1567,22,"Niveoscincus metallicus"
120,2931,658,12,"Niveoscincus metallicus"
79,3067,1921,23,"Niveoscincus metallicus"
98,3114,1101,29,"Niveoscincus metallicus"
114,2939,1071,33,"Niveoscincus metallicus"
94,2969,934,16,"Niveoscincus metallicus"
98,2935,671,19,"Niveoscincus metallicus"
145,2659,907,27,"Niveoscincus metallicus"
135,2716,570,10,"Niveoscincus metallicus"
113,3120,682,12,"Niveoscincus metallicus"
146,3369,793,10,"Niveoscincus metallicus"
136,2677,850,25,"Niveoscincus metallicus"
