"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
93,2756,2079,20,"Niveoscincus orocryptus"
83,2985,1883,22,"Niveoscincus orocryptus"
107,2471,1481,23,"Niveoscincus orocryptus"
98,2754,1914,25,"Niveoscincus orocryptus"
105,2546,1590,24,"Niveoscincus orocryptus"
118,2500,1720,24,"Niveoscincus orocryptus"
109,2342,2748,24,"Niveoscincus orocryptus"
108,2430,1579,22,"Niveoscincus orocryptus"
105,2855,2124,22,"Niveoscincus orocryptus"
106,2708,1660,24,"Niveoscincus orocryptus"
85,2957,1717,21,"Niveoscincus orocryptus"
112,2633,2250,25,"Niveoscincus orocryptus"
100,2438,2718,24,"Niveoscincus orocryptus"
99,2808,2729,23,"Niveoscincus orocryptus"
102,2556,1800,24,"Niveoscincus orocryptus"
83,3000,1621,22,"Niveoscincus orocryptus"
107,2871,1475,22,"Niveoscincus orocryptus"
115,2529,2295,24,"Niveoscincus orocryptus"
120,2317,1828,23,"Niveoscincus orocryptus"
118,2556,1869,24,"Niveoscincus orocryptus"
82,2934,1748,22,"Niveoscincus orocryptus"
97,2826,1403,22,"Niveoscincus orocryptus"
93,2788,1606,25,"Niveoscincus orocryptus"
92,2611,3133,24,"Niveoscincus orocryptus"
89,3006,2056,24,"Niveoscincus orocryptus"
99,2534,2887,21,"Niveoscincus orocryptus"
106,2810,1719,23,"Niveoscincus orocryptus"
84,2509,2213,23,"Niveoscincus orocryptus"
96,2681,2587,25,"Niveoscincus orocryptus"
98,2402,2501,22,"Niveoscincus orocryptus"
98,2711,2200,24,"Niveoscincus orocryptus"
106,2781,1703,24,"Niveoscincus orocryptus"
105,2436,1802,22,"Niveoscincus orocryptus"
103,2662,2692,24,"Niveoscincus orocryptus"
92,2902,1681,23,"Niveoscincus orocryptus"
113,2417,2058,22,"Niveoscincus orocryptus"
105,2599,2112,26,"Niveoscincus orocryptus"
113,2308,1821,21,"Niveoscincus orocryptus"
79,2588,2592,20,"Niveoscincus orocryptus"
103,2604,1809,25,"Niveoscincus orocryptus"
94,2758,2723,22,"Niveoscincus orocryptus"
107,2860,1466,23,"Niveoscincus orocryptus"
104,2683,1351,23,"Niveoscincus orocryptus"
90,2962,1733,19,"Niveoscincus orocryptus"
107,2391,2878,23,"Niveoscincus orocryptus"
104,2812,2001,22,"Niveoscincus orocryptus"
111,2474,2109,23,"Niveoscincus orocryptus"
118,2614,1937,23,"Niveoscincus orocryptus"
119,2429,1837,24,"Niveoscincus orocryptus"
112,2374,1929,25,"Niveoscincus orocryptus"
112,2786,1943,22,"Niveoscincus orocryptus"
96,2752,2649,21,"Niveoscincus orocryptus"
110,2727,2117,24,"Niveoscincus orocryptus"
102,2587,1969,23,"Niveoscincus orocryptus"
105,2674,2675,21,"Niveoscincus orocryptus"
116,2659,1972,22,"Niveoscincus orocryptus"
105,2827,1734,23,"Niveoscincus orocryptus"
108,2620,2364,26,"Niveoscincus orocryptus"
102,2882,1809,19,"Niveoscincus orocryptus"
117,2373,1855,24,"Niveoscincus orocryptus"
109,2836,2169,24,"Niveoscincus orocryptus"
88,2712,3137,24,"Niveoscincus orocryptus"
82,2974,1402,21,"Niveoscincus orocryptus"
110,2770,2399,21,"Niveoscincus orocryptus"
98,2865,1528,22,"Niveoscincus orocryptus"
98,2481,2801,24,"Niveoscincus orocryptus"
108,2539,2280,21,"Niveoscincus orocryptus"
115,2670,1866,23,"Niveoscincus orocryptus"
117,2710,1950,22,"Niveoscincus orocryptus"
91,2611,2462,25,"Niveoscincus orocryptus"
89,2410,2873,24,"Niveoscincus orocryptus"
108,2766,2544,23,"Niveoscincus orocryptus"
84,2486,2410,24,"Niveoscincus orocryptus"
103,2594,2041,24,"Niveoscincus orocryptus"
113,2852,1531,22,"Niveoscincus orocryptus"
108,2540,1978,22,"Niveoscincus orocryptus"
87,2539,1943,22,"Niveoscincus orocryptus"
