"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
134,2797,826,30,"Niveoscincus pretiosus"
82,3088,1303,24,"Niveoscincus pretiosus"
131,2706,928,26,"Niveoscincus pretiosus"
99,3190,1086,32,"Niveoscincus pretiosus"
104,2710,2723,21,"Niveoscincus pretiosus"
120,3045,527,18,"Niveoscincus pretiosus"
125,2742,949,22,"Niveoscincus pretiosus"
104,2659,1750,29,"Niveoscincus pretiosus"
107,3183,571,14,"Niveoscincus pretiosus"
65,3077,2551,30,"Niveoscincus pretiosus"
104,3144,696,15,"Niveoscincus pretiosus"
89,3070,1207,20,"Niveoscincus pretiosus"
136,2618,749,12,"Niveoscincus pretiosus"
116,2627,1549,36,"Niveoscincus pretiosus"
119,2964,1033,30,"Niveoscincus pretiosus"
90,2610,1057,15,"Niveoscincus pretiosus"
56,3198,1565,31,"Niveoscincus pretiosus"
118,2736,813,9,"Niveoscincus pretiosus"
46,3101,1702,22,"Niveoscincus pretiosus"
117,2433,1400,35,"Niveoscincus pretiosus"
100,2972,803,12,"Niveoscincus pretiosus"
89,2997,860,13,"Niveoscincus pretiosus"
123,3171,661,21,"Niveoscincus pretiosus"
87,2680,2148,34,"Niveoscincus pretiosus"
98,2762,1093,10,"Niveoscincus pretiosus"
93,2869,1842,34,"Niveoscincus pretiosus"
114,2458,2068,28,"Niveoscincus pretiosus"
114,2984,1074,32,"Niveoscincus pretiosus"
122,2754,711,13,"Niveoscincus pretiosus"
82,2999,2015,30,"Niveoscincus pretiosus"
130,2739,990,34,"Niveoscincus pretiosus"
103,2562,1609,28,"Niveoscincus pretiosus"
103,3182,712,13,"Niveoscincus pretiosus"
125,2397,757,12,"Niveoscincus pretiosus"
96,3092,1256,23,"Niveoscincus pretiosus"
124,3048,810,30,"Niveoscincus pretiosus"
122,2442,901,12,"Niveoscincus pretiosus"
57,3237,1279,29,"Niveoscincus pretiosus"
70,2830,3341,21,"Niveoscincus pretiosus"
123,2487,1170,33,"Niveoscincus pretiosus"
