"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
253,1254,2061,93,"Oedura castelnaui"
269,2495,996,119,"Oedura castelnaui"
229,3476,640,106,"Oedura castelnaui"
209,2828,1263,85,"Oedura castelnaui"
253,2756,803,118,"Oedura castelnaui"
259,1664,1430,113,"Oedura castelnaui"
270,2427,1058,125,"Oedura castelnaui"
260,1955,1164,116,"Oedura castelnaui"
235,3134,1412,96,"Oedura castelnaui"
227,3702,649,93,"Oedura castelnaui"
262,1497,1272,113,"Oedura castelnaui"
256,1614,1220,118,"Oedura castelnaui"
256,1301,1436,113,"Oedura castelnaui"
252,1763,1577,98,"Oedura castelnaui"
241,3136,711,113,"Oedura castelnaui"
213,3032,1008,91,"Oedura castelnaui"
266,1564,1378,116,"Oedura castelnaui"
268,2392,1023,115,"Oedura castelnaui"
253,2373,815,111,"Oedura castelnaui"
212,3000,1414,93,"Oedura castelnaui"
254,1835,1270,115,"Oedura castelnaui"
225,3392,602,94,"Oedura castelnaui"
233,3717,645,83,"Oedura castelnaui"
269,2522,968,120,"Oedura castelnaui"
264,1038,1992,99,"Oedura castelnaui"
263,1915,1208,122,"Oedura castelnaui"
249,2768,1000,118,"Oedura castelnaui"
263,1352,1534,115,"Oedura castelnaui"
260,1152,1651,102,"Oedura castelnaui"
259,1256,1547,99,"Oedura castelnaui"
263,2470,897,118,"Oedura castelnaui"
214,2954,1335,89,"Oedura castelnaui"
227,3615,609,94,"Oedura castelnaui"
252,1805,1380,104,"Oedura castelnaui"
258,2010,1095,116,"Oedura castelnaui"
265,2375,965,116,"Oedura castelnaui"
237,3264,672,110,"Oedura castelnaui"
251,3248,910,118,"Oedura castelnaui"
220,3714,737,91,"Oedura castelnaui"
262,1714,1109,110,"Oedura castelnaui"
259,1649,1213,117,"Oedura castelnaui"
263,2347,923,113,"Oedura castelnaui"
214,3006,810,98,"Oedura castelnaui"
260,1126,1566,109,"Oedura castelnaui"
267,2384,1010,116,"Oedura castelnaui"
234,3068,1043,114,"Oedura castelnaui"
