"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
271,1937,1116,113,"Oedura gracilis"
279,2329,904,121,"Oedura gracilis"
278,1541,1371,126,"Oedura gracilis"
278,1477,1498,127,"Oedura gracilis"
276,1614,1169,124,"Oedura gracilis"
265,2128,1094,123,"Oedura gracilis"
267,2159,909,117,"Oedura gracilis"
275,1671,1315,127,"Oedura gracilis"
271,1473,1397,124,"Oedura gracilis"
273,1690,1104,122,"Oedura gracilis"
265,1945,1220,123,"Oedura gracilis"
260,1923,1390,115,"Oedura gracilis"
260,1948,1285,120,"Oedura gracilis"
274,1826,1291,120,"Oedura gracilis"
256,2159,1339,118,"Oedura gracilis"
253,1989,1360,115,"Oedura gracilis"
261,1961,1266,112,"Oedura gracilis"
273,1812,1149,122,"Oedura gracilis"
269,1765,1536,124,"Oedura gracilis"
268,1785,1447,121,"Oedura gracilis"
279,1699,1394,118,"Oedura gracilis"
261,1908,1365,121,"Oedura gracilis"
255,1967,1351,113,"Oedura gracilis"
264,2064,1187,122,"Oedura gracilis"
271,2339,1009,122,"Oedura gracilis"
268,1860,1473,123,"Oedura gracilis"
249,2109,1418,118,"Oedura gracilis"
269,1969,1111,125,"Oedura gracilis"
256,1812,1703,117,"Oedura gracilis"
249,2159,1407,116,"Oedura gracilis"
256,1932,1435,116,"Oedura gracilis"
269,2056,955,120,"Oedura gracilis"
264,1942,1445,113,"Oedura gracilis"
271,1724,1175,121,"Oedura gracilis"
265,1990,1249,110,"Oedura gracilis"
258,2014,1174,114,"Oedura gracilis"
261,2179,1112,121,"Oedura gracilis"
279,1739,1451,120,"Oedura gracilis"
277,1598,1403,122,"Oedura gracilis"
267,2036,946,118,"Oedura gracilis"
251,2124,1345,119,"Oedura gracilis"
263,2054,1191,109,"Oedura gracilis"
271,2227,834,117,"Oedura gracilis"
267,1798,1290,121,"Oedura gracilis"
268,2159,1235,116,"Oedura gracilis"
266,2065,1113,110,"Oedura gracilis"
256,2062,1476,114,"Oedura gracilis"
266,2034,1263,113,"Oedura gracilis"
277,2002,976,125,"Oedura gracilis"
274,1580,1389,130,"Oedura gracilis"
274,1460,1410,124,"Oedura gracilis"
258,2230,984,114,"Oedura gracilis"
253,2214,1223,117,"Oedura gracilis"
267,1577,1680,124,"Oedura gracilis"
251,2144,1331,116,"Oedura gracilis"
278,1795,1169,122,"Oedura gracilis"
255,2218,1097,115,"Oedura gracilis"
256,2199,1065,114,"Oedura gracilis"
275,1829,1131,126,"Oedura gracilis"
277,1672,1090,125,"Oedura gracilis"
271,2175,1223,119,"Oedura gracilis"
264,2178,876,112,"Oedura gracilis"
264,1874,1332,120,"Oedura gracilis"
263,2194,874,113,"Oedura gracilis"
266,2018,1190,113,"Oedura gracilis"
268,1818,1362,126,"Oedura gracilis"
264,1692,1646,118,"Oedura gracilis"
265,2080,1021,118,"Oedura gracilis"
260,1797,1579,114,"Oedura gracilis"
278,1633,1398,123,"Oedura gracilis"
260,2042,1183,112,"Oedura gracilis"
276,1812,1203,125,"Oedura gracilis"
258,1879,1574,120,"Oedura gracilis"
270,1865,1489,117,"Oedura gracilis"
275,1620,1475,123,"Oedura gracilis"
270,1687,1269,119,"Oedura gracilis"
267,2032,1191,126,"Oedura gracilis"
265,2307,834,114,"Oedura gracilis"
268,1693,1336,126,"Oedura gracilis"
264,1754,1638,120,"Oedura gracilis"
274,2264,855,118,"Oedura gracilis"
260,2155,1273,113,"Oedura gracilis"
273,2052,1173,119,"Oedura gracilis"
276,2095,1004,115,"Oedura gracilis"
262,1828,1673,114,"Oedura gracilis"
277,1828,1011,124,"Oedura gracilis"
273,2092,934,124,"Oedura gracilis"
261,2122,1172,121,"Oedura gracilis"
277,1430,1363,129,"Oedura gracilis"
277,1643,1199,126,"Oedura gracilis"
257,2039,1313,111,"Oedura gracilis"
251,2152,1275,113,"Oedura gracilis"
255,1921,1579,118,"Oedura gracilis"
276,1626,1100,122,"Oedura gracilis"
259,2124,1254,121,"Oedura gracilis"
278,1774,1212,123,"Oedura gracilis"
274,1628,1271,127,"Oedura gracilis"
277,1767,1400,125,"Oedura gracilis"
262,2289,900,113,"Oedura gracilis"
257,2179,1098,114,"Oedura gracilis"
277,1866,1100,119,"Oedura gracilis"
264,1819,1640,123,"Oedura gracilis"
256,1844,1633,117,"Oedura gracilis"
262,1773,1763,119,"Oedura gracilis"
271,1731,1207,122,"Oedura gracilis"
267,1684,1693,123,"Oedura gracilis"
279,2331,798,116,"Oedura gracilis"
272,1747,1149,125,"Oedura gracilis"
276,1545,1300,124,"Oedura gracilis"
265,2115,1000,119,"Oedura gracilis"
257,1950,1370,112,"Oedura gracilis"
264,2014,1197,120,"Oedura gracilis"
278,2302,841,120,"Oedura gracilis"
271,1586,1676,126,"Oedura gracilis"
267,2022,954,117,"Oedura gracilis"
264,2284,839,114,"Oedura gracilis"
272,1652,1327,119,"Oedura gracilis"
278,1709,1384,125,"Oedura gracilis"
260,2140,1114,124,"Oedura gracilis"
254,2084,1412,116,"Oedura gracilis"
271,1640,1392,123,"Oedura gracilis"
278,1667,1270,117,"Oedura gracilis"
260,1751,1812,117,"Oedura gracilis"
244,2124,1366,113,"Oedura gracilis"
266,1820,1518,125,"Oedura gracilis"
270,1982,1076,120,"Oedura gracilis"
272,2315,1005,121,"Oedura gracilis"
255,2159,1229,120,"Oedura gracilis"
263,1869,1493,112,"Oedura gracilis"
250,1911,1642,116,"Oedura gracilis"
267,2073,1096,122,"Oedura gracilis"
275,1681,1462,125,"Oedura gracilis"
257,1886,1316,119,"Oedura gracilis"
262,1954,1293,124,"Oedura gracilis"
272,1798,1261,127,"Oedura gracilis"
259,1929,1273,120,"Oedura gracilis"
276,1479,1361,129,"Oedura gracilis"
273,2025,1132,118,"Oedura gracilis"
270,1940,1128,126,"Oedura gracilis"
248,2008,1632,114,"Oedura gracilis"
259,2052,1138,114,"Oedura gracilis"
259,2066,1289,115,"Oedura gracilis"
269,2057,977,120,"Oedura gracilis"
253,2110,1230,113,"Oedura gracilis"
254,2212,1189,113,"Oedura gracilis"
263,1967,1206,121,"Oedura gracilis"
274,1886,1154,114,"Oedura gracilis"
270,2165,910,123,"Oedura gracilis"
275,1535,1372,123,"Oedura gracilis"
263,2298,884,115,"Oedura gracilis"
256,2059,1392,109,"Oedura gracilis"
261,1871,1596,123,"Oedura gracilis"
264,1939,1098,118,"Oedura gracilis"
267,1905,1074,117,"Oedura gracilis"
262,1620,1733,117,"Oedura gracilis"
265,1985,1376,111,"Oedura gracilis"
260,1864,1700,115,"Oedura gracilis"
262,1965,1394,117,"Oedura gracilis"
268,1944,1190,123,"Oedura gracilis"
277,1586,1231,123,"Oedura gracilis"
254,2175,1216,119,"Oedura gracilis"
263,1881,1275,124,"Oedura gracilis"
266,1976,979,120,"Oedura gracilis"
258,2071,1215,114,"Oedura gracilis"
273,1631,1623,127,"Oedura gracilis"
273,2039,1087,124,"Oedura gracilis"
272,1687,1280,125,"Oedura gracilis"
270,2072,951,120,"Oedura gracilis"
267,2189,1031,122,"Oedura gracilis"
275,1902,1005,124,"Oedura gracilis"
274,1540,1634,126,"Oedura gracilis"
276,1518,1389,130,"Oedura gracilis"
272,1762,1276,121,"Oedura gracilis"
272,2153,1118,117,"Oedura gracilis"
276,1652,1173,128,"Oedura gracilis"
277,1670,1209,121,"Oedura gracilis"
267,1764,1648,122,"Oedura gracilis"
269,1746,1264,125,"Oedura gracilis"
274,2270,815,111,"Oedura gracilis"
258,1772,1683,122,"Oedura gracilis"
255,2187,1015,113,"Oedura gracilis"
270,2030,977,121,"Oedura gracilis"
278,1714,1059,123,"Oedura gracilis"
273,1575,1162,124,"Oedura gracilis"
271,2142,1044,114,"Oedura gracilis"
252,2138,1156,112,"Oedura gracilis"
266,1788,1123,120,"Oedura gracilis"
269,2113,948,119,"Oedura gracilis"
265,2083,1357,115,"Oedura gracilis"
258,2077,1376,113,"Oedura gracilis"
275,1950,1133,126,"Oedura gracilis"
275,1748,1190,119,"Oedura gracilis"
277,1773,1106,126,"Oedura gracilis"
266,1657,1357,116,"Oedura gracilis"
260,1865,1508,112,"Oedura gracilis"
258,1974,1411,116,"Oedura gracilis"
266,1635,1562,119,"Oedura gracilis"
260,1843,1376,124,"Oedura gracilis"
259,2250,935,114,"Oedura gracilis"
258,2263,967,113,"Oedura gracilis"
257,2142,1218,119,"Oedura gracilis"
269,1911,1129,122,"Oedura gracilis"
272,1664,1276,123,"Oedura gracilis"
270,1611,1346,125,"Oedura gracilis"
276,1742,1233,114,"Oedura gracilis"
268,2137,855,120,"Oedura gracilis"
276,1565,1483,128,"Oedura gracilis"
278,1704,1183,121,"Oedura gracilis"
257,2137,1099,112,"Oedura gracilis"
268,1589,1476,124,"Oedura gracilis"
277,1743,1096,124,"Oedura gracilis"
266,2005,1418,113,"Oedura gracilis"
257,2021,1262,118,"Oedura gracilis"
259,2094,1088,120,"Oedura gracilis"
265,2124,1000,114,"Oedura gracilis"
273,1725,1267,126,"Oedura gracilis"
264,1909,1273,110,"Oedura gracilis"
269,1608,1624,120,"Oedura gracilis"
260,1945,1323,111,"Oedura gracilis"
276,1710,1122,123,"Oedura gracilis"
259,2004,1286,112,"Oedura gracilis"
277,1780,1139,124,"Oedura gracilis"
258,2110,1224,111,"Oedura gracilis"
276,1910,1227,122,"Oedura gracilis"
267,1850,1469,121,"Oedura gracilis"
268,2084,1076,122,"Oedura gracilis"
266,2335,934,115,"Oedura gracilis"
274,1560,1634,125,"Oedura gracilis"
263,1704,1768,120,"Oedura gracilis"
262,1939,1605,115,"Oedura gracilis"
276,1703,1165,129,"Oedura gracilis"
257,2090,1196,117,"Oedura gracilis"
275,1656,1132,124,"Oedura gracilis"
270,1519,1447,125,"Oedura gracilis"
263,1740,1643,116,"Oedura gracilis"
259,2157,1187,122,"Oedura gracilis"
262,2104,1192,122,"Oedura gracilis"
265,2319,1127,116,"Oedura gracilis"
259,2177,1138,110,"Oedura gracilis"
