"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
252,4380,456,99,"Oedura marmorata"
274,4648,449,107,"Oedura marmorata"
231,5929,264,63,"Oedura marmorata"
258,5351,382,96,"Oedura marmorata"
247,4989,393,81,"Oedura marmorata"
251,6240,291,56,"Oedura marmorata"
266,2814,903,123,"Oedura marmorata"
262,4057,469,109,"Oedura marmorata"
258,3388,649,111,"Oedura marmorata"
194,5896,208,15,"Oedura marmorata"
238,6109,283,54,"Oedura marmorata"
265,5223,373,93,"Oedura marmorata"
245,5759,254,84,"Oedura marmorata"
244,5794,273,73,"Oedura marmorata"
226,6380,276,46,"Oedura marmorata"
247,5371,330,93,"Oedura marmorata"
249,6176,333,65,"Oedura marmorata"
254,5374,340,88,"Oedura marmorata"
270,4061,525,106,"Oedura marmorata"
280,2908,810,114,"Oedura marmorata"
269,5102,386,88,"Oedura marmorata"
242,6242,284,65,"Oedura marmorata"
211,6173,355,26,"Oedura marmorata"
246,6282,196,54,"Oedura marmorata"
203,4905,708,51,"Oedura marmorata"
250,5698,289,84,"Oedura marmorata"
255,5799,251,82,"Oedura marmorata"
252,5331,348,97,"Oedura marmorata"
260,3904,557,112,"Oedura marmorata"
228,6081,324,56,"Oedura marmorata"
229,6186,319,52,"Oedura marmorata"
261,5805,207,80,"Oedura marmorata"
268,1930,1084,107,"Oedura marmorata"
254,4791,453,95,"Oedura marmorata"
242,6301,224,63,"Oedura marmorata"
241,5117,456,67,"Oedura marmorata"
234,5279,388,92,"Oedura marmorata"
227,6044,357,57,"Oedura marmorata"
271,3277,668,114,"Oedura marmorata"
220,6216,359,45,"Oedura marmorata"
264,2143,1497,110,"Oedura marmorata"
213,6368,257,31,"Oedura marmorata"
227,6402,242,40,"Oedura marmorata"
197,6153,263,17,"Oedura marmorata"
259,5929,272,69,"Oedura marmorata"
210,5930,483,34,"Oedura marmorata"
253,4993,383,100,"Oedura marmorata"
263,4953,296,93,"Oedura marmorata"
214,6102,377,39,"Oedura marmorata"
263,2642,1093,109,"Oedura marmorata"
168,5596,356,21,"Oedura marmorata"
267,3644,622,118,"Oedura marmorata"
181,6032,353,16,"Oedura marmorata"
245,6222,295,57,"Oedura marmorata"
284,2916,768,116,"Oedura marmorata"
265,4553,425,99,"Oedura marmorata"
268,5527,362,86,"Oedura marmorata"
267,3271,747,123,"Oedura marmorata"
262,5694,223,82,"Oedura marmorata"
229,5978,250,60,"Oedura marmorata"
269,5626,363,82,"Oedura marmorata"
275,3671,641,113,"Oedura marmorata"
263,5906,312,68,"Oedura marmorata"
269,4473,453,110,"Oedura marmorata"
264,2794,1047,115,"Oedura marmorata"
226,6345,273,47,"Oedura marmorata"
257,4317,448,104,"Oedura marmorata"
192,6046,289,14,"Oedura marmorata"
248,6270,239,65,"Oedura marmorata"
227,6267,248,39,"Oedura marmorata"
232,6412,252,50,"Oedura marmorata"
191,6076,393,21,"Oedura marmorata"
244,5891,277,69,"Oedura marmorata"
237,6230,250,65,"Oedura marmorata"
240,6591,176,46,"Oedura marmorata"
239,6142,263,61,"Oedura marmorata"
279,4253,492,116,"Oedura marmorata"
258,4078,471,108,"Oedura marmorata"
249,5903,238,83,"Oedura marmorata"
257,2291,1122,108,"Oedura marmorata"
254,4625,420,95,"Oedura marmorata"
248,6003,248,70,"Oedura marmorata"
217,6205,243,41,"Oedura marmorata"
194,5940,455,20,"Oedura marmorata"
248,6385,248,57,"Oedura marmorata"
238,6395,236,60,"Oedura marmorata"
209,6152,386,26,"Oedura marmorata"
249,6279,281,72,"Oedura marmorata"
272,2964,880,113,"Oedura marmorata"
231,5807,307,64,"Oedura marmorata"
253,6056,347,61,"Oedura marmorata"
193,5828,201,17,"Oedura marmorata"
189,5990,445,19,"Oedura marmorata"
234,6556,192,44,"Oedura marmorata"
250,6284,253,56,"Oedura marmorata"
253,6124,235,71,"Oedura marmorata"
205,6162,391,26,"Oedura marmorata"
