"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,2798,812,110,"Oedura monilis"
238,4334,516,85,"Oedura monilis"
227,3176,898,111,"Oedura monilis"
230,4006,743,53,"Oedura monilis"
203,5110,573,34,"Oedura monilis"
161,5484,698,18,"Oedura monilis"
239,3928,691,76,"Oedura monilis"
228,4594,552,57,"Oedura monilis"
189,5500,603,30,"Oedura monilis"
207,5795,506,36,"Oedura monilis"
204,5895,479,33,"Oedura monilis"
191,5924,466,17,"Oedura monilis"
160,5390,689,15,"Oedura monilis"
241,4178,596,70,"Oedura monilis"
203,5106,584,35,"Oedura monilis"
242,3124,762,115,"Oedura monilis"
200,5243,587,48,"Oedura monilis"
205,5733,532,35,"Oedura monilis"
219,4665,647,49,"Oedura monilis"
238,3172,912,113,"Oedura monilis"
233,4371,544,67,"Oedura monilis"
223,3256,673,81,"Oedura monilis"
227,3570,921,65,"Oedura monilis"
234,3948,685,87,"Oedura monilis"
216,4936,469,53,"Oedura monilis"
237,4316,500,85,"Oedura monilis"
205,5597,508,34,"Oedura monilis"
220,3521,717,66,"Oedura monilis"
225,4514,697,57,"Oedura monilis"
203,4901,657,47,"Oedura monilis"
205,5603,544,32,"Oedura monilis"
218,3590,621,69,"Oedura monilis"
224,3214,965,56,"Oedura monilis"
240,4240,546,67,"Oedura monilis"
203,5297,652,42,"Oedura monilis"
242,3225,720,86,"Oedura monilis"
238,3747,602,75,"Oedura monilis"
178,5612,592,20,"Oedura monilis"
230,4681,499,68,"Oedura monilis"
236,3503,613,75,"Oedura monilis"
232,3307,988,60,"Oedura monilis"
251,3250,892,118,"Oedura monilis"
259,2705,905,119,"Oedura monilis"
233,3277,1541,82,"Oedura monilis"
216,4289,583,47,"Oedura monilis"
208,5836,495,36,"Oedura monilis"
199,5626,540,28,"Oedura monilis"
229,4603,592,66,"Oedura monilis"
201,5991,442,26,"Oedura monilis"
224,4080,568,63,"Oedura monilis"
180,4212,672,36,"Oedura monilis"
198,5017,614,48,"Oedura monilis"
231,4996,498,60,"Oedura monilis"
207,4642,722,54,"Oedura monilis"
265,2938,835,121,"Oedura monilis"
204,5252,586,34,"Oedura monilis"
203,5056,615,48,"Oedura monilis"
137,4619,815,31,"Oedura monilis"
224,4248,722,55,"Oedura monilis"
230,2787,768,108,"Oedura monilis"
228,3684,685,91,"Oedura monilis"
233,3986,676,87,"Oedura monilis"
167,4825,719,38,"Oedura monilis"
231,3432,630,82,"Oedura monilis"
200,5597,556,36,"Oedura monilis"
231,3293,916,59,"Oedura monilis"
267,2702,841,123,"Oedura monilis"
241,3927,585,73,"Oedura monilis"
224,4600,627,58,"Oedura monilis"
180,4336,698,35,"Oedura monilis"
222,3344,677,94,"Oedura monilis"
241,4518,492,78,"Oedura monilis"
238,2876,958,116,"Oedura monilis"
230,3436,825,79,"Oedura monilis"
233,3385,703,83,"Oedura monilis"
247,2976,914,96,"Oedura monilis"
181,5073,640,21,"Oedura monilis"
197,4881,598,34,"Oedura monilis"
187,5106,738,46,"Oedura monilis"
236,3166,1467,84,"Oedura monilis"
227,4094,632,60,"Oedura monilis"
232,3365,981,62,"Oedura monilis"
236,4047,691,83,"Oedura monilis"
186,4229,751,47,"Oedura monilis"
230,3911,604,59,"Oedura monilis"
167,5366,625,24,"Oedura monilis"
199,5557,563,36,"Oedura monilis"
183,5871,505,17,"Oedura monilis"
209,3121,1307,85,"Oedura monilis"
239,2730,948,112,"Oedura monilis"
268,2701,838,122,"Oedura monilis"
241,4123,607,82,"Oedura monilis"
240,3902,609,77,"Oedura monilis"
260,2503,986,117,"Oedura monilis"
227,4437,647,55,"Oedura monilis"
213,3783,671,90,"Oedura monilis"
251,2743,818,117,"Oedura monilis"
252,3050,698,116,"Oedura monilis"
201,4901,715,49,"Oedura monilis"
165,5215,604,29,"Oedura monilis"
234,4058,566,63,"Oedura monilis"
192,4374,619,39,"Oedura monilis"
206,5495,568,42,"Oedura monilis"
203,5677,573,36,"Oedura monilis"
