"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
261,1747,1215,112,"Orraya occultus"
261,1642,1401,115,"Orraya occultus"
262,1624,1395,115,"Orraya occultus"
251,1726,1409,112,"Orraya occultus"
259,1705,1381,113,"Orraya occultus"
262,1712,1381,113,"Orraya occultus"
242,1597,1661,112,"Orraya occultus"
259,1768,1246,111,"Orraya occultus"
257,1732,1328,112,"Orraya occultus"
259,1644,1412,113,"Orraya occultus"
259,1731,1318,112,"Orraya occultus"
253,1673,1419,111,"Orraya occultus"
262,1745,1262,113,"Orraya occultus"
260,1638,1375,113,"Orraya occultus"
262,1648,1382,114,"Orraya occultus"
249,1630,1600,111,"Orraya occultus"
233,1501,1410,121,"Orraya occultus"
261,1671,1354,114,"Orraya occultus"
253,1757,1440,110,"Orraya occultus"
261,1632,1399,115,"Orraya occultus"
261,1692,1399,112,"Orraya occultus"
261,1561,1434,113,"Orraya occultus"
261,1756,1264,112,"Orraya occultus"
261,1619,1423,114,"Orraya occultus"
257,1707,1512,112,"Orraya occultus"
259,1604,1395,112,"Orraya occultus"
262,1632,1406,114,"Orraya occultus"
262,1789,1207,113,"Orraya occultus"
261,1654,1367,114,"Orraya occultus"
263,1791,1158,114,"Orraya occultus"
250,1702,1545,111,"Orraya occultus"
260,1701,1302,114,"Orraya occultus"
259,1662,1427,113,"Orraya occultus"
261,1667,1394,114,"Orraya occultus"
257,1678,1479,112,"Orraya occultus"
260,1720,1396,113,"Orraya occultus"
261,1659,1400,114,"Orraya occultus"
251,1756,1535,112,"Orraya occultus"
251,1666,1340,111,"Orraya occultus"
229,1540,1510,113,"Orraya occultus"
259,1695,1346,113,"Orraya occultus"
258,1578,1511,113,"Orraya occultus"
260,1616,1420,114,"Orraya occultus"
261,1650,1399,115,"Orraya occultus"
250,1739,1364,112,"Orraya occultus"
262,1769,1251,113,"Orraya occultus"
226,1502,1747,112,"Orraya occultus"
259,1712,1313,113,"Orraya occultus"
259,1782,1171,114,"Orraya occultus"
261,1680,1380,114,"Orraya occultus"
231,1530,1286,117,"Orraya occultus"
262,1685,1342,113,"Orraya occultus"
252,1691,1464,114,"Orraya occultus"
262,1669,1365,113,"Orraya occultus"
260,1703,1272,114,"Orraya occultus"
262,1593,1411,114,"Orraya occultus"
250,1701,1279,116,"Orraya occultus"
262,1792,1213,112,"Orraya occultus"
249,1714,1405,113,"Orraya occultus"
259,1695,1349,115,"Orraya occultus"
261,1765,1252,112,"Orraya occultus"
260,1685,1302,115,"Orraya occultus"
250,1680,1504,113,"Orraya occultus"
262,1813,1189,112,"Orraya occultus"
262,1807,1184,113,"Orraya occultus"
261,1625,1383,115,"Orraya occultus"
261,1606,1415,114,"Orraya occultus"
261,1724,1313,112,"Orraya occultus"
261,1663,1356,114,"Orraya occultus"
261,1600,1433,114,"Orraya occultus"
257,1741,1355,111,"Orraya occultus"
259,1680,1397,113,"Orraya occultus"
250,1683,1613,113,"Orraya occultus"
261,1640,1378,115,"Orraya occultus"
259,1762,1261,112,"Orraya occultus"
259,1627,1384,112,"Orraya occultus"
251,1699,1238,117,"Orraya occultus"
262,1711,1285,113,"Orraya occultus"
258,1798,1348,112,"Orraya occultus"
259,1773,1359,113,"Orraya occultus"
262,1777,1213,112,"Orraya occultus"
260,1800,1117,112,"Orraya occultus"
259,1775,1333,112,"Orraya occultus"
252,1658,1380,111,"Orraya occultus"
260,1732,1274,113,"Orraya occultus"
226,1501,1563,114,"Orraya occultus"
263,1749,1214,113,"Orraya occultus"
228,1484,1730,112,"Orraya occultus"
258,1717,1382,113,"Orraya occultus"
262,1756,1244,112,"Orraya occultus"
263,1769,1214,113,"Orraya occultus"
254,1736,1308,116,"Orraya occultus"
250,1647,1327,112,"Orraya occultus"
262,1737,1276,112,"Orraya occultus"
262,1766,1243,112,"Orraya occultus"
256,1723,1428,114,"Orraya occultus"
235,1532,1200,118,"Orraya occultus"
259,1744,1263,113,"Orraya occultus"
259,1716,1285,113,"Orraya occultus"
258,1695,1251,112,"Orraya occultus"
262,1615,1405,115,"Orraya occultus"
262,1582,1387,114,"Orraya occultus"
