"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
225,3563,804,72,"Oxyuranus scutellatus"
267,2453,888,108,"Oxyuranus scutellatus"
260,543,3055,53,"Oxyuranus scutellatus"
215,2949,942,103,"Oxyuranus scutellatus"
269,1810,1578,109,"Oxyuranus scutellatus"
272,1857,1089,110,"Oxyuranus scutellatus"
274,1717,1185,111,"Oxyuranus scutellatus"
244,3368,933,86,"Oxyuranus scutellatus"
260,2098,1233,108,"Oxyuranus scutellatus"
263,853,1975,58,"Oxyuranus scutellatus"
234,3444,828,83,"Oxyuranus scutellatus"
278,1923,1240,103,"Oxyuranus scutellatus"
281,2463,862,113,"Oxyuranus scutellatus"
215,3497,1190,48,"Oxyuranus scutellatus"
225,3489,651,95,"Oxyuranus scutellatus"
203,4198,623,40,"Oxyuranus scutellatus"
223,3220,634,104,"Oxyuranus scutellatus"
214,3407,1377,44,"Oxyuranus scutellatus"
230,3526,693,66,"Oxyuranus scutellatus"
222,3491,952,65,"Oxyuranus scutellatus"
265,1850,1315,125,"Oxyuranus scutellatus"
220,3325,1007,49,"Oxyuranus scutellatus"
277,1809,1403,102,"Oxyuranus scutellatus"
283,3049,682,112,"Oxyuranus scutellatus"
209,4296,800,53,"Oxyuranus scutellatus"
268,1146,1791,119,"Oxyuranus scutellatus"
279,1825,1423,109,"Oxyuranus scutellatus"
273,1518,1372,111,"Oxyuranus scutellatus"
275,2932,783,109,"Oxyuranus scutellatus"
279,1808,1388,103,"Oxyuranus scutellatus"
228,3823,755,58,"Oxyuranus scutellatus"
265,1474,1440,101,"Oxyuranus scutellatus"
279,2600,966,116,"Oxyuranus scutellatus"
271,3209,768,110,"Oxyuranus scutellatus"
237,4037,600,66,"Oxyuranus scutellatus"
231,3350,887,60,"Oxyuranus scutellatus"
256,768,2999,36,"Oxyuranus scutellatus"
208,2706,850,96,"Oxyuranus scutellatus"
271,2963,786,110,"Oxyuranus scutellatus"
268,2089,1002,112,"Oxyuranus scutellatus"
245,3191,758,89,"Oxyuranus scutellatus"
261,2511,898,109,"Oxyuranus scutellatus"
275,2026,836,110,"Oxyuranus scutellatus"
269,1892,1206,97,"Oxyuranus scutellatus"
258,779,2076,46,"Oxyuranus scutellatus"
280,2694,711,116,"Oxyuranus scutellatus"
259,1688,1495,94,"Oxyuranus scutellatus"
202,4150,746,44,"Oxyuranus scutellatus"
268,1244,1775,119,"Oxyuranus scutellatus"
204,3700,1230,53,"Oxyuranus scutellatus"
276,1715,1589,102,"Oxyuranus scutellatus"
274,1313,1798,101,"Oxyuranus scutellatus"
267,2456,948,108,"Oxyuranus scutellatus"
265,2299,1017,114,"Oxyuranus scutellatus"
218,3542,1003,54,"Oxyuranus scutellatus"
259,605,2366,47,"Oxyuranus scutellatus"
268,2971,896,111,"Oxyuranus scutellatus"
237,3756,761,73,"Oxyuranus scutellatus"
230,3868,560,56,"Oxyuranus scutellatus"
265,2883,939,113,"Oxyuranus scutellatus"
273,1696,1161,109,"Oxyuranus scutellatus"
198,3439,1210,39,"Oxyuranus scutellatus"
264,2106,1084,115,"Oxyuranus scutellatus"
263,1871,1221,102,"Oxyuranus scutellatus"
227,3853,578,54,"Oxyuranus scutellatus"
270,2190,803,113,"Oxyuranus scutellatus"
287,3155,657,113,"Oxyuranus scutellatus"
223,4124,573,58,"Oxyuranus scutellatus"
217,3314,1019,80,"Oxyuranus scutellatus"
209,3343,1073,75,"Oxyuranus scutellatus"
237,2882,909,113,"Oxyuranus scutellatus"
263,731,1690,67,"Oxyuranus scutellatus"
259,2071,1163,117,"Oxyuranus scutellatus"
