"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
201,5564,563,37,"Parasuta dwyeri"
192,5460,615,30,"Parasuta dwyeri"
137,4373,613,28,"Parasuta dwyeri"
167,5194,657,23,"Parasuta dwyeri"
207,6129,410,30,"Parasuta dwyeri"
208,6125,407,33,"Parasuta dwyeri"
198,4816,601,55,"Parasuta dwyeri"
190,4344,722,41,"Parasuta dwyeri"
129,4331,722,29,"Parasuta dwyeri"
204,5537,524,36,"Parasuta dwyeri"
197,5090,642,51,"Parasuta dwyeri"
207,5901,480,34,"Parasuta dwyeri"
157,5543,563,16,"Parasuta dwyeri"
163,5766,482,8,"Parasuta dwyeri"
163,4205,866,45,"Parasuta dwyeri"
155,5225,619,21,"Parasuta dwyeri"
208,5824,520,48,"Parasuta dwyeri"
198,6090,393,22,"Parasuta dwyeri"
134,4436,854,9,"Parasuta dwyeri"
211,5982,457,32,"Parasuta dwyeri"
212,6124,385,35,"Parasuta dwyeri"
192,6008,428,17,"Parasuta dwyeri"
205,5694,540,35,"Parasuta dwyeri"
201,5158,621,33,"Parasuta dwyeri"
159,5155,427,18,"Parasuta dwyeri"
167,5755,457,12,"Parasuta dwyeri"
173,4837,812,39,"Parasuta dwyeri"
209,5755,478,44,"Parasuta dwyeri"
199,4528,632,42,"Parasuta dwyeri"
186,5850,488,15,"Parasuta dwyeri"
206,4497,868,52,"Parasuta dwyeri"
212,5979,461,31,"Parasuta dwyeri"
203,5769,516,36,"Parasuta dwyeri"
183,5158,741,31,"Parasuta dwyeri"
204,5527,610,36,"Parasuta dwyeri"
198,5977,435,25,"Parasuta dwyeri"
106,5187,1003,16,"Parasuta dwyeri"
217,5941,420,44,"Parasuta dwyeri"
210,5980,431,34,"Parasuta dwyeri"
212,6111,386,37,"Parasuta dwyeri"
164,4103,1096,51,"Parasuta dwyeri"
141,4037,896,33,"Parasuta dwyeri"
127,5148,826,13,"Parasuta dwyeri"
152,5571,571,10,"Parasuta dwyeri"
147,4629,513,24,"Parasuta dwyeri"
123,4468,891,26,"Parasuta dwyeri"
203,6222,313,22,"Parasuta dwyeri"
196,5646,557,28,"Parasuta dwyeri"
128,4306,1174,39,"Parasuta dwyeri"
126,4970,716,12,"Parasuta dwyeri"
207,6243,330,22,"Parasuta dwyeri"
118,4803,631,12,"Parasuta dwyeri"
155,4773,786,23,"Parasuta dwyeri"
196,5296,680,47,"Parasuta dwyeri"
208,5732,540,34,"Parasuta dwyeri"
215,6029,436,46,"Parasuta dwyeri"
216,6144,374,44,"Parasuta dwyeri"
217,5721,464,45,"Parasuta dwyeri"
203,4579,732,47,"Parasuta dwyeri"
206,5591,528,35,"Parasuta dwyeri"
199,5071,608,34,"Parasuta dwyeri"
131,5063,746,8,"Parasuta dwyeri"
135,5070,836,24,"Parasuta dwyeri"
105,4259,1172,27,"Parasuta dwyeri"
127,4529,607,11,"Parasuta dwyeri"
178,5962,416,11,"Parasuta dwyeri"
200,6201,315,19,"Parasuta dwyeri"
125,5166,1084,25,"Parasuta dwyeri"
153,4854,502,19,"Parasuta dwyeri"
209,5515,514,45,"Parasuta dwyeri"
208,5862,526,36,"Parasuta dwyeri"
206,5329,610,37,"Parasuta dwyeri"
138,4765,836,25,"Parasuta dwyeri"
128,5245,799,16,"Parasuta dwyeri"
168,5757,485,9,"Parasuta dwyeri"
172,5548,570,12,"Parasuta dwyeri"
83,4894,871,14,"Parasuta dwyeri"
150,5526,701,9,"Parasuta dwyeri"
194,6057,429,20,"Parasuta dwyeri"
152,4902,555,21,"Parasuta dwyeri"
210,6170,366,29,"Parasuta dwyeri"
