"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
192,5491,170,13,"Parasuta monachus"
209,5570,219,29,"Parasuta monachus"
208,5565,219,30,"Parasuta monachus"
196,5677,175,20,"Parasuta monachus"
242,6378,256,67,"Parasuta monachus"
254,6296,243,58,"Parasuta monachus"
210,6290,206,37,"Parasuta monachus"
205,6246,224,23,"Parasuta monachus"
253,6083,317,63,"Parasuta monachus"
180,5325,266,22,"Parasuta monachus"
246,6359,275,69,"Parasuta monachus"
206,5852,261,32,"Parasuta monachus"
199,5858,235,21,"Parasuta monachus"
190,5188,198,10,"Parasuta monachus"
241,6428,246,62,"Parasuta monachus"
203,5925,191,28,"Parasuta monachus"
244,6368,265,64,"Parasuta monachus"
209,6280,258,38,"Parasuta monachus"
251,6069,350,70,"Parasuta monachus"
211,5867,212,45,"Parasuta monachus"
199,6182,245,17,"Parasuta monachus"
182,5516,246,21,"Parasuta monachus"
249,6305,272,72,"Parasuta monachus"
234,6432,232,51,"Parasuta monachus"
185,4732,199,14,"Parasuta monachus"
218,6419,302,47,"Parasuta monachus"
175,5676,319,13,"Parasuta monachus"
177,5933,422,9,"Parasuta monachus"
214,6398,217,41,"Parasuta monachus"
186,6046,295,13,"Parasuta monachus"
244,6149,260,74,"Parasuta monachus"
222,6363,215,40,"Parasuta monachus"
218,6450,238,38,"Parasuta monachus"
195,5891,253,33,"Parasuta monachus"
193,4724,205,18,"Parasuta monachus"
214,6189,130,31,"Parasuta monachus"
251,6331,211,67,"Parasuta monachus"
190,5523,270,17,"Parasuta monachus"
235,6326,204,41,"Parasuta monachus"
207,6039,149,26,"Parasuta monachus"
246,5967,234,74,"Parasuta monachus"
176,5870,275,17,"Parasuta monachus"
237,6349,240,46,"Parasuta monachus"
209,6300,194,24,"Parasuta monachus"
199,5684,219,19,"Parasuta monachus"
235,5282,216,71,"Parasuta monachus"
188,6044,291,17,"Parasuta monachus"
209,6183,176,30,"Parasuta monachus"
202,6247,323,50,"Parasuta monachus"
173,5759,359,13,"Parasuta monachus"
180,4843,215,14,"Parasuta monachus"
218,6323,244,45,"Parasuta monachus"
241,4922,232,69,"Parasuta monachus"
205,5825,249,29,"Parasuta monachus"
219,6296,181,31,"Parasuta monachus"
211,6271,257,38,"Parasuta monachus"
189,4427,203,16,"Parasuta monachus"
228,6272,234,56,"Parasuta monachus"
244,6256,228,66,"Parasuta monachus"
209,5817,232,26,"Parasuta monachus"
241,6380,201,44,"Parasuta monachus"
210,6399,306,46,"Parasuta monachus"
188,5395,268,18,"Parasuta monachus"
197,5647,224,16,"Parasuta monachus"
224,6284,269,59,"Parasuta monachus"
237,6260,309,55,"Parasuta monachus"
217,6216,236,43,"Parasuta monachus"
208,6272,300,43,"Parasuta monachus"
258,6203,232,78,"Parasuta monachus"
182,5802,272,12,"Parasuta monachus"
215,6322,153,36,"Parasuta monachus"
201,5506,232,22,"Parasuta monachus"
205,5734,247,27,"Parasuta monachus"
195,6186,361,18,"Parasuta monachus"
222,6382,371,44,"Parasuta monachus"
192,5321,216,13,"Parasuta monachus"
184,5621,237,11,"Parasuta monachus"
207,6171,186,41,"Parasuta monachus"
188,5247,194,18,"Parasuta monachus"
222,6482,203,45,"Parasuta monachus"
249,6040,325,69,"Parasuta monachus"
224,6468,271,45,"Parasuta monachus"
191,5966,250,10,"Parasuta monachus"
189,5362,212,13,"Parasuta monachus"
225,6205,227,36,"Parasuta monachus"
215,6002,227,49,"Parasuta monachus"
221,6339,166,31,"Parasuta monachus"
183,5621,237,15,"Parasuta monachus"
203,5135,209,21,"Parasuta monachus"
205,5995,154,27,"Parasuta monachus"
196,5639,180,18,"Parasuta monachus"
206,5551,324,61,"Parasuta monachus"
199,5920,280,31,"Parasuta monachus"
193,5945,263,38,"Parasuta monachus"
225,6262,313,50,"Parasuta monachus"
186,4907,246,30,"Parasuta monachus"
217,6362,217,47,"Parasuta monachus"
187,4490,199,20,"Parasuta monachus"
203,5681,250,41,"Parasuta monachus"
187,4558,179,12,"Parasuta monachus"
196,5663,179,17,"Parasuta monachus"
213,5962,235,37,"Parasuta monachus"
218,6241,316,46,"Parasuta monachus"
244,6388,214,47,"Parasuta monachus"
202,5900,155,24,"Parasuta monachus"
233,6080,198,56,"Parasuta monachus"
231,6394,216,53,"Parasuta monachus"
182,5628,264,12,"Parasuta monachus"
216,6256,372,44,"Parasuta monachus"
214,6135,238,26,"Parasuta monachus"
243,6407,255,67,"Parasuta monachus"
226,6226,220,54,"Parasuta monachus"
166,5728,502,10,"Parasuta monachus"
216,6216,132,32,"Parasuta monachus"
236,6346,216,51,"Parasuta monachus"
195,5525,260,21,"Parasuta monachus"
216,6411,310,45,"Parasuta monachus"
194,6200,299,43,"Parasuta monachus"
188,5527,282,20,"Parasuta monachus"
205,5434,232,23,"Parasuta monachus"
225,6450,224,50,"Parasuta monachus"
215,6359,175,46,"Parasuta monachus"
245,6421,227,68,"Parasuta monachus"
191,5989,265,12,"Parasuta monachus"
198,6172,258,34,"Parasuta monachus"
185,4639,181,13,"Parasuta monachus"
199,5532,231,36,"Parasuta monachus"
194,5628,155,17,"Parasuta monachus"
202,5919,150,24,"Parasuta monachus"
187,6003,456,24,"Parasuta monachus"
222,6478,239,40,"Parasuta monachus"
174,5869,392,10,"Parasuta monachus"
203,6278,262,38,"Parasuta monachus"
220,6327,137,30,"Parasuta monachus"
242,6235,231,64,"Parasuta monachus"
206,6102,171,35,"Parasuta monachus"
196,5555,215,17,"Parasuta monachus"
221,6382,218,42,"Parasuta monachus"
192,5746,280,22,"Parasuta monachus"
240,6400,243,62,"Parasuta monachus"
203,6114,171,16,"Parasuta monachus"
189,4830,189,14,"Parasuta monachus"
216,6190,212,42,"Parasuta monachus"
229,6442,217,37,"Parasuta monachus"
190,5251,186,18,"Parasuta monachus"
199,5991,284,46,"Parasuta monachus"
200,5921,246,30,"Parasuta monachus"
212,6210,137,25,"Parasuta monachus"
253,6160,246,72,"Parasuta monachus"
191,5290,229,15,"Parasuta monachus"
192,5711,272,28,"Parasuta monachus"
188,5122,241,23,"Parasuta monachus"
241,6347,221,53,"Parasuta monachus"
204,6233,248,36,"Parasuta monachus"
178,5924,377,13,"Parasuta monachus"
194,5990,281,40,"Parasuta monachus"
183,5515,237,23,"Parasuta monachus"
226,6289,220,46,"Parasuta monachus"
213,6228,167,32,"Parasuta monachus"
213,6305,173,24,"Parasuta monachus"
230,6143,318,54,"Parasuta monachus"
187,5126,205,10,"Parasuta monachus"
230,6220,307,52,"Parasuta monachus"
158,5554,574,11,"Parasuta monachus"
239,5217,228,69,"Parasuta monachus"
230,6422,257,44,"Parasuta monachus"
184,6049,358,10,"Parasuta monachus"
223,6238,276,66,"Parasuta monachus"
227,6249,222,37,"Parasuta monachus"
229,6242,239,50,"Parasuta monachus"
236,6390,323,53,"Parasuta monachus"
223,6115,235,46,"Parasuta monachus"
197,5689,261,32,"Parasuta monachus"
249,6227,263,72,"Parasuta monachus"
233,6428,291,50,"Parasuta monachus"
