"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
239,3099,1559,87,"Phyllurus ossa"
234,3140,1540,88,"Phyllurus ossa"
219,2999,1403,89,"Phyllurus ossa"
239,3102,909,88,"Phyllurus ossa"
230,3156,758,89,"Phyllurus ossa"
227,3129,1638,88,"Phyllurus ossa"
232,3370,721,83,"Phyllurus ossa"
241,3011,1242,88,"Phyllurus ossa"
221,3179,940,88,"Phyllurus ossa"
239,3103,1542,84,"Phyllurus ossa"
225,3136,1227,87,"Phyllurus ossa"
228,3254,668,86,"Phyllurus ossa"
220,3180,791,86,"Phyllurus ossa"
239,3064,1394,89,"Phyllurus ossa"
238,3038,831,89,"Phyllurus ossa"
240,3049,1671,84,"Phyllurus ossa"
223,3161,1973,84,"Phyllurus ossa"
239,3095,1479,88,"Phyllurus ossa"
244,2877,1066,90,"Phyllurus ossa"
236,3107,1598,85,"Phyllurus ossa"
243,2911,1062,87,"Phyllurus ossa"
232,3338,697,82,"Phyllurus ossa"
226,3300,717,83,"Phyllurus ossa"
238,3119,890,90,"Phyllurus ossa"
220,3204,903,86,"Phyllurus ossa"
242,2970,1549,83,"Phyllurus ossa"
220,3214,779,83,"Phyllurus ossa"
241,2953,1415,83,"Phyllurus ossa"
215,3140,1060,89,"Phyllurus ossa"
226,3170,831,91,"Phyllurus ossa"
242,3033,889,90,"Phyllurus ossa"
240,3135,1319,87,"Phyllurus ossa"
239,3134,1248,89,"Phyllurus ossa"
223,3196,677,86,"Phyllurus ossa"
210,3080,1949,84,"Phyllurus ossa"
236,3044,1249,90,"Phyllurus ossa"
240,3068,778,88,"Phyllurus ossa"
212,3156,1216,85,"Phyllurus ossa"
235,2810,1426,89,"Phyllurus ossa"
228,3162,1551,88,"Phyllurus ossa"
200,3111,1351,82,"Phyllurus ossa"
243,2880,1097,87,"Phyllurus ossa"
219,3267,1036,81,"Phyllurus ossa"
242,2999,1000,92,"Phyllurus ossa"
237,3128,815,89,"Phyllurus ossa"
218,3135,1267,94,"Phyllurus ossa"
243,3032,886,91,"Phyllurus ossa"
204,3204,1148,76,"Phyllurus ossa"
188,3006,1716,85,"Phyllurus ossa"
232,3187,768,88,"Phyllurus ossa"
215,3161,1222,84,"Phyllurus ossa"
222,3187,726,87,"Phyllurus ossa"
231,3156,1697,86,"Phyllurus ossa"
243,2965,1104,89,"Phyllurus ossa"
221,3237,1147,85,"Phyllurus ossa"
238,3133,706,88,"Phyllurus ossa"
208,3296,1088,79,"Phyllurus ossa"
245,2897,999,90,"Phyllurus ossa"
242,2935,1049,85,"Phyllurus ossa"
237,3084,829,90,"Phyllurus ossa"
222,3354,702,80,"Phyllurus ossa"
240,3058,921,89,"Phyllurus ossa"
221,3247,689,83,"Phyllurus ossa"
223,3291,884,81,"Phyllurus ossa"
236,3119,948,90,"Phyllurus ossa"
234,2818,2052,80,"Phyllurus ossa"
221,3225,900,83,"Phyllurus ossa"
238,3121,1435,84,"Phyllurus ossa"
244,2945,1030,90,"Phyllurus ossa"
214,3240,1057,79,"Phyllurus ossa"
226,3290,791,83,"Phyllurus ossa"
241,2837,1993,80,"Phyllurus ossa"
228,3284,761,83,"Phyllurus ossa"
215,3290,946,83,"Phyllurus ossa"
236,3151,1040,89,"Phyllurus ossa"
232,3301,569,82,"Phyllurus ossa"
199,3213,1296,75,"Phyllurus ossa"
234,3302,1338,85,"Phyllurus ossa"
235,3029,1994,84,"Phyllurus ossa"
232,3341,1246,85,"Phyllurus ossa"
229,3186,780,90,"Phyllurus ossa"
223,3293,945,81,"Phyllurus ossa"
234,3119,1191,89,"Phyllurus ossa"
192,3204,1372,79,"Phyllurus ossa"
234,3385,684,80,"Phyllurus ossa"
243,2965,953,91,"Phyllurus ossa"
229,3300,698,84,"Phyllurus ossa"
234,3166,769,87,"Phyllurus ossa"
191,3145,1735,81,"Phyllurus ossa"
222,3187,1890,83,"Phyllurus ossa"
238,3181,1180,90,"Phyllurus ossa"
234,3120,1920,86,"Phyllurus ossa"
245,2901,898,91,"Phyllurus ossa"
240,3067,1703,86,"Phyllurus ossa"
217,3191,1156,87,"Phyllurus ossa"
224,3266,930,83,"Phyllurus ossa"
241,2933,1766,81,"Phyllurus ossa"
224,3187,708,88,"Phyllurus ossa"
224,2798,1673,83,"Phyllurus ossa"
239,2865,1684,81,"Phyllurus ossa"
224,3295,965,82,"Phyllurus ossa"
223,3255,972,82,"Phyllurus ossa"
239,3050,1870,85,"Phyllurus ossa"
241,3013,938,92,"Phyllurus ossa"
241,2997,1680,84,"Phyllurus ossa"
228,3326,787,81,"Phyllurus ossa"
242,2946,921,88,"Phyllurus ossa"
241,3037,1505,87,"Phyllurus ossa"
235,3262,1295,82,"Phyllurus ossa"
218,3162,830,85,"Phyllurus ossa"
233,3156,1436,87,"Phyllurus ossa"
240,3111,1547,87,"Phyllurus ossa"
222,3209,779,87,"Phyllurus ossa"
239,2929,1504,83,"Phyllurus ossa"
241,3036,1397,88,"Phyllurus ossa"
224,3061,1229,90,"Phyllurus ossa"
239,2767,1508,87,"Phyllurus ossa"
240,3041,1304,89,"Phyllurus ossa"
236,3162,1497,86,"Phyllurus ossa"
220,3205,779,82,"Phyllurus ossa"
236,2815,1744,84,"Phyllurus ossa"
228,3022,1047,87,"Phyllurus ossa"
231,3138,957,88,"Phyllurus ossa"
238,2882,1675,78,"Phyllurus ossa"
242,2978,1149,87,"Phyllurus ossa"
217,3231,1029,83,"Phyllurus ossa"
235,3165,847,91,"Phyllurus ossa"
230,2867,1738,82,"Phyllurus ossa"
225,3302,873,83,"Phyllurus ossa"
241,3044,1007,89,"Phyllurus ossa"
240,3034,1657,83,"Phyllurus ossa"
224,3152,989,94,"Phyllurus ossa"
224,3265,1454,82,"Phyllurus ossa"
223,3142,1576,91,"Phyllurus ossa"
231,3060,1558,88,"Phyllurus ossa"
242,3009,1482,86,"Phyllurus ossa"
227,3248,792,86,"Phyllurus ossa"
231,3165,935,91,"Phyllurus ossa"
240,3072,1502,87,"Phyllurus ossa"
221,3353,934,78,"Phyllurus ossa"
241,2895,1534,82,"Phyllurus ossa"
244,2937,981,90,"Phyllurus ossa"
243,2993,897,89,"Phyllurus ossa"
240,3061,1403,88,"Phyllurus ossa"
225,3413,684,74,"Phyllurus ossa"
222,3110,1825,83,"Phyllurus ossa"
242,2972,1389,82,"Phyllurus ossa"
241,2858,1919,80,"Phyllurus ossa"
227,3111,1881,84,"Phyllurus ossa"
201,3049,1342,88,"Phyllurus ossa"
238,2934,1345,86,"Phyllurus ossa"
217,3195,1128,82,"Phyllurus ossa"
230,2825,1912,85,"Phyllurus ossa"
206,3075,1344,88,"Phyllurus ossa"
227,3127,1830,85,"Phyllurus ossa"
238,3117,1507,87,"Phyllurus ossa"
234,3119,1616,83,"Phyllurus ossa"
236,3161,1600,84,"Phyllurus ossa"
233,3059,1664,84,"Phyllurus ossa"
233,3159,782,87,"Phyllurus ossa"
237,3077,1150,91,"Phyllurus ossa"
231,3426,617,76,"Phyllurus ossa"
243,2946,1077,87,"Phyllurus ossa"
222,3408,753,73,"Phyllurus ossa"
240,2904,1264,83,"Phyllurus ossa"
224,3308,802,80,"Phyllurus ossa"
226,3254,674,86,"Phyllurus ossa"
211,3091,1185,91,"Phyllurus ossa"
243,2986,965,90,"Phyllurus ossa"
191,3095,1515,80,"Phyllurus ossa"
222,3146,974,92,"Phyllurus ossa"
231,3304,622,84,"Phyllurus ossa"
226,3341,910,79,"Phyllurus ossa"
236,3021,1403,90,"Phyllurus ossa"
239,3081,877,90,"Phyllurus ossa"
228,3182,850,88,"Phyllurus ossa"
204,3271,1294,77,"Phyllurus ossa"
224,3286,708,83,"Phyllurus ossa"
233,3178,783,90,"Phyllurus ossa"
187,3012,1938,85,"Phyllurus ossa"
229,3031,1795,85,"Phyllurus ossa"
193,3183,1656,80,"Phyllurus ossa"
236,2845,2139,79,"Phyllurus ossa"
238,3107,1561,86,"Phyllurus ossa"
215,3149,875,89,"Phyllurus ossa"
239,3083,1659,85,"Phyllurus ossa"
186,3069,1683,81,"Phyllurus ossa"
239,3114,1583,85,"Phyllurus ossa"
232,3358,710,77,"Phyllurus ossa"
212,3291,945,78,"Phyllurus ossa"
236,3163,801,90,"Phyllurus ossa"
234,3121,881,89,"Phyllurus ossa"
235,3129,935,90,"Phyllurus ossa"
234,3183,1508,85,"Phyllurus ossa"
236,3073,1886,85,"Phyllurus ossa"
230,3122,873,91,"Phyllurus ossa"
213,3175,1027,81,"Phyllurus ossa"
234,3103,1614,87,"Phyllurus ossa"
222,3304,1036,84,"Phyllurus ossa"
239,2994,1071,92,"Phyllurus ossa"
