"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,2047,1231,108,"Pogona microlepidota"
269,1834,1236,111,"Pogona microlepidota"
275,1746,1013,112,"Pogona microlepidota"
262,1855,1400,110,"Pogona microlepidota"
264,2391,997,112,"Pogona microlepidota"
274,2127,1108,112,"Pogona microlepidota"
268,1824,1301,114,"Pogona microlepidota"
269,2076,1061,114,"Pogona microlepidota"
273,1964,1078,113,"Pogona microlepidota"
273,2172,840,109,"Pogona microlepidota"
277,1597,1412,121,"Pogona microlepidota"
273,1844,1016,109,"Pogona microlepidota"
276,1773,1209,117,"Pogona microlepidota"
276,1863,1015,113,"Pogona microlepidota"
269,1815,1253,112,"Pogona microlepidota"
271,1742,1242,115,"Pogona microlepidota"
269,1851,1055,108,"Pogona microlepidota"
268,2375,913,111,"Pogona microlepidota"
276,1736,1113,114,"Pogona microlepidota"
266,1999,1195,113,"Pogona microlepidota"
271,1782,1162,116,"Pogona microlepidota"
269,2310,846,112,"Pogona microlepidota"
276,2275,692,111,"Pogona microlepidota"
264,2382,963,116,"Pogona microlepidota"
268,1915,1157,110,"Pogona microlepidota"
273,2072,1072,108,"Pogona microlepidota"
265,1619,1496,116,"Pogona microlepidota"
262,1893,1469,111,"Pogona microlepidota"
265,1763,1360,111,"Pogona microlepidota"
253,2156,1377,110,"Pogona microlepidota"
277,1652,1167,119,"Pogona microlepidota"
275,1777,1121,116,"Pogona microlepidota"
277,1504,942,127,"Pogona microlepidota"
279,2091,851,118,"Pogona microlepidota"
268,1813,1262,112,"Pogona microlepidota"
271,1797,1097,110,"Pogona microlepidota"
277,1685,1206,116,"Pogona microlepidota"
274,1726,1117,113,"Pogona microlepidota"
263,1916,1271,107,"Pogona microlepidota"
269,2036,1010,110,"Pogona microlepidota"
278,1679,1277,121,"Pogona microlepidota"
269,2272,907,116,"Pogona microlepidota"
267,2324,993,113,"Pogona microlepidota"
266,2399,853,111,"Pogona microlepidota"
267,1637,1602,119,"Pogona microlepidota"
278,1504,1270,121,"Pogona microlepidota"
274,1864,1205,117,"Pogona microlepidota"
263,1768,1478,112,"Pogona microlepidota"
262,2305,1026,110,"Pogona microlepidota"
260,1838,1628,112,"Pogona microlepidota"
267,1864,1259,109,"Pogona microlepidota"
268,2260,844,108,"Pogona microlepidota"
265,1728,1591,116,"Pogona microlepidota"
265,1696,1452,113,"Pogona microlepidota"
261,2033,1435,111,"Pogona microlepidota"
262,2058,1330,110,"Pogona microlepidota"
263,2269,1094,108,"Pogona microlepidota"
273,1715,1242,116,"Pogona microlepidota"
264,2305,1071,110,"Pogona microlepidota"
265,1948,1331,111,"Pogona microlepidota"
277,1983,1058,112,"Pogona microlepidota"
262,1696,1674,117,"Pogona microlepidota"
277,1764,1169,116,"Pogona microlepidota"
261,2038,1396,109,"Pogona microlepidota"
271,1773,1049,111,"Pogona microlepidota"
261,2085,1352,111,"Pogona microlepidota"
279,1754,1132,113,"Pogona microlepidota"
267,2150,1156,114,"Pogona microlepidota"
258,2151,1139,106,"Pogona microlepidota"
261,2300,966,110,"Pogona microlepidota"
268,1820,1446,114,"Pogona microlepidota"
271,1685,1072,113,"Pogona microlepidota"
265,2368,1091,114,"Pogona microlepidota"
261,1996,1447,109,"Pogona microlepidota"
278,1497,850,124,"Pogona microlepidota"
277,2383,739,111,"Pogona microlepidota"
273,1878,983,110,"Pogona microlepidota"
276,2008,854,111,"Pogona microlepidota"
270,2086,1022,109,"Pogona microlepidota"
272,1802,1258,113,"Pogona microlepidota"
261,2194,1079,109,"Pogona microlepidota"
254,2120,1404,109,"Pogona microlepidota"
268,2145,1093,115,"Pogona microlepidota"
267,2345,963,112,"Pogona microlepidota"
265,1921,1214,110,"Pogona microlepidota"
271,1885,941,109,"Pogona microlepidota"
274,1752,1254,115,"Pogona microlepidota"
261,2314,1170,110,"Pogona microlepidota"
269,1978,1119,114,"Pogona microlepidota"
270,2254,834,110,"Pogona microlepidota"
278,1714,1073,117,"Pogona microlepidota"
273,2066,1210,115,"Pogona microlepidota"
276,1614,1495,123,"Pogona microlepidota"
269,2109,969,109,"Pogona microlepidota"
263,2243,969,110,"Pogona microlepidota"
270,1824,1246,110,"Pogona microlepidota"
273,1545,1445,122,"Pogona microlepidota"
275,2039,881,111,"Pogona microlepidota"
263,1927,1433,111,"Pogona microlepidota"
266,1806,1260,111,"Pogona microlepidota"
274,2103,957,110,"Pogona microlepidota"
266,2328,1043,111,"Pogona microlepidota"
275,1943,995,112,"Pogona microlepidota"
264,1919,1359,112,"Pogona microlepidota"
261,1852,1619,113,"Pogona microlepidota"
262,1969,1482,112,"Pogona microlepidota"
272,1750,1637,121,"Pogona microlepidota"
271,1930,984,113,"Pogona microlepidota"
258,1807,1622,111,"Pogona microlepidota"
268,1555,1608,119,"Pogona microlepidota"
262,2404,991,115,"Pogona microlepidota"
269,2338,805,111,"Pogona microlepidota"
258,2258,1241,110,"Pogona microlepidota"
270,2053,979,108,"Pogona microlepidota"
272,2277,847,114,"Pogona microlepidota"
276,1647,1451,119,"Pogona microlepidota"
266,1957,1195,114,"Pogona microlepidota"
266,2061,1436,113,"Pogona microlepidota"
259,2176,1148,108,"Pogona microlepidota"
273,2374,762,110,"Pogona microlepidota"
276,2156,756,112,"Pogona microlepidota"
267,2364,904,112,"Pogona microlepidota"
278,1732,1202,115,"Pogona microlepidota"
256,2057,1485,109,"Pogona microlepidota"
267,2015,1121,115,"Pogona microlepidota"
274,1439,1570,122,"Pogona microlepidota"
266,2024,1163,106,"Pogona microlepidota"
267,1860,1235,112,"Pogona microlepidota"
261,1928,1504,111,"Pogona microlepidota"
273,1811,948,111,"Pogona microlepidota"
273,2267,823,113,"Pogona microlepidota"
275,1896,980,109,"Pogona microlepidota"
278,1710,1075,116,"Pogona microlepidota"
262,2366,1126,111,"Pogona microlepidota"
277,1856,949,106,"Pogona microlepidota"
266,2301,872,111,"Pogona microlepidota"
270,1841,1050,108,"Pogona microlepidota"
269,1652,1371,113,"Pogona microlepidota"
259,1982,1538,111,"Pogona microlepidota"
264,1971,1204,108,"Pogona microlepidota"
261,2053,1371,112,"Pogona microlepidota"
265,2358,925,109,"Pogona microlepidota"
265,2376,947,112,"Pogona microlepidota"
274,1970,907,110,"Pogona microlepidota"
262,2212,1074,109,"Pogona microlepidota"
277,1795,1316,115,"Pogona microlepidota"
268,2009,1035,109,"Pogona microlepidota"
260,2263,1176,116,"Pogona microlepidota"
279,1486,1057,120,"Pogona microlepidota"
277,1580,1217,115,"Pogona microlepidota"
269,1693,1406,113,"Pogona microlepidota"
275,1762,1091,113,"Pogona microlepidota"
272,2292,751,112,"Pogona microlepidota"
273,2249,787,113,"Pogona microlepidota"
281,2119,788,112,"Pogona microlepidota"
264,2124,1335,113,"Pogona microlepidota"
276,1517,1339,119,"Pogona microlepidota"
270,1891,1211,110,"Pogona microlepidota"
268,2063,997,109,"Pogona microlepidota"
277,1632,1111,119,"Pogona microlepidota"
269,1803,1298,114,"Pogona microlepidota"
275,1808,913,108,"Pogona microlepidota"
271,1796,1332,118,"Pogona microlepidota"
264,2332,880,110,"Pogona microlepidota"
