"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
212,6320,325,46,"Pogona minor"
229,6303,230,63,"Pogona minor"
237,6412,252,59,"Pogona minor"
274,3903,326,99,"Pogona minor"
218,6277,260,42,"Pogona minor"
250,6140,336,59,"Pogona minor"
277,4546,439,109,"Pogona minor"
282,4299,500,117,"Pogona minor"
222,6431,263,41,"Pogona minor"
264,4400,332,94,"Pogona minor"
212,5914,234,34,"Pogona minor"
191,4986,198,16,"Pogona minor"
274,2682,689,121,"Pogona minor"
209,6210,221,41,"Pogona minor"
284,2934,736,126,"Pogona minor"
254,5303,408,86,"Pogona minor"
241,6415,238,63,"Pogona minor"
256,6047,245,75,"Pogona minor"
266,5984,301,81,"Pogona minor"
253,5730,410,73,"Pogona minor"
263,6023,280,81,"Pogona minor"
265,5218,382,85,"Pogona minor"
241,6413,200,58,"Pogona minor"
258,5426,474,91,"Pogona minor"
197,5716,169,18,"Pogona minor"
233,5729,326,70,"Pogona minor"
238,6408,216,58,"Pogona minor"
257,4918,421,97,"Pogona minor"
187,4768,197,25,"Pogona minor"
267,4714,398,106,"Pogona minor"
259,5397,392,97,"Pogona minor"
252,6311,244,58,"Pogona minor"
192,5286,213,13,"Pogona minor"
244,6374,260,51,"Pogona minor"
203,5769,254,35,"Pogona minor"
228,6405,282,46,"Pogona minor"
223,6452,132,29,"Pogona minor"
274,4699,433,103,"Pogona minor"
202,6195,246,36,"Pogona minor"
267,5157,378,89,"Pogona minor"
269,4764,496,96,"Pogona minor"
263,4586,407,102,"Pogona minor"
273,4902,379,98,"Pogona minor"
260,5322,409,93,"Pogona minor"
274,4722,436,103,"Pogona minor"
239,3569,264,82,"Pogona minor"
271,4626,471,102,"Pogona minor"
255,5761,364,73,"Pogona minor"
226,6429,241,44,"Pogona minor"
201,5459,242,24,"Pogona minor"
275,4180,437,115,"Pogona minor"
263,6233,271,76,"Pogona minor"
231,6247,210,39,"Pogona minor"
225,6410,252,41,"Pogona minor"
191,5116,229,27,"Pogona minor"
256,6042,250,75,"Pogona minor"
223,6344,273,44,"Pogona minor"
257,5797,229,79,"Pogona minor"
207,5813,233,46,"Pogona minor"
225,6144,235,38,"Pogona minor"
208,5938,229,25,"Pogona minor"
218,6432,202,58,"Pogona minor"
