"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
254,5191,384,85,"Pogona mitchelli"
258,4925,380,100,"Pogona mitchelli"
286,4108,516,119,"Pogona mitchelli"
228,6141,294,61,"Pogona mitchelli"
273,4065,513,122,"Pogona mitchelli"
255,5938,386,72,"Pogona mitchelli"
271,3755,515,124,"Pogona mitchelli"
223,6350,299,44,"Pogona mitchelli"
249,6248,266,57,"Pogona mitchelli"
249,6177,335,65,"Pogona mitchelli"
271,4308,459,105,"Pogona mitchelli"
273,4401,463,112,"Pogona mitchelli"
260,5462,256,80,"Pogona mitchelli"
280,3692,551,122,"Pogona mitchelli"
229,6441,224,43,"Pogona mitchelli"
218,6164,314,48,"Pogona mitchelli"
256,5947,349,75,"Pogona mitchelli"
267,6120,266,72,"Pogona mitchelli"
270,4240,515,111,"Pogona mitchelli"
261,5631,228,82,"Pogona mitchelli"
254,6183,279,59,"Pogona mitchelli"
243,5536,376,78,"Pogona mitchelli"
259,5059,303,87,"Pogona mitchelli"
248,5465,340,96,"Pogona mitchelli"
263,4791,363,96,"Pogona mitchelli"
260,5196,293,89,"Pogona mitchelli"
235,6013,310,59,"Pogona mitchelli"
250,5376,342,99,"Pogona mitchelli"
268,5031,336,93,"Pogona mitchelli"
271,4541,320,101,"Pogona mitchelli"
256,5993,349,71,"Pogona mitchelli"
258,6207,328,60,"Pogona mitchelli"
233,5686,321,69,"Pogona mitchelli"
270,5903,298,83,"Pogona mitchelli"
248,5880,308,72,"Pogona mitchelli"
236,5757,281,70,"Pogona mitchelli"
283,3234,670,127,"Pogona mitchelli"
278,2784,798,116,"Pogona mitchelli"
257,5169,430,95,"Pogona mitchelli"
257,5434,358,93,"Pogona mitchelli"
217,6054,379,58,"Pogona mitchelli"
261,5969,335,68,"Pogona mitchelli"
271,4707,423,96,"Pogona mitchelli"
264,5014,324,90,"Pogona mitchelli"
254,6063,335,61,"Pogona mitchelli"
278,3162,773,125,"Pogona mitchelli"
260,5249,476,98,"Pogona mitchelli"
225,5948,290,60,"Pogona mitchelli"
225,6280,336,53,"Pogona mitchelli"
273,4802,453,92,"Pogona mitchelli"
215,6138,315,52,"Pogona mitchelli"
220,6327,291,50,"Pogona mitchelli"
274,3235,664,125,"Pogona mitchelli"
234,5721,409,71,"Pogona mitchelli"
268,4364,477,107,"Pogona mitchelli"
274,2339,774,123,"Pogona mitchelli"
256,5269,429,99,"Pogona mitchelli"
259,6203,260,59,"Pogona mitchelli"
282,3344,641,129,"Pogona mitchelli"
253,5791,350,68,"Pogona mitchelli"
242,5694,336,76,"Pogona mitchelli"
223,5969,301,62,"Pogona mitchelli"
265,4655,395,105,"Pogona mitchelli"
229,6426,285,48,"Pogona mitchelli"
267,4849,425,98,"Pogona mitchelli"
259,5207,416,96,"Pogona mitchelli"
204,6109,387,46,"Pogona mitchelli"
253,6143,285,60,"Pogona mitchelli"
268,5534,279,87,"Pogona mitchelli"
222,6411,302,42,"Pogona mitchelli"
272,4783,313,98,"Pogona mitchelli"
233,6209,343,54,"Pogona mitchelli"
260,5350,406,86,"Pogona mitchelli"
280,3913,503,123,"Pogona mitchelli"
271,5651,300,83,"Pogona mitchelli"
286,3546,513,119,"Pogona mitchelli"
280,3318,656,123,"Pogona mitchelli"
267,5434,269,86,"Pogona mitchelli"
236,6385,320,55,"Pogona mitchelli"
278,3048,684,115,"Pogona mitchelli"
264,4936,353,96,"Pogona mitchelli"
265,5142,356,92,"Pogona mitchelli"
268,5366,291,90,"Pogona mitchelli"
212,6069,332,52,"Pogona mitchelli"
234,6066,320,59,"Pogona mitchelli"
286,3833,483,120,"Pogona mitchelli"
261,5687,328,71,"Pogona mitchelli"
267,5026,360,94,"Pogona mitchelli"
261,5583,421,89,"Pogona mitchelli"
211,6291,337,47,"Pogona mitchelli"
246,6308,260,57,"Pogona mitchelli"
255,5112,461,98,"Pogona mitchelli"
238,5631,289,68,"Pogona mitchelli"
271,4177,526,113,"Pogona mitchelli"
246,5485,378,80,"Pogona mitchelli"
268,4837,472,91,"Pogona mitchelli"
282,3179,672,124,"Pogona mitchelli"
268,4568,377,103,"Pogona mitchelli"
277,4458,446,112,"Pogona mitchelli"
264,4810,356,96,"Pogona mitchelli"
223,6463,230,46,"Pogona mitchelli"
250,5383,344,98,"Pogona mitchelli"
270,3805,506,121,"Pogona mitchelli"
263,5643,370,73,"Pogona mitchelli"
256,6301,278,61,"Pogona mitchelli"
