"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
184,4490,225,21,"Pogona nullarbor"
182,5157,223,12,"Pogona nullarbor"
184,4033,217,15,"Pogona nullarbor"
196,4922,215,25,"Pogona nullarbor"
193,4819,214,27,"Pogona nullarbor"
181,3201,302,30,"Pogona nullarbor"
183,4346,196,15,"Pogona nullarbor"
184,4681,176,13,"Pogona nullarbor"
178,3880,209,20,"Pogona nullarbor"
195,4841,207,19,"Pogona nullarbor"
189,4507,189,15,"Pogona nullarbor"
183,4194,245,27,"Pogona nullarbor"
190,4600,198,17,"Pogona nullarbor"
188,5075,195,15,"Pogona nullarbor"
186,4627,208,17,"Pogona nullarbor"
182,4487,179,16,"Pogona nullarbor"
186,5047,192,13,"Pogona nullarbor"
180,4331,177,16,"Pogona nullarbor"
188,4305,188,13,"Pogona nullarbor"
193,4914,198,16,"Pogona nullarbor"
186,4841,187,13,"Pogona nullarbor"
194,4817,214,25,"Pogona nullarbor"
178,2796,313,31,"Pogona nullarbor"
178,3655,285,35,"Pogona nullarbor"
189,4490,204,17,"Pogona nullarbor"
176,3276,261,20,"Pogona nullarbor"
187,4784,183,13,"Pogona nullarbor"
192,4715,193,20,"Pogona nullarbor"
181,4339,180,17,"Pogona nullarbor"
184,4028,218,18,"Pogona nullarbor"
177,3197,256,27,"Pogona nullarbor"
180,3573,247,19,"Pogona nullarbor"
181,4285,179,19,"Pogona nullarbor"
186,4696,186,14,"Pogona nullarbor"
174,2903,324,47,"Pogona nullarbor"
181,3946,222,15,"Pogona nullarbor"
185,3514,261,23,"Pogona nullarbor"
181,4191,179,18,"Pogona nullarbor"
179,4094,186,17,"Pogona nullarbor"
191,4607,200,17,"Pogona nullarbor"
184,4699,183,13,"Pogona nullarbor"
184,4288,238,25,"Pogona nullarbor"
189,4432,207,17,"Pogona nullarbor"
187,4683,173,14,"Pogona nullarbor"
188,4486,184,13,"Pogona nullarbor"
179,2818,292,29,"Pogona nullarbor"
190,4603,188,19,"Pogona nullarbor"
183,4298,270,30,"Pogona nullarbor"
188,4862,190,13,"Pogona nullarbor"
186,4714,170,14,"Pogona nullarbor"
185,4535,177,12,"Pogona nullarbor"
178,3327,235,21,"Pogona nullarbor"
180,3830,211,15,"Pogona nullarbor"
185,4207,214,13,"Pogona nullarbor"
195,4892,214,23,"Pogona nullarbor"
187,5244,202,12,"Pogona nullarbor"
179,3644,231,17,"Pogona nullarbor"
178,3955,201,20,"Pogona nullarbor"
182,4698,241,17,"Pogona nullarbor"
179,3410,229,23,"Pogona nullarbor"
196,4943,212,24,"Pogona nullarbor"
186,4623,174,15,"Pogona nullarbor"
178,3951,199,17,"Pogona nullarbor"
185,4740,180,14,"Pogona nullarbor"
198,5024,212,26,"Pogona nullarbor"
179,3439,238,22,"Pogona nullarbor"
194,4859,216,28,"Pogona nullarbor"
183,4727,211,18,"Pogona nullarbor"
180,3622,222,17,"Pogona nullarbor"
