"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
243,5496,351,75,"Proablepharus kinghorni"
260,3654,722,114,"Proablepharus kinghorni"
263,3974,525,110,"Proablepharus kinghorni"
259,4993,375,94,"Proablepharus kinghorni"
202,5327,623,52,"Proablepharus kinghorni"
268,3862,558,114,"Proablepharus kinghorni"
247,5876,255,77,"Proablepharus kinghorni"
235,5103,495,57,"Proablepharus kinghorni"
248,4608,463,86,"Proablepharus kinghorni"
223,5658,445,52,"Proablepharus kinghorni"
215,6135,383,39,"Proablepharus kinghorni"
205,6267,318,22,"Proablepharus kinghorni"
204,5027,575,36,"Proablepharus kinghorni"
245,5007,459,75,"Proablepharus kinghorni"
249,5563,296,85,"Proablepharus kinghorni"
222,6483,237,35,"Proablepharus kinghorni"
243,5738,317,69,"Proablepharus kinghorni"
211,6285,302,31,"Proablepharus kinghorni"
258,4438,449,104,"Proablepharus kinghorni"
256,5636,301,86,"Proablepharus kinghorni"
267,4013,507,111,"Proablepharus kinghorni"
206,5668,517,47,"Proablepharus kinghorni"
213,6040,389,38,"Proablepharus kinghorni"
252,5022,368,98,"Proablepharus kinghorni"
240,5685,412,67,"Proablepharus kinghorni"
199,6199,246,16,"Proablepharus kinghorni"
270,3765,578,113,"Proablepharus kinghorni"
217,5990,404,46,"Proablepharus kinghorni"
252,4342,570,101,"Proablepharus kinghorni"
201,5152,626,40,"Proablepharus kinghorni"
226,5817,415,49,"Proablepharus kinghorni"
204,5352,591,33,"Proablepharus kinghorni"
230,4915,488,64,"Proablepharus kinghorni"
252,4636,436,95,"Proablepharus kinghorni"
254,4169,587,113,"Proablepharus kinghorni"
263,3794,576,109,"Proablepharus kinghorni"
227,4594,543,52,"Proablepharus kinghorni"
206,4709,620,43,"Proablepharus kinghorni"
227,6401,235,43,"Proablepharus kinghorni"
259,4146,492,108,"Proablepharus kinghorni"
259,3879,553,112,"Proablepharus kinghorni"
238,6215,230,62,"Proablepharus kinghorni"
200,6158,229,19,"Proablepharus kinghorni"
260,4666,441,107,"Proablepharus kinghorni"
235,4251,668,69,"Proablepharus kinghorni"
214,5986,441,44,"Proablepharus kinghorni"
209,5685,500,41,"Proablepharus kinghorni"
237,6192,263,60,"Proablepharus kinghorni"
215,6197,343,40,"Proablepharus kinghorni"
213,6403,218,29,"Proablepharus kinghorni"
265,4119,540,109,"Proablepharus kinghorni"
244,4944,379,95,"Proablepharus kinghorni"
212,4903,587,45,"Proablepharus kinghorni"
232,4271,573,65,"Proablepharus kinghorni"
263,4425,511,110,"Proablepharus kinghorni"
203,5283,555,40,"Proablepharus kinghorni"
246,4768,467,87,"Proablepharus kinghorni"
209,6345,230,28,"Proablepharus kinghorni"
256,5489,319,89,"Proablepharus kinghorni"
203,5276,631,52,"Proablepharus kinghorni"
250,5272,336,87,"Proablepharus kinghorni"
208,5502,534,40,"Proablepharus kinghorni"
243,5621,390,65,"Proablepharus kinghorni"
214,4350,752,63,"Proablepharus kinghorni"
244,4979,472,77,"Proablepharus kinghorni"
262,4414,558,110,"Proablepharus kinghorni"
202,6244,245,24,"Proablepharus kinghorni"
208,6342,231,29,"Proablepharus kinghorni"
217,6442,228,31,"Proablepharus kinghorni"
258,4584,443,101,"Proablepharus kinghorni"
225,6321,325,44,"Proablepharus kinghorni"
252,5701,298,85,"Proablepharus kinghorni"
256,4355,452,98,"Proablepharus kinghorni"
226,4039,491,87,"Proablepharus kinghorni"
259,4200,481,103,"Proablepharus kinghorni"
242,4966,493,68,"Proablepharus kinghorni"
266,3844,553,108,"Proablepharus kinghorni"
251,5725,269,72,"Proablepharus kinghorni"
210,6299,314,25,"Proablepharus kinghorni"
241,4436,505,76,"Proablepharus kinghorni"
255,4338,491,106,"Proablepharus kinghorni"
227,6353,248,44,"Proablepharus kinghorni"
206,6277,312,22,"Proablepharus kinghorni"
211,6183,361,24,"Proablepharus kinghorni"
219,6411,263,43,"Proablepharus kinghorni"
261,3710,642,111,"Proablepharus kinghorni"
215,6087,383,36,"Proablepharus kinghorni"
226,6227,317,47,"Proablepharus kinghorni"
259,4892,393,97,"Proablepharus kinghorni"
260,4766,374,96,"Proablepharus kinghorni"
236,6188,257,56,"Proablepharus kinghorni"
202,4968,661,42,"Proablepharus kinghorni"
203,4581,767,51,"Proablepharus kinghorni"
243,5594,375,73,"Proablepharus kinghorni"
207,5573,569,47,"Proablepharus kinghorni"
215,4891,603,57,"Proablepharus kinghorni"
253,4310,459,97,"Proablepharus kinghorni"
255,4428,466,97,"Proablepharus kinghorni"
254,4901,407,92,"Proablepharus kinghorni"
240,6119,262,61,"Proablepharus kinghorni"
220,4780,497,54,"Proablepharus kinghorni"
269,3799,599,112,"Proablepharus kinghorni"
255,5626,302,85,"Proablepharus kinghorni"
231,6168,308,50,"Proablepharus kinghorni"
264,3793,550,109,"Proablepharus kinghorni"
227,6461,227,41,"Proablepharus kinghorni"
205,6307,250,19,"Proablepharus kinghorni"
199,5423,586,52,"Proablepharus kinghorni"
211,6367,284,32,"Proablepharus kinghorni"
219,6139,350,44,"Proablepharus kinghorni"
253,5664,306,87,"Proablepharus kinghorni"
209,5764,553,48,"Proablepharus kinghorni"
248,5761,318,74,"Proablepharus kinghorni"
201,6235,243,19,"Proablepharus kinghorni"
259,4862,370,98,"Proablepharus kinghorni"
206,5136,641,50,"Proablepharus kinghorni"
226,4401,664,61,"Proablepharus kinghorni"
243,5501,374,69,"Proablepharus kinghorni"
237,4373,507,70,"Proablepharus kinghorni"
215,6101,386,38,"Proablepharus kinghorni"
265,4424,437,103,"Proablepharus kinghorni"
261,4438,435,102,"Proablepharus kinghorni"
223,5594,472,54,"Proablepharus kinghorni"
251,5510,298,79,"Proablepharus kinghorni"
264,3334,713,112,"Proablepharus kinghorni"
233,5492,450,58,"Proablepharus kinghorni"
269,3857,517,113,"Proablepharus kinghorni"
209,6314,312,25,"Proablepharus kinghorni"
227,6224,306,50,"Proablepharus kinghorni"
265,4204,494,112,"Proablepharus kinghorni"
206,6322,239,31,"Proablepharus kinghorni"
264,4110,528,111,"Proablepharus kinghorni"
229,4064,544,87,"Proablepharus kinghorni"
211,6205,352,27,"Proablepharus kinghorni"
199,6202,251,17,"Proablepharus kinghorni"
262,4358,452,102,"Proablepharus kinghorni"
244,4856,460,73,"Proablepharus kinghorni"
215,5163,475,53,"Proablepharus kinghorni"
226,5703,442,56,"Proablepharus kinghorni"
245,6067,235,67,"Proablepharus kinghorni"
247,4852,448,85,"Proablepharus kinghorni"
249,5806,294,71,"Proablepharus kinghorni"
204,6273,248,22,"Proablepharus kinghorni"
260,4548,426,101,"Proablepharus kinghorni"
225,4748,550,64,"Proablepharus kinghorni"
229,4404,539,67,"Proablepharus kinghorni"
205,6309,225,19,"Proablepharus kinghorni"
208,5814,517,37,"Proablepharus kinghorni"
242,5309,442,68,"Proablepharus kinghorni"
207,5811,504,36,"Proablepharus kinghorni"
208,5712,507,32,"Proablepharus kinghorni"
247,5337,336,87,"Proablepharus kinghorni"
192,5925,230,17,"Proablepharus kinghorni"
256,5237,348,89,"Proablepharus kinghorni"
214,6139,372,35,"Proablepharus kinghorni"
264,4312,496,112,"Proablepharus kinghorni"
223,6418,312,47,"Proablepharus kinghorni"
197,6209,285,14,"Proablepharus kinghorni"
260,4847,362,95,"Proablepharus kinghorni"
263,3928,534,111,"Proablepharus kinghorni"
263,4162,450,109,"Proablepharus kinghorni"
266,3931,546,114,"Proablepharus kinghorni"
249,4339,483,100,"Proablepharus kinghorni"
260,4675,387,98,"Proablepharus kinghorni"
253,4561,439,94,"Proablepharus kinghorni"
244,5475,389,69,"Proablepharus kinghorni"
208,6331,267,19,"Proablepharus kinghorni"
260,4595,402,98,"Proablepharus kinghorni"
233,6128,273,50,"Proablepharus kinghorni"
252,5905,242,80,"Proablepharus kinghorni"
211,6158,354,27,"Proablepharus kinghorni"
223,6429,267,44,"Proablepharus kinghorni"
240,4427,507,77,"Proablepharus kinghorni"
263,4286,485,106,"Proablepharus kinghorni"
231,4346,633,75,"Proablepharus kinghorni"
249,5814,261,73,"Proablepharus kinghorni"
221,6429,293,45,"Proablepharus kinghorni"
200,6207,229,21,"Proablepharus kinghorni"
259,4761,412,105,"Proablepharus kinghorni"
251,4561,482,104,"Proablepharus kinghorni"
258,4564,420,99,"Proablepharus kinghorni"
240,6146,236,61,"Proablepharus kinghorni"
209,6332,277,24,"Proablepharus kinghorni"
215,6021,402,42,"Proablepharus kinghorni"
206,5520,541,33,"Proablepharus kinghorni"
200,6189,227,22,"Proablepharus kinghorni"
237,4409,582,72,"Proablepharus kinghorni"
218,4516,641,55,"Proablepharus kinghorni"
210,6219,351,27,"Proablepharus kinghorni"
264,4243,487,112,"Proablepharus kinghorni"
222,5091,470,52,"Proablepharus kinghorni"
217,5904,455,44,"Proablepharus kinghorni"
260,4579,524,110,"Proablepharus kinghorni"
237,4312,513,85,"Proablepharus kinghorni"
244,5327,382,74,"Proablepharus kinghorni"
263,4236,461,102,"Proablepharus kinghorni"
227,5956,333,53,"Proablepharus kinghorni"
204,5741,534,35,"Proablepharus kinghorni"
259,4208,498,102,"Proablepharus kinghorni"
208,5480,529,39,"Proablepharus kinghorni"
258,4819,397,106,"Proablepharus kinghorni"
226,4457,638,55,"Proablepharus kinghorni"
207,5411,544,39,"Proablepharus kinghorni"
232,5615,458,61,"Proablepharus kinghorni"
200,5235,579,47,"Proablepharus kinghorni"
224,6353,316,45,"Proablepharus kinghorni"
264,4399,505,110,"Proablepharus kinghorni"
208,6332,229,24,"Proablepharus kinghorni"
249,5403,335,89,"Proablepharus kinghorni"
206,5343,586,36,"Proablepharus kinghorni"
209,5844,509,40,"Proablepharus kinghorni"
202,6268,251,23,"Proablepharus kinghorni"
252,5013,367,98,"Proablepharus kinghorni"
252,5036,415,90,"Proablepharus kinghorni"
219,6057,423,46,"Proablepharus kinghorni"
258,4781,399,99,"Proablepharus kinghorni"
204,5738,562,36,"Proablepharus kinghorni"
210,5940,482,32,"Proablepharus kinghorni"
265,4294,450,105,"Proablepharus kinghorni"
266,4131,533,110,"Proablepharus kinghorni"
205,6293,299,19,"Proablepharus kinghorni"
219,6389,256,44,"Proablepharus kinghorni"
204,5053,593,38,"Proablepharus kinghorni"
258,4960,395,95,"Proablepharus kinghorni"
194,6055,251,14,"Proablepharus kinghorni"
214,6053,398,39,"Proablepharus kinghorni"
225,4728,533,58,"Proablepharus kinghorni"
200,4821,734,52,"Proablepharus kinghorni"
223,6357,271,45,"Proablepharus kinghorni"
226,6175,304,55,"Proablepharus kinghorni"
261,3701,587,113,"Proablepharus kinghorni"
258,2975,858,112,"Proablepharus kinghorni"
261,4481,435,103,"Proablepharus kinghorni"
257,4819,401,104,"Proablepharus kinghorni"
261,4618,437,106,"Proablepharus kinghorni"
251,4703,438,90,"Proablepharus kinghorni"
208,5711,543,48,"Proablepharus kinghorni"
245,6271,222,64,"Proablepharus kinghorni"
221,6357,327,41,"Proablepharus kinghorni"
224,6438,281,46,"Proablepharus kinghorni"
244,6258,210,61,"Proablepharus kinghorni"
250,5200,411,80,"Proablepharus kinghorni"
223,6463,228,45,"Proablepharus kinghorni"
248,5847,267,76,"Proablepharus kinghorni"
264,4243,460,106,"Proablepharus kinghorni"
252,4055,563,106,"Proablepharus kinghorni"
253,5386,333,88,"Proablepharus kinghorni"
248,6042,235,69,"Proablepharus kinghorni"
204,6291,255,19,"Proablepharus kinghorni"
222,6480,228,37,"Proablepharus kinghorni"
251,5949,257,71,"Proablepharus kinghorni"
251,5205,388,84,"Proablepharus kinghorni"
248,5994,256,71,"Proablepharus kinghorni"
238,5463,424,58,"Proablepharus kinghorni"
190,4812,621,52,"Proablepharus kinghorni"
249,5108,378,85,"Proablepharus kinghorni"
257,4848,416,104,"Proablepharus kinghorni"
202,5341,617,53,"Proablepharus kinghorni"
264,4274,479,107,"Proablepharus kinghorni"
215,6430,238,31,"Proablepharus kinghorni"
248,5930,247,74,"Proablepharus kinghorni"
246,5090,380,97,"Proablepharus kinghorni"
251,5214,399,79,"Proablepharus kinghorni"
243,6120,220,62,"Proablepharus kinghorni"
206,5796,524,37,"Proablepharus kinghorni"
250,4990,401,87,"Proablepharus kinghorni"
228,6274,297,46,"Proablepharus kinghorni"
257,5405,321,88,"Proablepharus kinghorni"
203,5075,593,43,"Proablepharus kinghorni"
224,6450,235,41,"Proablepharus kinghorni"
228,4129,590,86,"Proablepharus kinghorni"
214,4885,643,53,"Proablepharus kinghorni"
209,6091,410,32,"Proablepharus kinghorni"
263,4538,416,101,"Proablepharus kinghorni"
215,6196,353,45,"Proablepharus kinghorni"
206,6306,289,17,"Proablepharus kinghorni"
212,6196,345,33,"Proablepharus kinghorni"
233,4449,501,67,"Proablepharus kinghorni"
265,4533,426,101,"Proablepharus kinghorni"
229,6227,281,47,"Proablepharus kinghorni"
231,6168,276,46,"Proablepharus kinghorni"
251,5033,422,96,"Proablepharus kinghorni"
262,4057,469,109,"Proablepharus kinghorni"
214,6134,382,37,"Proablepharus kinghorni"
212,6169,379,31,"Proablepharus kinghorni"
246,6084,228,69,"Proablepharus kinghorni"
189,5878,245,11,"Proablepharus kinghorni"
194,6119,210,20,"Proablepharus kinghorni"
210,6380,247,29,"Proablepharus kinghorni"
241,6185,227,59,"Proablepharus kinghorni"
241,4955,511,70,"Proablepharus kinghorni"
229,6206,308,51,"Proablepharus kinghorni"
248,5832,275,77,"Proablepharus kinghorni"
241,5688,378,62,"Proablepharus kinghorni"
269,3856,552,113,"Proablepharus kinghorni"
257,4741,420,99,"Proablepharus kinghorni"
245,5312,377,74,"Proablepharus kinghorni"
255,4542,460,95,"Proablepharus kinghorni"
237,6065,252,59,"Proablepharus kinghorni"
211,5165,508,53,"Proablepharus kinghorni"
222,6478,212,39,"Proablepharus kinghorni"
194,6055,257,15,"Proablepharus kinghorni"
206,5658,522,31,"Proablepharus kinghorni"
217,5738,499,51,"Proablepharus kinghorni"
209,6213,359,28,"Proablepharus kinghorni"
255,5713,303,86,"Proablepharus kinghorni"
249,5109,431,85,"Proablepharus kinghorni"
221,6478,222,38,"Proablepharus kinghorni"
210,6230,330,33,"Proablepharus kinghorni"
261,4420,445,102,"Proablepharus kinghorni"
269,3911,572,111,"Proablepharus kinghorni"
212,6193,356,28,"Proablepharus kinghorni"
260,4504,417,100,"Proablepharus kinghorni"
252,5517,303,86,"Proablepharus kinghorni"
264,4115,527,109,"Proablepharus kinghorni"
243,5147,437,90,"Proablepharus kinghorni"
251,5863,253,81,"Proablepharus kinghorni"
260,3258,735,114,"Proablepharus kinghorni"
241,5574,377,64,"Proablepharus kinghorni"
255,4626,449,99,"Proablepharus kinghorni"
249,5544,311,82,"Proablepharus kinghorni"
226,4359,674,64,"Proablepharus kinghorni"
207,5846,495,36,"Proablepharus kinghorni"
213,6065,410,40,"Proablepharus kinghorni"
212,6206,341,33,"Proablepharus kinghorni"
245,5952,240,70,"Proablepharus kinghorni"
208,6253,326,22,"Proablepharus kinghorni"
208,4687,760,46,"Proablepharus kinghorni"
245,5170,407,74,"Proablepharus kinghorni"
235,5359,436,55,"Proablepharus kinghorni"
204,6301,267,17,"Proablepharus kinghorni"
249,4925,441,87,"Proablepharus kinghorni"
258,4895,419,97,"Proablepharus kinghorni"
211,6000,430,33,"Proablepharus kinghorni"
221,6414,324,42,"Proablepharus kinghorni"
262,4700,393,98,"Proablepharus kinghorni"
216,6051,401,41,"Proablepharus kinghorni"
245,6069,232,65,"Proablepharus kinghorni"
250,4211,443,97,"Proablepharus kinghorni"
270,3786,573,110,"Proablepharus kinghorni"
210,6257,326,24,"Proablepharus kinghorni"
249,5066,438,84,"Proablepharus kinghorni"
232,4296,521,77,"Proablepharus kinghorni"
246,6214,203,62,"Proablepharus kinghorni"
237,6208,261,59,"Proablepharus kinghorni"
249,6023,235,70,"Proablepharus kinghorni"
249,5934,241,70,"Proablepharus kinghorni"
217,5854,481,45,"Proablepharus kinghorni"
245,5834,264,69,"Proablepharus kinghorni"
217,6360,264,38,"Proablepharus kinghorni"
218,4627,750,50,"Proablepharus kinghorni"
255,4496,434,95,"Proablepharus kinghorni"
246,5391,348,90,"Proablepharus kinghorni"
229,6397,233,51,"Proablepharus kinghorni"
211,4749,691,51,"Proablepharus kinghorni"
238,5719,392,59,"Proablepharus kinghorni"
216,5905,409,41,"Proablepharus kinghorni"
243,5246,413,72,"Proablepharus kinghorni"
258,3917,574,108,"Proablepharus kinghorni"
262,3705,566,111,"Proablepharus kinghorni"
199,5432,609,51,"Proablepharus kinghorni"
249,5675,291,75,"Proablepharus kinghorni"
250,4836,410,89,"Proablepharus kinghorni"
223,6449,229,37,"Proablepharus kinghorni"
248,5786,292,69,"Proablepharus kinghorni"
231,6198,259,51,"Proablepharus kinghorni"
242,5017,478,92,"Proablepharus kinghorni"
205,5444,546,34,"Proablepharus kinghorni"
252,5564,323,84,"Proablepharus kinghorni"
256,4817,415,95,"Proablepharus kinghorni"
264,4337,437,104,"Proablepharus kinghorni"
219,6349,304,39,"Proablepharus kinghorni"
261,3858,550,115,"Proablepharus kinghorni"
260,4149,491,111,"Proablepharus kinghorni"
259,4855,381,98,"Proablepharus kinghorni"
231,5682,450,62,"Proablepharus kinghorni"
258,4593,436,100,"Proablepharus kinghorni"
245,5436,371,79,"Proablepharus kinghorni"
230,5984,310,52,"Proablepharus kinghorni"
186,5722,250,12,"Proablepharus kinghorni"
228,4458,498,63,"Proablepharus kinghorni"
192,5886,223,12,"Proablepharus kinghorni"
199,4879,623,40,"Proablepharus kinghorni"
238,5983,285,62,"Proablepharus kinghorni"
246,4278,547,91,"Proablepharus kinghorni"
224,4581,666,62,"Proablepharus kinghorni"
205,5243,566,50,"Proablepharus kinghorni"
195,6120,260,18,"Proablepharus kinghorni"
220,6299,322,44,"Proablepharus kinghorni"
224,6435,299,44,"Proablepharus kinghorni"
206,5477,563,33,"Proablepharus kinghorni"
258,4959,353,97,"Proablepharus kinghorni"
215,5323,524,51,"Proablepharus kinghorni"
241,5742,353,60,"Proablepharus kinghorni"
224,4486,683,56,"Proablepharus kinghorni"
246,5415,357,78,"Proablepharus kinghorni"
257,3695,718,113,"Proablepharus kinghorni"
217,6442,227,33,"Proablepharus kinghorni"
218,5699,482,51,"Proablepharus kinghorni"
218,5582,449,53,"Proablepharus kinghorni"
230,6406,258,56,"Proablepharus kinghorni"
207,5823,505,37,"Proablepharus kinghorni"
251,4857,408,90,"Proablepharus kinghorni"
218,5816,496,44,"Proablepharus kinghorni"
259,4474,425,99,"Proablepharus kinghorni"
270,3795,574,112,"Proablepharus kinghorni"
215,6084,384,37,"Proablepharus kinghorni"
259,5124,356,93,"Proablepharus kinghorni"
207,6278,318,23,"Proablepharus kinghorni"
231,6154,308,50,"Proablepharus kinghorni"
250,5315,370,96,"Proablepharus kinghorni"
224,6405,304,44,"Proablepharus kinghorni"
206,5185,594,37,"Proablepharus kinghorni"
264,4175,579,111,"Proablepharus kinghorni"
220,6466,221,37,"Proablepharus kinghorni"
236,6336,234,61,"Proablepharus kinghorni"
263,2993,804,113,"Proablepharus kinghorni"
208,6086,412,31,"Proablepharus kinghorni"
199,5244,640,41,"Proablepharus kinghorni"
207,6286,314,21,"Proablepharus kinghorni"
256,5448,320,90,"Proablepharus kinghorni"
208,5433,535,36,"Proablepharus kinghorni"
265,4452,431,102,"Proablepharus kinghorni"
257,5135,347,94,"Proablepharus kinghorni"
245,5428,343,77,"Proablepharus kinghorni"
259,4366,566,108,"Proablepharus kinghorni"
249,5639,294,75,"Proablepharus kinghorni"
218,5862,461,46,"Proablepharus kinghorni"
191,5844,226,17,"Proablepharus kinghorni"
258,5265,337,91,"Proablepharus kinghorni"
219,5441,471,51,"Proablepharus kinghorni"
207,5345,524,46,"Proablepharus kinghorni"
264,3690,563,109,"Proablepharus kinghorni"
237,6315,228,66,"Proablepharus kinghorni"
205,5189,584,39,"Proablepharus kinghorni"
214,6119,384,39,"Proablepharus kinghorni"
241,5882,282,66,"Proablepharus kinghorni"
212,4819,590,56,"Proablepharus kinghorni"
241,5756,301,73,"Proablepharus kinghorni"
216,6341,294,40,"Proablepharus kinghorni"
238,6313,245,61,"Proablepharus kinghorni"
243,5331,404,73,"Proablepharus kinghorni"
232,5089,502,57,"Proablepharus kinghorni"
193,6080,277,14,"Proablepharus kinghorni"
211,6258,314,29,"Proablepharus kinghorni"
249,6025,236,70,"Proablepharus kinghorni"
255,4947,360,92,"Proablepharus kinghorni"
208,6059,416,33,"Proablepharus kinghorni"
243,5024,454,76,"Proablepharus kinghorni"
242,6371,193,59,"Proablepharus kinghorni"
210,5972,432,34,"Proablepharus kinghorni"
250,3980,575,103,"Proablepharus kinghorni"
245,5235,373,92,"Proablepharus kinghorni"
225,6423,232,45,"Proablepharus kinghorni"
261,3888,586,110,"Proablepharus kinghorni"
228,6079,304,55,"Proablepharus kinghorni"
204,6309,266,19,"Proablepharus kinghorni"
216,6044,401,42,"Proablepharus kinghorni"
260,4420,455,102,"Proablepharus kinghorni"
238,5772,401,61,"Proablepharus kinghorni"
225,5738,427,50,"Proablepharus kinghorni"
249,5062,399,96,"Proablepharus kinghorni"
249,5961,258,74,"Proablepharus kinghorni"
220,6197,357,47,"Proablepharus kinghorni"
184,5696,253,11,"Proablepharus kinghorni"
261,3279,702,112,"Proablepharus kinghorni"
235,4438,512,70,"Proablepharus kinghorni"
247,4725,458,89,"Proablepharus kinghorni"
209,5996,428,34,"Proablepharus kinghorni"
263,4012,532,107,"Proablepharus kinghorni"
230,6002,319,52,"Proablepharus kinghorni"
223,6385,270,46,"Proablepharus kinghorni"
208,5768,548,36,"Proablepharus kinghorni"
214,6122,376,36,"Proablepharus kinghorni"
265,3867,588,114,"Proablepharus kinghorni"
215,6066,390,39,"Proablepharus kinghorni"
262,4503,412,102,"Proablepharus kinghorni"
238,6100,292,53,"Proablepharus kinghorni"
265,2954,866,113,"Proablepharus kinghorni"
259,4277,470,109,"Proablepharus kinghorni"
231,6185,285,57,"Proablepharus kinghorni"
202,4992,600,35,"Proablepharus kinghorni"
217,6225,350,48,"Proablepharus kinghorni"
247,6166,207,68,"Proablepharus kinghorni"
242,4946,492,69,"Proablepharus kinghorni"
246,5632,318,80,"Proablepharus kinghorni"
207,5161,520,47,"Proablepharus kinghorni"
256,5423,317,90,"Proablepharus kinghorni"
206,6327,243,29,"Proablepharus kinghorni"
235,4246,586,80,"Proablepharus kinghorni"
