"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
101,4089,816,12,"Pseudemoia cryodroma"
104,4461,765,15,"Pseudemoia cryodroma"
97,3837,1459,22,"Pseudemoia cryodroma"
94,4476,971,17,"Pseudemoia cryodroma"
131,4708,1027,33,"Pseudemoia cryodroma"
100,4540,1405,30,"Pseudemoia cryodroma"
139,3708,630,11,"Pseudemoia cryodroma"
115,4308,1069,23,"Pseudemoia cryodroma"
69,4465,1030,11,"Pseudemoia cryodroma"
110,4563,1245,35,"Pseudemoia cryodroma"
127,4359,1196,33,"Pseudemoia cryodroma"
63,4625,1504,33,"Pseudemoia cryodroma"
83,4388,942,15,"Pseudemoia cryodroma"
78,4286,762,13,"Pseudemoia cryodroma"
110,4048,759,19,"Pseudemoia cryodroma"
100,4570,1005,22,"Pseudemoia cryodroma"
82,4290,1141,21,"Pseudemoia cryodroma"
119,3851,1084,23,"Pseudemoia cryodroma"
100,3807,1407,33,"Pseudemoia cryodroma"
95,4514,800,13,"Pseudemoia cryodroma"
100,4265,973,13,"Pseudemoia cryodroma"
110,3714,1360,35,"Pseudemoia cryodroma"
107,4127,1287,28,"Pseudemoia cryodroma"
109,4431,623,13,"Pseudemoia cryodroma"
110,4083,1122,21,"Pseudemoia cryodroma"
86,4264,1192,22,"Pseudemoia cryodroma"
92,3906,1691,30,"Pseudemoia cryodroma"
90,4104,1197,23,"Pseudemoia cryodroma"
123,3949,835,15,"Pseudemoia cryodroma"
133,4726,998,34,"Pseudemoia cryodroma"
116,4494,1098,30,"Pseudemoia cryodroma"
110,3992,1117,19,"Pseudemoia cryodroma"
92,4503,1425,33,"Pseudemoia cryodroma"
118,4009,856,13,"Pseudemoia cryodroma"
101,3800,1096,27,"Pseudemoia cryodroma"
127,4351,537,15,"Pseudemoia cryodroma"
120,3852,795,12,"Pseudemoia cryodroma"
130,3815,638,13,"Pseudemoia cryodroma"
103,4517,782,17,"Pseudemoia cryodroma"
100,4233,978,17,"Pseudemoia cryodroma"
85,4491,981,18,"Pseudemoia cryodroma"
94,4430,1026,23,"Pseudemoia cryodroma"
125,4152,1123,34,"Pseudemoia cryodroma"
90,4349,660,13,"Pseudemoia cryodroma"
101,4452,830,16,"Pseudemoia cryodroma"
137,3791,813,15,"Pseudemoia cryodroma"
100,4494,696,14,"Pseudemoia cryodroma"
121,4555,876,26,"Pseudemoia cryodroma"
93,3989,1280,18,"Pseudemoia cryodroma"
78,4474,930,13,"Pseudemoia cryodroma"
123,3862,882,15,"Pseudemoia cryodroma"
137,3747,642,15,"Pseudemoia cryodroma"
82,4415,942,15,"Pseudemoia cryodroma"
119,4371,885,25,"Pseudemoia cryodroma"
103,4494,626,13,"Pseudemoia cryodroma"
135,3947,850,14,"Pseudemoia cryodroma"
109,4742,881,22,"Pseudemoia cryodroma"
128,4759,1295,33,"Pseudemoia cryodroma"
124,4491,1141,28,"Pseudemoia cryodroma"
140,4409,694,24,"Pseudemoia cryodroma"
114,4107,872,13,"Pseudemoia cryodroma"
93,3853,1672,30,"Pseudemoia cryodroma"
99,4441,865,13,"Pseudemoia cryodroma"
124,3878,788,14,"Pseudemoia cryodroma"
111,4572,1063,34,"Pseudemoia cryodroma"
127,4404,1227,29,"Pseudemoia cryodroma"
118,4405,930,27,"Pseudemoia cryodroma"
51,4508,1564,22,"Pseudemoia cryodroma"
100,4085,1241,22,"Pseudemoia cryodroma"
114,4724,804,20,"Pseudemoia cryodroma"
132,3590,1123,19,"Pseudemoia cryodroma"
103,3612,1056,10,"Pseudemoia cryodroma"
114,4149,848,16,"Pseudemoia cryodroma"
102,4209,1321,40,"Pseudemoia cryodroma"
95,4251,816,15,"Pseudemoia cryodroma"
65,4071,1741,30,"Pseudemoia cryodroma"
83,4034,1683,36,"Pseudemoia cryodroma"
119,3588,1341,18,"Pseudemoia cryodroma"
114,4550,810,21,"Pseudemoia cryodroma"
95,4434,1182,22,"Pseudemoia cryodroma"
99,4491,829,17,"Pseudemoia cryodroma"
113,4504,934,28,"Pseudemoia cryodroma"
78,4694,1263,25,"Pseudemoia cryodroma"
77,4356,951,8,"Pseudemoia cryodroma"
71,3761,1733,27,"Pseudemoia cryodroma"
99,4132,686,9,"Pseudemoia cryodroma"
111,4464,955,18,"Pseudemoia cryodroma"
98,4332,1122,29,"Pseudemoia cryodroma"
72,4309,1088,12,"Pseudemoia cryodroma"
95,4438,699,12,"Pseudemoia cryodroma"
139,3912,633,15,"Pseudemoia cryodroma"
107,4567,1239,30,"Pseudemoia cryodroma"
134,4490,930,25,"Pseudemoia cryodroma"
119,4713,888,23,"Pseudemoia cryodroma"
104,3969,706,9,"Pseudemoia cryodroma"
131,4444,974,35,"Pseudemoia cryodroma"
110,3893,982,19,"Pseudemoia cryodroma"
94,4194,1378,33,"Pseudemoia cryodroma"
99,4177,649,9,"Pseudemoia cryodroma"
109,4059,719,19,"Pseudemoia cryodroma"
140,4393,801,29,"Pseudemoia cryodroma"
82,4421,752,13,"Pseudemoia cryodroma"
91,4687,1302,34,"Pseudemoia cryodroma"
119,4044,1119,25,"Pseudemoia cryodroma"
129,3749,711,15,"Pseudemoia cryodroma"
136,3805,664,12,"Pseudemoia cryodroma"
127,4085,729,14,"Pseudemoia cryodroma"
124,4596,1023,29,"Pseudemoia cryodroma"
78,4606,954,19,"Pseudemoia cryodroma"
120,4279,1251,37,"Pseudemoia cryodroma"
137,4077,569,11,"Pseudemoia cryodroma"
119,4111,1050,31,"Pseudemoia cryodroma"
121,4148,951,28,"Pseudemoia cryodroma"
71,4127,872,10,"Pseudemoia cryodroma"
129,4241,647,13,"Pseudemoia cryodroma"
121,4048,892,14,"Pseudemoia cryodroma"
118,3935,637,12,"Pseudemoia cryodroma"
133,4346,986,35,"Pseudemoia cryodroma"
89,4040,759,8,"Pseudemoia cryodroma"
81,4390,1063,17,"Pseudemoia cryodroma"
87,3893,1695,34,"Pseudemoia cryodroma"
107,4179,804,13,"Pseudemoia cryodroma"
117,4284,746,12,"Pseudemoia cryodroma"
109,4098,1359,34,"Pseudemoia cryodroma"
72,4092,1015,13,"Pseudemoia cryodroma"
61,4653,1659,30,"Pseudemoia cryodroma"
58,4522,1263,16,"Pseudemoia cryodroma"
83,4480,939,17,"Pseudemoia cryodroma"
94,4738,1243,29,"Pseudemoia cryodroma"
99,4594,1215,22,"Pseudemoia cryodroma"
104,3729,1224,14,"Pseudemoia cryodroma"
67,4194,918,14,"Pseudemoia cryodroma"
127,3849,890,16,"Pseudemoia cryodroma"
93,3977,1551,30,"Pseudemoia cryodroma"
121,3914,683,14,"Pseudemoia cryodroma"
116,3809,823,13,"Pseudemoia cryodroma"
77,4414,939,17,"Pseudemoia cryodroma"
132,3900,887,16,"Pseudemoia cryodroma"
116,4698,1251,32,"Pseudemoia cryodroma"
135,4012,796,18,"Pseudemoia cryodroma"
105,4627,869,22,"Pseudemoia cryodroma"
121,3960,659,12,"Pseudemoia cryodroma"
87,4531,836,15,"Pseudemoia cryodroma"
122,4142,608,12,"Pseudemoia cryodroma"
106,4016,1581,37,"Pseudemoia cryodroma"
115,4500,1169,28,"Pseudemoia cryodroma"
92,4119,949,13,"Pseudemoia cryodroma"
107,4373,611,12,"Pseudemoia cryodroma"
113,3965,1133,32,"Pseudemoia cryodroma"
95,4666,870,17,"Pseudemoia cryodroma"
98,3974,1171,28,"Pseudemoia cryodroma"
128,3844,696,15,"Pseudemoia cryodroma"
100,4152,918,11,"Pseudemoia cryodroma"
102,3920,919,19,"Pseudemoia cryodroma"
137,4349,994,34,"Pseudemoia cryodroma"
94,4388,686,13,"Pseudemoia cryodroma"
63,4479,1214,14,"Pseudemoia cryodroma"
104,4609,1389,25,"Pseudemoia cryodroma"
140,3822,780,16,"Pseudemoia cryodroma"
83,4507,1403,35,"Pseudemoia cryodroma"
126,4353,1192,37,"Pseudemoia cryodroma"
110,3910,1031,25,"Pseudemoia cryodroma"
89,4457,1012,17,"Pseudemoia cryodroma"
98,4162,759,18,"Pseudemoia cryodroma"
105,4660,1408,29,"Pseudemoia cryodroma"
75,4084,1026,12,"Pseudemoia cryodroma"
98,4148,1191,38,"Pseudemoia cryodroma"
101,4079,966,15,"Pseudemoia cryodroma"
118,3634,1108,14,"Pseudemoia cryodroma"
134,4441,952,30,"Pseudemoia cryodroma"
95,4669,1449,27,"Pseudemoia cryodroma"
113,3991,1072,31,"Pseudemoia cryodroma"
86,4246,701,16,"Pseudemoia cryodroma"
139,4555,806,28,"Pseudemoia cryodroma"
104,4692,1082,26,"Pseudemoia cryodroma"
75,4316,925,15,"Pseudemoia cryodroma"
132,3773,835,18,"Pseudemoia cryodroma"
131,4312,1044,32,"Pseudemoia cryodroma"
112,3961,687,15,"Pseudemoia cryodroma"
105,3915,1088,15,"Pseudemoia cryodroma"
80,4341,1101,15,"Pseudemoia cryodroma"
106,4608,1378,29,"Pseudemoia cryodroma"
122,4782,1335,33,"Pseudemoia cryodroma"
91,4597,871,14,"Pseudemoia cryodroma"
70,4232,984,15,"Pseudemoia cryodroma"
96,4245,952,19,"Pseudemoia cryodroma"
108,4427,785,18,"Pseudemoia cryodroma"
130,4159,571,11,"Pseudemoia cryodroma"
111,4644,1340,28,"Pseudemoia cryodroma"
84,4660,1042,22,"Pseudemoia cryodroma"
128,3934,759,16,"Pseudemoia cryodroma"
109,4280,872,16,"Pseudemoia cryodroma"
123,4089,1080,36,"Pseudemoia cryodroma"
116,4139,627,14,"Pseudemoia cryodroma"
127,3785,859,16,"Pseudemoia cryodroma"
131,4230,596,11,"Pseudemoia cryodroma"
129,4627,978,31,"Pseudemoia cryodroma"
89,4210,880,13,"Pseudemoia cryodroma"
104,4255,844,17,"Pseudemoia cryodroma"
85,4481,1038,17,"Pseudemoia cryodroma"
61,4025,1179,14,"Pseudemoia cryodroma"
92,4344,956,12,"Pseudemoia cryodroma"
120,4661,784,22,"Pseudemoia cryodroma"
122,4553,1242,32,"Pseudemoia cryodroma"
105,4645,703,16,"Pseudemoia cryodroma"
120,4161,741,14,"Pseudemoia cryodroma"
90,4564,1484,31,"Pseudemoia cryodroma"
115,4776,868,19,"Pseudemoia cryodroma"
120,4127,697,16,"Pseudemoia cryodroma"
77,4275,1043,17,"Pseudemoia cryodroma"
102,4736,1418,34,"Pseudemoia cryodroma"
94,4355,905,19,"Pseudemoia cryodroma"
67,4515,1125,13,"Pseudemoia cryodroma"
95,3726,1191,20,"Pseudemoia cryodroma"
113,4578,862,18,"Pseudemoia cryodroma"
70,3729,1410,26,"Pseudemoia cryodroma"
91,4269,723,17,"Pseudemoia cryodroma"
119,4349,826,23,"Pseudemoia cryodroma"
111,4129,994,25,"Pseudemoia cryodroma"
91,4163,1517,32,"Pseudemoia cryodroma"
133,3803,711,13,"Pseudemoia cryodroma"
139,4516,755,26,"Pseudemoia cryodroma"
124,4217,699,19,"Pseudemoia cryodroma"
115,4290,642,15,"Pseudemoia cryodroma"
79,4248,945,16,"Pseudemoia cryodroma"
110,4304,1350,30,"Pseudemoia cryodroma"
101,3738,1253,14,"Pseudemoia cryodroma"
96,4410,700,11,"Pseudemoia cryodroma"
119,4611,1129,24,"Pseudemoia cryodroma"
114,4083,1355,34,"Pseudemoia cryodroma"
119,3895,752,15,"Pseudemoia cryodroma"
96,3772,1438,22,"Pseudemoia cryodroma"
74,4567,1071,19,"Pseudemoia cryodroma"
83,4032,1280,20,"Pseudemoia cryodroma"
100,4461,697,16,"Pseudemoia cryodroma"
103,3796,1203,16,"Pseudemoia cryodroma"
