"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
171,4023,342,45,"Pseudonaja inframacula"
182,4647,262,15,"Pseudonaja inframacula"
174,4202,310,38,"Pseudonaja inframacula"
172,4072,360,52,"Pseudonaja inframacula"
166,2982,367,48,"Pseudonaja inframacula"
171,4226,343,40,"Pseudonaja inframacula"
173,3802,295,29,"Pseudonaja inframacula"
165,3144,462,58,"Pseudonaja inframacula"
164,2654,455,56,"Pseudonaja inframacula"
180,4326,262,21,"Pseudonaja inframacula"
154,3955,413,42,"Pseudonaja inframacula"
172,4067,338,44,"Pseudonaja inframacula"
168,3773,364,43,"Pseudonaja inframacula"
166,4182,323,35,"Pseudonaja inframacula"
173,4062,326,46,"Pseudonaja inframacula"
163,4118,300,20,"Pseudonaja inframacula"
170,4196,261,26,"Pseudonaja inframacula"
166,3143,463,57,"Pseudonaja inframacula"
165,2979,431,60,"Pseudonaja inframacula"
168,3730,415,51,"Pseudonaja inframacula"
153,3853,393,42,"Pseudonaja inframacula"
171,3774,377,52,"Pseudonaja inframacula"
174,3900,283,26,"Pseudonaja inframacula"
174,4107,261,15,"Pseudonaja inframacula"
168,3414,440,56,"Pseudonaja inframacula"
169,3656,384,49,"Pseudonaja inframacula"
168,3394,432,57,"Pseudonaja inframacula"
155,2847,574,61,"Pseudonaja inframacula"
172,3660,404,53,"Pseudonaja inframacula"
169,3837,371,53,"Pseudonaja inframacula"
165,3248,477,61,"Pseudonaja inframacula"
165,4063,366,45,"Pseudonaja inframacula"
168,3773,361,42,"Pseudonaja inframacula"
152,3051,452,54,"Pseudonaja inframacula"
175,3583,366,63,"Pseudonaja inframacula"
164,3178,360,44,"Pseudonaja inframacula"
172,3613,365,56,"Pseudonaja inframacula"
163,3023,497,59,"Pseudonaja inframacula"
162,2497,547,65,"Pseudonaja inframacula"
174,3958,276,24,"Pseudonaja inframacula"
167,3713,353,40,"Pseudonaja inframacula"
158,4127,352,41,"Pseudonaja inframacula"
166,4172,299,21,"Pseudonaja inframacula"
159,4229,336,31,"Pseudonaja inframacula"
170,4209,276,19,"Pseudonaja inframacula"
173,4296,316,37,"Pseudonaja inframacula"
169,3614,406,59,"Pseudonaja inframacula"
174,4025,263,21,"Pseudonaja inframacula"
181,4594,281,16,"Pseudonaja inframacula"
171,4089,358,42,"Pseudonaja inframacula"
159,3282,408,55,"Pseudonaja inframacula"
170,3586,395,62,"Pseudonaja inframacula"
166,3783,396,40,"Pseudonaja inframacula"
173,4121,335,43,"Pseudonaja inframacula"
171,3702,314,24,"Pseudonaja inframacula"
163,3270,415,59,"Pseudonaja inframacula"
163,2680,459,58,"Pseudonaja inframacula"
173,3942,285,24,"Pseudonaja inframacula"
173,3611,377,62,"Pseudonaja inframacula"
162,2588,522,70,"Pseudonaja inframacula"
173,3875,388,54,"Pseudonaja inframacula"
179,4458,261,12,"Pseudonaja inframacula"
175,3408,368,57,"Pseudonaja inframacula"
152,3803,438,35,"Pseudonaja inframacula"
171,4315,326,40,"Pseudonaja inframacula"
172,4307,325,38,"Pseudonaja inframacula"
160,3315,390,44,"Pseudonaja inframacula"
167,4230,280,18,"Pseudonaja inframacula"
165,3199,436,61,"Pseudonaja inframacula"
168,3784,365,43,"Pseudonaja inframacula"
167,4144,365,44,"Pseudonaja inframacula"
167,3442,358,41,"Pseudonaja inframacula"
172,3900,355,46,"Pseudonaja inframacula"
168,3722,384,46,"Pseudonaja inframacula"
181,4514,253,14,"Pseudonaja inframacula"
165,3577,379,48,"Pseudonaja inframacula"
170,4016,347,46,"Pseudonaja inframacula"
159,3783,378,27,"Pseudonaja inframacula"
163,3119,450,54,"Pseudonaja inframacula"
173,3658,379,56,"Pseudonaja inframacula"
169,3451,443,56,"Pseudonaja inframacula"
166,3090,422,57,"Pseudonaja inframacula"
169,4291,259,21,"Pseudonaja inframacula"
163,4196,308,21,"Pseudonaja inframacula"
175,4471,254,19,"Pseudonaja inframacula"
174,4105,324,46,"Pseudonaja inframacula"
168,3677,319,43,"Pseudonaja inframacula"
166,3587,357,47,"Pseudonaja inframacula"
170,4201,358,44,"Pseudonaja inframacula"
156,3879,332,37,"Pseudonaja inframacula"
175,3765,340,49,"Pseudonaja inframacula"
162,2767,463,54,"Pseudonaja inframacula"
168,3841,366,42,"Pseudonaja inframacula"
159,2721,536,63,"Pseudonaja inframacula"
161,3752,406,32,"Pseudonaja inframacula"
166,3164,455,55,"Pseudonaja inframacula"
168,3605,400,47,"Pseudonaja inframacula"
156,2558,587,65,"Pseudonaja inframacula"
175,4387,272,15,"Pseudonaja inframacula"
166,3264,438,55,"Pseudonaja inframacula"
171,3520,413,64,"Pseudonaja inframacula"
172,3955,342,46,"Pseudonaja inframacula"
172,3805,360,51,"Pseudonaja inframacula"
160,2642,547,70,"Pseudonaja inframacula"
173,4314,318,34,"Pseudonaja inframacula"
166,3335,339,38,"Pseudonaja inframacula"
164,3251,438,61,"Pseudonaja inframacula"
173,4075,339,49,"Pseudonaja inframacula"
166,4287,357,39,"Pseudonaja inframacula"
168,4299,350,37,"Pseudonaja inframacula"
174,4205,315,40,"Pseudonaja inframacula"
172,3974,340,45,"Pseudonaja inframacula"
166,3796,310,18,"Pseudonaja inframacula"
166,4143,291,19,"Pseudonaja inframacula"
172,4182,346,37,"Pseudonaja inframacula"
162,2450,488,56,"Pseudonaja inframacula"
162,3815,329,21,"Pseudonaja inframacula"
155,3919,364,39,"Pseudonaja inframacula"
174,3909,340,49,"Pseudonaja inframacula"
178,4330,259,15,"Pseudonaja inframacula"
166,4206,373,42,"Pseudonaja inframacula"
163,2983,446,58,"Pseudonaja inframacula"
157,4080,366,40,"Pseudonaja inframacula"
163,2778,456,60,"Pseudonaja inframacula"
174,3858,285,26,"Pseudonaja inframacula"
178,4248,263,22,"Pseudonaja inframacula"
162,2472,526,65,"Pseudonaja inframacula"
166,3719,359,30,"Pseudonaja inframacula"
172,4025,336,46,"Pseudonaja inframacula"
172,3888,355,48,"Pseudonaja inframacula"
155,3881,343,30,"Pseudonaja inframacula"
167,4104,264,24,"Pseudonaja inframacula"
170,4305,257,21,"Pseudonaja inframacula"
169,3537,397,51,"Pseudonaja inframacula"
162,4210,314,40,"Pseudonaja inframacula"
167,3764,355,40,"Pseudonaja inframacula"
156,3843,347,21,"Pseudonaja inframacula"
172,4026,343,47,"Pseudonaja inframacula"
173,3753,383,61,"Pseudonaja inframacula"
164,4251,305,25,"Pseudonaja inframacula"
168,3396,430,53,"Pseudonaja inframacula"
168,3614,408,53,"Pseudonaja inframacula"
156,4000,348,34,"Pseudonaja inframacula"
174,3906,361,52,"Pseudonaja inframacula"
170,4282,338,45,"Pseudonaja inframacula"
168,3671,341,32,"Pseudonaja inframacula"
164,3477,367,48,"Pseudonaja inframacula"
167,4049,352,41,"Pseudonaja inframacula"
169,3455,422,55,"Pseudonaja inframacula"
170,3239,434,61,"Pseudonaja inframacula"
168,3864,363,44,"Pseudonaja inframacula"
171,3603,330,31,"Pseudonaja inframacula"
160,3960,368,46,"Pseudonaja inframacula"
175,4030,272,25,"Pseudonaja inframacula"
160,2920,514,65,"Pseudonaja inframacula"
162,2976,474,62,"Pseudonaja inframacula"
169,3748,384,52,"Pseudonaja inframacula"
171,3941,356,47,"Pseudonaja inframacula"
166,2922,474,64,"Pseudonaja inframacula"
172,3662,389,49,"Pseudonaja inframacula"
163,3575,392,44,"Pseudonaja inframacula"
165,4095,355,44,"Pseudonaja inframacula"
170,3301,362,55,"Pseudonaja inframacula"
