"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
258,3518,569,108,"Pseudonaja ingrami"
248,5733,300,72,"Pseudonaja ingrami"
257,4763,417,100,"Pseudonaja ingrami"
256,4373,528,103,"Pseudonaja ingrami"
240,5264,417,89,"Pseudonaja ingrami"
264,3979,539,114,"Pseudonaja ingrami"
267,3826,544,109,"Pseudonaja ingrami"
247,5692,332,73,"Pseudonaja ingrami"
260,3237,701,115,"Pseudonaja ingrami"
259,4309,481,105,"Pseudonaja ingrami"
251,3415,764,108,"Pseudonaja ingrami"
266,3693,585,116,"Pseudonaja ingrami"
258,3973,491,111,"Pseudonaja ingrami"
261,3826,530,114,"Pseudonaja ingrami"
261,3509,602,112,"Pseudonaja ingrami"
259,3984,487,108,"Pseudonaja ingrami"
256,4227,584,109,"Pseudonaja ingrami"
249,5133,412,94,"Pseudonaja ingrami"
261,3469,652,110,"Pseudonaja ingrami"
264,3917,547,112,"Pseudonaja ingrami"
263,3447,622,112,"Pseudonaja ingrami"
249,5040,358,90,"Pseudonaja ingrami"
263,3256,728,112,"Pseudonaja ingrami"
264,3171,740,112,"Pseudonaja ingrami"
259,3271,696,112,"Pseudonaja ingrami"
267,3812,554,112,"Pseudonaja ingrami"
259,3574,593,112,"Pseudonaja ingrami"
259,3573,653,110,"Pseudonaja ingrami"
252,5251,352,86,"Pseudonaja ingrami"
260,4174,484,106,"Pseudonaja ingrami"
264,4101,494,109,"Pseudonaja ingrami"
260,4033,540,113,"Pseudonaja ingrami"
267,3270,557,113,"Pseudonaja ingrami"
263,3195,664,116,"Pseudonaja ingrami"
267,3856,527,109,"Pseudonaja ingrami"
260,3182,754,114,"Pseudonaja ingrami"
265,4232,555,112,"Pseudonaja ingrami"
260,3701,578,111,"Pseudonaja ingrami"
262,4009,519,115,"Pseudonaja ingrami"
265,3578,613,114,"Pseudonaja ingrami"
263,3168,657,116,"Pseudonaja ingrami"
258,4724,437,101,"Pseudonaja ingrami"
267,3751,575,114,"Pseudonaja ingrami"
255,3200,817,110,"Pseudonaja ingrami"
257,4652,404,98,"Pseudonaja ingrami"
248,5416,328,88,"Pseudonaja ingrami"
268,3574,664,110,"Pseudonaja ingrami"
260,4042,544,116,"Pseudonaja ingrami"
260,3523,598,110,"Pseudonaja ingrami"
259,3763,585,110,"Pseudonaja ingrami"
257,3473,622,113,"Pseudonaja ingrami"
260,4013,541,110,"Pseudonaja ingrami"
247,5614,296,79,"Pseudonaja ingrami"
266,3370,732,113,"Pseudonaja ingrami"
259,3304,694,113,"Pseudonaja ingrami"
259,3289,699,113,"Pseudonaja ingrami"
