"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
182,6016,417,13,"Pseudonaja textilis"
232,3652,616,87,"Pseudonaja textilis"
216,4762,565,51,"Pseudonaja textilis"
237,4339,494,79,"Pseudonaja textilis"
271,3538,590,108,"Pseudonaja textilis"
213,4663,722,46,"Pseudonaja textilis"
256,2015,1050,116,"Pseudonaja textilis"
229,3195,683,86,"Pseudonaja textilis"
237,4039,581,65,"Pseudonaja textilis"
160,5347,754,24,"Pseudonaja textilis"
225,3535,678,102,"Pseudonaja textilis"
218,4553,727,59,"Pseudonaja textilis"
181,4602,284,41,"Pseudonaja textilis"
252,3251,760,115,"Pseudonaja textilis"
132,3536,672,25,"Pseudonaja textilis"
187,6057,296,15,"Pseudonaja textilis"
185,6055,378,10,"Pseudonaja textilis"
174,5579,602,18,"Pseudonaja textilis"
164,5649,548,10,"Pseudonaja textilis"
270,1642,1537,123,"Pseudonaja textilis"
193,6016,423,16,"Pseudonaja textilis"
146,4866,793,23,"Pseudonaja textilis"
207,6117,412,32,"Pseudonaja textilis"
180,3668,285,35,"Pseudonaja textilis"
144,5057,1035,33,"Pseudonaja textilis"
214,3008,853,106,"Pseudonaja textilis"
138,3433,577,12,"Pseudonaja textilis"
208,6177,402,31,"Pseudonaja textilis"
248,2835,1061,99,"Pseudonaja textilis"
213,4409,837,55,"Pseudonaja textilis"
162,3489,1646,31,"Pseudonaja textilis"
204,4201,635,40,"Pseudonaja textilis"
267,2267,1054,114,"Pseudonaja textilis"
178,4712,705,45,"Pseudonaja textilis"
268,3968,547,107,"Pseudonaja textilis"
198,5944,431,24,"Pseudonaja textilis"
179,5983,406,12,"Pseudonaja textilis"
212,5942,459,37,"Pseudonaja textilis"
219,4609,687,58,"Pseudonaja textilis"
159,4780,345,26,"Pseudonaja textilis"
257,1654,1238,119,"Pseudonaja textilis"
225,5854,418,49,"Pseudonaja textilis"
227,4665,482,69,"Pseudonaja textilis"
109,4503,586,23,"Pseudonaja textilis"
209,6250,334,24,"Pseudonaja textilis"
116,4678,857,13,"Pseudonaja textilis"
178,5959,398,13,"Pseudonaja textilis"
243,6387,256,57,"Pseudonaja textilis"
214,5530,535,46,"Pseudonaja textilis"
179,5937,374,14,"Pseudonaja textilis"
272,3408,650,120,"Pseudonaja textilis"
225,3910,686,53,"Pseudonaja textilis"
95,3813,1034,9,"Pseudonaja textilis"
116,3653,1294,15,"Pseudonaja textilis"
259,1760,1181,121,"Pseudonaja textilis"
266,2370,1002,115,"Pseudonaja textilis"
212,5974,465,31,"Pseudonaja textilis"
230,5962,316,71,"Pseudonaja textilis"
264,3665,680,113,"Pseudonaja textilis"
177,5666,297,12,"Pseudonaja textilis"
215,2987,927,89,"Pseudonaja textilis"
172,5862,439,11,"Pseudonaja textilis"
265,3120,795,114,"Pseudonaja textilis"
199,5790,507,33,"Pseudonaja textilis"
270,2429,1073,126,"Pseudonaja textilis"
158,5051,403,19,"Pseudonaja textilis"
225,2696,1390,35,"Pseudonaja textilis"
140,5100,647,16,"Pseudonaja textilis"
167,5412,680,25,"Pseudonaja textilis"
181,6000,418,16,"Pseudonaja textilis"
