"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
239,3257,752,88,"Pygmaeascincus sadlieri"
248,2977,905,98,"Pygmaeascincus sadlieri"
240,3073,794,89,"Pygmaeascincus sadlieri"
233,2838,1359,88,"Pygmaeascincus sadlieri"
244,3239,947,98,"Pygmaeascincus sadlieri"
242,3285,724,86,"Pygmaeascincus sadlieri"
241,3006,994,89,"Pygmaeascincus sadlieri"
246,2933,890,93,"Pygmaeascincus sadlieri"
248,2902,1037,98,"Pygmaeascincus sadlieri"
244,3332,738,90,"Pygmaeascincus sadlieri"
247,2955,910,97,"Pygmaeascincus sadlieri"
247,3161,893,94,"Pygmaeascincus sadlieri"
248,3011,1012,97,"Pygmaeascincus sadlieri"
248,2952,1017,97,"Pygmaeascincus sadlieri"
248,2976,983,98,"Pygmaeascincus sadlieri"
246,3174,780,93,"Pygmaeascincus sadlieri"
237,3231,904,85,"Pygmaeascincus sadlieri"
246,3290,894,92,"Pygmaeascincus sadlieri"
220,3150,964,87,"Pygmaeascincus sadlieri"
244,3363,873,85,"Pygmaeascincus sadlieri"
247,2984,916,98,"Pygmaeascincus sadlieri"
245,2893,1031,89,"Pygmaeascincus sadlieri"
244,3072,1013,103,"Pygmaeascincus sadlieri"
239,3135,698,88,"Pygmaeascincus sadlieri"
240,3094,819,90,"Pygmaeascincus sadlieri"
248,3053,1012,97,"Pygmaeascincus sadlieri"
247,3044,975,100,"Pygmaeascincus sadlieri"
247,2867,1038,96,"Pygmaeascincus sadlieri"
241,2968,941,90,"Pygmaeascincus sadlieri"
247,3123,911,95,"Pygmaeascincus sadlieri"
241,3314,782,84,"Pygmaeascincus sadlieri"
242,3038,840,89,"Pygmaeascincus sadlieri"
248,2948,931,99,"Pygmaeascincus sadlieri"
243,3379,689,86,"Pygmaeascincus sadlieri"
246,3075,910,99,"Pygmaeascincus sadlieri"
247,3053,930,97,"Pygmaeascincus sadlieri"
246,3249,899,93,"Pygmaeascincus sadlieri"
245,3339,833,86,"Pygmaeascincus sadlieri"
248,3049,1021,98,"Pygmaeascincus sadlieri"
242,3343,774,91,"Pygmaeascincus sadlieri"
247,3233,887,95,"Pygmaeascincus sadlieri"
242,3337,692,83,"Pygmaeascincus sadlieri"
244,3027,862,93,"Pygmaeascincus sadlieri"
229,3330,966,87,"Pygmaeascincus sadlieri"
239,3116,883,91,"Pygmaeascincus sadlieri"
243,3310,957,91,"Pygmaeascincus sadlieri"
233,3182,828,89,"Pygmaeascincus sadlieri"
242,3183,724,86,"Pygmaeascincus sadlieri"
241,2899,1164,91,"Pygmaeascincus sadlieri"
248,2901,1025,98,"Pygmaeascincus sadlieri"
248,2827,1051,100,"Pygmaeascincus sadlieri"
236,2999,1224,90,"Pygmaeascincus sadlieri"
234,3233,700,85,"Pygmaeascincus sadlieri"
229,3111,980,87,"Pygmaeascincus sadlieri"
228,3216,983,95,"Pygmaeascincus sadlieri"
247,3179,834,94,"Pygmaeascincus sadlieri"
248,2890,984,100,"Pygmaeascincus sadlieri"
234,3069,877,90,"Pygmaeascincus sadlieri"
222,3195,764,83,"Pygmaeascincus sadlieri"
245,2912,907,93,"Pygmaeascincus sadlieri"
235,3068,1082,91,"Pygmaeascincus sadlieri"
240,3258,979,87,"Pygmaeascincus sadlieri"
246,3276,841,89,"Pygmaeascincus sadlieri"
248,2844,1059,99,"Pygmaeascincus sadlieri"
245,3299,817,87,"Pygmaeascincus sadlieri"
247,3060,992,97,"Pygmaeascincus sadlieri"
248,2812,1080,99,"Pygmaeascincus sadlieri"
248,2802,1084,99,"Pygmaeascincus sadlieri"
247,2926,923,95,"Pygmaeascincus sadlieri"
245,3214,722,88,"Pygmaeascincus sadlieri"
237,3192,681,85,"Pygmaeascincus sadlieri"
241,3041,846,90,"Pygmaeascincus sadlieri"
239,3225,750,87,"Pygmaeascincus sadlieri"
242,3248,764,86,"Pygmaeascincus sadlieri"
246,3186,868,94,"Pygmaeascincus sadlieri"
246,3012,905,95,"Pygmaeascincus sadlieri"
237,3067,1018,89,"Pygmaeascincus sadlieri"
240,3309,645,83,"Pygmaeascincus sadlieri"
232,3259,996,91,"Pygmaeascincus sadlieri"
