"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
246,1274,1835,103,"Pygopus robertsi"
227,2196,966,107,"Pygopus robertsi"
246,1382,1428,110,"Pygopus robertsi"
261,1489,1363,109,"Pygopus robertsi"
262,1756,1239,113,"Pygopus robertsi"
260,1662,1400,113,"Pygopus robertsi"
247,1648,1494,112,"Pygopus robertsi"
263,1162,1514,111,"Pygopus robertsi"
260,1921,1053,113,"Pygopus robertsi"
217,2117,1222,104,"Pygopus robertsi"
254,1764,1141,120,"Pygopus robertsi"
261,1763,1121,112,"Pygopus robertsi"
246,1970,1546,105,"Pygopus robertsi"
262,1047,1624,110,"Pygopus robertsi"
249,1888,1432,107,"Pygopus robertsi"
256,1633,1556,112,"Pygopus robertsi"
263,1741,1174,112,"Pygopus robertsi"
258,1966,993,113,"Pygopus robertsi"
217,2428,1184,96,"Pygopus robertsi"
232,2163,853,111,"Pygopus robertsi"
254,1353,1504,111,"Pygopus robertsi"
262,1782,1159,113,"Pygopus robertsi"
259,1746,1292,111,"Pygopus robertsi"
263,1158,1797,90,"Pygopus robertsi"
251,1656,1200,118,"Pygopus robertsi"
250,2058,908,111,"Pygopus robertsi"
249,1409,1370,110,"Pygopus robertsi"
262,1167,1824,90,"Pygopus robertsi"
252,1759,1116,115,"Pygopus robertsi"
254,1830,1817,98,"Pygopus robertsi"
253,1457,1251,111,"Pygopus robertsi"
257,1967,966,113,"Pygopus robertsi"
233,2094,949,109,"Pygopus robertsi"
238,1483,1694,113,"Pygopus robertsi"
237,2226,934,103,"Pygopus robertsi"
254,1715,1189,114,"Pygopus robertsi"
263,1150,1655,97,"Pygopus robertsi"
233,2355,842,112,"Pygopus robertsi"
259,1729,1332,112,"Pygopus robertsi"
250,1657,1415,111,"Pygopus robertsi"
263,1118,1675,95,"Pygopus robertsi"
261,1666,1473,93,"Pygopus robertsi"
234,2069,949,112,"Pygopus robertsi"
252,1791,1190,107,"Pygopus robertsi"
220,1843,2719,92,"Pygopus robertsi"
248,1749,1443,104,"Pygopus robertsi"
261,1189,1526,102,"Pygopus robertsi"
237,2113,989,110,"Pygopus robertsi"
250,1690,1431,116,"Pygopus robertsi"
261,1636,1399,115,"Pygopus robertsi"
240,1917,1359,101,"Pygopus robertsi"
232,2265,1169,101,"Pygopus robertsi"
236,2122,920,109,"Pygopus robertsi"
232,2471,708,112,"Pygopus robertsi"
259,1225,1690,97,"Pygopus robertsi"
258,1278,1563,113,"Pygopus robertsi"
261,1100,1616,96,"Pygopus robertsi"
256,1689,1558,98,"Pygopus robertsi"
249,2011,3131,84,"Pygopus robertsi"
262,1840,1129,114,"Pygopus robertsi"
242,1587,1670,102,"Pygopus robertsi"
223,2326,845,109,"Pygopus robertsi"
255,1778,1110,108,"Pygopus robertsi"
248,1976,1414,103,"Pygopus robertsi"
219,1462,1823,114,"Pygopus robertsi"
258,1912,1110,109,"Pygopus robertsi"
238,1956,1084,112,"Pygopus robertsi"
259,1120,1749,102,"Pygopus robertsi"
247,1313,2032,95,"Pygopus robertsi"
238,2307,927,110,"Pygopus robertsi"
256,1403,1713,101,"Pygopus robertsi"
228,2300,1288,99,"Pygopus robertsi"
211,2375,2717,70,"Pygopus robertsi"
224,2427,904,111,"Pygopus robertsi"
259,1820,1108,110,"Pygopus robertsi"
