"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
279,2908,762,118,"Rhynchoedura sexapora"
278,1832,1337,114,"Rhynchoedura sexapora"
270,2566,889,111,"Rhynchoedura sexapora"
273,2501,1101,116,"Rhynchoedura sexapora"
276,2028,1284,112,"Rhynchoedura sexapora"
270,2471,838,114,"Rhynchoedura sexapora"
281,2393,1071,115,"Rhynchoedura sexapora"
279,2614,707,112,"Rhynchoedura sexapora"
288,2498,653,113,"Rhynchoedura sexapora"
277,2899,824,114,"Rhynchoedura sexapora"
280,2563,750,111,"Rhynchoedura sexapora"
287,2846,669,112,"Rhynchoedura sexapora"
276,2753,926,116,"Rhynchoedura sexapora"
273,2767,988,111,"Rhynchoedura sexapora"
285,2795,791,113,"Rhynchoedura sexapora"
276,2140,823,112,"Rhynchoedura sexapora"
271,2777,979,112,"Rhynchoedura sexapora"
281,2410,780,116,"Rhynchoedura sexapora"
282,2404,909,114,"Rhynchoedura sexapora"
280,2456,926,114,"Rhynchoedura sexapora"
268,2412,885,109,"Rhynchoedura sexapora"
278,2442,1142,117,"Rhynchoedura sexapora"
274,2879,849,111,"Rhynchoedura sexapora"
276,2864,774,111,"Rhynchoedura sexapora"
278,2611,895,116,"Rhynchoedura sexapora"
278,2315,1013,109,"Rhynchoedura sexapora"
265,2578,916,110,"Rhynchoedura sexapora"
272,2474,999,113,"Rhynchoedura sexapora"
284,2256,820,115,"Rhynchoedura sexapora"
287,2835,675,111,"Rhynchoedura sexapora"
282,2858,866,116,"Rhynchoedura sexapora"
272,2411,956,109,"Rhynchoedura sexapora"
283,2593,878,115,"Rhynchoedura sexapora"
271,2216,893,111,"Rhynchoedura sexapora"
276,2209,1284,114,"Rhynchoedura sexapora"
263,2100,1214,106,"Rhynchoedura sexapora"
271,2512,1078,113,"Rhynchoedura sexapora"
274,2264,1167,110,"Rhynchoedura sexapora"
272,2216,1218,109,"Rhynchoedura sexapora"
283,2839,875,113,"Rhynchoedura sexapora"
284,2297,876,117,"Rhynchoedura sexapora"
281,2200,1109,115,"Rhynchoedura sexapora"
276,2221,1039,116,"Rhynchoedura sexapora"
264,2270,1129,111,"Rhynchoedura sexapora"
268,2502,763,114,"Rhynchoedura sexapora"
281,2914,759,112,"Rhynchoedura sexapora"
266,2198,967,115,"Rhynchoedura sexapora"
281,2608,837,114,"Rhynchoedura sexapora"
274,2708,837,111,"Rhynchoedura sexapora"
264,2111,1193,109,"Rhynchoedura sexapora"
285,2876,772,113,"Rhynchoedura sexapora"
266,2101,1188,106,"Rhynchoedura sexapora"
270,2272,849,112,"Rhynchoedura sexapora"
267,1920,1590,112,"Rhynchoedura sexapora"
279,2636,930,113,"Rhynchoedura sexapora"
270,2646,826,112,"Rhynchoedura sexapora"
264,2020,1329,111,"Rhynchoedura sexapora"
281,2689,968,111,"Rhynchoedura sexapora"
285,2631,850,113,"Rhynchoedura sexapora"
276,2316,1021,111,"Rhynchoedura sexapora"
281,2342,931,117,"Rhynchoedura sexapora"
278,2285,983,114,"Rhynchoedura sexapora"
278,2371,981,117,"Rhynchoedura sexapora"
266,1926,1575,111,"Rhynchoedura sexapora"
280,2766,887,109,"Rhynchoedura sexapora"
