"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
197,4006,855,46,"Saiphos equalis"
184,3588,1221,24,"Saiphos equalis"
171,3714,1401,38,"Saiphos equalis"
206,2991,1827,40,"Saiphos equalis"
192,3749,1064,48,"Saiphos equalis"
137,3987,937,26,"Saiphos equalis"
196,3941,783,42,"Saiphos equalis"
121,4542,738,16,"Saiphos equalis"
160,4128,895,27,"Saiphos equalis"
171,3880,1245,40,"Saiphos equalis"
172,4194,756,25,"Saiphos equalis"
165,4186,996,38,"Saiphos equalis"
128,4073,957,12,"Saiphos equalis"
132,4212,867,12,"Saiphos equalis"
125,4472,847,22,"Saiphos equalis"
202,3859,866,41,"Saiphos equalis"
169,3712,899,20,"Saiphos equalis"
133,4192,747,10,"Saiphos equalis"
177,3655,878,23,"Saiphos equalis"
131,4257,960,40,"Saiphos equalis"
146,4190,1087,34,"Saiphos equalis"
172,3801,1173,48,"Saiphos equalis"
130,4079,950,27,"Saiphos equalis"
129,3823,1352,43,"Saiphos equalis"
184,3823,1007,42,"Saiphos equalis"
165,4064,1319,35,"Saiphos equalis"
192,3336,1252,38,"Saiphos equalis"
180,4227,696,39,"Saiphos equalis"
186,3528,1481,49,"Saiphos equalis"
132,4375,883,29,"Saiphos equalis"
193,3852,1026,45,"Saiphos equalis"
115,4260,913,37,"Saiphos equalis"
195,3328,1301,41,"Saiphos equalis"
145,4434,870,16,"Saiphos equalis"
143,4422,850,20,"Saiphos equalis"
127,3967,1028,17,"Saiphos equalis"
179,3891,1049,38,"Saiphos equalis"
193,3575,1187,42,"Saiphos equalis"
127,4316,914,40,"Saiphos equalis"
184,3427,1520,39,"Saiphos equalis"
195,3984,950,44,"Saiphos equalis"
186,3871,884,46,"Saiphos equalis"
134,4063,994,51,"Saiphos equalis"
188,4417,623,35,"Saiphos equalis"
174,3915,823,20,"Saiphos equalis"
130,4472,797,37,"Saiphos equalis"
189,3664,979,42,"Saiphos equalis"
152,4175,847,43,"Saiphos equalis"
202,3807,758,39,"Saiphos equalis"
165,4235,968,36,"Saiphos equalis"
171,4053,846,40,"Saiphos equalis"
204,3513,966,37,"Saiphos equalis"
188,4137,660,42,"Saiphos equalis"
158,4119,1052,57,"Saiphos equalis"
114,4534,1139,22,"Saiphos equalis"
166,4384,734,29,"Saiphos equalis"
125,4269,850,43,"Saiphos equalis"
161,3928,1087,20,"Saiphos equalis"
171,4153,826,41,"Saiphos equalis"
123,4466,852,19,"Saiphos equalis"
171,3999,896,26,"Saiphos equalis"
156,4021,900,40,"Saiphos equalis"
174,3777,1384,29,"Saiphos equalis"
169,4263,721,35,"Saiphos equalis"
165,3935,1217,45,"Saiphos equalis"
187,3492,1100,27,"Saiphos equalis"
160,3511,1622,40,"Saiphos equalis"
187,4031,1090,52,"Saiphos equalis"
169,4162,1013,35,"Saiphos equalis"
