"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
188,3745,1164,43,"Saltuarius kateae"
186,4039,1049,56,"Saltuarius kateae"
188,3909,972,42,"Saltuarius kateae"
189,3809,1140,54,"Saltuarius kateae"
183,3886,1038,42,"Saltuarius kateae"
187,3909,1015,43,"Saltuarius kateae"
193,3641,1152,43,"Saltuarius kateae"
180,3793,1291,50,"Saltuarius kateae"
183,3954,1172,50,"Saltuarius kateae"
188,3676,1255,44,"Saltuarius kateae"
188,4003,931,44,"Saltuarius kateae"
184,4029,1008,49,"Saltuarius kateae"
187,3780,1054,50,"Saltuarius kateae"
195,3673,1041,44,"Saltuarius kateae"
196,3557,1127,40,"Saltuarius kateae"
174,4047,1203,53,"Saltuarius kateae"
192,3676,1132,42,"Saltuarius kateae"
192,3619,1143,40,"Saltuarius kateae"
186,3927,956,46,"Saltuarius kateae"
175,3816,1254,41,"Saltuarius kateae"
195,3598,1132,42,"Saltuarius kateae"
181,3768,1271,44,"Saltuarius kateae"
193,3701,1063,44,"Saltuarius kateae"
188,4000,947,43,"Saltuarius kateae"
193,3624,1165,41,"Saltuarius kateae"
196,3545,1111,39,"Saltuarius kateae"
182,4060,1132,59,"Saltuarius kateae"
176,3838,1212,51,"Saltuarius kateae"
181,3903,1112,42,"Saltuarius kateae"
187,3883,967,47,"Saltuarius kateae"
192,3700,1145,46,"Saltuarius kateae"
172,4056,1202,57,"Saltuarius kateae"
194,3635,1108,42,"Saltuarius kateae"
191,3716,1146,45,"Saltuarius kateae"
185,4027,1090,47,"Saltuarius kateae"
184,3891,968,41,"Saltuarius kateae"
176,3877,1146,38,"Saltuarius kateae"
186,3828,1045,51,"Saltuarius kateae"
187,4005,941,43,"Saltuarius kateae"
187,3984,961,47,"Saltuarius kateae"
173,3812,1359,48,"Saltuarius kateae"
190,3679,1192,47,"Saltuarius kateae"
177,4049,1229,51,"Saltuarius kateae"
181,3815,1266,49,"Saltuarius kateae"
173,3959,1363,49,"Saltuarius kateae"
191,3781,1057,50,"Saltuarius kateae"
189,3949,1044,43,"Saltuarius kateae"
172,4066,1163,55,"Saltuarius kateae"
192,3696,1109,47,"Saltuarius kateae"
185,3930,1051,39,"Saltuarius kateae"
187,3734,1170,47,"Saltuarius kateae"
188,3813,1000,47,"Saltuarius kateae"
179,3844,1221,41,"Saltuarius kateae"
188,3835,931,37,"Saltuarius kateae"
184,3944,1069,36,"Saltuarius kateae"
190,3765,1085,50,"Saltuarius kateae"
190,3772,1110,51,"Saltuarius kateae"
192,3690,1083,46,"Saltuarius kateae"
185,3874,1041,35,"Saltuarius kateae"
193,3590,1177,40,"Saltuarius kateae"
189,3728,1138,49,"Saltuarius kateae"
180,3785,1209,43,"Saltuarius kateae"
195,3621,1067,43,"Saltuarius kateae"
179,3800,1309,46,"Saltuarius kateae"
179,3874,1266,49,"Saltuarius kateae"
183,3948,1130,39,"Saltuarius kateae"
193,3727,1071,47,"Saltuarius kateae"
189,4024,1026,53,"Saltuarius kateae"
185,3950,1212,54,"Saltuarius kateae"
187,4043,1002,55,"Saltuarius kateae"
185,3947,1045,47,"Saltuarius kateae"
186,3748,1215,51,"Saltuarius kateae"
183,3942,1125,41,"Saltuarius kateae"
181,3838,1193,52,"Saltuarius kateae"
190,3995,898,44,"Saltuarius kateae"
192,3760,1080,49,"Saltuarius kateae"
190,3995,1018,54,"Saltuarius kateae"
