"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
121,3853,1543,50,"Saltuarius moritzi"
123,3926,1328,36,"Saltuarius moritzi"
160,3928,1279,51,"Saltuarius moritzi"
134,3769,1476,40,"Saltuarius moritzi"
153,3543,1608,44,"Saltuarius moritzi"
184,3433,1282,36,"Saltuarius moritzi"
190,3252,1443,34,"Saltuarius moritzi"
186,3422,1420,43,"Saltuarius moritzi"
141,3720,1558,41,"Saltuarius moritzi"
147,3838,1245,40,"Saltuarius moritzi"
192,3268,1308,34,"Saltuarius moritzi"
162,3963,1217,44,"Saltuarius moritzi"
187,3473,1370,39,"Saltuarius moritzi"
175,4010,992,39,"Saltuarius moritzi"
166,3784,1336,38,"Saltuarius moritzi"
187,3568,1117,44,"Saltuarius moritzi"
185,3581,1157,35,"Saltuarius moritzi"
177,3403,1693,35,"Saltuarius moritzi"
180,3983,981,31,"Saltuarius moritzi"
189,3570,1198,41,"Saltuarius moritzi"
192,3293,1285,36,"Saltuarius moritzi"
193,3363,1527,43,"Saltuarius moritzi"
188,3513,1286,47,"Saltuarius moritzi"
185,3400,1363,44,"Saltuarius moritzi"
195,3323,1411,39,"Saltuarius moritzi"
162,4130,1154,29,"Saltuarius moritzi"
122,3950,1386,46,"Saltuarius moritzi"
136,4176,881,29,"Saltuarius moritzi"
125,4263,847,41,"Saltuarius moritzi"
150,3855,1419,32,"Saltuarius moritzi"
159,4046,1120,45,"Saltuarius moritzi"
137,4298,846,44,"Saltuarius moritzi"
180,3920,1040,33,"Saltuarius moritzi"
125,4330,768,36,"Saltuarius moritzi"
192,3277,1296,35,"Saltuarius moritzi"
187,3344,1297,24,"Saltuarius moritzi"
194,3141,1441,32,"Saltuarius moritzi"
191,3241,1350,34,"Saltuarius moritzi"
183,3865,1027,26,"Saltuarius moritzi"
187,3439,1259,24,"Saltuarius moritzi"
129,4162,814,33,"Saltuarius moritzi"
180,3544,1172,42,"Saltuarius moritzi"
177,4063,841,46,"Saltuarius moritzi"
177,3494,1805,46,"Saltuarius moritzi"
151,3592,1649,47,"Saltuarius moritzi"
172,3977,1134,30,"Saltuarius moritzi"
175,3534,1681,45,"Saltuarius moritzi"
180,3799,1127,50,"Saltuarius moritzi"
185,3772,1003,22,"Saltuarius moritzi"
161,4162,931,49,"Saltuarius moritzi"
160,3527,1621,47,"Saltuarius moritzi"
187,3637,1085,41,"Saltuarius moritzi"
188,3411,1213,30,"Saltuarius moritzi"
170,3862,1136,44,"Saltuarius moritzi"
143,4144,1224,36,"Saltuarius moritzi"
179,3534,1282,35,"Saltuarius moritzi"
176,3651,1440,41,"Saltuarius moritzi"
137,4115,1054,42,"Saltuarius moritzi"
192,3308,1227,35,"Saltuarius moritzi"
186,3369,1514,37,"Saltuarius moritzi"
125,3976,1197,26,"Saltuarius moritzi"
133,4244,1000,39,"Saltuarius moritzi"
172,3756,1070,25,"Saltuarius moritzi"
130,4320,830,41,"Saltuarius moritzi"
176,3614,1505,47,"Saltuarius moritzi"
193,3318,1631,42,"Saltuarius moritzi"
156,3533,1702,42,"Saltuarius moritzi"
177,3722,1228,30,"Saltuarius moritzi"
179,4018,951,34,"Saltuarius moritzi"
