"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
182,3811,1069,41,"Saltuarius wyberba"
182,3925,1132,51,"Saltuarius wyberba"
184,3719,1309,47,"Saltuarius wyberba"
174,4051,857,41,"Saltuarius wyberba"
186,3973,1075,47,"Saltuarius wyberba"
174,4086,1149,53,"Saltuarius wyberba"
189,4022,933,47,"Saltuarius wyberba"
188,3782,1194,54,"Saltuarius wyberba"
180,4081,849,42,"Saltuarius wyberba"
174,3795,1097,38,"Saltuarius wyberba"
175,4122,837,32,"Saltuarius wyberba"
182,3759,1256,46,"Saltuarius wyberba"
189,4034,1004,51,"Saltuarius wyberba"
180,4028,1227,51,"Saltuarius wyberba"
179,4054,942,46,"Saltuarius wyberba"
189,4023,1017,51,"Saltuarius wyberba"
174,3962,1074,45,"Saltuarius wyberba"
186,3945,1085,44,"Saltuarius wyberba"
189,4005,1021,46,"Saltuarius wyberba"
183,3916,1030,42,"Saltuarius wyberba"
175,4127,890,46,"Saltuarius wyberba"
194,3672,1169,47,"Saltuarius wyberba"
196,3736,1032,50,"Saltuarius wyberba"
164,4147,1044,47,"Saltuarius wyberba"
185,3960,981,42,"Saltuarius wyberba"
179,3967,1174,51,"Saltuarius wyberba"
168,3866,1291,45,"Saltuarius wyberba"
168,3854,1219,41,"Saltuarius wyberba"
169,3963,1177,48,"Saltuarius wyberba"
166,4075,1016,34,"Saltuarius wyberba"
185,3822,1113,53,"Saltuarius wyberba"
163,3998,1242,42,"Saltuarius wyberba"
184,3970,1097,44,"Saltuarius wyberba"
167,3977,1390,51,"Saltuarius wyberba"
176,3936,921,38,"Saltuarius wyberba"
178,4093,769,39,"Saltuarius wyberba"
187,3815,1196,56,"Saltuarius wyberba"
193,3727,1135,50,"Saltuarius wyberba"
168,4138,1039,47,"Saltuarius wyberba"
172,3889,969,42,"Saltuarius wyberba"
183,3955,1085,40,"Saltuarius wyberba"
156,3965,1288,43,"Saltuarius wyberba"
173,3847,1248,46,"Saltuarius wyberba"
191,3775,1131,52,"Saltuarius wyberba"
178,3696,1338,48,"Saltuarius wyberba"
170,4000,898,39,"Saltuarius wyberba"
167,4039,1192,45,"Saltuarius wyberba"
166,4067,1237,51,"Saltuarius wyberba"
176,3986,1195,55,"Saltuarius wyberba"
176,4102,950,38,"Saltuarius wyberba"
185,4116,956,48,"Saltuarius wyberba"
167,4066,1200,53,"Saltuarius wyberba"
152,3784,1374,42,"Saltuarius wyberba"
187,3982,969,47,"Saltuarius wyberba"
177,4175,913,46,"Saltuarius wyberba"
186,3813,1157,51,"Saltuarius wyberba"
187,3753,1249,48,"Saltuarius wyberba"
179,3861,996,40,"Saltuarius wyberba"
169,4107,1210,48,"Saltuarius wyberba"
170,3818,1380,52,"Saltuarius wyberba"
193,3708,1063,42,"Saltuarius wyberba"
165,4098,1109,51,"Saltuarius wyberba"
180,4061,1218,56,"Saltuarius wyberba"
178,4126,857,39,"Saltuarius wyberba"
174,3826,1281,52,"Saltuarius wyberba"
185,3825,905,44,"Saltuarius wyberba"
188,4066,1005,51,"Saltuarius wyberba"
181,4195,763,40,"Saltuarius wyberba"
174,3999,1048,42,"Saltuarius wyberba"
184,4172,770,38,"Saltuarius wyberba"
186,4019,1035,42,"Saltuarius wyberba"
177,3974,1266,46,"Saltuarius wyberba"
164,4121,936,43,"Saltuarius wyberba"
162,4102,1202,41,"Saltuarius wyberba"
176,4038,1022,46,"Saltuarius wyberba"
186,3672,1313,44,"Saltuarius wyberba"
174,3890,1228,45,"Saltuarius wyberba"
163,4123,1047,38,"Saltuarius wyberba"
187,3759,1063,47,"Saltuarius wyberba"
180,3856,1070,54,"Saltuarius wyberba"
176,3936,932,41,"Saltuarius wyberba"
186,3907,1007,44,"Saltuarius wyberba"
182,3719,1204,51,"Saltuarius wyberba"
173,4040,1088,40,"Saltuarius wyberba"
170,4132,1004,42,"Saltuarius wyberba"
179,4055,1212,56,"Saltuarius wyberba"
176,4034,1275,55,"Saltuarius wyberba"
181,3849,1289,53,"Saltuarius wyberba"
188,3826,1167,58,"Saltuarius wyberba"
164,3858,1296,44,"Saltuarius wyberba"
185,3773,1138,45,"Saltuarius wyberba"
172,3839,1351,49,"Saltuarius wyberba"
166,4059,1280,44,"Saltuarius wyberba"
181,3937,962,41,"Saltuarius wyberba"
186,3777,1104,53,"Saltuarius wyberba"
173,4092,941,36,"Saltuarius wyberba"
