"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
211,1877,3434,84,"Saproscincus lewisi"
257,1805,1983,96,"Saproscincus lewisi"
236,1886,1852,99,"Saproscincus lewisi"
221,1794,2806,92,"Saproscincus lewisi"
255,1907,1419,102,"Saproscincus lewisi"
248,2076,1924,87,"Saproscincus lewisi"
250,1975,3329,84,"Saproscincus lewisi"
227,1845,2221,96,"Saproscincus lewisi"
255,2081,2267,84,"Saproscincus lewisi"
257,1761,1876,95,"Saproscincus lewisi"
229,2025,2219,92,"Saproscincus lewisi"
255,1856,1925,97,"Saproscincus lewisi"
237,2058,2578,88,"Saproscincus lewisi"
258,1867,1620,98,"Saproscincus lewisi"
211,1818,3249,85,"Saproscincus lewisi"
244,1986,1853,91,"Saproscincus lewisi"
251,1896,2582,90,"Saproscincus lewisi"
242,2050,2555,88,"Saproscincus lewisi"
242,2026,1538,98,"Saproscincus lewisi"
252,1803,2091,97,"Saproscincus lewisi"
257,1739,1818,95,"Saproscincus lewisi"
242,2001,1886,89,"Saproscincus lewisi"
246,1942,1276,101,"Saproscincus lewisi"
249,2113,2552,86,"Saproscincus lewisi"
231,1881,1806,97,"Saproscincus lewisi"
257,1850,1569,98,"Saproscincus lewisi"
239,2047,1947,93,"Saproscincus lewisi"
257,1765,1480,97,"Saproscincus lewisi"
245,1925,3255,84,"Saproscincus lewisi"
235,1904,2028,90,"Saproscincus lewisi"
250,1913,1325,103,"Saproscincus lewisi"
259,1752,1723,95,"Saproscincus lewisi"
259,1836,1537,98,"Saproscincus lewisi"
244,1837,1911,99,"Saproscincus lewisi"
253,1811,1889,97,"Saproscincus lewisi"
257,1769,1642,97,"Saproscincus lewisi"
242,2001,1760,93,"Saproscincus lewisi"
255,1874,1701,99,"Saproscincus lewisi"
248,1906,1616,100,"Saproscincus lewisi"
245,2028,1989,87,"Saproscincus lewisi"
253,1902,1454,101,"Saproscincus lewisi"
238,1826,1657,98,"Saproscincus lewisi"
256,1952,2039,89,"Saproscincus lewisi"
214,1872,2303,95,"Saproscincus lewisi"
247,1971,1309,100,"Saproscincus lewisi"
238,1932,1770,93,"Saproscincus lewisi"
248,1869,2570,91,"Saproscincus lewisi"
240,2070,1726,90,"Saproscincus lewisi"
254,1882,1493,99,"Saproscincus lewisi"
242,1996,1452,98,"Saproscincus lewisi"
244,2022,1635,94,"Saproscincus lewisi"
247,1937,1373,103,"Saproscincus lewisi"
252,1940,1327,101,"Saproscincus lewisi"
243,1880,1607,97,"Saproscincus lewisi"
243,2095,2404,87,"Saproscincus lewisi"
258,1852,1636,98,"Saproscincus lewisi"
237,1969,2346,88,"Saproscincus lewisi"
255,1877,1496,97,"Saproscincus lewisi"
238,2018,2172,91,"Saproscincus lewisi"
243,1966,3252,83,"Saproscincus lewisi"
196,1792,3498,85,"Saproscincus lewisi"
252,1934,2499,90,"Saproscincus lewisi"
233,1795,2514,94,"Saproscincus lewisi"
239,1874,1681,95,"Saproscincus lewisi"
231,1863,2331,93,"Saproscincus lewisi"
245,1969,1717,89,"Saproscincus lewisi"
253,1881,1776,98,"Saproscincus lewisi"
245,1971,1321,98,"Saproscincus lewisi"
247,1953,1808,90,"Saproscincus lewisi"
257,1792,1630,97,"Saproscincus lewisi"
240,1919,1499,100,"Saproscincus lewisi"
224,1878,2630,87,"Saproscincus lewisi"
251,1891,1512,101,"Saproscincus lewisi"
240,1955,1628,101,"Saproscincus lewisi"
253,1847,2177,95,"Saproscincus lewisi"
253,2078,1893,86,"Saproscincus lewisi"
257,1819,1633,97,"Saproscincus lewisi"
258,1788,1482,97,"Saproscincus lewisi"
250,1888,1478,98,"Saproscincus lewisi"
240,1891,1857,100,"Saproscincus lewisi"
216,1818,3438,86,"Saproscincus lewisi"
250,1898,1457,98,"Saproscincus lewisi"
245,1735,2127,97,"Saproscincus lewisi"
256,1865,2220,94,"Saproscincus lewisi"
244,2101,2371,87,"Saproscincus lewisi"
243,2023,2459,88,"Saproscincus lewisi"
249,1971,1276,102,"Saproscincus lewisi"
227,1880,2589,91,"Saproscincus lewisi"
240,2038,1500,97,"Saproscincus lewisi"
250,1909,1440,98,"Saproscincus lewisi"
253,1790,1765,98,"Saproscincus lewisi"
243,1988,1289,99,"Saproscincus lewisi"
244,1865,1888,95,"Saproscincus lewisi"
254,2039,2476,84,"Saproscincus lewisi"
259,1847,1660,97,"Saproscincus lewisi"
242,1967,2022,92,"Saproscincus lewisi"
245,1863,1858,94,"Saproscincus lewisi"
246,2005,1167,103,"Saproscincus lewisi"
245,1912,3083,86,"Saproscincus lewisi"
246,2026,1208,100,"Saproscincus lewisi"
241,2029,2025,93,"Saproscincus lewisi"
257,1848,1788,97,"Saproscincus lewisi"
250,2083,2704,85,"Saproscincus lewisi"
255,2068,2479,84,"Saproscincus lewisi"
239,2026,2319,89,"Saproscincus lewisi"
