"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
130,3958,1218,31,"Saproscincus rosei"
198,3665,935,45,"Saproscincus rosei"
184,3555,1828,45,"Saproscincus rosei"
194,3997,800,45,"Saproscincus rosei"
209,3409,1440,40,"Saproscincus rosei"
181,4004,1008,46,"Saproscincus rosei"
173,3615,1465,37,"Saproscincus rosei"
173,4129,805,38,"Saproscincus rosei"
188,3905,985,42,"Saproscincus rosei"
199,3796,798,42,"Saproscincus rosei"
150,4035,1335,48,"Saproscincus rosei"
189,4001,945,43,"Saproscincus rosei"
201,3969,800,44,"Saproscincus rosei"
196,3561,1150,40,"Saproscincus rosei"
183,3982,1077,44,"Saproscincus rosei"
191,3725,1137,41,"Saproscincus rosei"
186,3817,911,49,"Saproscincus rosei"
197,3996,913,49,"Saproscincus rosei"
209,3491,1404,41,"Saproscincus rosei"
121,3898,1375,40,"Saproscincus rosei"
132,3977,1150,26,"Saproscincus rosei"
202,3848,875,46,"Saproscincus rosei"
178,3302,1980,47,"Saproscincus rosei"
202,3893,837,43,"Saproscincus rosei"
172,3929,983,49,"Saproscincus rosei"
177,3689,1377,49,"Saproscincus rosei"
199,3361,1336,41,"Saproscincus rosei"
144,4008,1107,30,"Saproscincus rosei"
166,4029,1058,53,"Saproscincus rosei"
199,3494,1093,41,"Saproscincus rosei"
207,3499,1251,43,"Saproscincus rosei"
188,3405,1293,36,"Saproscincus rosei"
195,3517,1213,38,"Saproscincus rosei"
188,3794,1069,48,"Saproscincus rosei"
175,4053,931,47,"Saproscincus rosei"
166,3694,1345,49,"Saproscincus rosei"
154,4096,1161,48,"Saproscincus rosei"
169,3718,1206,41,"Saproscincus rosei"
200,3593,1594,48,"Saproscincus rosei"
119,3966,1371,38,"Saproscincus rosei"
194,3625,1329,45,"Saproscincus rosei"
171,3967,1193,51,"Saproscincus rosei"
178,3664,1173,44,"Saproscincus rosei"
176,3725,1143,49,"Saproscincus rosei"
147,3415,1886,46,"Saproscincus rosei"
186,3638,1535,51,"Saproscincus rosei"
195,3312,1495,41,"Saproscincus rosei"
182,3955,1083,54,"Saproscincus rosei"
196,3526,1132,37,"Saproscincus rosei"
161,4031,828,38,"Saproscincus rosei"
179,3698,1259,47,"Saproscincus rosei"
188,3950,944,46,"Saproscincus rosei"
195,3350,1262,42,"Saproscincus rosei"
192,3578,931,38,"Saproscincus rosei"
185,3387,1662,47,"Saproscincus rosei"
204,3570,916,40,"Saproscincus rosei"
139,3932,1337,52,"Saproscincus rosei"
200,3823,945,42,"Saproscincus rosei"
173,4016,1058,39,"Saproscincus rosei"
163,3635,1478,45,"Saproscincus rosei"
120,3931,1457,34,"Saproscincus rosei"
172,3801,1173,48,"Saproscincus rosei"
179,3592,1482,47,"Saproscincus rosei"
201,3786,771,36,"Saproscincus rosei"
197,3855,1051,53,"Saproscincus rosei"
197,3443,1283,42,"Saproscincus rosei"
199,3430,1184,44,"Saproscincus rosei"
208,3530,1272,43,"Saproscincus rosei"
