"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
262,1606,1123,108,"Saproscincus saltus"
260,1779,1114,111,"Saproscincus saltus"
258,1600,1487,104,"Saproscincus saltus"
258,1537,1489,107,"Saproscincus saltus"
262,1724,1161,112,"Saproscincus saltus"
262,1758,1174,113,"Saproscincus saltus"
259,1772,1179,108,"Saproscincus saltus"
260,1592,1285,105,"Saproscincus saltus"
260,1760,1182,112,"Saproscincus saltus"
259,1746,1098,109,"Saproscincus saltus"
258,1612,1361,107,"Saproscincus saltus"
262,1757,1096,113,"Saproscincus saltus"
262,1747,1164,112,"Saproscincus saltus"
236,1502,1714,107,"Saproscincus saltus"
259,1759,1191,110,"Saproscincus saltus"
261,1742,1148,112,"Saproscincus saltus"
262,1635,1267,104,"Saproscincus saltus"
260,1629,1353,104,"Saproscincus saltus"
262,1738,1127,112,"Saproscincus saltus"
262,1764,1152,113,"Saproscincus saltus"
259,1655,1130,110,"Saproscincus saltus"
260,1675,1119,107,"Saproscincus saltus"
256,1631,1191,113,"Saproscincus saltus"
261,1631,1098,111,"Saproscincus saltus"
262,1692,1192,113,"Saproscincus saltus"
260,1712,1101,111,"Saproscincus saltus"
260,1738,1108,110,"Saproscincus saltus"
261,1734,1124,111,"Saproscincus saltus"
260,1754,1129,112,"Saproscincus saltus"
260,1660,1050,107,"Saproscincus saltus"
262,1596,1273,109,"Saproscincus saltus"
258,1656,1233,113,"Saproscincus saltus"
261,1717,1237,110,"Saproscincus saltus"
262,1668,1136,112,"Saproscincus saltus"
257,1681,1320,109,"Saproscincus saltus"
261,1786,1117,113,"Saproscincus saltus"
260,1618,1179,108,"Saproscincus saltus"
238,1578,1555,108,"Saproscincus saltus"
262,1695,1086,113,"Saproscincus saltus"
256,1624,1313,110,"Saproscincus saltus"
259,1778,1213,112,"Saproscincus saltus"
251,1681,1277,109,"Saproscincus saltus"
260,1668,1059,111,"Saproscincus saltus"
244,1590,1654,104,"Saproscincus saltus"
258,1647,1206,109,"Saproscincus saltus"
259,1744,1114,109,"Saproscincus saltus"
258,1686,1081,111,"Saproscincus saltus"
259,1613,1433,103,"Saproscincus saltus"
262,1781,1083,114,"Saproscincus saltus"
260,1675,1268,103,"Saproscincus saltus"
258,1718,1069,110,"Saproscincus saltus"
262,1702,1163,112,"Saproscincus saltus"
259,1581,1453,103,"Saproscincus saltus"
262,1679,1132,112,"Saproscincus saltus"
261,1695,1151,110,"Saproscincus saltus"
259,1612,1454,106,"Saproscincus saltus"
262,1742,1156,112,"Saproscincus saltus"
261,1564,1145,110,"Saproscincus saltus"
260,1652,1110,110,"Saproscincus saltus"
259,1568,1438,102,"Saproscincus saltus"
256,1611,1509,108,"Saproscincus saltus"
261,1692,1082,111,"Saproscincus saltus"
260,1698,1102,111,"Saproscincus saltus"
259,1671,1331,109,"Saproscincus saltus"
258,1684,1430,110,"Saproscincus saltus"
262,1713,1195,113,"Saproscincus saltus"
254,1650,1441,108,"Saproscincus saltus"
257,1719,1100,108,"Saproscincus saltus"
257,1702,1095,108,"Saproscincus saltus"
262,1615,1127,110,"Saproscincus saltus"
257,1686,1250,110,"Saproscincus saltus"
262,1718,1193,111,"Saproscincus saltus"
261,1726,1112,111,"Saproscincus saltus"
259,1777,1228,110,"Saproscincus saltus"
258,1551,1491,104,"Saproscincus saltus"
261,1646,1164,107,"Saproscincus saltus"
260,1651,1453,101,"Saproscincus saltus"
251,1639,1494,104,"Saproscincus saltus"
258,1639,1383,108,"Saproscincus saltus"
261,1678,1112,110,"Saproscincus saltus"
262,1719,1126,112,"Saproscincus saltus"
251,1664,1507,104,"Saproscincus saltus"
