"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
244,2607,2594,72,"Saproscincus tetradactylus"
214,2931,871,88,"Saproscincus tetradactylus"
228,2549,3292,61,"Saproscincus tetradactylus"
192,2581,1975,68,"Saproscincus tetradactylus"
244,3007,1781,92,"Saproscincus tetradactylus"
200,2654,1041,91,"Saproscincus tetradactylus"
201,2813,1722,85,"Saproscincus tetradactylus"
198,2613,1049,94,"Saproscincus tetradactylus"
241,2371,4217,62,"Saproscincus tetradactylus"
227,2394,1144,101,"Saproscincus tetradactylus"
221,2403,1227,103,"Saproscincus tetradactylus"
214,3060,820,89,"Saproscincus tetradactylus"
210,2756,1102,93,"Saproscincus tetradactylus"
243,2808,2205,84,"Saproscincus tetradactylus"
208,2992,1109,91,"Saproscincus tetradactylus"
228,2133,1937,93,"Saproscincus tetradactylus"
213,3056,1542,89,"Saproscincus tetradactylus"
201,2656,2690,76,"Saproscincus tetradactylus"
211,3111,812,91,"Saproscincus tetradactylus"
212,2811,1081,89,"Saproscincus tetradactylus"
241,3096,1706,95,"Saproscincus tetradactylus"
210,3078,947,92,"Saproscincus tetradactylus"
212,3076,982,91,"Saproscincus tetradactylus"
222,3026,1815,94,"Saproscincus tetradactylus"
231,3060,1485,92,"Saproscincus tetradactylus"
241,3073,1573,94,"Saproscincus tetradactylus"
210,2980,1488,92,"Saproscincus tetradactylus"
225,2554,997,108,"Saproscincus tetradactylus"
192,2479,2565,67,"Saproscincus tetradactylus"
209,2695,1277,81,"Saproscincus tetradactylus"
243,2766,2340,88,"Saproscincus tetradactylus"
240,2439,2405,65,"Saproscincus tetradactylus"
200,2610,1124,78,"Saproscincus tetradactylus"
215,3112,878,90,"Saproscincus tetradactylus"
235,3082,1497,91,"Saproscincus tetradactylus"
202,2694,2538,83,"Saproscincus tetradactylus"
210,2839,1458,85,"Saproscincus tetradactylus"
207,3021,1501,95,"Saproscincus tetradactylus"
196,2959,1538,89,"Saproscincus tetradactylus"
201,2506,3000,64,"Saproscincus tetradactylus"
230,2299,1173,98,"Saproscincus tetradactylus"
223,2141,1850,93,"Saproscincus tetradactylus"
248,2308,1772,91,"Saproscincus tetradactylus"
206,2424,2498,66,"Saproscincus tetradactylus"
220,2194,2018,94,"Saproscincus tetradactylus"
244,2784,2412,80,"Saproscincus tetradactylus"
205,2995,1450,91,"Saproscincus tetradactylus"
220,3181,778,90,"Saproscincus tetradactylus"
201,2687,1745,73,"Saproscincus tetradactylus"
230,2529,3737,61,"Saproscincus tetradactylus"
226,2547,848,106,"Saproscincus tetradactylus"
226,3282,696,91,"Saproscincus tetradactylus"
210,2987,1424,94,"Saproscincus tetradactylus"
215,2869,1220,88,"Saproscincus tetradactylus"
213,2472,954,93,"Saproscincus tetradactylus"
218,2980,1816,94,"Saproscincus tetradactylus"
217,2454,1140,93,"Saproscincus tetradactylus"
223,3258,676,88,"Saproscincus tetradactylus"
201,2453,1118,90,"Saproscincus tetradactylus"
208,3084,894,89,"Saproscincus tetradactylus"
221,2989,2129,91,"Saproscincus tetradactylus"
232,2655,2479,87,"Saproscincus tetradactylus"
221,2505,855,98,"Saproscincus tetradactylus"
223,2321,2436,83,"Saproscincus tetradactylus"
222,3312,753,91,"Saproscincus tetradactylus"
220,2457,969,97,"Saproscincus tetradactylus"
198,3000,1485,90,"Saproscincus tetradactylus"
215,2377,1118,89,"Saproscincus tetradactylus"
221,2314,1247,106,"Saproscincus tetradactylus"
207,2701,849,96,"Saproscincus tetradactylus"
224,2615,2502,90,"Saproscincus tetradactylus"
238,2871,1591,89,"Saproscincus tetradactylus"
224,2463,809,108,"Saproscincus tetradactylus"
205,2730,2355,85,"Saproscincus tetradactylus"
210,2359,1779,83,"Saproscincus tetradactylus"
241,3076,1754,93,"Saproscincus tetradactylus"
206,2673,1270,73,"Saproscincus tetradactylus"
214,2975,948,89,"Saproscincus tetradactylus"
244,2362,2434,83,"Saproscincus tetradactylus"
238,2432,2502,68,"Saproscincus tetradactylus"
206,3029,1217,92,"Saproscincus tetradactylus"
208,2394,3748,63,"Saproscincus tetradactylus"
208,2775,1232,78,"Saproscincus tetradactylus"
205,2924,1446,91,"Saproscincus tetradactylus"
212,2973,1566,94,"Saproscincus tetradactylus"
210,3064,939,91,"Saproscincus tetradactylus"
244,2482,3854,63,"Saproscincus tetradactylus"
202,2670,2268,75,"Saproscincus tetradactylus"
243,2831,2263,77,"Saproscincus tetradactylus"
233,2968,1270,92,"Saproscincus tetradactylus"
203,2298,1327,105,"Saproscincus tetradactylus"
203,2999,1157,90,"Saproscincus tetradactylus"
212,2760,1113,89,"Saproscincus tetradactylus"
248,2382,2992,65,"Saproscincus tetradactylus"
218,2597,2339,85,"Saproscincus tetradactylus"
225,2281,3503,71,"Saproscincus tetradactylus"
190,2512,1719,68,"Saproscincus tetradactylus"
198,2952,1769,89,"Saproscincus tetradactylus"
244,3069,1777,92,"Saproscincus tetradactylus"
198,2499,2912,63,"Saproscincus tetradactylus"
246,2511,3472,66,"Saproscincus tetradactylus"
227,3323,710,91,"Saproscincus tetradactylus"
224,2413,1060,96,"Saproscincus tetradactylus"
244,2756,2391,82,"Saproscincus tetradactylus"
219,2554,989,102,"Saproscincus tetradactylus"
219,3207,879,90,"Saproscincus tetradactylus"
218,3037,1578,93,"Saproscincus tetradactylus"
212,2632,838,103,"Saproscincus tetradactylus"
