"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,228,2019,21,"Simalia amethistina"
261,1604,1417,114,"Simalia amethistina"
249,227,2384,27,"Simalia amethistina"
260,187,1912,22,"Simalia amethistina"
264,429,2839,30,"Simalia amethistina"
256,194,2817,9,"Simalia amethistina"
259,1749,1201,120,"Simalia amethistina"
259,485,5056,11,"Simalia amethistina"
182,372,2788,12,"Simalia amethistina"
272,214,3030,13,"Simalia amethistina"
262,1727,1193,112,"Simalia amethistina"
251,2656,870,116,"Simalia amethistina"
252,73,3518,25,"Simalia amethistina"
213,475,4186,11,"Simalia amethistina"
255,260,3244,20,"Simalia amethistina"
241,1882,1692,104,"Simalia amethistina"
226,233,1811,53,"Simalia amethistina"
244,2581,3163,71,"Simalia amethistina"
259,575,2768,51,"Simalia amethistina"
263,673,3599,25,"Simalia amethistina"
261,168,2239,36,"Simalia amethistina"
270,732,2293,63,"Simalia amethistina"
262,192,1970,22,"Simalia amethistina"
258,547,4549,13,"Simalia amethistina"
260,518,3221,46,"Simalia amethistina"
252,1429,1538,106,"Simalia amethistina"
255,866,1170,72,"Simalia amethistina"
194,456,2537,29,"Simalia amethistina"
259,459,4590,11,"Simalia amethistina"
263,796,1622,64,"Simalia amethistina"
258,291,3739,12,"Simalia amethistina"
254,611,3028,41,"Simalia amethistina"
267,194,2647,11,"Simalia amethistina"
259,764,1882,59,"Simalia amethistina"
259,1748,1469,96,"Simalia amethistina"
263,563,4316,25,"Simalia amethistina"
259,544,5737,11,"Simalia amethistina"
276,652,944,85,"Simalia amethistina"
253,586,3984,20,"Simalia amethistina"
244,600,4682,16,"Simalia amethistina"
238,531,3851,18,"Simalia amethistina"
262,411,4044,32,"Simalia amethistina"
242,417,3367,25,"Simalia amethistina"
225,227,2896,44,"Simalia amethistina"
207,402,3825,14,"Simalia amethistina"
260,415,2541,15,"Simalia amethistina"
252,1332,1823,93,"Simalia amethistina"
259,686,2014,60,"Simalia amethistina"
261,194,2914,22,"Simalia amethistina"
255,745,2284,43,"Simalia amethistina"
264,607,1944,23,"Simalia amethistina"
234,495,3679,28,"Simalia amethistina"
229,747,1616,102,"Simalia amethistina"
264,198,2590,13,"Simalia amethistina"
254,668,2376,41,"Simalia amethistina"
270,742,2570,51,"Simalia amethistina"
239,844,915,67,"Simalia amethistina"
244,2935,1970,91,"Simalia amethistina"
240,495,4172,24,"Simalia amethistina"
263,192,2089,28,"Simalia amethistina"
264,1202,1524,114,"Simalia amethistina"
257,424,2552,20,"Simalia amethistina"
265,825,1367,106,"Simalia amethistina"
259,483,3370,27,"Simalia amethistina"
254,825,2206,19,"Simalia amethistina"
270,175,2715,8,"Simalia amethistina"
275,814,1618,106,"Simalia amethistina"
257,487,3498,39,"Simalia amethistina"
247,796,1602,94,"Simalia amethistina"
250,713,4307,26,"Simalia amethistina"
244,2346,731,113,"Simalia amethistina"
252,1599,1521,111,"Simalia amethistina"
263,212,2375,29,"Simalia amethistina"
254,624,2764,38,"Simalia amethistina"
225,423,4399,38,"Simalia amethistina"
126,278,2599,41,"Simalia amethistina"
262,659,1985,60,"Simalia amethistina"
221,394,3464,20,"Simalia amethistina"
256,602,2875,41,"Simalia amethistina"
235,313,3782,10,"Simalia amethistina"
271,346,3377,32,"Simalia amethistina"
261,240,3247,8,"Simalia amethistina"
256,581,4614,25,"Simalia amethistina"
258,218,2163,22,"Simalia amethistina"
264,853,1556,72,"Simalia amethistina"
171,296,3456,21,"Simalia amethistina"
263,536,3243,19,"Simalia amethistina"
257,551,4234,14,"Simalia amethistina"
255,690,2342,40,"Simalia amethistina"
253,599,4044,32,"Simalia amethistina"
257,629,3204,18,"Simalia amethistina"
270,440,2611,26,"Simalia amethistina"
267,646,2259,67,"Simalia amethistina"
246,188,2116,32,"Simalia amethistina"
245,2615,845,115,"Simalia amethistina"
255,700,2447,43,"Simalia amethistina"
261,574,4753,20,"Simalia amethistina"
264,305,3049,27,"Simalia amethistina"
270,799,1971,63,"Simalia amethistina"
209,2073,2158,92,"Simalia amethistina"
260,638,1179,81,"Simalia amethistina"
256,661,2069,87,"Simalia amethistina"
262,663,1913,60,"Simalia amethistina"
