"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
258,1550,1442,116,"Simalia kinghorni"
261,1912,1064,114,"Simalia kinghorni"
236,2231,1062,104,"Simalia kinghorni"
209,2780,1245,77,"Simalia kinghorni"
255,1308,1612,109,"Simalia kinghorni"
211,2857,1259,88,"Simalia kinghorni"
261,1083,1654,107,"Simalia kinghorni"
227,2374,1047,97,"Simalia kinghorni"
193,2525,3038,65,"Simalia kinghorni"
237,2371,723,112,"Simalia kinghorni"
262,1509,1347,114,"Simalia kinghorni"
264,1119,1692,114,"Simalia kinghorni"
265,1357,1829,117,"Simalia kinghorni"
257,1865,1586,99,"Simalia kinghorni"
254,1283,1618,97,"Simalia kinghorni"
253,1378,1671,98,"Simalia kinghorni"
267,1219,1600,117,"Simalia kinghorni"
267,1419,1585,121,"Simalia kinghorni"
256,1679,1291,115,"Simalia kinghorni"
205,2469,2917,63,"Simalia kinghorni"
260,1801,1102,110,"Simalia kinghorni"
228,2139,1363,100,"Simalia kinghorni"
217,2246,1050,106,"Simalia kinghorni"
254,1845,1174,106,"Simalia kinghorni"
227,3294,682,89,"Simalia kinghorni"
255,2059,938,115,"Simalia kinghorni"
261,1655,1073,107,"Simalia kinghorni"
257,1620,1313,110,"Simalia kinghorni"
259,1996,1023,114,"Simalia kinghorni"
269,1325,1792,118,"Simalia kinghorni"
246,2545,3433,72,"Simalia kinghorni"
237,2014,1990,95,"Simalia kinghorni"
256,1689,1558,98,"Simalia kinghorni"
259,1767,1776,95,"Simalia kinghorni"
222,2428,1136,101,"Simalia kinghorni"
254,1544,1200,116,"Simalia kinghorni"
248,2359,3076,71,"Simalia kinghorni"
210,3105,881,91,"Simalia kinghorni"
224,3314,750,91,"Simalia kinghorni"
262,1228,1877,117,"Simalia kinghorni"
234,2265,981,101,"Simalia kinghorni"
258,1462,1391,115,"Simalia kinghorni"
218,2193,1728,96,"Simalia kinghorni"
246,2084,901,115,"Simalia kinghorni"
260,1671,1200,104,"Simalia kinghorni"
248,2323,1771,90,"Simalia kinghorni"
268,1123,1624,118,"Simalia kinghorni"
235,1565,1513,112,"Simalia kinghorni"
258,1716,1337,113,"Simalia kinghorni"
213,2865,1024,84,"Simalia kinghorni"
264,1457,1631,119,"Simalia kinghorni"
267,1189,1737,118,"Simalia kinghorni"
208,3054,1067,92,"Simalia kinghorni"
222,2560,3284,63,"Simalia kinghorni"
262,1706,1109,110,"Simalia kinghorni"
265,1095,1578,112,"Simalia kinghorni"
210,3012,975,90,"Simalia kinghorni"
257,1453,1272,116,"Simalia kinghorni"
250,1871,1681,99,"Simalia kinghorni"
262,1884,1114,113,"Simalia kinghorni"
266,1049,1729,101,"Simalia kinghorni"
215,2869,1220,88,"Simalia kinghorni"
248,2086,2455,87,"Simalia kinghorni"
234,2420,2774,68,"Simalia kinghorni"
262,1823,1221,113,"Simalia kinghorni"
261,1354,1416,116,"Simalia kinghorni"
263,1073,1701,111,"Simalia kinghorni"
248,1827,1355,103,"Simalia kinghorni"
253,1422,1603,106,"Simalia kinghorni"
231,2399,2671,65,"Simalia kinghorni"
261,1659,1398,114,"Simalia kinghorni"
253,1895,1453,101,"Simalia kinghorni"
252,1592,1292,117,"Simalia kinghorni"
266,1145,1554,115,"Simalia kinghorni"
263,1264,1534,115,"Simalia kinghorni"
262,1854,1132,114,"Simalia kinghorni"
257,1606,1151,116,"Simalia kinghorni"
256,2022,990,115,"Simalia kinghorni"
260,1830,1208,111,"Simalia kinghorni"
224,1861,2249,93,"Simalia kinghorni"
226,2530,2534,61,"Simalia kinghorni"
194,1955,1258,103,"Simalia kinghorni"
243,3040,1598,94,"Simalia kinghorni"
263,1312,1624,115,"Simalia kinghorni"
261,1796,1050,113,"Simalia kinghorni"
216,2885,869,96,"Simalia kinghorni"
225,2399,1057,95,"Simalia kinghorni"
256,1848,1645,98,"Simalia kinghorni"
209,2919,1084,93,"Simalia kinghorni"
268,1068,1626,114,"Simalia kinghorni"
223,3163,899,90,"Simalia kinghorni"
229,2261,1192,96,"Simalia kinghorni"
230,2315,1114,100,"Simalia kinghorni"
265,1376,1579,115,"Simalia kinghorni"
216,2552,1037,104,"Simalia kinghorni"
263,1244,1584,115,"Simalia kinghorni"
264,1166,1508,113,"Simalia kinghorni"
267,1042,1612,110,"Simalia kinghorni"
208,2949,1767,95,"Simalia kinghorni"
253,1775,1104,115,"Simalia kinghorni"
265,1046,1660,104,"Simalia kinghorni"
258,1635,1338,107,"Simalia kinghorni"
257,1867,1182,109,"Simalia kinghorni"
255,1748,1088,107,"Simalia kinghorni"
239,3133,1280,95,"Simalia kinghorni"
258,1888,1156,110,"Simalia kinghorni"
259,1605,1424,112,"Simalia kinghorni"
262,1776,1126,113,"Simalia kinghorni"
244,2953,1900,92,"Simalia kinghorni"
246,1714,1362,101,"Simalia kinghorni"
209,3005,1253,93,"Simalia kinghorni"
230,2431,4371,61,"Simalia kinghorni"
258,1967,1007,113,"Simalia kinghorni"
222,2142,1306,96,"Simalia kinghorni"
229,2325,1215,103,"Simalia kinghorni"
259,1297,1569,94,"Simalia kinghorni"
263,1174,1730,116,"Simalia kinghorni"
215,2428,3650,62,"Simalia kinghorni"
248,1350,1872,97,"Simalia kinghorni"
268,1316,1948,125,"Simalia kinghorni"
270,1272,1930,123,"Simalia kinghorni"
248,1545,1521,115,"Simalia kinghorni"
257,1732,1632,96,"Simalia kinghorni"
246,1878,1552,98,"Simalia kinghorni"
262,1146,1560,111,"Simalia kinghorni"
235,2098,931,115,"Simalia kinghorni"
266,1041,1738,101,"Simalia kinghorni"
250,1664,1200,115,"Simalia kinghorni"
239,2316,852,110,"Simalia kinghorni"
270,1177,1845,120,"Simalia kinghorni"
264,1158,1661,118,"Simalia kinghorni"
269,1172,1722,120,"Simalia kinghorni"
264,1123,1540,113,"Simalia kinghorni"
267,1288,1586,118,"Simalia kinghorni"
229,2345,1110,100,"Simalia kinghorni"
246,2042,1346,102,"Simalia kinghorni"
257,1229,1677,97,"Simalia kinghorni"
247,1920,1208,108,"Simalia kinghorni"
261,1052,1660,102,"Simalia kinghorni"
220,2829,1708,93,"Simalia kinghorni"
257,1856,1116,107,"Simalia kinghorni"
214,2564,2997,66,"Simalia kinghorni"
263,1118,1706,112,"Simalia kinghorni"
190,2153,2226,88,"Simalia kinghorni"
235,1521,1659,111,"Simalia kinghorni"
262,1729,1268,112,"Simalia kinghorni"
244,2779,2394,84,"Simalia kinghorni"
205,2555,3208,66,"Simalia kinghorni"
259,1118,1769,98,"Simalia kinghorni"
241,2877,1870,92,"Simalia kinghorni"
244,2050,1620,93,"Simalia kinghorni"
216,3149,776,90,"Simalia kinghorni"
267,1270,1989,119,"Simalia kinghorni"
270,1390,1764,124,"Simalia kinghorni"
230,1311,1912,101,"Simalia kinghorni"
260,1917,1045,113,"Simalia kinghorni"
261,1076,1743,106,"Simalia kinghorni"
263,1519,1391,115,"Simalia kinghorni"
245,3178,1100,100,"Simalia kinghorni"
254,1661,1280,117,"Simalia kinghorni"
261,1049,1691,110,"Simalia kinghorni"
266,1339,1605,116,"Simalia kinghorni"
259,1535,1351,117,"Simalia kinghorni"
222,2377,1062,92,"Simalia kinghorni"
258,1453,1560,106,"Simalia kinghorni"
226,2070,1164,111,"Simalia kinghorni"
269,1274,1735,120,"Simalia kinghorni"
241,3026,1539,95,"Simalia kinghorni"
263,1038,1813,106,"Simalia kinghorni"
254,1730,1091,105,"Simalia kinghorni"
208,2672,2789,86,"Simalia kinghorni"
268,1281,1968,121,"Simalia kinghorni"
202,1945,1941,97,"Simalia kinghorni"
266,1275,1602,117,"Simalia kinghorni"
233,2037,1368,109,"Simalia kinghorni"
205,2034,1242,97,"Simalia kinghorni"
250,1452,1264,115,"Simalia kinghorni"
256,1091,1898,101,"Simalia kinghorni"
254,1694,1235,118,"Simalia kinghorni"
258,1771,1411,98,"Simalia kinghorni"
256,1412,1478,112,"Simalia kinghorni"
253,1200,1827,105,"Simalia kinghorni"
260,1586,1233,115,"Simalia kinghorni"
190,1967,2152,92,"Simalia kinghorni"
207,2300,2942,74,"Simalia kinghorni"
252,1538,1130,119,"Simalia kinghorni"
255,1612,1585,111,"Simalia kinghorni"
236,2094,955,110,"Simalia kinghorni"
209,2679,832,102,"Simalia kinghorni"
257,1328,1316,105,"Simalia kinghorni"
257,1802,1555,98,"Simalia kinghorni"
211,2746,1111,81,"Simalia kinghorni"
261,1264,1664,92,"Simalia kinghorni"
256,1627,1366,116,"Simalia kinghorni"
263,1149,1670,112,"Simalia kinghorni"
225,1983,1789,101,"Simalia kinghorni"
258,1117,1814,101,"Simalia kinghorni"
254,1464,1247,110,"Simalia kinghorni"
264,1041,1687,115,"Simalia kinghorni"
261,1422,1421,116,"Simalia kinghorni"
214,2368,3085,67,"Simalia kinghorni"
261,1771,1278,111,"Simalia kinghorni"
263,1153,1615,97,"Simalia kinghorni"
259,1298,1822,90,"Simalia kinghorni"
240,3069,1692,95,"Simalia kinghorni"
244,3093,1836,92,"Simalia kinghorni"
264,1038,1776,109,"Simalia kinghorni"
250,1906,1221,108,"Simalia kinghorni"
221,2336,871,110,"Simalia kinghorni"
267,1295,1698,116,"Simalia kinghorni"
246,1434,1608,111,"Simalia kinghorni"
255,1649,1343,116,"Simalia kinghorni"
262,1553,1434,117,"Simalia kinghorni"
269,1134,1721,120,"Simalia kinghorni"
253,1629,1206,117,"Simalia kinghorni"
255,1624,1184,116,"Simalia kinghorni"
256,1855,1435,99,"Simalia kinghorni"
201,2701,2151,78,"Simalia kinghorni"
266,1168,1574,115,"Simalia kinghorni"
257,1987,942,114,"Simalia kinghorni"
268,1459,1584,122,"Simalia kinghorni"
268,1431,1720,119,"Simalia kinghorni"
266,1046,1797,101,"Simalia kinghorni"
243,2005,1256,101,"Simalia kinghorni"
253,1340,1832,97,"Simalia kinghorni"
265,1046,1586,114,"Simalia kinghorni"
264,1185,1524,113,"Simalia kinghorni"
209,2965,1270,91,"Simalia kinghorni"
261,1885,1121,114,"Simalia kinghorni"
251,1909,1240,105,"Simalia kinghorni"
211,1987,2190,93,"Simalia kinghorni"
190,2487,1591,72,"Simalia kinghorni"
267,1286,1947,124,"Simalia kinghorni"
211,2812,1282,86,"Simalia kinghorni"
244,2723,2521,76,"Simalia kinghorni"
259,1252,1487,113,"Simalia kinghorni"
234,2273,1045,107,"Simalia kinghorni"
260,1274,1456,112,"Simalia kinghorni"
241,2057,1309,99,"Simalia kinghorni"
251,1934,1159,106,"Simalia kinghorni"
239,2161,901,111,"Simalia kinghorni"
257,1265,1437,113,"Simalia kinghorni"
258,1815,1114,110,"Simalia kinghorni"
266,1418,1636,118,"Simalia kinghorni"
265,1096,1652,116,"Simalia kinghorni"
223,1799,2389,94,"Simalia kinghorni"
265,1326,1757,114,"Simalia kinghorni"
268,1090,1603,117,"Simalia kinghorni"
210,3129,1174,88,"Simalia kinghorni"
265,1402,1602,117,"Simalia kinghorni"
266,1086,1606,112,"Simalia kinghorni"
265,1310,1582,115,"Simalia kinghorni"
259,1113,1694,109,"Simalia kinghorni"
260,1437,1397,116,"Simalia kinghorni"
193,1989,2347,91,"Simalia kinghorni"
254,1823,1142,105,"Simalia kinghorni"
241,2533,3083,61,"Simalia kinghorni"
264,1532,1595,114,"Simalia kinghorni"
235,3134,1412,96,"Simalia kinghorni"
257,1537,1378,117,"Simalia kinghorni"
226,3042,1927,94,"Simalia kinghorni"
253,1963,932,110,"Simalia kinghorni"
257,1190,1611,111,"Simalia kinghorni"
258,1374,1464,113,"Simalia kinghorni"
265,1154,1586,116,"Simalia kinghorni"
265,1540,1380,116,"Simalia kinghorni"
261,1043,1706,104,"Simalia kinghorni"
260,1162,1472,103,"Simalia kinghorni"
250,1641,1342,112,"Simalia kinghorni"
260,1605,1396,113,"Simalia kinghorni"
262,1818,1067,114,"Simalia kinghorni"
259,1697,1624,94,"Simalia kinghorni"
259,1309,1402,111,"Simalia kinghorni"
258,1519,1215,116,"Simalia kinghorni"
268,1149,1783,120,"Simalia kinghorni"
226,2588,1053,108,"Simalia kinghorni"
262,1179,1777,94,"Simalia kinghorni"
262,1099,1671,95,"Simalia kinghorni"
261,1063,1730,97,"Simalia kinghorni"
260,1773,1178,113,"Simalia kinghorni"
244,2799,2221,88,"Simalia kinghorni"
262,1142,1611,98,"Simalia kinghorni"
260,1606,1352,108,"Simalia kinghorni"
260,1197,1501,104,"Simalia kinghorni"
232,2279,1067,110,"Simalia kinghorni"
240,3032,1143,91,"Simalia kinghorni"
260,1682,1351,99,"Simalia kinghorni"
243,1962,1032,113,"Simalia kinghorni"
259,1195,1529,112,"Simalia kinghorni"
228,2382,1173,102,"Simalia kinghorni"
258,2018,940,114,"Simalia kinghorni"
227,2415,902,113,"Simalia kinghorni"
225,2785,2610,82,"Simalia kinghorni"
256,1408,1376,114,"Simalia kinghorni"
253,1454,1233,110,"Simalia kinghorni"
262,1846,1138,114,"Simalia kinghorni"
248,2070,1127,112,"Simalia kinghorni"
260,1443,1472,104,"Simalia kinghorni"
239,1560,1175,119,"Simalia kinghorni"
225,2409,1074,98,"Simalia kinghorni"
261,1380,1464,115,"Simalia kinghorni"
258,1374,1342,113,"Simalia kinghorni"
267,1042,1605,113,"Simalia kinghorni"
250,1755,1664,99,"Simalia kinghorni"
252,1692,1216,115,"Simalia kinghorni"
250,2069,990,114,"Simalia kinghorni"
263,1056,1675,113,"Simalia kinghorni"
258,1995,975,113,"Simalia kinghorni"
250,2085,983,114,"Simalia kinghorni"
236,2053,1328,106,"Simalia kinghorni"
263,1111,1563,109,"Simalia kinghorni"
269,1284,2071,122,"Simalia kinghorni"
238,1813,1809,102,"Simalia kinghorni"
268,1096,1637,118,"Simalia kinghorni"
234,3102,1319,96,"Simalia kinghorni"
268,1182,1835,121,"Simalia kinghorni"
261,1923,1116,113,"Simalia kinghorni"
248,1961,1239,100,"Simalia kinghorni"
254,1633,1271,117,"Simalia kinghorni"
253,1411,1315,111,"Simalia kinghorni"
265,1149,1760,114,"Simalia kinghorni"
255,1892,1106,106,"Simalia kinghorni"
243,3048,1645,93,"Simalia kinghorni"
213,2610,779,99,"Simalia kinghorni"
255,1875,1092,106,"Simalia kinghorni"
262,1848,1170,112,"Simalia kinghorni"
261,1634,1275,105,"Simalia kinghorni"
263,1240,1603,116,"Simalia kinghorni"
253,1797,1291,103,"Simalia kinghorni"
268,1451,1675,123,"Simalia kinghorni"
253,1578,1279,113,"Simalia kinghorni"
253,1475,1413,111,"Simalia kinghorni"
262,1510,1740,115,"Simalia kinghorni"
261,1586,1335,113,"Simalia kinghorni"
213,2349,838,107,"Simalia kinghorni"
246,1773,2004,98,"Simalia kinghorni"
242,2884,1476,92,"Simalia kinghorni"
260,1368,1394,99,"Simalia kinghorni"
259,1502,1295,115,"Simalia kinghorni"
257,1264,1681,95,"Simalia kinghorni"
197,2285,1738,85,"Simalia kinghorni"
258,1219,1494,111,"Simalia kinghorni"
269,1127,1703,119,"Simalia kinghorni"
254,2084,1071,115,"Simalia kinghorni"
260,1919,1058,114,"Simalia kinghorni"
232,2140,1087,110,"Simalia kinghorni"
245,2989,1908,90,"Simalia kinghorni"
244,2496,3499,61,"Simalia kinghorni"
258,1317,1384,103,"Simalia kinghorni"
267,1111,1671,118,"Simalia kinghorni"
259,1517,1330,116,"Simalia kinghorni"
252,1855,1121,106,"Simalia kinghorni"
265,1058,1696,96,"Simalia kinghorni"
256,1217,2057,93,"Simalia kinghorni"
256,1729,1102,109,"Simalia kinghorni"
250,1936,1276,102,"Simalia kinghorni"
257,1757,1548,96,"Simalia kinghorni"
196,2686,2493,84,"Simalia kinghorni"
206,2432,2263,67,"Simalia kinghorni"
259,1700,1473,113,"Simalia kinghorni"
209,2999,1378,93,"Simalia kinghorni"
259,1933,1058,112,"Simalia kinghorni"
267,1397,1749,117,"Simalia kinghorni"
221,2498,855,98,"Simalia kinghorni"
268,1073,1634,115,"Simalia kinghorni"
204,2783,1996,91,"Simalia kinghorni"
256,1787,1100,109,"Simalia kinghorni"
234,2226,1099,98,"Simalia kinghorni"
212,2892,1039,84,"Simalia kinghorni"
243,1960,1472,98,"Simalia kinghorni"
214,2984,1079,89,"Simalia kinghorni"
257,2004,1029,113,"Simalia kinghorni"
262,1208,1604,116,"Simalia kinghorni"
261,1257,1490,114,"Simalia kinghorni"
244,2777,2416,81,"Simalia kinghorni"
230,1787,2434,94,"Simalia kinghorni"
254,1385,1415,108,"Simalia kinghorni"
258,1223,1401,108,"Simalia kinghorni"
257,1714,1276,102,"Simalia kinghorni"
260,1119,1615,101,"Simalia kinghorni"
255,1691,1215,103,"Simalia kinghorni"
259,1850,1220,111,"Simalia kinghorni"
190,2559,1855,72,"Simalia kinghorni"
262,1861,1070,114,"Simalia kinghorni"
260,1097,1664,107,"Simalia kinghorni"
228,3236,831,88,"Simalia kinghorni"
203,2723,1306,75,"Simalia kinghorni"
244,2799,2215,90,"Simalia kinghorni"
257,1809,1510,98,"Simalia kinghorni"
270,1151,1730,120,"Simalia kinghorni"
232,2064,1130,111,"Simalia kinghorni"
259,1733,1121,109,"Simalia kinghorni"
261,1086,1765,93,"Simalia kinghorni"
223,3207,776,91,"Simalia kinghorni"
245,2908,1972,91,"Simalia kinghorni"
245,3081,1689,92,"Simalia kinghorni"
262,1051,1823,99,"Simalia kinghorni"
261,1198,1492,106,"Simalia kinghorni"
268,1244,1740,119,"Simalia kinghorni"
216,3129,820,91,"Simalia kinghorni"
262,1848,1080,114,"Simalia kinghorni"
262,1840,1135,114,"Simalia kinghorni"
266,1044,1550,109,"Simalia kinghorni"
261,1643,1369,115,"Simalia kinghorni"
264,1042,1668,113,"Simalia kinghorni"
244,1357,1481,109,"Simalia kinghorni"
263,1765,1185,113,"Simalia kinghorni"
262,1609,1254,115,"Simalia kinghorni"
261,1342,1640,93,"Simalia kinghorni"
262,1051,1631,103,"Simalia kinghorni"
257,1639,1198,116,"Simalia kinghorni"
215,3000,870,89,"Simalia kinghorni"
259,1991,1116,113,"Simalia kinghorni"
254,1809,1382,101,"Simalia kinghorni"
266,1329,1586,118,"Simalia kinghorni"
229,2579,3103,66,"Simalia kinghorni"
248,1338,1719,108,"Simalia kinghorni"
254,1318,1740,113,"Simalia kinghorni"
254,1826,1236,104,"Simalia kinghorni"
260,1959,1012,114,"Simalia kinghorni"
259,1573,1449,116,"Simalia kinghorni"
252,1570,1623,111,"Simalia kinghorni"
184,1919,2329,92,"Simalia kinghorni"
267,1112,1649,116,"Simalia kinghorni"
248,2402,3060,62,"Simalia kinghorni"
245,2886,1994,89,"Simalia kinghorni"
265,1199,1610,115,"Simalia kinghorni"
243,2834,2212,78,"Simalia kinghorni"
259,1471,1348,115,"Simalia kinghorni"
269,1204,1698,119,"Simalia kinghorni"
233,2173,878,110,"Simalia kinghorni"
258,1888,1122,108,"Simalia kinghorni"
264,1184,1523,116,"Simalia kinghorni"
246,2438,3608,62,"Simalia kinghorni"
250,1836,2304,95,"Simalia kinghorni"
264,1505,1402,115,"Simalia kinghorni"
253,1289,1675,100,"Simalia kinghorni"
260,1936,1069,114,"Simalia kinghorni"
211,2562,855,101,"Simalia kinghorni"
269,1117,1695,120,"Simalia kinghorni"
229,2231,1557,96,"Simalia kinghorni"
231,2235,820,109,"Simalia kinghorni"
259,1975,1009,116,"Simalia kinghorni"
261,1933,1126,114,"Simalia kinghorni"
253,2080,885,115,"Simalia kinghorni"
252,1759,1239,104,"Simalia kinghorni"
260,1977,1071,115,"Simalia kinghorni"
