"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
184,4366,181,12,"Simoselaps bimaculatus"
175,3792,280,15,"Simoselaps bimaculatus"
198,5804,272,31,"Simoselaps bimaculatus"
193,5782,288,28,"Simoselaps bimaculatus"
228,6338,214,48,"Simoselaps bimaculatus"
179,4705,241,20,"Simoselaps bimaculatus"
200,5850,157,22,"Simoselaps bimaculatus"
187,4925,189,11,"Simoselaps bimaculatus"
180,3757,224,15,"Simoselaps bimaculatus"
176,3324,254,25,"Simoselaps bimaculatus"
190,5040,246,26,"Simoselaps bimaculatus"
194,5419,193,11,"Simoselaps bimaculatus"
203,5718,255,31,"Simoselaps bimaculatus"
185,5145,213,12,"Simoselaps bimaculatus"
213,3367,407,89,"Simoselaps bimaculatus"
191,5136,218,24,"Simoselaps bimaculatus"
180,4811,245,24,"Simoselaps bimaculatus"
170,2778,329,23,"Simoselaps bimaculatus"
176,4108,299,42,"Simoselaps bimaculatus"
192,5521,240,17,"Simoselaps bimaculatus"
176,5062,390,62,"Simoselaps bimaculatus"
180,4855,243,29,"Simoselaps bimaculatus"
216,5686,262,63,"Simoselaps bimaculatus"
206,6075,207,35,"Simoselaps bimaculatus"
209,6144,254,47,"Simoselaps bimaculatus"
179,3567,236,18,"Simoselaps bimaculatus"
202,6185,279,38,"Simoselaps bimaculatus"
209,6157,230,42,"Simoselaps bimaculatus"
195,5810,173,23,"Simoselaps bimaculatus"
198,4301,494,84,"Simoselaps bimaculatus"
217,6329,216,45,"Simoselaps bimaculatus"
181,4057,236,17,"Simoselaps bimaculatus"
226,6171,222,55,"Simoselaps bimaculatus"
207,6090,206,37,"Simoselaps bimaculatus"
184,4329,220,20,"Simoselaps bimaculatus"
214,4402,313,80,"Simoselaps bimaculatus"
183,4086,273,33,"Simoselaps bimaculatus"
189,5209,196,16,"Simoselaps bimaculatus"
201,5894,236,21,"Simoselaps bimaculatus"
201,6118,237,44,"Simoselaps bimaculatus"
203,5589,315,69,"Simoselaps bimaculatus"
191,4686,190,14,"Simoselaps bimaculatus"
161,4286,391,56,"Simoselaps bimaculatus"
184,3458,277,27,"Simoselaps bimaculatus"
168,4806,409,63,"Simoselaps bimaculatus"
214,6219,246,43,"Simoselaps bimaculatus"
170,3887,349,29,"Simoselaps bimaculatus"
209,5991,281,52,"Simoselaps bimaculatus"
167,3283,475,29,"Simoselaps bimaculatus"
215,5894,214,38,"Simoselaps bimaculatus"
209,3805,441,87,"Simoselaps bimaculatus"
204,5893,263,21,"Simoselaps bimaculatus"
221,6192,216,43,"Simoselaps bimaculatus"
233,5423,197,70,"Simoselaps bimaculatus"
209,6238,253,30,"Simoselaps bimaculatus"
206,5881,211,45,"Simoselaps bimaculatus"
177,4915,275,31,"Simoselaps bimaculatus"
171,4114,339,11,"Simoselaps bimaculatus"
209,6020,240,31,"Simoselaps bimaculatus"
198,5856,257,34,"Simoselaps bimaculatus"
203,5197,212,25,"Simoselaps bimaculatus"
190,5562,271,33,"Simoselaps bimaculatus"
233,5558,206,72,"Simoselaps bimaculatus"
177,3355,282,35,"Simoselaps bimaculatus"
204,3637,535,84,"Simoselaps bimaculatus"
194,5524,192,12,"Simoselaps bimaculatus"
168,3168,407,26,"Simoselaps bimaculatus"
179,5280,363,59,"Simoselaps bimaculatus"
219,6165,201,42,"Simoselaps bimaculatus"
166,2994,389,32,"Simoselaps bimaculatus"
192,5829,272,28,"Simoselaps bimaculatus"
202,5825,260,30,"Simoselaps bimaculatus"
191,5380,182,16,"Simoselaps bimaculatus"
163,4398,353,50,"Simoselaps bimaculatus"
189,4762,191,15,"Simoselaps bimaculatus"
211,6098,217,36,"Simoselaps bimaculatus"
177,3327,249,24,"Simoselaps bimaculatus"
215,6014,211,48,"Simoselaps bimaculatus"
167,3663,383,31,"Simoselaps bimaculatus"
205,3947,371,91,"Simoselaps bimaculatus"
187,4170,185,16,"Simoselaps bimaculatus"
171,4151,332,10,"Simoselaps bimaculatus"
190,5480,305,55,"Simoselaps bimaculatus"
188,5090,195,12,"Simoselaps bimaculatus"
205,6075,247,51,"Simoselaps bimaculatus"
183,4775,248,28,"Simoselaps bimaculatus"
185,4331,176,11,"Simoselaps bimaculatus"
202,5839,178,22,"Simoselaps bimaculatus"
224,6394,205,49,"Simoselaps bimaculatus"
216,6082,231,52,"Simoselaps bimaculatus"
189,5342,206,13,"Simoselaps bimaculatus"
176,3202,282,23,"Simoselaps bimaculatus"
188,5491,267,15,"Simoselaps bimaculatus"
177,3556,318,45,"Simoselaps bimaculatus"
196,5645,207,17,"Simoselaps bimaculatus"
184,4004,221,16,"Simoselaps bimaculatus"
203,5748,215,40,"Simoselaps bimaculatus"
232,6163,205,55,"Simoselaps bimaculatus"
225,4917,239,68,"Simoselaps bimaculatus"
192,5096,200,14,"Simoselaps bimaculatus"
210,5594,210,29,"Simoselaps bimaculatus"
164,3502,426,25,"Simoselaps bimaculatus"
177,5318,346,46,"Simoselaps bimaculatus"
192,4673,191,15,"Simoselaps bimaculatus"
206,6228,252,40,"Simoselaps bimaculatus"
173,4075,309,17,"Simoselaps bimaculatus"
201,5496,231,22,"Simoselaps bimaculatus"
188,4953,173,11,"Simoselaps bimaculatus"
182,4763,267,20,"Simoselaps bimaculatus"
177,3742,295,45,"Simoselaps bimaculatus"
218,5935,212,32,"Simoselaps bimaculatus"
196,5482,247,24,"Simoselaps bimaculatus"
191,5149,231,23,"Simoselaps bimaculatus"
179,3765,216,15,"Simoselaps bimaculatus"
187,4773,507,75,"Simoselaps bimaculatus"
188,3891,748,83,"Simoselaps bimaculatus"
223,5718,246,60,"Simoselaps bimaculatus"
194,5563,170,15,"Simoselaps bimaculatus"
181,4196,185,20,"Simoselaps bimaculatus"
179,4903,287,20,"Simoselaps bimaculatus"
192,5336,217,14,"Simoselaps bimaculatus"
204,5679,241,24,"Simoselaps bimaculatus"
172,4996,356,39,"Simoselaps bimaculatus"
194,5606,180,15,"Simoselaps bimaculatus"
168,3935,341,17,"Simoselaps bimaculatus"
232,5556,210,67,"Simoselaps bimaculatus"
219,6323,239,44,"Simoselaps bimaculatus"
210,6033,304,54,"Simoselaps bimaculatus"
207,6042,149,26,"Simoselaps bimaculatus"
196,5279,357,69,"Simoselaps bimaculatus"
164,4437,581,76,"Simoselaps bimaculatus"
208,6209,272,40,"Simoselaps bimaculatus"
171,4805,360,65,"Simoselaps bimaculatus"
182,5007,387,73,"Simoselaps bimaculatus"
197,5804,294,30,"Simoselaps bimaculatus"
180,4167,186,19,"Simoselaps bimaculatus"
212,6205,162,31,"Simoselaps bimaculatus"
220,6288,209,41,"Simoselaps bimaculatus"
195,5958,262,31,"Simoselaps bimaculatus"
190,5514,258,16,"Simoselaps bimaculatus"
184,4446,179,13,"Simoselaps bimaculatus"
185,4621,205,16,"Simoselaps bimaculatus"
208,6051,158,26,"Simoselaps bimaculatus"
186,5118,222,13,"Simoselaps bimaculatus"
217,6108,243,45,"Simoselaps bimaculatus"
214,6050,235,51,"Simoselaps bimaculatus"
189,4575,178,11,"Simoselaps bimaculatus"
172,4779,343,42,"Simoselaps bimaculatus"
197,5732,173,20,"Simoselaps bimaculatus"
186,5234,215,11,"Simoselaps bimaculatus"
167,4532,330,45,"Simoselaps bimaculatus"
183,4458,169,18,"Simoselaps bimaculatus"
194,4777,202,18,"Simoselaps bimaculatus"
180,4745,293,18,"Simoselaps bimaculatus"
187,5140,197,11,"Simoselaps bimaculatus"
229,5801,225,58,"Simoselaps bimaculatus"
184,5095,229,21,"Simoselaps bimaculatus"
173,5026,326,49,"Simoselaps bimaculatus"
217,6347,230,47,"Simoselaps bimaculatus"
175,4094,289,18,"Simoselaps bimaculatus"
209,6194,232,38,"Simoselaps bimaculatus"
171,3502,370,30,"Simoselaps bimaculatus"
210,6224,168,27,"Simoselaps bimaculatus"
178,4090,274,42,"Simoselaps bimaculatus"
191,5338,236,15,"Simoselaps bimaculatus"
