"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
256,4326,259,82,"Simoselaps littoralis"
248,3915,254,79,"Simoselaps littoralis"
228,4779,225,71,"Simoselaps littoralis"
247,3782,312,77,"Simoselaps littoralis"
222,3317,276,95,"Simoselaps littoralis"
201,4202,518,82,"Simoselaps littoralis"
239,4480,232,68,"Simoselaps littoralis"
227,4295,227,74,"Simoselaps littoralis"
250,3437,281,81,"Simoselaps littoralis"
242,4405,235,74,"Simoselaps littoralis"
225,4374,241,74,"Simoselaps littoralis"
212,3837,351,89,"Simoselaps littoralis"
237,3520,226,83,"Simoselaps littoralis"
255,4095,279,80,"Simoselaps littoralis"
238,4677,218,67,"Simoselaps littoralis"
203,4008,509,83,"Simoselaps littoralis"
201,4446,383,81,"Simoselaps littoralis"
235,3319,242,87,"Simoselaps littoralis"
213,3615,339,98,"Simoselaps littoralis"
226,4500,230,74,"Simoselaps littoralis"
247,3970,240,82,"Simoselaps littoralis"
218,3881,307,88,"Simoselaps littoralis"
240,3747,238,79,"Simoselaps littoralis"
236,4329,213,70,"Simoselaps littoralis"
220,4590,265,77,"Simoselaps littoralis"
193,4012,555,90,"Simoselaps littoralis"
234,4135,213,70,"Simoselaps littoralis"
200,4394,447,83,"Simoselaps littoralis"
202,4052,441,81,"Simoselaps littoralis"
232,3429,229,80,"Simoselaps littoralis"
249,3912,268,78,"Simoselaps littoralis"
238,4513,228,67,"Simoselaps littoralis"
234,4256,205,70,"Simoselaps littoralis"
227,4847,239,72,"Simoselaps littoralis"
233,3337,236,83,"Simoselaps littoralis"
231,4159,230,70,"Simoselaps littoralis"
204,4232,470,82,"Simoselaps littoralis"
207,3783,362,87,"Simoselaps littoralis"
232,3401,231,79,"Simoselaps littoralis"
204,4186,487,81,"Simoselaps littoralis"
238,3564,231,81,"Simoselaps littoralis"
215,3336,382,94,"Simoselaps littoralis"
235,3325,236,87,"Simoselaps littoralis"
253,3764,270,79,"Simoselaps littoralis"
211,3766,373,96,"Simoselaps littoralis"
245,4501,247,74,"Simoselaps littoralis"
231,4210,233,71,"Simoselaps littoralis"
219,4022,288,84,"Simoselaps littoralis"
241,3693,266,82,"Simoselaps littoralis"
248,3680,251,75,"Simoselaps littoralis"
237,3386,250,83,"Simoselaps littoralis"
220,4869,253,71,"Simoselaps littoralis"
206,3738,453,88,"Simoselaps littoralis"
248,4064,235,77,"Simoselaps littoralis"
233,4475,220,70,"Simoselaps littoralis"
238,3711,224,79,"Simoselaps littoralis"
242,3833,245,79,"Simoselaps littoralis"
256,4471,263,84,"Simoselaps littoralis"
217,3679,319,93,"Simoselaps littoralis"
224,4211,249,75,"Simoselaps littoralis"
246,4499,247,75,"Simoselaps littoralis"
234,4375,222,71,"Simoselaps littoralis"
217,3958,292,89,"Simoselaps littoralis"
234,4612,216,69,"Simoselaps littoralis"
225,3887,235,82,"Simoselaps littoralis"
209,3458,386,92,"Simoselaps littoralis"
218,2720,306,94,"Simoselaps littoralis"
222,3994,251,82,"Simoselaps littoralis"
199,3786,554,88,"Simoselaps littoralis"
243,3863,277,83,"Simoselaps littoralis"
201,3524,569,85,"Simoselaps littoralis"
226,4726,235,71,"Simoselaps littoralis"
205,3872,380,89,"Simoselaps littoralis"
199,4359,429,83,"Simoselaps littoralis"
223,2967,219,77,"Simoselaps littoralis"
225,4798,250,69,"Simoselaps littoralis"
232,4045,214,71,"Simoselaps littoralis"
242,3898,242,78,"Simoselaps littoralis"
253,4110,250,80,"Simoselaps littoralis"
251,4577,249,80,"Simoselaps littoralis"
219,2597,309,96,"Simoselaps littoralis"
203,3709,402,88,"Simoselaps littoralis"
246,4213,262,82,"Simoselaps littoralis"
203,4173,480,82,"Simoselaps littoralis"
248,3058,298,88,"Simoselaps littoralis"
232,3206,252,89,"Simoselaps littoralis"
221,2888,274,94,"Simoselaps littoralis"
237,3416,229,83,"Simoselaps littoralis"
224,3540,245,83,"Simoselaps littoralis"
237,3403,233,83,"Simoselaps littoralis"
206,4101,449,85,"Simoselaps littoralis"
235,3420,224,85,"Simoselaps littoralis"
200,4189,452,80,"Simoselaps littoralis"
251,4615,252,80,"Simoselaps littoralis"
239,3997,230,75,"Simoselaps littoralis"
212,3645,383,96,"Simoselaps littoralis"
232,4869,213,68,"Simoselaps littoralis"
240,4120,230,74,"Simoselaps littoralis"
