"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
276,2904,717,124,"Simoselaps minimus"
266,2643,862,122,"Simoselaps minimus"
278,3060,686,121,"Simoselaps minimus"
272,2680,701,118,"Simoselaps minimus"
273,2768,758,122,"Simoselaps minimus"
276,2961,791,126,"Simoselaps minimus"
272,2413,844,126,"Simoselaps minimus"
268,2473,886,128,"Simoselaps minimus"
277,2765,641,121,"Simoselaps minimus"
279,2597,750,122,"Simoselaps minimus"
277,2929,708,122,"Simoselaps minimus"
277,2901,744,125,"Simoselaps minimus"
278,1864,739,123,"Simoselaps minimus"
268,2683,755,120,"Simoselaps minimus"
277,2912,720,124,"Simoselaps minimus"
274,2296,787,123,"Simoselaps minimus"
270,2758,812,121,"Simoselaps minimus"
276,2312,767,122,"Simoselaps minimus"
277,2175,763,124,"Simoselaps minimus"
272,2329,861,124,"Simoselaps minimus"
275,2800,718,121,"Simoselaps minimus"
270,2426,856,127,"Simoselaps minimus"
275,2869,782,124,"Simoselaps minimus"
280,2758,716,123,"Simoselaps minimus"
270,2718,746,120,"Simoselaps minimus"
277,1959,753,123,"Simoselaps minimus"
276,2132,771,123,"Simoselaps minimus"
280,2414,700,121,"Simoselaps minimus"
279,3072,698,124,"Simoselaps minimus"
280,3021,663,121,"Simoselaps minimus"
274,2193,799,124,"Simoselaps minimus"
269,2558,815,125,"Simoselaps minimus"
277,2470,749,124,"Simoselaps minimus"
278,2505,783,125,"Simoselaps minimus"
275,2082,780,122,"Simoselaps minimus"
276,2493,805,126,"Simoselaps minimus"
278,2549,772,124,"Simoselaps minimus"
278,2935,679,126,"Simoselaps minimus"
276,2364,798,125,"Simoselaps minimus"
276,3062,715,128,"Simoselaps minimus"
277,2938,759,124,"Simoselaps minimus"
278,2914,743,124,"Simoselaps minimus"
277,2946,731,123,"Simoselaps minimus"
278,2703,747,123,"Simoselaps minimus"
275,2852,780,124,"Simoselaps minimus"
276,2155,776,124,"Simoselaps minimus"
279,2807,739,124,"Simoselaps minimus"
266,2614,824,124,"Simoselaps minimus"
269,2576,825,124,"Simoselaps minimus"
278,2655,749,124,"Simoselaps minimus"
269,2465,854,128,"Simoselaps minimus"
274,2265,790,119,"Simoselaps minimus"
273,2549,766,125,"Simoselaps minimus"
277,2414,752,123,"Simoselaps minimus"
279,2540,754,122,"Simoselaps minimus"
277,3019,749,126,"Simoselaps minimus"
277,2357,707,120,"Simoselaps minimus"
273,2671,733,122,"Simoselaps minimus"
277,2278,752,123,"Simoselaps minimus"
278,1904,696,118,"Simoselaps minimus"
273,2494,805,122,"Simoselaps minimus"
279,3001,721,128,"Simoselaps minimus"
266,2440,892,128,"Simoselaps minimus"
277,2340,750,122,"Simoselaps minimus"
279,2703,800,126,"Simoselaps minimus"
271,2441,839,124,"Simoselaps minimus"
275,2369,714,118,"Simoselaps minimus"
278,2968,749,127,"Simoselaps minimus"
272,2720,714,118,"Simoselaps minimus"
277,2247,725,123,"Simoselaps minimus"
275,2290,821,124,"Simoselaps minimus"
273,2283,788,122,"Simoselaps minimus"
281,2822,713,124,"Simoselaps minimus"
278,2881,671,123,"Simoselaps minimus"
277,2048,726,119,"Simoselaps minimus"
279,2944,677,125,"Simoselaps minimus"
266,2498,844,122,"Simoselaps minimus"
272,2417,844,126,"Simoselaps minimus"
279,2470,775,123,"Simoselaps minimus"
266,2542,893,123,"Simoselaps minimus"
277,2742,729,123,"Simoselaps minimus"
263,2519,894,126,"Simoselaps minimus"
275,2326,796,122,"Simoselaps minimus"
282,2887,730,125,"Simoselaps minimus"
270,2725,762,123,"Simoselaps minimus"
277,2275,714,119,"Simoselaps minimus"
276,2229,759,124,"Simoselaps minimus"
276,2980,794,125,"Simoselaps minimus"
266,2484,867,124,"Simoselaps minimus"
267,2630,815,122,"Simoselaps minimus"
276,2530,785,122,"Simoselaps minimus"
273,2759,734,122,"Simoselaps minimus"
267,2564,817,124,"Simoselaps minimus"
274,2169,819,122,"Simoselaps minimus"
282,2950,693,123,"Simoselaps minimus"
279,2738,720,122,"Simoselaps minimus"
277,2166,751,121,"Simoselaps minimus"
275,2368,795,124,"Simoselaps minimus"
273,2277,836,122,"Simoselaps minimus"
281,3047,644,121,"Simoselaps minimus"
276,2381,781,122,"Simoselaps minimus"
274,2748,789,124,"Simoselaps minimus"
278,3012,608,124,"Simoselaps minimus"
273,2176,839,124,"Simoselaps minimus"
276,2176,767,120,"Simoselaps minimus"
276,1953,765,119,"Simoselaps minimus"
276,2794,658,119,"Simoselaps minimus"
278,2986,746,128,"Simoselaps minimus"
275,2746,709,121,"Simoselaps minimus"
266,2529,834,126,"Simoselaps minimus"
279,2923,711,124,"Simoselaps minimus"
262,2535,929,125,"Simoselaps minimus"
277,1953,752,123,"Simoselaps minimus"
274,2873,760,121,"Simoselaps minimus"
274,2317,795,122,"Simoselaps minimus"
273,2826,807,122,"Simoselaps minimus"
277,2415,726,121,"Simoselaps minimus"
269,2488,830,126,"Simoselaps minimus"
275,2248,782,122,"Simoselaps minimus"
270,2712,750,118,"Simoselaps minimus"
277,3072,710,127,"Simoselaps minimus"
270,2497,829,122,"Simoselaps minimus"
280,2705,794,125,"Simoselaps minimus"
274,2338,779,124,"Simoselaps minimus"
278,2732,732,123,"Simoselaps minimus"
273,2856,772,122,"Simoselaps minimus"
278,3084,718,128,"Simoselaps minimus"
277,2965,689,125,"Simoselaps minimus"
279,2411,694,121,"Simoselaps minimus"
279,3028,695,123,"Simoselaps minimus"
