"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
285,2486,754,118,"Strophurus robinsoni"
280,2760,886,111,"Strophurus robinsoni"
272,2662,1043,113,"Strophurus robinsoni"
287,2546,797,118,"Strophurus robinsoni"
284,2893,800,114,"Strophurus robinsoni"
280,2439,816,115,"Strophurus robinsoni"
279,2647,842,118,"Strophurus robinsoni"
285,2685,789,113,"Strophurus robinsoni"
286,2659,815,113,"Strophurus robinsoni"
284,2684,821,113,"Strophurus robinsoni"
285,2685,792,113,"Strophurus robinsoni"
284,2693,749,113,"Strophurus robinsoni"
285,2531,810,113,"Strophurus robinsoni"
286,2582,768,115,"Strophurus robinsoni"
288,2643,798,116,"Strophurus robinsoni"
285,2737,674,111,"Strophurus robinsoni"
281,2436,812,112,"Strophurus robinsoni"
276,2847,890,111,"Strophurus robinsoni"
288,2584,780,115,"Strophurus robinsoni"
286,2733,757,113,"Strophurus robinsoni"
285,2793,708,111,"Strophurus robinsoni"
284,2541,960,115,"Strophurus robinsoni"
286,2717,762,115,"Strophurus robinsoni"
287,2727,727,112,"Strophurus robinsoni"
284,2654,867,113,"Strophurus robinsoni"
270,2604,1006,115,"Strophurus robinsoni"
285,2652,880,116,"Strophurus robinsoni"
289,2608,781,115,"Strophurus robinsoni"
286,2624,794,115,"Strophurus robinsoni"
278,2703,859,117,"Strophurus robinsoni"
278,2566,977,116,"Strophurus robinsoni"
286,2793,727,113,"Strophurus robinsoni"
284,2578,859,116,"Strophurus robinsoni"
282,2730,748,113,"Strophurus robinsoni"
284,2479,796,115,"Strophurus robinsoni"
279,2390,902,114,"Strophurus robinsoni"
286,2836,704,108,"Strophurus robinsoni"
285,2640,812,113,"Strophurus robinsoni"
270,2713,988,115,"Strophurus robinsoni"
283,2750,815,113,"Strophurus robinsoni"
276,2571,1053,115,"Strophurus robinsoni"
285,2588,773,111,"Strophurus robinsoni"
281,2862,832,114,"Strophurus robinsoni"
282,2781,723,112,"Strophurus robinsoni"
283,2702,798,111,"Strophurus robinsoni"
288,2877,675,110,"Strophurus robinsoni"
282,2496,773,117,"Strophurus robinsoni"
281,2791,843,107,"Strophurus robinsoni"
286,2788,788,114,"Strophurus robinsoni"
282,2408,770,116,"Strophurus robinsoni"
286,2751,838,112,"Strophurus robinsoni"
285,2602,796,115,"Strophurus robinsoni"
282,2747,799,117,"Strophurus robinsoni"
285,2640,854,113,"Strophurus robinsoni"
283,2481,848,113,"Strophurus robinsoni"
280,2408,922,115,"Strophurus robinsoni"
282,2853,767,109,"Strophurus robinsoni"
282,2743,801,114,"Strophurus robinsoni"
282,2477,783,113,"Strophurus robinsoni"
287,2807,678,114,"Strophurus robinsoni"
285,2682,803,112,"Strophurus robinsoni"
273,2757,872,110,"Strophurus robinsoni"
287,2750,754,114,"Strophurus robinsoni"
284,2620,872,116,"Strophurus robinsoni"
285,2605,830,113,"Strophurus robinsoni"
282,2431,934,114,"Strophurus robinsoni"
276,2395,966,118,"Strophurus robinsoni"
286,2727,751,116,"Strophurus robinsoni"
288,2553,766,115,"Strophurus robinsoni"
284,2716,841,115,"Strophurus robinsoni"
276,2417,862,116,"Strophurus robinsoni"
285,2577,829,113,"Strophurus robinsoni"
275,2663,848,116,"Strophurus robinsoni"
279,2444,1041,113,"Strophurus robinsoni"
281,2795,704,115,"Strophurus robinsoni"
286,2713,748,120,"Strophurus robinsoni"
279,2625,911,115,"Strophurus robinsoni"
284,2656,852,116,"Strophurus robinsoni"
284,2564,799,115,"Strophurus robinsoni"
284,2487,820,114,"Strophurus robinsoni"
284,2558,781,115,"Strophurus robinsoni"
284,2657,875,114,"Strophurus robinsoni"
283,2453,794,114,"Strophurus robinsoni"
275,2726,946,118,"Strophurus robinsoni"
286,2625,834,117,"Strophurus robinsoni"
283,2612,910,115,"Strophurus robinsoni"
286,2760,683,113,"Strophurus robinsoni"
282,2876,811,113,"Strophurus robinsoni"
287,2751,706,114,"Strophurus robinsoni"
282,2473,830,116,"Strophurus robinsoni"
279,2760,874,108,"Strophurus robinsoni"
289,2617,782,115,"Strophurus robinsoni"
279,2721,930,116,"Strophurus robinsoni"
280,2534,986,112,"Strophurus robinsoni"
273,2366,1087,116,"Strophurus robinsoni"
279,2622,867,113,"Strophurus robinsoni"
285,2611,768,112,"Strophurus robinsoni"
285,2680,827,112,"Strophurus robinsoni"
285,2608,850,116,"Strophurus robinsoni"
285,2752,789,116,"Strophurus robinsoni"
271,2743,938,116,"Strophurus robinsoni"
286,2853,686,118,"Strophurus robinsoni"
288,2652,791,114,"Strophurus robinsoni"
286,2688,723,112,"Strophurus robinsoni"
282,2752,764,111,"Strophurus robinsoni"
284,2726,788,116,"Strophurus robinsoni"
281,2634,868,115,"Strophurus robinsoni"
281,2868,772,117,"Strophurus robinsoni"
283,2843,759,117,"Strophurus robinsoni"
286,2647,744,110,"Strophurus robinsoni"
285,2577,848,115,"Strophurus robinsoni"
282,2658,848,116,"Strophurus robinsoni"
287,2869,707,114,"Strophurus robinsoni"
287,2585,753,115,"Strophurus robinsoni"
277,2729,907,115,"Strophurus robinsoni"
287,2573,762,117,"Strophurus robinsoni"
281,2782,887,114,"Strophurus robinsoni"
288,2605,754,116,"Strophurus robinsoni"
277,2447,986,116,"Strophurus robinsoni"
273,2793,888,113,"Strophurus robinsoni"
284,2709,805,110,"Strophurus robinsoni"
282,2639,854,116,"Strophurus robinsoni"
288,2573,784,118,"Strophurus robinsoni"
286,2511,779,118,"Strophurus robinsoni"
285,2713,782,114,"Strophurus robinsoni"
273,2734,902,115,"Strophurus robinsoni"
277,2661,831,117,"Strophurus robinsoni"
287,2724,676,110,"Strophurus robinsoni"
285,2831,711,115,"Strophurus robinsoni"
277,2671,782,110,"Strophurus robinsoni"
283,2508,834,112,"Strophurus robinsoni"
284,2763,819,118,"Strophurus robinsoni"
288,2580,787,116,"Strophurus robinsoni"
284,2481,794,116,"Strophurus robinsoni"
285,2509,782,114,"Strophurus robinsoni"
287,2781,780,113,"Strophurus robinsoni"
286,2539,738,114,"Strophurus robinsoni"
284,2627,870,114,"Strophurus robinsoni"
282,2518,807,113,"Strophurus robinsoni"
283,2462,881,113,"Strophurus robinsoni"
283,2451,784,115,"Strophurus robinsoni"
287,2820,687,111,"Strophurus robinsoni"
285,2491,768,120,"Strophurus robinsoni"
282,2879,772,112,"Strophurus robinsoni"
284,2679,726,111,"Strophurus robinsoni"
285,2516,812,115,"Strophurus robinsoni"
275,2401,913,116,"Strophurus robinsoni"
285,2680,811,117,"Strophurus robinsoni"
284,2664,931,113,"Strophurus robinsoni"
278,2665,801,110,"Strophurus robinsoni"
286,2837,679,112,"Strophurus robinsoni"
283,2694,842,118,"Strophurus robinsoni"
280,2400,878,111,"Strophurus robinsoni"
284,2504,861,115,"Strophurus robinsoni"
273,2782,810,111,"Strophurus robinsoni"
278,2400,936,116,"Strophurus robinsoni"
275,2793,950,113,"Strophurus robinsoni"
284,2543,913,116,"Strophurus robinsoni"
