"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
217,5200,296,61,"Strophurus spinigerus"
156,3383,446,34,"Strophurus spinigerus"
168,3329,384,16,"Strophurus spinigerus"
153,3952,416,48,"Strophurus spinigerus"
166,2555,917,79,"Strophurus spinigerus"
166,3853,397,29,"Strophurus spinigerus"
170,4635,334,35,"Strophurus spinigerus"
226,5129,236,67,"Strophurus spinigerus"
167,3228,437,21,"Strophurus spinigerus"
208,4632,350,75,"Strophurus spinigerus"
157,3337,411,28,"Strophurus spinigerus"
186,3848,889,84,"Strophurus spinigerus"
184,4907,425,76,"Strophurus spinigerus"
169,3140,485,39,"Strophurus spinigerus"
147,3296,841,70,"Strophurus spinigerus"
169,4209,888,81,"Strophurus spinigerus"
190,5183,367,68,"Strophurus spinigerus"
175,4191,291,18,"Strophurus spinigerus"
169,3230,334,23,"Strophurus spinigerus"
162,2797,939,73,"Strophurus spinigerus"
198,3946,547,85,"Strophurus spinigerus"
173,4573,309,31,"Strophurus spinigerus"
201,4207,456,85,"Strophurus spinigerus"
206,5884,314,55,"Strophurus spinigerus"
166,3908,342,21,"Strophurus spinigerus"
189,3794,741,86,"Strophurus spinigerus"
162,4112,336,37,"Strophurus spinigerus"
189,4612,521,75,"Strophurus spinigerus"
174,4856,323,46,"Strophurus spinigerus"
200,4556,409,86,"Strophurus spinigerus"
172,3336,894,83,"Strophurus spinigerus"
198,5792,339,52,"Strophurus spinigerus"
187,5534,298,55,"Strophurus spinigerus"
161,4099,358,24,"Strophurus spinigerus"
182,4952,447,68,"Strophurus spinigerus"
178,5208,356,42,"Strophurus spinigerus"
162,4292,379,41,"Strophurus spinigerus"
185,5377,313,49,"Strophurus spinigerus"
186,5351,328,50,"Strophurus spinigerus"
176,4604,301,29,"Strophurus spinigerus"
158,4210,459,64,"Strophurus spinigerus"
197,5626,309,59,"Strophurus spinigerus"
170,3718,361,26,"Strophurus spinigerus"
147,3098,624,53,"Strophurus spinigerus"
160,2414,1179,67,"Strophurus spinigerus"
186,5175,378,68,"Strophurus spinigerus"
168,2923,537,41,"Strophurus spinigerus"
160,4548,390,55,"Strophurus spinigerus"
152,2867,813,58,"Strophurus spinigerus"
157,3711,420,28,"Strophurus spinigerus"
181,5365,331,49,"Strophurus spinigerus"
183,5544,336,48,"Strophurus spinigerus"
175,5034,324,37,"Strophurus spinigerus"
150,3326,684,61,"Strophurus spinigerus"
159,4118,726,77,"Strophurus spinigerus"
195,5755,298,49,"Strophurus spinigerus"
169,3516,395,26,"Strophurus spinigerus"
176,5122,358,47,"Strophurus spinigerus"
157,4415,402,52,"Strophurus spinigerus"
153,3301,390,46,"Strophurus spinigerus"
161,2900,973,75,"Strophurus spinigerus"
173,4236,305,14,"Strophurus spinigerus"
162,3998,348,20,"Strophurus spinigerus"
151,3453,431,49,"Strophurus spinigerus"
149,3144,853,66,"Strophurus spinigerus"
182,5322,322,55,"Strophurus spinigerus"
166,3729,383,16,"Strophurus spinigerus"
173,4875,372,64,"Strophurus spinigerus"
165,2523,582,35,"Strophurus spinigerus"
222,4923,246,68,"Strophurus spinigerus"
162,4054,343,32,"Strophurus spinigerus"
176,3478,976,82,"Strophurus spinigerus"
204,3545,536,84,"Strophurus spinigerus"
166,2595,515,36,"Strophurus spinigerus"
165,2910,526,34,"Strophurus spinigerus"
185,4976,404,71,"Strophurus spinigerus"
163,3230,453,21,"Strophurus spinigerus"
150,3252,681,63,"Strophurus spinigerus"
196,5773,332,58,"Strophurus spinigerus"
189,5500,315,49,"Strophurus spinigerus"
193,4180,601,82,"Strophurus spinigerus"
196,5455,344,66,"Strophurus spinigerus"
181,5178,332,57,"Strophurus spinigerus"
207,4532,334,78,"Strophurus spinigerus"
183,4944,409,72,"Strophurus spinigerus"
171,4330,301,21,"Strophurus spinigerus"
173,4835,322,54,"Strophurus spinigerus"
177,4957,357,67,"Strophurus spinigerus"
193,5015,419,75,"Strophurus spinigerus"
203,5714,343,64,"Strophurus spinigerus"
222,5057,244,68,"Strophurus spinigerus"
153,3483,655,64,"Strophurus spinigerus"
167,2801,557,36,"Strophurus spinigerus"
153,4024,399,45,"Strophurus spinigerus"
168,2887,515,37,"Strophurus spinigerus"
205,5872,319,50,"Strophurus spinigerus"
154,3057,1026,76,"Strophurus spinigerus"
206,5043,330,74,"Strophurus spinigerus"
157,4101,432,59,"Strophurus spinigerus"
217,5689,254,63,"Strophurus spinigerus"
169,3031,573,47,"Strophurus spinigerus"
168,3224,391,20,"Strophurus spinigerus"
176,3320,1054,80,"Strophurus spinigerus"
163,3412,455,25,"Strophurus spinigerus"
161,3512,1115,79,"Strophurus spinigerus"
169,3415,343,16,"Strophurus spinigerus"
208,5047,320,72,"Strophurus spinigerus"
172,4786,319,46,"Strophurus spinigerus"
215,3330,393,92,"Strophurus spinigerus"
171,4893,372,41,"Strophurus spinigerus"
160,2431,1233,68,"Strophurus spinigerus"
167,4521,354,33,"Strophurus spinigerus"
170,4069,348,24,"Strophurus spinigerus"
190,5521,318,54,"Strophurus spinigerus"
203,5622,331,64,"Strophurus spinigerus"
165,4547,339,41,"Strophurus spinigerus"
234,4707,216,68,"Strophurus spinigerus"
158,4197,390,39,"Strophurus spinigerus"
173,2842,525,52,"Strophurus spinigerus"
165,4005,1098,83,"Strophurus spinigerus"
152,3139,1043,78,"Strophurus spinigerus"
155,2319,1109,57,"Strophurus spinigerus"
161,4363,509,70,"Strophurus spinigerus"
161,4180,357,31,"Strophurus spinigerus"
168,3001,566,45,"Strophurus spinigerus"
195,4917,414,74,"Strophurus spinigerus"
147,3835,537,57,"Strophurus spinigerus"
167,4053,329,28,"Strophurus spinigerus"
169,4661,314,43,"Strophurus spinigerus"
168,4784,418,73,"Strophurus spinigerus"
184,5046,444,71,"Strophurus spinigerus"
156,3952,615,69,"Strophurus spinigerus"
171,4427,728,82,"Strophurus spinigerus"
205,3959,462,86,"Strophurus spinigerus"
171,4019,348,21,"Strophurus spinigerus"
174,4948,348,61,"Strophurus spinigerus"
234,4656,224,69,"Strophurus spinigerus"
188,5474,356,66,"Strophurus spinigerus"
175,4870,442,71,"Strophurus spinigerus"
157,3415,641,73,"Strophurus spinigerus"
204,3992,456,83,"Strophurus spinigerus"
177,5093,329,61,"Strophurus spinigerus"
165,4333,327,41,"Strophurus spinigerus"
153,2791,711,46,"Strophurus spinigerus"
210,3569,376,96,"Strophurus spinigerus"
202,5772,284,51,"Strophurus spinigerus"
168,3701,397,17,"Strophurus spinigerus"
184,5065,421,70,"Strophurus spinigerus"
207,5798,299,60,"Strophurus spinigerus"
155,2727,664,37,"Strophurus spinigerus"
171,3365,315,20,"Strophurus spinigerus"
171,3871,332,22,"Strophurus spinigerus"
185,5137,365,69,"Strophurus spinigerus"
166,3435,387,20,"Strophurus spinigerus"
165,3524,450,24,"Strophurus spinigerus"
176,4553,311,26,"Strophurus spinigerus"
149,3508,643,62,"Strophurus spinigerus"
153,3970,654,69,"Strophurus spinigerus"
171,2927,458,25,"Strophurus spinigerus"
166,3669,375,17,"Strophurus spinigerus"
194,4183,511,76,"Strophurus spinigerus"
164,4214,338,33,"Strophurus spinigerus"
172,4900,353,67,"Strophurus spinigerus"
199,4730,398,75,"Strophurus spinigerus"
163,3179,906,80,"Strophurus spinigerus"
173,5022,353,35,"Strophurus spinigerus"
181,5219,341,65,"Strophurus spinigerus"
172,2758,879,84,"Strophurus spinigerus"
148,3537,575,52,"Strophurus spinigerus"
204,3546,550,83,"Strophurus spinigerus"
167,3772,363,15,"Strophurus spinigerus"
170,3043,514,36,"Strophurus spinigerus"
174,4887,427,68,"Strophurus spinigerus"
171,4703,574,71,"Strophurus spinigerus"
162,2987,506,33,"Strophurus spinigerus"
206,5749,312,65,"Strophurus spinigerus"
153,3988,385,41,"Strophurus spinigerus"
199,4277,431,91,"Strophurus spinigerus"
186,3736,849,84,"Strophurus spinigerus"
165,4374,350,43,"Strophurus spinigerus"
204,5651,333,62,"Strophurus spinigerus"
151,2724,973,62,"Strophurus spinigerus"
204,5587,314,66,"Strophurus spinigerus"
192,5668,301,55,"Strophurus spinigerus"
181,4991,391,73,"Strophurus spinigerus"
189,5467,318,59,"Strophurus spinigerus"
169,4214,315,23,"Strophurus spinigerus"
201,4033,495,85,"Strophurus spinigerus"
167,4493,330,34,"Strophurus spinigerus"
208,5790,294,60,"Strophurus spinigerus"
171,4917,375,65,"Strophurus spinigerus"
205,4177,391,93,"Strophurus spinigerus"
158,4350,382,49,"Strophurus spinigerus"
153,3763,371,46,"Strophurus spinigerus"
166,3386,453,28,"Strophurus spinigerus"
191,5416,311,61,"Strophurus spinigerus"
173,4729,341,40,"Strophurus spinigerus"
148,3128,552,46,"Strophurus spinigerus"
174,4128,307,21,"Strophurus spinigerus"
173,4778,331,40,"Strophurus spinigerus"
186,4521,604,78,"Strophurus spinigerus"
164,4378,372,47,"Strophurus spinigerus"
168,3255,353,25,"Strophurus spinigerus"
197,5163,368,74,"Strophurus spinigerus"
193,3969,615,89,"Strophurus spinigerus"
194,5593,336,56,"Strophurus spinigerus"
160,4027,925,81,"Strophurus spinigerus"
205,3744,514,87,"Strophurus spinigerus"
156,4138,389,49,"Strophurus spinigerus"
173,3274,852,81,"Strophurus spinigerus"
157,4278,373,47,"Strophurus spinigerus"
181,5181,313,55,"Strophurus spinigerus"
