"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
221,2423,254,89,"Strophurus strophurus"
239,6349,250,49,"Strophurus strophurus"
218,6218,227,49,"Strophurus strophurus"
242,5802,241,73,"Strophurus strophurus"
227,6330,270,57,"Strophurus strophurus"
207,6250,269,37,"Strophurus strophurus"
235,4150,216,70,"Strophurus strophurus"
220,6392,213,44,"Strophurus strophurus"
241,6154,259,70,"Strophurus strophurus"
214,3950,317,89,"Strophurus strophurus"
223,6311,233,45,"Strophurus strophurus"
223,6186,197,49,"Strophurus strophurus"
250,6330,238,54,"Strophurus strophurus"
229,6313,221,51,"Strophurus strophurus"
250,6373,254,71,"Strophurus strophurus"
257,6224,252,78,"Strophurus strophurus"
228,6412,219,41,"Strophurus strophurus"
254,6233,242,66,"Strophurus strophurus"
209,5835,248,34,"Strophurus strophurus"
225,6335,242,47,"Strophurus strophurus"
251,6060,249,72,"Strophurus strophurus"
241,6419,221,62,"Strophurus strophurus"
213,5845,233,36,"Strophurus strophurus"
226,6438,238,48,"Strophurus strophurus"
231,6265,216,52,"Strophurus strophurus"
198,5608,260,29,"Strophurus strophurus"
218,6234,228,56,"Strophurus strophurus"
258,4873,284,85,"Strophurus strophurus"
238,6045,197,63,"Strophurus strophurus"
260,6108,286,60,"Strophurus strophurus"
191,5290,241,27,"Strophurus strophurus"
214,6052,215,47,"Strophurus strophurus"
216,5856,213,40,"Strophurus strophurus"
223,6326,224,51,"Strophurus strophurus"
186,4722,210,28,"Strophurus strophurus"
237,6385,255,59,"Strophurus strophurus"
225,6290,280,62,"Strophurus strophurus"
257,5471,281,85,"Strophurus strophurus"
217,6321,250,46,"Strophurus strophurus"
267,6086,301,72,"Strophurus strophurus"
242,5766,243,70,"Strophurus strophurus"
224,6265,242,50,"Strophurus strophurus"
203,5754,252,40,"Strophurus strophurus"
235,5858,222,72,"Strophurus strophurus"
257,6202,231,67,"Strophurus strophurus"
240,6080,201,63,"Strophurus strophurus"
228,6437,237,45,"Strophurus strophurus"
245,6367,263,70,"Strophurus strophurus"
257,6380,253,69,"Strophurus strophurus"
202,5617,244,33,"Strophurus strophurus"
259,6206,243,75,"Strophurus strophurus"
261,6178,285,59,"Strophurus strophurus"
238,6387,263,58,"Strophurus strophurus"
267,6156,296,76,"Strophurus strophurus"
260,5844,239,77,"Strophurus strophurus"
243,5525,220,73,"Strophurus strophurus"
262,6026,292,63,"Strophurus strophurus"
236,6332,240,58,"Strophurus strophurus"
258,5658,245,81,"Strophurus strophurus"
227,6113,230,51,"Strophurus strophurus"
236,6158,286,63,"Strophurus strophurus"
259,6109,294,61,"Strophurus strophurus"
225,6417,194,49,"Strophurus strophurus"
219,6337,249,44,"Strophurus strophurus"
194,5362,237,32,"Strophurus strophurus"
243,5228,386,93,"Strophurus strophurus"
250,6059,272,73,"Strophurus strophurus"
204,5236,216,26,"Strophurus strophurus"
227,6226,228,37,"Strophurus strophurus"
244,5976,233,74,"Strophurus strophurus"
244,6220,267,70,"Strophurus strophurus"
249,6255,299,73,"Strophurus strophurus"
216,6345,237,43,"Strophurus strophurus"
261,6024,322,65,"Strophurus strophurus"
211,5960,203,45,"Strophurus strophurus"
236,6078,197,63,"Strophurus strophurus"
266,4887,339,89,"Strophurus strophurus"
259,5546,275,87,"Strophurus strophurus"
244,5744,220,73,"Strophurus strophurus"
264,6298,268,71,"Strophurus strophurus"
208,6191,270,36,"Strophurus strophurus"
241,6430,231,62,"Strophurus strophurus"
267,5006,323,87,"Strophurus strophurus"
263,5598,346,75,"Strophurus strophurus"
237,6366,264,64,"Strophurus strophurus"
246,6385,240,68,"Strophurus strophurus"
190,5218,234,28,"Strophurus strophurus"
245,6349,261,53,"Strophurus strophurus"
237,5801,206,66,"Strophurus strophurus"
232,6101,221,54,"Strophurus strophurus"
261,6035,328,69,"Strophurus strophurus"
269,5099,365,98,"Strophurus strophurus"
222,6203,274,66,"Strophurus strophurus"
238,6431,209,56,"Strophurus strophurus"
189,4975,222,28,"Strophurus strophurus"
255,5189,264,82,"Strophurus strophurus"
222,6410,205,43,"Strophurus strophurus"
210,6241,252,30,"Strophurus strophurus"
230,6386,264,54,"Strophurus strophurus"
214,6316,240,36,"Strophurus strophurus"
248,6292,220,64,"Strophurus strophurus"
236,6306,236,58,"Strophurus strophurus"
202,5552,217,31,"Strophurus strophurus"
242,6423,227,62,"Strophurus strophurus"
230,6255,222,45,"Strophurus strophurus"
248,6399,230,69,"Strophurus strophurus"
230,6259,233,43,"Strophurus strophurus"
243,5523,298,79,"Strophurus strophurus"
237,5446,437,85,"Strophurus strophurus"
216,6341,254,43,"Strophurus strophurus"
257,5242,423,91,"Strophurus strophurus"
215,5900,203,47,"Strophurus strophurus"
208,5831,218,47,"Strophurus strophurus"
246,5487,219,75,"Strophurus strophurus"
232,5475,477,90,"Strophurus strophurus"
255,6222,302,60,"Strophurus strophurus"
258,6142,276,77,"Strophurus strophurus"
228,6353,232,49,"Strophurus strophurus"
267,6095,288,73,"Strophurus strophurus"
210,5990,239,32,"Strophurus strophurus"
228,6441,241,40,"Strophurus strophurus"
254,4973,265,83,"Strophurus strophurus"
229,6449,205,51,"Strophurus strophurus"
219,6110,216,38,"Strophurus strophurus"
252,5288,254,81,"Strophurus strophurus"
199,5880,251,31,"Strophurus strophurus"
259,6185,252,76,"Strophurus strophurus"
262,5973,312,66,"Strophurus strophurus"
259,5974,235,77,"Strophurus strophurus"
232,5027,214,69,"Strophurus strophurus"
260,5812,231,78,"Strophurus strophurus"
255,5387,285,81,"Strophurus strophurus"
225,6162,233,37,"Strophurus strophurus"
