"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
242,6057,241,74,"Strophurus wilsoni"
258,5997,236,73,"Strophurus wilsoni"
250,5835,252,81,"Strophurus wilsoni"
257,5879,272,75,"Strophurus wilsoni"
241,6041,274,69,"Strophurus wilsoni"
242,6108,220,71,"Strophurus wilsoni"
246,5961,235,75,"Strophurus wilsoni"
253,5945,215,72,"Strophurus wilsoni"
245,6170,235,71,"Strophurus wilsoni"
243,6014,294,75,"Strophurus wilsoni"
244,6041,243,76,"Strophurus wilsoni"
252,5950,268,72,"Strophurus wilsoni"
260,5914,237,78,"Strophurus wilsoni"
254,6053,259,65,"Strophurus wilsoni"
249,5831,214,83,"Strophurus wilsoni"
260,5941,235,68,"Strophurus wilsoni"
253,6019,218,65,"Strophurus wilsoni"
244,5997,289,75,"Strophurus wilsoni"
246,6117,233,69,"Strophurus wilsoni"
244,6036,255,76,"Strophurus wilsoni"
240,5976,292,72,"Strophurus wilsoni"
240,6093,252,72,"Strophurus wilsoni"
243,6085,249,69,"Strophurus wilsoni"
250,5958,227,69,"Strophurus wilsoni"
236,6090,302,69,"Strophurus wilsoni"
243,5864,290,80,"Strophurus wilsoni"
245,6163,242,71,"Strophurus wilsoni"
251,6052,262,71,"Strophurus wilsoni"
244,6036,240,68,"Strophurus wilsoni"
261,6003,239,70,"Strophurus wilsoni"
249,5997,245,71,"Strophurus wilsoni"
252,6048,271,66,"Strophurus wilsoni"
242,6178,239,71,"Strophurus wilsoni"
241,5921,266,77,"Strophurus wilsoni"
255,6123,242,69,"Strophurus wilsoni"
261,5970,220,74,"Strophurus wilsoni"
252,5957,231,69,"Strophurus wilsoni"
242,5979,254,72,"Strophurus wilsoni"
246,5918,225,74,"Strophurus wilsoni"
246,5821,230,82,"Strophurus wilsoni"
247,5980,243,77,"Strophurus wilsoni"
241,5818,276,79,"Strophurus wilsoni"
244,6039,235,71,"Strophurus wilsoni"
246,6078,232,72,"Strophurus wilsoni"
257,6041,234,70,"Strophurus wilsoni"
246,5834,239,80,"Strophurus wilsoni"
246,5968,224,74,"Strophurus wilsoni"
246,6144,242,69,"Strophurus wilsoni"
261,6115,245,70,"Strophurus wilsoni"
258,6036,231,70,"Strophurus wilsoni"
246,6212,243,68,"Strophurus wilsoni"
243,6007,238,73,"Strophurus wilsoni"
246,6134,240,70,"Strophurus wilsoni"
241,6058,236,71,"Strophurus wilsoni"
247,5927,244,78,"Strophurus wilsoni"
246,5893,258,78,"Strophurus wilsoni"
247,6093,233,73,"Strophurus wilsoni"
248,5871,246,80,"Strophurus wilsoni"
242,6129,264,72,"Strophurus wilsoni"
246,6167,235,71,"Strophurus wilsoni"
254,6115,255,73,"Strophurus wilsoni"
248,5952,248,73,"Strophurus wilsoni"
234,6112,314,69,"Strophurus wilsoni"
241,6089,289,76,"Strophurus wilsoni"
245,5956,235,74,"Strophurus wilsoni"
242,6125,243,73,"Strophurus wilsoni"
240,6185,249,68,"Strophurus wilsoni"
244,5838,252,80,"Strophurus wilsoni"
245,5891,233,73,"Strophurus wilsoni"
261,6096,251,70,"Strophurus wilsoni"
