"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
278,3651,637,109,"Suta ordensis"
280,2843,827,109,"Suta ordensis"
266,3947,524,111,"Suta ordensis"
278,3389,630,114,"Suta ordensis"
279,3144,742,115,"Suta ordensis"
266,4070,548,108,"Suta ordensis"
272,3303,694,111,"Suta ordensis"
273,3435,573,112,"Suta ordensis"
264,3926,599,111,"Suta ordensis"
276,3381,582,115,"Suta ordensis"
265,3536,609,111,"Suta ordensis"
286,2976,694,112,"Suta ordensis"
264,3447,671,106,"Suta ordensis"
271,4052,535,111,"Suta ordensis"
274,3285,691,112,"Suta ordensis"
275,3182,706,112,"Suta ordensis"
271,4008,580,112,"Suta ordensis"
281,3638,598,110,"Suta ordensis"
281,2880,872,114,"Suta ordensis"
267,3495,629,106,"Suta ordensis"
264,3840,603,111,"Suta ordensis"
270,3583,654,116,"Suta ordensis"
280,3122,610,118,"Suta ordensis"
267,3631,570,111,"Suta ordensis"
282,3348,663,109,"Suta ordensis"
267,3583,636,111,"Suta ordensis"
271,3895,647,113,"Suta ordensis"
267,3854,551,110,"Suta ordensis"
269,3598,716,114,"Suta ordensis"
266,4004,564,109,"Suta ordensis"
276,3698,664,113,"Suta ordensis"
267,3633,678,112,"Suta ordensis"
285,3050,677,113,"Suta ordensis"
279,3485,589,118,"Suta ordensis"
285,3137,703,114,"Suta ordensis"
276,2961,682,110,"Suta ordensis"
271,3029,810,116,"Suta ordensis"
287,2771,760,115,"Suta ordensis"
283,2856,750,110,"Suta ordensis"
277,2994,659,111,"Suta ordensis"
262,3135,789,116,"Suta ordensis"
283,3648,561,108,"Suta ordensis"
287,3273,632,113,"Suta ordensis"
287,3110,649,109,"Suta ordensis"
272,3803,586,112,"Suta ordensis"
277,3280,687,110,"Suta ordensis"
271,3557,611,113,"Suta ordensis"
270,3269,661,111,"Suta ordensis"
278,2747,886,113,"Suta ordensis"
282,3440,653,119,"Suta ordensis"
278,3042,742,109,"Suta ordensis"
285,2942,715,111,"Suta ordensis"
279,2861,772,114,"Suta ordensis"
280,3359,672,113,"Suta ordensis"
285,2985,706,113,"Suta ordensis"
280,3335,689,114,"Suta ordensis"
282,2878,797,111,"Suta ordensis"
273,3836,559,109,"Suta ordensis"
275,3765,622,112,"Suta ordensis"
267,3776,559,112,"Suta ordensis"
285,2892,702,111,"Suta ordensis"
279,3879,555,111,"Suta ordensis"
266,3351,793,111,"Suta ordensis"
277,3647,612,107,"Suta ordensis"
268,3976,532,108,"Suta ordensis"
281,3066,651,110,"Suta ordensis"
277,3896,569,112,"Suta ordensis"
280,2708,833,112,"Suta ordensis"
272,3550,636,119,"Suta ordensis"
275,3423,648,117,"Suta ordensis"
284,3141,626,112,"Suta ordensis"
273,4011,489,111,"Suta ordensis"
264,3304,720,115,"Suta ordensis"
263,3416,659,113,"Suta ordensis"
272,3260,735,110,"Suta ordensis"
281,3107,749,112,"Suta ordensis"
273,3290,780,113,"Suta ordensis"
283,3240,629,111,"Suta ordensis"
282,3613,557,114,"Suta ordensis"
281,3675,595,109,"Suta ordensis"
266,3914,542,108,"Suta ordensis"
262,3336,727,113,"Suta ordensis"
284,2803,736,109,"Suta ordensis"
266,4031,554,111,"Suta ordensis"
279,2868,856,111,"Suta ordensis"
282,3156,592,109,"Suta ordensis"
277,3321,664,119,"Suta ordensis"
276,3814,629,110,"Suta ordensis"
278,2735,741,113,"Suta ordensis"
276,2968,781,110,"Suta ordensis"
273,3745,639,109,"Suta ordensis"
285,3228,673,114,"Suta ordensis"
265,3983,519,112,"Suta ordensis"
280,3682,553,111,"Suta ordensis"
270,3310,712,116,"Suta ordensis"
268,3468,578,115,"Suta ordensis"
285,3355,618,110,"Suta ordensis"
273,3638,576,110,"Suta ordensis"
284,2824,768,109,"Suta ordensis"
276,2664,896,114,"Suta ordensis"
283,3201,679,111,"Suta ordensis"
268,3551,633,109,"Suta ordensis"
278,3013,695,108,"Suta ordensis"
270,3639,607,113,"Suta ordensis"
