"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
166,4350,354,28,"Tiliqua adelaidensis"
148,4389,550,44,"Tiliqua adelaidensis"
165,3265,380,44,"Tiliqua adelaidensis"
152,4227,477,34,"Tiliqua adelaidensis"
159,3308,477,38,"Tiliqua adelaidensis"
153,3043,534,41,"Tiliqua adelaidensis"
163,4087,405,38,"Tiliqua adelaidensis"
159,3183,480,43,"Tiliqua adelaidensis"
158,4007,383,28,"Tiliqua adelaidensis"
165,3555,354,35,"Tiliqua adelaidensis"
146,4244,565,42,"Tiliqua adelaidensis"
137,3720,689,42,"Tiliqua adelaidensis"
139,3230,855,56,"Tiliqua adelaidensis"
167,4316,415,38,"Tiliqua adelaidensis"
166,4127,342,33,"Tiliqua adelaidensis"
138,3621,754,46,"Tiliqua adelaidensis"
165,4003,305,33,"Tiliqua adelaidensis"
160,3343,438,36,"Tiliqua adelaidensis"
142,4384,521,40,"Tiliqua adelaidensis"
160,4013,352,32,"Tiliqua adelaidensis"
138,2697,697,40,"Tiliqua adelaidensis"
158,3215,526,41,"Tiliqua adelaidensis"
169,3968,350,35,"Tiliqua adelaidensis"
159,3017,409,50,"Tiliqua adelaidensis"
167,4360,418,38,"Tiliqua adelaidensis"
145,4412,470,41,"Tiliqua adelaidensis"
160,4126,330,28,"Tiliqua adelaidensis"
137,2595,753,52,"Tiliqua adelaidensis"
158,4080,356,30,"Tiliqua adelaidensis"
148,3492,776,56,"Tiliqua adelaidensis"
141,3095,698,48,"Tiliqua adelaidensis"
157,3703,456,45,"Tiliqua adelaidensis"
151,3751,487,38,"Tiliqua adelaidensis"
156,4048,377,31,"Tiliqua adelaidensis"
164,3215,390,41,"Tiliqua adelaidensis"
140,3388,894,57,"Tiliqua adelaidensis"
168,4091,359,35,"Tiliqua adelaidensis"
164,4397,284,25,"Tiliqua adelaidensis"
157,3614,443,32,"Tiliqua adelaidensis"
164,3625,467,37,"Tiliqua adelaidensis"
160,3431,415,33,"Tiliqua adelaidensis"
166,4131,391,44,"Tiliqua adelaidensis"
164,3522,472,38,"Tiliqua adelaidensis"
164,4102,412,34,"Tiliqua adelaidensis"
157,3021,411,44,"Tiliqua adelaidensis"
160,3202,410,48,"Tiliqua adelaidensis"
159,3072,391,47,"Tiliqua adelaidensis"
143,4078,591,52,"Tiliqua adelaidensis"
165,3676,455,35,"Tiliqua adelaidensis"
161,4049,476,38,"Tiliqua adelaidensis"
165,4118,364,28,"Tiliqua adelaidensis"
164,3972,385,44,"Tiliqua adelaidensis"
167,3799,400,35,"Tiliqua adelaidensis"
