"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
284,2310,848,115,"Tropidonophis mairii"
271,3342,706,119,"Tropidonophis mairii"
262,2448,1093,107,"Tropidonophis mairii"
284,2458,793,115,"Tropidonophis mairii"
201,4967,673,43,"Tropidonophis mairii"
275,1807,1198,124,"Tropidonophis mairii"
269,2703,891,124,"Tropidonophis mairii"
261,1859,1068,112,"Tropidonophis mairii"
195,3811,876,34,"Tropidonophis mairii"
238,3026,1533,82,"Tropidonophis mairii"
280,2659,796,118,"Tropidonophis mairii"
271,3525,640,114,"Tropidonophis mairii"
280,2724,811,108,"Tropidonophis mairii"
203,4197,692,42,"Tropidonophis mairii"
267,2836,966,110,"Tropidonophis mairii"
215,3546,840,53,"Tropidonophis mairii"
269,2288,1154,124,"Tropidonophis mairii"
266,2823,887,111,"Tropidonophis mairii"
190,4135,719,34,"Tropidonophis mairii"
256,778,2910,35,"Tropidonophis mairii"
261,1897,1177,109,"Tropidonophis mairii"
221,3328,942,51,"Tropidonophis mairii"
217,3057,1318,56,"Tropidonophis mairii"
227,3729,679,61,"Tropidonophis mairii"
272,1823,1119,114,"Tropidonophis mairii"
212,3673,905,46,"Tropidonophis mairii"
230,3618,746,58,"Tropidonophis mairii"
254,752,2612,43,"Tropidonophis mairii"
262,1783,1149,114,"Tropidonophis mairii"
229,4047,542,61,"Tropidonophis mairii"
262,2669,1037,121,"Tropidonophis mairii"
260,2127,1140,121,"Tropidonophis mairii"
267,2382,849,108,"Tropidonophis mairii"
270,2977,779,124,"Tropidonophis mairii"
218,3228,1215,59,"Tropidonophis mairii"
261,2809,852,121,"Tropidonophis mairii"
270,2232,943,108,"Tropidonophis mairii"
274,2610,798,112,"Tropidonophis mairii"
230,3816,598,59,"Tropidonophis mairii"
258,595,2632,43,"Tropidonophis mairii"
271,1591,1464,119,"Tropidonophis mairii"
267,2780,820,109,"Tropidonophis mairii"
203,4535,741,46,"Tropidonophis mairii"
240,3100,846,90,"Tropidonophis mairii"
254,2126,1068,117,"Tropidonophis mairii"
269,2561,852,110,"Tropidonophis mairii"
197,4849,730,41,"Tropidonophis mairii"
259,1744,1321,119,"Tropidonophis mairii"
269,1510,1591,123,"Tropidonophis mairii"
268,2819,782,123,"Tropidonophis mairii"
236,4053,572,63,"Tropidonophis mairii"
265,2760,913,105,"Tropidonophis mairii"
269,2852,788,120,"Tropidonophis mairii"
266,1323,1716,115,"Tropidonophis mairii"
262,1986,1129,118,"Tropidonophis mairii"
256,1302,1757,92,"Tropidonophis mairii"
231,3630,639,60,"Tropidonophis mairii"
268,2497,872,108,"Tropidonophis mairii"
278,1534,1674,103,"Tropidonophis mairii"
273,2404,823,118,"Tropidonophis mairii"
217,2700,1064,106,"Tropidonophis mairii"
188,4013,852,44,"Tropidonophis mairii"
279,2515,803,109,"Tropidonophis mairii"
263,2845,996,114,"Tropidonophis mairii"
202,2962,1930,33,"Tropidonophis mairii"
269,2671,922,126,"Tropidonophis mairii"
265,1510,1395,95,"Tropidonophis mairii"
258,1625,1296,118,"Tropidonophis mairii"
200,3860,670,41,"Tropidonophis mairii"
260,835,1810,56,"Tropidonophis mairii"
271,1659,1160,111,"Tropidonophis mairii"
269,2890,882,116,"Tropidonophis mairii"
278,1876,1265,105,"Tropidonophis mairii"
279,2697,919,115,"Tropidonophis mairii"
277,2619,759,120,"Tropidonophis mairii"
245,3118,1091,96,"Tropidonophis mairii"
220,3437,833,70,"Tropidonophis mairii"
237,2922,735,111,"Tropidonophis mairii"
257,2838,826,117,"Tropidonophis mairii"
262,2122,1155,109,"Tropidonophis mairii"
263,3056,844,112,"Tropidonophis mairii"
203,3812,898,52,"Tropidonophis mairii"
193,3640,1071,40,"Tropidonophis mairii"
263,2684,884,120,"Tropidonophis mairii"
258,2010,1210,110,"Tropidonophis mairii"
210,3041,726,105,"Tropidonophis mairii"
200,4924,703,42,"Tropidonophis mairii"
247,3046,890,96,"Tropidonophis mairii"
201,4752,676,41,"Tropidonophis mairii"
268,2876,747,124,"Tropidonophis mairii"
271,2283,1149,109,"Tropidonophis mairii"
263,2935,701,121,"Tropidonophis mairii"
237,3547,591,80,"Tropidonophis mairii"
277,1604,1149,122,"Tropidonophis mairii"
265,2282,994,105,"Tropidonophis mairii"
270,2046,1256,124,"Tropidonophis mairii"
258,1991,1022,114,"Tropidonophis mairii"
256,669,2412,41,"Tropidonophis mairii"
266,2510,884,118,"Tropidonophis mairii"
263,2886,907,118,"Tropidonophis mairii"
281,2377,862,115,"Tropidonophis mairii"
267,2359,870,104,"Tropidonophis mairii"
281,2820,807,126,"Tropidonophis mairii"
267,2646,813,109,"Tropidonophis mairii"
229,2311,1267,102,"Tropidonophis mairii"
269,1783,1413,127,"Tropidonophis mairii"
263,2611,762,108,"Tropidonophis mairii"
270,2162,958,120,"Tropidonophis mairii"
