"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
225,3539,779,67,"Tumbunascincus luteilateralis"
224,3136,886,91,"Tumbunascincus luteilateralis"
227,3566,549,69,"Tumbunascincus luteilateralis"
219,3466,815,72,"Tumbunascincus luteilateralis"
227,3667,649,61,"Tumbunascincus luteilateralis"
224,3745,605,59,"Tumbunascincus luteilateralis"
228,3805,585,60,"Tumbunascincus luteilateralis"
224,3718,736,62,"Tumbunascincus luteilateralis"
223,3606,764,64,"Tumbunascincus luteilateralis"
214,3379,822,70,"Tumbunascincus luteilateralis"
227,3622,746,64,"Tumbunascincus luteilateralis"
219,3320,1316,84,"Tumbunascincus luteilateralis"
224,3464,686,75,"Tumbunascincus luteilateralis"
226,3672,560,67,"Tumbunascincus luteilateralis"
216,3415,928,73,"Tumbunascincus luteilateralis"
220,3569,754,64,"Tumbunascincus luteilateralis"
217,3351,735,75,"Tumbunascincus luteilateralis"
224,3502,758,70,"Tumbunascincus luteilateralis"
228,3666,661,64,"Tumbunascincus luteilateralis"
227,3704,679,63,"Tumbunascincus luteilateralis"
227,3545,569,70,"Tumbunascincus luteilateralis"
213,3127,1362,86,"Tumbunascincus luteilateralis"
212,3391,862,70,"Tumbunascincus luteilateralis"
224,3601,598,68,"Tumbunascincus luteilateralis"
226,3500,766,70,"Tumbunascincus luteilateralis"
222,3581,647,68,"Tumbunascincus luteilateralis"
223,3548,867,66,"Tumbunascincus luteilateralis"
207,3312,1344,78,"Tumbunascincus luteilateralis"
207,3287,1226,78,"Tumbunascincus luteilateralis"
210,3276,1034,76,"Tumbunascincus luteilateralis"
225,3691,586,63,"Tumbunascincus luteilateralis"
229,3465,716,74,"Tumbunascincus luteilateralis"
204,3293,1088,72,"Tumbunascincus luteilateralis"
198,3055,1921,85,"Tumbunascincus luteilateralis"
220,3332,939,80,"Tumbunascincus luteilateralis"
224,3704,555,63,"Tumbunascincus luteilateralis"
212,3282,1188,82,"Tumbunascincus luteilateralis"
212,3284,1519,80,"Tumbunascincus luteilateralis"
204,3287,1034,76,"Tumbunascincus luteilateralis"
236,3189,1278,91,"Tumbunascincus luteilateralis"
221,3542,636,66,"Tumbunascincus luteilateralis"
233,3293,1504,83,"Tumbunascincus luteilateralis"
228,3773,581,61,"Tumbunascincus luteilateralis"
222,3664,575,62,"Tumbunascincus luteilateralis"
213,3303,1501,80,"Tumbunascincus luteilateralis"
228,3645,555,67,"Tumbunascincus luteilateralis"
211,3105,1057,89,"Tumbunascincus luteilateralis"
225,3696,535,63,"Tumbunascincus luteilateralis"
228,3775,558,62,"Tumbunascincus luteilateralis"
224,3464,732,70,"Tumbunascincus luteilateralis"
225,3560,760,66,"Tumbunascincus luteilateralis"
226,3613,577,66,"Tumbunascincus luteilateralis"
223,3778,627,61,"Tumbunascincus luteilateralis"
222,3648,584,63,"Tumbunascincus luteilateralis"
221,3620,569,67,"Tumbunascincus luteilateralis"
220,3193,844,86,"Tumbunascincus luteilateralis"
215,3358,786,73,"Tumbunascincus luteilateralis"
205,3285,958,74,"Tumbunascincus luteilateralis"
225,3710,613,64,"Tumbunascincus luteilateralis"
216,3492,972,67,"Tumbunascincus luteilateralis"
211,3566,670,61,"Tumbunascincus luteilateralis"
221,3551,643,67,"Tumbunascincus luteilateralis"
227,3602,683,66,"Tumbunascincus luteilateralis"
222,3458,907,73,"Tumbunascincus luteilateralis"
218,3203,1049,87,"Tumbunascincus luteilateralis"
230,3780,546,63,"Tumbunascincus luteilateralis"
219,3607,696,65,"Tumbunascincus luteilateralis"
223,3548,604,69,"Tumbunascincus luteilateralis"
226,3637,572,68,"Tumbunascincus luteilateralis"
226,3307,1504,80,"Tumbunascincus luteilateralis"
213,3250,1202,81,"Tumbunascincus luteilateralis"
225,3446,724,71,"Tumbunascincus luteilateralis"
221,3439,789,70,"Tumbunascincus luteilateralis"
229,3350,1307,85,"Tumbunascincus luteilateralis"
190,3240,1383,77,"Tumbunascincus luteilateralis"
225,3752,535,60,"Tumbunascincus luteilateralis"
226,3742,601,60,"Tumbunascincus luteilateralis"
229,3678,559,69,"Tumbunascincus luteilateralis"
224,3488,791,69,"Tumbunascincus luteilateralis"
227,3581,728,66,"Tumbunascincus luteilateralis"
213,3458,685,70,"Tumbunascincus luteilateralis"
215,3672,792,61,"Tumbunascincus luteilateralis"
228,3816,532,61,"Tumbunascincus luteilateralis"
185,3036,1524,79,"Tumbunascincus luteilateralis"
204,3321,916,74,"Tumbunascincus luteilateralis"
223,3658,532,63,"Tumbunascincus luteilateralis"
220,3651,691,62,"Tumbunascincus luteilateralis"
224,3622,748,63,"Tumbunascincus luteilateralis"
219,3344,895,76,"Tumbunascincus luteilateralis"
219,3490,962,69,"Tumbunascincus luteilateralis"
214,3361,911,75,"Tumbunascincus luteilateralis"
223,3749,580,62,"Tumbunascincus luteilateralis"
225,3194,849,87,"Tumbunascincus luteilateralis"
206,3254,1010,76,"Tumbunascincus luteilateralis"
232,3160,1215,90,"Tumbunascincus luteilateralis"
225,3688,538,62,"Tumbunascincus luteilateralis"
194,3179,1746,79,"Tumbunascincus luteilateralis"
204,3059,1388,89,"Tumbunascincus luteilateralis"
202,3060,1700,89,"Tumbunascincus luteilateralis"
218,3523,782,67,"Tumbunascincus luteilateralis"
214,3378,1148,77,"Tumbunascincus luteilateralis"
226,3598,699,64,"Tumbunascincus luteilateralis"
231,3441,618,75,"Tumbunascincus luteilateralis"
201,3269,1505,78,"Tumbunascincus luteilateralis"
223,3694,547,61,"Tumbunascincus luteilateralis"
192,3085,1453,82,"Tumbunascincus luteilateralis"
222,3586,789,64,"Tumbunascincus luteilateralis"
193,3080,1880,83,"Tumbunascincus luteilateralis"
195,3044,2047,84,"Tumbunascincus luteilateralis"
213,3563,845,64,"Tumbunascincus luteilateralis"
221,3451,767,70,"Tumbunascincus luteilateralis"
205,3289,1266,77,"Tumbunascincus luteilateralis"
227,3609,750,66,"Tumbunascincus luteilateralis"
