"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
262,4846,407,92,"Tympanocryptis centralis"
266,4558,460,101,"Tympanocryptis centralis"
257,5192,387,94,"Tympanocryptis centralis"
205,6261,244,38,"Tympanocryptis centralis"
248,5895,270,75,"Tympanocryptis centralis"
225,6492,151,34,"Tympanocryptis centralis"
249,6334,202,59,"Tympanocryptis centralis"
221,6279,239,39,"Tympanocryptis centralis"
244,5428,399,83,"Tympanocryptis centralis"
265,4754,418,98,"Tympanocryptis centralis"
195,5614,248,21,"Tympanocryptis centralis"
254,5905,326,75,"Tympanocryptis centralis"
260,4778,436,97,"Tympanocryptis centralis"
244,6035,317,64,"Tympanocryptis centralis"
224,5950,289,61,"Tympanocryptis centralis"
211,6356,242,38,"Tympanocryptis centralis"
215,6395,284,47,"Tympanocryptis centralis"
250,5454,378,82,"Tympanocryptis centralis"
209,5978,243,26,"Tympanocryptis centralis"
239,6137,293,65,"Tympanocryptis centralis"
271,5050,388,88,"Tympanocryptis centralis"
218,6109,294,59,"Tympanocryptis centralis"
225,5953,309,62,"Tympanocryptis centralis"
247,6174,233,66,"Tympanocryptis centralis"
248,6470,191,57,"Tympanocryptis centralis"
249,6366,208,58,"Tympanocryptis centralis"
245,5183,411,73,"Tympanocryptis centralis"
226,6423,257,41,"Tympanocryptis centralis"
200,6193,304,41,"Tympanocryptis centralis"
250,5848,257,75,"Tympanocryptis centralis"
256,5553,314,88,"Tympanocryptis centralis"
243,6619,175,53,"Tympanocryptis centralis"
224,6077,298,54,"Tympanocryptis centralis"
259,4809,453,97,"Tympanocryptis centralis"
203,6178,291,36,"Tympanocryptis centralis"
256,5668,355,84,"Tympanocryptis centralis"
245,6255,197,59,"Tympanocryptis centralis"
217,6329,292,49,"Tympanocryptis centralis"
208,6353,244,37,"Tympanocryptis centralis"
229,6134,295,60,"Tympanocryptis centralis"
253,4932,417,95,"Tympanocryptis centralis"
207,5798,228,24,"Tympanocryptis centralis"
265,4540,473,99,"Tympanocryptis centralis"
233,6079,307,60,"Tympanocryptis centralis"
221,6189,339,53,"Tympanocryptis centralis"
236,5847,358,66,"Tympanocryptis centralis"
241,6371,305,57,"Tympanocryptis centralis"
251,5324,280,91,"Tympanocryptis centralis"
218,6412,197,39,"Tympanocryptis centralis"
227,6339,269,52,"Tympanocryptis centralis"
214,6178,232,28,"Tympanocryptis centralis"
253,5638,311,84,"Tympanocryptis centralis"
251,5259,363,92,"Tympanocryptis centralis"
228,6320,254,52,"Tympanocryptis centralis"
223,6337,252,50,"Tympanocryptis centralis"
236,6366,234,51,"Tympanocryptis centralis"
248,5364,381,96,"Tympanocryptis centralis"
206,6330,325,48,"Tympanocryptis centralis"
192,5501,266,20,"Tympanocryptis centralis"
261,5629,402,88,"Tympanocryptis centralis"
202,6135,259,34,"Tympanocryptis centralis"
262,4686,466,97,"Tympanocryptis centralis"
230,6537,165,38,"Tympanocryptis centralis"
232,5732,344,69,"Tympanocryptis centralis"
252,5335,401,87,"Tympanocryptis centralis"
207,6071,272,28,"Tympanocryptis centralis"
253,6050,341,61,"Tympanocryptis centralis"
246,4944,467,81,"Tympanocryptis centralis"
259,5059,375,97,"Tympanocryptis centralis"
246,6572,187,55,"Tympanocryptis centralis"
266,4539,476,106,"Tympanocryptis centralis"
218,6272,261,39,"Tympanocryptis centralis"
253,5253,411,90,"Tympanocryptis centralis"
215,6026,360,57,"Tympanocryptis centralis"
250,5925,265,69,"Tympanocryptis centralis"
271,4718,431,96,"Tympanocryptis centralis"
