"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
145,3699,614,13,"Tympanocryptis pinguicolla"
98,4462,826,12,"Tympanocryptis pinguicolla"
132,3972,640,13,"Tympanocryptis pinguicolla"
107,4056,1112,23,"Tympanocryptis pinguicolla"
136,4317,663,14,"Tympanocryptis pinguicolla"
128,4936,733,12,"Tympanocryptis pinguicolla"
120,4566,670,11,"Tympanocryptis pinguicolla"
149,3558,660,12,"Tympanocryptis pinguicolla"
143,3682,549,14,"Tympanocryptis pinguicolla"
124,4477,824,9,"Tympanocryptis pinguicolla"
136,4974,674,10,"Tympanocryptis pinguicolla"
140,5190,759,11,"Tympanocryptis pinguicolla"
132,4958,725,16,"Tympanocryptis pinguicolla"
130,4210,858,16,"Tympanocryptis pinguicolla"
130,4507,655,17,"Tympanocryptis pinguicolla"
128,4700,651,11,"Tympanocryptis pinguicolla"
136,5112,713,13,"Tympanocryptis pinguicolla"
122,4685,607,16,"Tympanocryptis pinguicolla"
117,4016,785,16,"Tympanocryptis pinguicolla"
80,5023,1276,24,"Tympanocryptis pinguicolla"
131,4637,589,12,"Tympanocryptis pinguicolla"
110,4988,824,15,"Tympanocryptis pinguicolla"
138,5065,646,13,"Tympanocryptis pinguicolla"
123,4545,674,11,"Tympanocryptis pinguicolla"
143,3864,881,17,"Tympanocryptis pinguicolla"
146,3511,535,14,"Tympanocryptis pinguicolla"
117,4689,718,12,"Tympanocryptis pinguicolla"
128,4665,670,9,"Tympanocryptis pinguicolla"
137,5087,754,20,"Tympanocryptis pinguicolla"
129,4393,686,17,"Tympanocryptis pinguicolla"
127,4739,631,10,"Tympanocryptis pinguicolla"
124,3615,744,17,"Tympanocryptis pinguicolla"
116,4810,823,11,"Tympanocryptis pinguicolla"
103,4927,1045,12,"Tympanocryptis pinguicolla"
145,3574,839,18,"Tympanocryptis pinguicolla"
121,4761,715,11,"Tympanocryptis pinguicolla"
123,4090,946,20,"Tympanocryptis pinguicolla"
137,5181,785,13,"Tympanocryptis pinguicolla"
135,4936,665,11,"Tympanocryptis pinguicolla"
148,3618,553,12,"Tympanocryptis pinguicolla"
106,5147,1145,25,"Tympanocryptis pinguicolla"
143,3526,874,13,"Tympanocryptis pinguicolla"
133,4931,584,8,"Tympanocryptis pinguicolla"
136,3988,721,13,"Tympanocryptis pinguicolla"
132,4527,657,12,"Tympanocryptis pinguicolla"
94,4437,990,12,"Tympanocryptis pinguicolla"
129,4748,603,9,"Tympanocryptis pinguicolla"
140,3756,603,14,"Tympanocryptis pinguicolla"
123,4315,858,12,"Tympanocryptis pinguicolla"
144,3628,551,15,"Tympanocryptis pinguicolla"
112,4690,546,22,"Tympanocryptis pinguicolla"
94,4353,869,14,"Tympanocryptis pinguicolla"
147,3457,524,13,"Tympanocryptis pinguicolla"
121,4388,779,24,"Tympanocryptis pinguicolla"
133,4268,794,14,"Tympanocryptis pinguicolla"
104,4621,695,24,"Tympanocryptis pinguicolla"
108,4475,841,11,"Tympanocryptis pinguicolla"
122,3884,754,15,"Tympanocryptis pinguicolla"
142,3543,558,15,"Tympanocryptis pinguicolla"
140,3823,614,12,"Tympanocryptis pinguicolla"
112,4859,735,10,"Tympanocryptis pinguicolla"
130,4739,620,9,"Tympanocryptis pinguicolla"
119,4705,700,10,"Tympanocryptis pinguicolla"
134,4983,721,8,"Tympanocryptis pinguicolla"
122,4704,769,9,"Tympanocryptis pinguicolla"
114,4717,813,12,"Tympanocryptis pinguicolla"
84,4885,913,10,"Tympanocryptis pinguicolla"
118,4121,1113,14,"Tympanocryptis pinguicolla"
116,4199,957,22,"Tympanocryptis pinguicolla"
122,4365,664,17,"Tympanocryptis pinguicolla"
130,4111,750,16,"Tympanocryptis pinguicolla"
132,4214,630,17,"Tympanocryptis pinguicolla"
121,4793,729,11,"Tympanocryptis pinguicolla"
127,4324,791,15,"Tympanocryptis pinguicolla"
124,4166,646,26,"Tympanocryptis pinguicolla"
64,4878,1233,17,"Tympanocryptis pinguicolla"
116,3945,820,30,"Tympanocryptis pinguicolla"
141,3499,542,15,"Tympanocryptis pinguicolla"
131,4057,813,14,"Tympanocryptis pinguicolla"
142,3466,536,15,"Tympanocryptis pinguicolla"
135,3800,633,14,"Tympanocryptis pinguicolla"
88,4975,977,17,"Tympanocryptis pinguicolla"
145,3672,661,13,"Tympanocryptis pinguicolla"
131,4433,669,16,"Tympanocryptis pinguicolla"
128,4705,610,9,"Tympanocryptis pinguicolla"
124,4267,948,13,"Tympanocryptis pinguicolla"
139,3972,616,14,"Tympanocryptis pinguicolla"
123,4139,726,27,"Tympanocryptis pinguicolla"
134,4962,641,14,"Tympanocryptis pinguicolla"
133,4861,634,11,"Tympanocryptis pinguicolla"
107,4321,767,25,"Tympanocryptis pinguicolla"
129,4795,566,8,"Tympanocryptis pinguicolla"
138,3585,560,13,"Tympanocryptis pinguicolla"
129,4044,699,13,"Tympanocryptis pinguicolla"
113,4050,870,34,"Tympanocryptis pinguicolla"
142,3646,578,19,"Tympanocryptis pinguicolla"
119,3979,768,16,"Tympanocryptis pinguicolla"
93,4972,807,18,"Tympanocryptis pinguicolla"
108,5065,1039,16,"Tympanocryptis pinguicolla"
126,4743,676,11,"Tympanocryptis pinguicolla"
117,4652,799,7,"Tympanocryptis pinguicolla"
140,3776,659,13,"Tympanocryptis pinguicolla"
131,3844,716,14,"Tympanocryptis pinguicolla"
118,4239,849,15,"Tympanocryptis pinguicolla"
123,4661,588,9,"Tympanocryptis pinguicolla"
146,3656,679,13,"Tympanocryptis pinguicolla"
110,4533,601,18,"Tympanocryptis pinguicolla"
135,5035,720,18,"Tympanocryptis pinguicolla"
147,3684,737,12,"Tympanocryptis pinguicolla"
108,5119,1031,13,"Tympanocryptis pinguicolla"
115,4552,797,12,"Tympanocryptis pinguicolla"
134,5090,685,7,"Tympanocryptis pinguicolla"
130,4404,672,13,"Tympanocryptis pinguicolla"
124,4041,940,21,"Tympanocryptis pinguicolla"
128,4677,621,10,"Tympanocryptis pinguicolla"
123,4890,697,11,"Tympanocryptis pinguicolla"
124,4666,468,14,"Tympanocryptis pinguicolla"
135,5016,668,11,"Tympanocryptis pinguicolla"
129,4732,609,8,"Tympanocryptis pinguicolla"
131,4003,928,15,"Tympanocryptis pinguicolla"
135,4221,649,13,"Tympanocryptis pinguicolla"
127,4181,696,24,"Tympanocryptis pinguicolla"
125,4475,770,9,"Tympanocryptis pinguicolla"
136,4915,546,9,"Tympanocryptis pinguicolla"
124,4297,717,18,"Tympanocryptis pinguicolla"
108,4971,833,10,"Tympanocryptis pinguicolla"
141,3795,682,12,"Tympanocryptis pinguicolla"
125,4507,777,11,"Tympanocryptis pinguicolla"
134,5036,625,7,"Tympanocryptis pinguicolla"
123,4306,860,19,"Tympanocryptis pinguicolla"
98,4844,667,13,"Tympanocryptis pinguicolla"
130,4886,728,15,"Tympanocryptis pinguicolla"
129,4408,678,16,"Tympanocryptis pinguicolla"
123,4768,724,12,"Tympanocryptis pinguicolla"
125,3845,783,17,"Tympanocryptis pinguicolla"
136,5038,670,10,"Tympanocryptis pinguicolla"
148,3520,572,13,"Tympanocryptis pinguicolla"
137,3862,687,14,"Tympanocryptis pinguicolla"
147,3740,701,11,"Tympanocryptis pinguicolla"
127,4782,657,10,"Tympanocryptis pinguicolla"
125,4815,688,9,"Tympanocryptis pinguicolla"
86,4940,915,10,"Tympanocryptis pinguicolla"
106,4507,807,10,"Tympanocryptis pinguicolla"
124,4861,745,11,"Tympanocryptis pinguicolla"
140,3699,573,18,"Tympanocryptis pinguicolla"
125,4814,726,9,"Tympanocryptis pinguicolla"
125,4101,860,23,"Tympanocryptis pinguicolla"
120,4806,836,8,"Tympanocryptis pinguicolla"
134,4896,588,12,"Tympanocryptis pinguicolla"
132,4376,653,14,"Tympanocryptis pinguicolla"
128,4427,698,14,"Tympanocryptis pinguicolla"
117,4832,888,11,"Tympanocryptis pinguicolla"
119,4785,816,12,"Tympanocryptis pinguicolla"
140,4226,767,25,"Tympanocryptis pinguicolla"
127,4159,861,14,"Tympanocryptis pinguicolla"
132,4594,604,11,"Tympanocryptis pinguicolla"
110,4006,908,25,"Tympanocryptis pinguicolla"
130,4302,730,12,"Tympanocryptis pinguicolla"
94,4787,709,9,"Tympanocryptis pinguicolla"
129,4794,604,10,"Tympanocryptis pinguicolla"
131,4983,745,20,"Tympanocryptis pinguicolla"
129,4388,761,14,"Tympanocryptis pinguicolla"
136,5044,646,10,"Tympanocryptis pinguicolla"
108,4868,748,11,"Tympanocryptis pinguicolla"
133,4242,706,17,"Tympanocryptis pinguicolla"
132,4939,641,10,"Tympanocryptis pinguicolla"
88,4985,887,15,"Tympanocryptis pinguicolla"
123,5191,847,10,"Tympanocryptis pinguicolla"
105,5140,1204,23,"Tympanocryptis pinguicolla"
98,4535,671,24,"Tympanocryptis pinguicolla"
101,4735,644,16,"Tympanocryptis pinguicolla"
116,4539,695,12,"Tympanocryptis pinguicolla"
132,4335,750,17,"Tympanocryptis pinguicolla"
133,4912,574,10,"Tympanocryptis pinguicolla"
128,4542,616,11,"Tympanocryptis pinguicolla"
128,4626,663,10,"Tympanocryptis pinguicolla"
114,4589,842,8,"Tympanocryptis pinguicolla"
126,4100,732,17,"Tympanocryptis pinguicolla"
114,5066,966,21,"Tympanocryptis pinguicolla"
128,4545,711,11,"Tympanocryptis pinguicolla"
128,4121,827,23,"Tympanocryptis pinguicolla"
133,4378,674,20,"Tympanocryptis pinguicolla"
129,4818,651,10,"Tympanocryptis pinguicolla"
94,4393,929,12,"Tympanocryptis pinguicolla"
117,5044,793,8,"Tympanocryptis pinguicolla"
92,4872,858,15,"Tympanocryptis pinguicolla"
140,3760,607,14,"Tympanocryptis pinguicolla"
142,3582,921,13,"Tympanocryptis pinguicolla"
130,5010,768,14,"Tympanocryptis pinguicolla"
112,5062,945,13,"Tympanocryptis pinguicolla"
123,3973,1136,16,"Tympanocryptis pinguicolla"
133,4189,792,27,"Tympanocryptis pinguicolla"
86,4890,810,11,"Tympanocryptis pinguicolla"
128,4715,553,13,"Tympanocryptis pinguicolla"
133,4919,660,12,"Tympanocryptis pinguicolla"
103,4371,748,26,"Tympanocryptis pinguicolla"
121,4623,620,15,"Tympanocryptis pinguicolla"
124,4842,730,10,"Tympanocryptis pinguicolla"
132,4837,618,13,"Tympanocryptis pinguicolla"
97,4846,683,9,"Tympanocryptis pinguicolla"
121,4257,1015,18,"Tympanocryptis pinguicolla"
119,4871,732,12,"Tympanocryptis pinguicolla"
130,4358,744,12,"Tympanocryptis pinguicolla"
106,5075,967,18,"Tympanocryptis pinguicolla"
79,4870,1076,11,"Tympanocryptis pinguicolla"
136,4927,623,13,"Tympanocryptis pinguicolla"
129,4762,634,9,"Tympanocryptis pinguicolla"
146,3623,849,18,"Tympanocryptis pinguicolla"
120,4737,785,9,"Tympanocryptis pinguicolla"
113,4730,772,11,"Tympanocryptis pinguicolla"
129,5099,706,17,"Tympanocryptis pinguicolla"
102,4540,896,10,"Tympanocryptis pinguicolla"
86,5014,1078,24,"Tympanocryptis pinguicolla"
130,4940,825,12,"Tympanocryptis pinguicolla"
111,4999,1014,18,"Tympanocryptis pinguicolla"
101,4874,737,8,"Tympanocryptis pinguicolla"
124,4447,757,11,"Tympanocryptis pinguicolla"
144,3663,960,21,"Tympanocryptis pinguicolla"
120,3830,825,16,"Tympanocryptis pinguicolla"
92,4972,976,21,"Tympanocryptis pinguicolla"
125,4666,635,10,"Tympanocryptis pinguicolla"
94,5075,1198,24,"Tympanocryptis pinguicolla"
137,5058,650,14,"Tympanocryptis pinguicolla"
122,4644,772,12,"Tympanocryptis pinguicolla"
121,4549,764,9,"Tympanocryptis pinguicolla"
140,3919,675,12,"Tympanocryptis pinguicolla"
149,3594,580,12,"Tympanocryptis pinguicolla"
121,4706,762,13,"Tympanocryptis pinguicolla"
86,5018,995,17,"Tympanocryptis pinguicolla"
130,3997,877,18,"Tympanocryptis pinguicolla"
126,4883,714,10,"Tympanocryptis pinguicolla"
131,4570,673,9,"Tympanocryptis pinguicolla"
129,4591,664,10,"Tympanocryptis pinguicolla"
147,3815,883,12,"Tympanocryptis pinguicolla"
132,5155,733,13,"Tympanocryptis pinguicolla"
121,4705,608,15,"Tympanocryptis pinguicolla"
123,4640,725,12,"Tympanocryptis pinguicolla"
134,5037,797,19,"Tympanocryptis pinguicolla"
121,4127,674,27,"Tympanocryptis pinguicolla"
149,5262,609,13,"Tympanocryptis pinguicolla"
130,3862,642,11,"Tympanocryptis pinguicolla"
97,4911,764,15,"Tympanocryptis pinguicolla"
93,4402,923,12,"Tympanocryptis pinguicolla"
125,4815,692,9,"Tympanocryptis pinguicolla"
123,3885,743,25,"Tympanocryptis pinguicolla"
121,3949,725,15,"Tympanocryptis pinguicolla"
125,4821,749,12,"Tympanocryptis pinguicolla"
135,3841,1180,19,"Tympanocryptis pinguicolla"
132,4902,728,12,"Tympanocryptis pinguicolla"
128,4710,705,11,"Tympanocryptis pinguicolla"
119,4072,788,29,"Tympanocryptis pinguicolla"
128,4387,697,16,"Tympanocryptis pinguicolla"
147,5219,665,16,"Tympanocryptis pinguicolla"
106,5138,1199,19,"Tympanocryptis pinguicolla"
130,4731,640,12,"Tympanocryptis pinguicolla"
129,4787,585,13,"Tympanocryptis pinguicolla"
123,4017,726,12,"Tympanocryptis pinguicolla"
140,5221,766,14,"Tympanocryptis pinguicolla"
91,4882,972,9,"Tympanocryptis pinguicolla"
144,3608,543,13,"Tympanocryptis pinguicolla"
89,4680,731,11,"Tympanocryptis pinguicolla"
