"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
240,6376,309,56,"Tympanocryptis tetraporophora"
218,6252,331,47,"Tympanocryptis tetraporophora"
206,6330,256,38,"Tympanocryptis tetraporophora"
271,3181,518,116,"Tympanocryptis tetraporophora"
225,6535,174,34,"Tympanocryptis tetraporophora"
224,6454,237,41,"Tympanocryptis tetraporophora"
261,4427,527,108,"Tympanocryptis tetraporophora"
249,6118,240,72,"Tympanocryptis tetraporophora"
271,2726,744,119,"Tympanocryptis tetraporophora"
238,6631,180,43,"Tympanocryptis tetraporophora"
278,2759,812,122,"Tympanocryptis tetraporophora"
173,5401,290,14,"Tympanocryptis tetraporophora"
232,6621,159,44,"Tympanocryptis tetraporophora"
208,6060,159,27,"Tympanocryptis tetraporophora"
280,2912,788,122,"Tympanocryptis tetraporophora"
201,6121,292,35,"Tympanocryptis tetraporophora"
228,6533,211,43,"Tympanocryptis tetraporophora"
260,4971,466,110,"Tympanocryptis tetraporophora"
176,5953,416,14,"Tympanocryptis tetraporophora"
264,5390,383,82,"Tympanocryptis tetraporophora"
237,5817,266,78,"Tympanocryptis tetraporophora"
227,6144,275,59,"Tympanocryptis tetraporophora"
261,6004,293,64,"Tympanocryptis tetraporophora"
231,6379,311,53,"Tympanocryptis tetraporophora"
209,5603,554,36,"Tympanocryptis tetraporophora"
189,5806,233,12,"Tympanocryptis tetraporophora"
242,6034,253,70,"Tympanocryptis tetraporophora"
259,5650,419,82,"Tympanocryptis tetraporophora"
197,6104,225,19,"Tympanocryptis tetraporophora"
250,5583,331,85,"Tympanocryptis tetraporophora"
212,6355,239,41,"Tympanocryptis tetraporophora"
259,4915,371,95,"Tympanocryptis tetraporophora"
259,5450,431,91,"Tympanocryptis tetraporophora"
195,6075,189,16,"Tympanocryptis tetraporophora"
233,6646,174,44,"Tympanocryptis tetraporophora"
176,5907,407,9,"Tympanocryptis tetraporophora"
257,4895,451,99,"Tympanocryptis tetraporophora"
256,5600,309,89,"Tympanocryptis tetraporophora"
209,6318,231,27,"Tympanocryptis tetraporophora"
243,5588,279,84,"Tympanocryptis tetraporophora"
281,2257,1074,114,"Tympanocryptis tetraporophora"
271,3003,776,105,"Tympanocryptis tetraporophora"
264,4872,399,96,"Tympanocryptis tetraporophora"
214,6407,251,28,"Tympanocryptis tetraporophora"
202,5934,200,25,"Tympanocryptis tetraporophora"
225,5686,400,51,"Tympanocryptis tetraporophora"
210,6114,170,17,"Tympanocryptis tetraporophora"
229,6512,168,43,"Tympanocryptis tetraporophora"
249,5345,370,82,"Tympanocryptis tetraporophora"
214,4489,508,54,"Tympanocryptis tetraporophora"
267,2397,898,114,"Tympanocryptis tetraporophora"
233,6344,232,50,"Tympanocryptis tetraporophora"
217,6298,256,43,"Tympanocryptis tetraporophora"
198,5882,151,24,"Tympanocryptis tetraporophora"
214,6103,381,40,"Tympanocryptis tetraporophora"
265,3869,522,108,"Tympanocryptis tetraporophora"
205,6247,218,24,"Tympanocryptis tetraporophora"
208,6127,169,32,"Tympanocryptis tetraporophora"
275,4276,446,114,"Tympanocryptis tetraporophora"
233,5404,438,54,"Tympanocryptis tetraporophora"
243,4872,464,73,"Tympanocryptis tetraporophora"
257,5793,338,70,"Tympanocryptis tetraporophora"
218,6448,238,38,"Tympanocryptis tetraporophora"
255,6015,346,71,"Tympanocryptis tetraporophora"
199,6221,261,17,"Tympanocryptis tetraporophora"
