"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
157,4882,667,24,"Uvidicolus sphyrurus"
179,4230,656,38,"Uvidicolus sphyrurus"
151,4783,764,33,"Uvidicolus sphyrurus"
176,5091,613,29,"Uvidicolus sphyrurus"
180,5154,611,29,"Uvidicolus sphyrurus"
164,5048,771,24,"Uvidicolus sphyrurus"
165,5074,707,23,"Uvidicolus sphyrurus"
183,4650,652,39,"Uvidicolus sphyrurus"
169,4095,1096,43,"Uvidicolus sphyrurus"
189,4429,621,34,"Uvidicolus sphyrurus"
123,4406,938,41,"Uvidicolus sphyrurus"
180,4375,667,38,"Uvidicolus sphyrurus"
148,3995,970,38,"Uvidicolus sphyrurus"
169,4896,650,29,"Uvidicolus sphyrurus"
180,5279,597,24,"Uvidicolus sphyrurus"
159,4797,730,29,"Uvidicolus sphyrurus"
128,4522,769,32,"Uvidicolus sphyrurus"
176,5012,643,23,"Uvidicolus sphyrurus"
162,3883,1239,42,"Uvidicolus sphyrurus"
181,4569,639,40,"Uvidicolus sphyrurus"
194,4675,611,38,"Uvidicolus sphyrurus"
190,4494,635,38,"Uvidicolus sphyrurus"
117,4186,974,37,"Uvidicolus sphyrurus"
129,4456,770,25,"Uvidicolus sphyrurus"
170,4058,1042,53,"Uvidicolus sphyrurus"
133,4452,775,37,"Uvidicolus sphyrurus"
176,4068,1206,53,"Uvidicolus sphyrurus"
157,4916,783,30,"Uvidicolus sphyrurus"
182,5324,600,27,"Uvidicolus sphyrurus"
132,4548,875,28,"Uvidicolus sphyrurus"
181,4848,693,39,"Uvidicolus sphyrurus"
182,5321,662,21,"Uvidicolus sphyrurus"
190,4463,634,36,"Uvidicolus sphyrurus"
161,4791,733,27,"Uvidicolus sphyrurus"
135,4265,860,40,"Uvidicolus sphyrurus"
159,4846,675,34,"Uvidicolus sphyrurus"
163,4835,658,24,"Uvidicolus sphyrurus"
121,4377,771,34,"Uvidicolus sphyrurus"
189,4648,621,28,"Uvidicolus sphyrurus"
195,4738,609,35,"Uvidicolus sphyrurus"
123,4270,918,43,"Uvidicolus sphyrurus"
125,4249,872,42,"Uvidicolus sphyrurus"
169,5052,709,32,"Uvidicolus sphyrurus"
181,5307,574,25,"Uvidicolus sphyrurus"
175,5238,623,27,"Uvidicolus sphyrurus"
126,4287,1049,32,"Uvidicolus sphyrurus"
193,4976,582,36,"Uvidicolus sphyrurus"
163,4747,766,31,"Uvidicolus sphyrurus"
134,4534,786,28,"Uvidicolus sphyrurus"
139,4787,922,32,"Uvidicolus sphyrurus"
183,4280,667,39,"Uvidicolus sphyrurus"
192,4958,694,40,"Uvidicolus sphyrurus"
151,4152,871,38,"Uvidicolus sphyrurus"
153,4872,702,34,"Uvidicolus sphyrurus"
161,4420,702,24,"Uvidicolus sphyrurus"
157,4270,757,32,"Uvidicolus sphyrurus"
177,4182,780,40,"Uvidicolus sphyrurus"
162,4069,891,37,"Uvidicolus sphyrurus"
191,3994,902,43,"Uvidicolus sphyrurus"
183,4474,662,41,"Uvidicolus sphyrurus"
128,4537,891,33,"Uvidicolus sphyrurus"
141,4710,731,32,"Uvidicolus sphyrurus"
196,5036,553,33,"Uvidicolus sphyrurus"
172,3896,1236,43,"Uvidicolus sphyrurus"
122,4271,944,42,"Uvidicolus sphyrurus"
171,4230,672,36,"Uvidicolus sphyrurus"
153,4927,711,25,"Uvidicolus sphyrurus"
159,4552,702,35,"Uvidicolus sphyrurus"
179,4187,694,38,"Uvidicolus sphyrurus"
136,4567,905,36,"Uvidicolus sphyrurus"
131,4509,839,29,"Uvidicolus sphyrurus"
134,3755,1445,42,"Uvidicolus sphyrurus"
135,4606,746,25,"Uvidicolus sphyrurus"
137,4596,720,32,"Uvidicolus sphyrurus"
119,4382,802,26,"Uvidicolus sphyrurus"
122,4196,1130,42,"Uvidicolus sphyrurus"
166,4878,769,27,"Uvidicolus sphyrurus"
125,4417,992,35,"Uvidicolus sphyrurus"
165,4702,760,32,"Uvidicolus sphyrurus"
150,4816,692,26,"Uvidicolus sphyrurus"
173,5213,593,30,"Uvidicolus sphyrurus"
135,4300,865,28,"Uvidicolus sphyrurus"
179,4010,933,51,"Uvidicolus sphyrurus"
168,4718,773,35,"Uvidicolus sphyrurus"
156,4787,823,34,"Uvidicolus sphyrurus"
180,4551,632,31,"Uvidicolus sphyrurus"
183,4049,1102,56,"Uvidicolus sphyrurus"
176,4161,715,39,"Uvidicolus sphyrurus"
121,4226,807,34,"Uvidicolus sphyrurus"
168,4819,671,34,"Uvidicolus sphyrurus"
168,3919,1090,46,"Uvidicolus sphyrurus"
171,4931,651,27,"Uvidicolus sphyrurus"
172,5013,728,21,"Uvidicolus sphyrurus"
138,4403,849,30,"Uvidicolus sphyrurus"
169,4361,727,38,"Uvidicolus sphyrurus"
177,5044,697,26,"Uvidicolus sphyrurus"
172,4444,701,34,"Uvidicolus sphyrurus"
174,5183,679,36,"Uvidicolus sphyrurus"
194,4861,595,31,"Uvidicolus sphyrurus"
152,4161,893,43,"Uvidicolus sphyrurus"
157,4917,883,35,"Uvidicolus sphyrurus"
141,4736,957,33,"Uvidicolus sphyrurus"
167,4924,775,32,"Uvidicolus sphyrurus"
169,5129,778,26,"Uvidicolus sphyrurus"
151,4625,800,29,"Uvidicolus sphyrurus"
190,4614,613,34,"Uvidicolus sphyrurus"
163,5108,653,31,"Uvidicolus sphyrurus"
185,4628,573,35,"Uvidicolus sphyrurus"
141,3884,1301,42,"Uvidicolus sphyrurus"
191,4906,661,40,"Uvidicolus sphyrurus"
181,5197,641,24,"Uvidicolus sphyrurus"
183,5247,594,27,"Uvidicolus sphyrurus"
137,4216,919,37,"Uvidicolus sphyrurus"
151,4449,718,38,"Uvidicolus sphyrurus"
162,5108,769,24,"Uvidicolus sphyrurus"
193,4830,601,32,"Uvidicolus sphyrurus"
141,4726,729,28,"Uvidicolus sphyrurus"
186,5354,648,35,"Uvidicolus sphyrurus"
167,5075,655,27,"Uvidicolus sphyrurus"
170,4460,706,33,"Uvidicolus sphyrurus"
150,4568,749,30,"Uvidicolus sphyrurus"
163,4336,832,38,"Uvidicolus sphyrurus"
123,4503,862,33,"Uvidicolus sphyrurus"
131,4212,876,48,"Uvidicolus sphyrurus"
