"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
221,6315,320,44,"Varanus brevicauda"
269,5476,345,83,"Varanus brevicauda"
233,6429,284,51,"Varanus brevicauda"
223,6246,269,43,"Varanus brevicauda"
236,6561,193,45,"Varanus brevicauda"
264,5374,385,83,"Varanus brevicauda"
272,4948,416,89,"Varanus brevicauda"
238,6378,319,55,"Varanus brevicauda"
212,6259,248,38,"Varanus brevicauda"
245,5641,323,78,"Varanus brevicauda"
260,4369,562,114,"Varanus brevicauda"
230,6387,329,53,"Varanus brevicauda"
209,6264,240,45,"Varanus brevicauda"
239,6363,224,45,"Varanus brevicauda"
243,5557,282,88,"Varanus brevicauda"
259,4686,567,107,"Varanus brevicauda"
242,6378,273,68,"Varanus brevicauda"
258,5831,312,85,"Varanus brevicauda"
271,4501,413,107,"Varanus brevicauda"
248,6387,213,50,"Varanus brevicauda"
219,6183,210,45,"Varanus brevicauda"
242,6343,255,57,"Varanus brevicauda"
249,5553,285,89,"Varanus brevicauda"
245,6342,255,60,"Varanus brevicauda"
267,4463,446,104,"Varanus brevicauda"
225,6280,232,48,"Varanus brevicauda"
257,6039,242,74,"Varanus brevicauda"
224,6308,291,55,"Varanus brevicauda"
261,4993,410,92,"Varanus brevicauda"
221,6037,207,48,"Varanus brevicauda"
259,5287,424,95,"Varanus brevicauda"
239,6429,199,55,"Varanus brevicauda"
251,5732,315,85,"Varanus brevicauda"
265,5559,349,83,"Varanus brevicauda"
214,6308,251,37,"Varanus brevicauda"
242,6052,317,62,"Varanus brevicauda"
222,6316,224,49,"Varanus brevicauda"
233,6200,321,72,"Varanus brevicauda"
266,5663,365,77,"Varanus brevicauda"
251,6375,261,70,"Varanus brevicauda"
232,5835,252,73,"Varanus brevicauda"
258,4691,401,94,"Varanus brevicauda"
219,6118,220,50,"Varanus brevicauda"
257,5113,277,87,"Varanus brevicauda"
266,4632,445,105,"Varanus brevicauda"
264,5546,366,82,"Varanus brevicauda"
263,4607,481,110,"Varanus brevicauda"
255,5121,376,93,"Varanus brevicauda"
248,5439,346,97,"Varanus brevicauda"
249,6115,350,65,"Varanus brevicauda"
253,6226,218,67,"Varanus brevicauda"
243,5993,244,72,"Varanus brevicauda"
273,4816,326,98,"Varanus brevicauda"
217,6146,240,42,"Varanus brevicauda"
260,5875,307,67,"Varanus brevicauda"
216,6364,223,44,"Varanus brevicauda"
255,6283,254,60,"Varanus brevicauda"
207,5646,319,61,"Varanus brevicauda"
236,6409,234,57,"Varanus brevicauda"
261,4897,408,97,"Varanus brevicauda"
221,6327,230,49,"Varanus brevicauda"
264,4754,419,98,"Varanus brevicauda"
231,6389,224,50,"Varanus brevicauda"
230,6117,295,60,"Varanus brevicauda"
222,6278,235,38,"Varanus brevicauda"
265,4849,490,102,"Varanus brevicauda"
228,6497,210,42,"Varanus brevicauda"
257,5423,268,82,"Varanus brevicauda"
264,4346,453,103,"Varanus brevicauda"
228,6487,213,37,"Varanus brevicauda"
238,6421,241,59,"Varanus brevicauda"
275,4656,423,107,"Varanus brevicauda"
234,6411,313,50,"Varanus brevicauda"
231,6304,207,40,"Varanus brevicauda"
252,5810,387,69,"Varanus brevicauda"
243,6372,195,46,"Varanus brevicauda"
252,5040,241,81,"Varanus brevicauda"
255,6169,278,73,"Varanus brevicauda"
237,6363,213,57,"Varanus brevicauda"
281,3423,606,123,"Varanus brevicauda"
265,5540,282,89,"Varanus brevicauda"
235,5960,204,66,"Varanus brevicauda"
234,6349,221,57,"Varanus brevicauda"
257,5007,385,92,"Varanus brevicauda"
268,5108,295,90,"Varanus brevicauda"
242,6384,235,54,"Varanus brevicauda"
244,6440,220,62,"Varanus brevicauda"
230,5855,288,63,"Varanus brevicauda"
259,6141,291,64,"Varanus brevicauda"
237,6371,216,57,"Varanus brevicauda"
242,6395,257,67,"Varanus brevicauda"
264,5009,266,88,"Varanus brevicauda"
272,4557,324,101,"Varanus brevicauda"
283,3107,683,127,"Varanus brevicauda"
266,5215,396,86,"Varanus brevicauda"
239,6016,291,68,"Varanus brevicauda"
243,5597,380,77,"Varanus brevicauda"
271,3954,373,102,"Varanus brevicauda"
240,6053,201,65,"Varanus brevicauda"
268,4255,488,109,"Varanus brevicauda"
251,6367,260,70,"Varanus brevicauda"
250,5942,243,75,"Varanus brevicauda"
224,6415,183,50,"Varanus brevicauda"
236,6499,198,46,"Varanus brevicauda"
271,4176,380,102,"Varanus brevicauda"
