"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,6008,219,51,"Varanus caudolineatus"
255,4384,264,82,"Varanus caudolineatus"
228,6333,220,50,"Varanus caudolineatus"
209,6083,281,55,"Varanus caudolineatus"
271,4142,329,98,"Varanus caudolineatus"
199,5628,305,59,"Varanus caudolineatus"
209,5046,327,67,"Varanus caudolineatus"
249,6418,227,67,"Varanus caudolineatus"
255,4931,382,107,"Varanus caudolineatus"
205,5092,356,76,"Varanus caudolineatus"
254,5963,318,76,"Varanus caudolineatus"
222,5846,259,58,"Varanus caudolineatus"
235,6394,247,55,"Varanus caudolineatus"
225,6412,192,52,"Varanus caudolineatus"
251,6356,272,70,"Varanus caudolineatus"
195,5464,234,25,"Varanus caudolineatus"
215,6336,233,44,"Varanus caudolineatus"
247,6321,229,64,"Varanus caudolineatus"
220,5965,243,54,"Varanus caudolineatus"
250,6057,259,70,"Varanus caudolineatus"
250,4776,240,79,"Varanus caudolineatus"
213,5981,240,35,"Varanus caudolineatus"
192,5396,326,67,"Varanus caudolineatus"
211,6317,245,46,"Varanus caudolineatus"
235,4013,225,73,"Varanus caudolineatus"
221,6287,242,44,"Varanus caudolineatus"
195,5470,252,25,"Varanus caudolineatus"
210,5831,195,45,"Varanus caudolineatus"
236,5661,195,74,"Varanus caudolineatus"
242,5798,323,79,"Varanus caudolineatus"
255,5360,283,80,"Varanus caudolineatus"
243,6062,244,72,"Varanus caudolineatus"
197,5436,217,28,"Varanus caudolineatus"
229,6087,220,50,"Varanus caudolineatus"
266,5182,312,86,"Varanus caudolineatus"
240,5642,317,86,"Varanus caudolineatus"
191,5610,278,42,"Varanus caudolineatus"
227,5644,240,65,"Varanus caudolineatus"
205,6074,254,50,"Varanus caudolineatus"
241,6393,240,65,"Varanus caudolineatus"
256,6274,269,75,"Varanus caudolineatus"
234,6307,199,57,"Varanus caudolineatus"
214,6105,228,39,"Varanus caudolineatus"
232,6084,240,59,"Varanus caudolineatus"
234,6409,260,58,"Varanus caudolineatus"
252,6416,216,65,"Varanus caudolineatus"
239,4889,213,66,"Varanus caudolineatus"
273,4514,311,94,"Varanus caudolineatus"
267,6263,279,76,"Varanus caudolineatus"
200,5567,226,29,"Varanus caudolineatus"
265,5112,332,92,"Varanus caudolineatus"
234,3716,237,79,"Varanus caudolineatus"
236,4621,217,68,"Varanus caudolineatus"
240,6407,269,66,"Varanus caudolineatus"
204,5699,325,67,"Varanus caudolineatus"
256,5133,272,80,"Varanus caudolineatus"
242,6374,260,54,"Varanus caudolineatus"
231,5989,209,57,"Varanus caudolineatus"
272,3836,384,103,"Varanus caudolineatus"
220,6401,211,44,"Varanus caudolineatus"
239,6426,211,59,"Varanus caudolineatus"
259,5493,298,80,"Varanus caudolineatus"
272,4532,305,89,"Varanus caudolineatus"
234,6346,204,54,"Varanus caudolineatus"
221,6337,225,47,"Varanus caudolineatus"
222,6389,221,43,"Varanus caudolineatus"
246,5662,224,72,"Varanus caudolineatus"
202,5275,368,77,"Varanus caudolineatus"
260,4988,296,84,"Varanus caudolineatus"
253,6340,275,66,"Varanus caudolineatus"
217,5494,268,59,"Varanus caudolineatus"
222,5677,250,62,"Varanus caudolineatus"
206,5855,321,52,"Varanus caudolineatus"
218,6188,241,51,"Varanus caudolineatus"
243,6402,250,66,"Varanus caudolineatus"
236,6398,218,55,"Varanus caudolineatus"
192,5405,281,22,"Varanus caudolineatus"
265,4830,269,86,"Varanus caudolineatus"
193,5317,380,71,"Varanus caudolineatus"
236,6071,212,64,"Varanus caudolineatus"
267,6255,276,74,"Varanus caudolineatus"
214,6041,202,41,"Varanus caudolineatus"
275,3480,284,95,"Varanus caudolineatus"
256,6246,301,62,"Varanus caudolineatus"
261,4709,345,91,"Varanus caudolineatus"
207,5952,297,50,"Varanus caudolineatus"
254,6065,231,68,"Varanus caudolineatus"
272,3352,330,98,"Varanus caudolineatus"
257,5473,269,85,"Varanus caudolineatus"
274,4118,318,98,"Varanus caudolineatus"
247,6310,253,71,"Varanus caudolineatus"
216,6229,238,41,"Varanus caudolineatus"
244,4011,251,79,"Varanus caudolineatus"
214,6243,241,41,"Varanus caudolineatus"
272,3887,281,96,"Varanus caudolineatus"
257,4712,444,98,"Varanus caudolineatus"
191,5828,316,47,"Varanus caudolineatus"
254,5525,305,84,"Varanus caudolineatus"
229,6399,248,50,"Varanus caudolineatus"
248,6350,204,66,"Varanus caudolineatus"
251,5203,256,80,"Varanus caudolineatus"
233,6110,212,59,"Varanus caudolineatus"
244,6428,210,60,"Varanus caudolineatus"
233,6420,260,51,"Varanus caudolineatus"
204,5823,267,30,"Varanus caudolineatus"
267,5559,267,86,"Varanus caudolineatus"
253,4037,241,78,"Varanus caudolineatus"
261,5308,290,84,"Varanus caudolineatus"
266,5131,355,92,"Varanus caudolineatus"
215,6059,190,48,"Varanus caudolineatus"
265,5074,365,95,"Varanus caudolineatus"
257,6244,252,70,"Varanus caudolineatus"
245,6340,268,68,"Varanus caudolineatus"
220,6028,199,43,"Varanus caudolineatus"
257,5466,311,92,"Varanus caudolineatus"
269,4150,348,103,"Varanus caudolineatus"
227,5947,221,60,"Varanus caudolineatus"
