"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
207,6049,156,28,"Varanus gilleni"
214,6404,218,42,"Varanus gilleni"
276,4335,447,112,"Varanus gilleni"
277,4614,422,107,"Varanus gilleni"
250,5539,394,85,"Varanus gilleni"
242,6112,327,63,"Varanus gilleni"
246,6519,220,53,"Varanus gilleni"
269,3892,552,129,"Varanus gilleni"
240,6516,196,54,"Varanus gilleni"
239,6680,158,48,"Varanus gilleni"
242,6248,274,62,"Varanus gilleni"
270,3411,604,130,"Varanus gilleni"
241,6319,280,54,"Varanus gilleni"
247,6100,237,69,"Varanus gilleni"
226,6478,164,35,"Varanus gilleni"
198,5675,221,19,"Varanus gilleni"
241,6631,160,53,"Varanus gilleni"
200,5952,305,32,"Varanus gilleni"
264,5973,340,71,"Varanus gilleni"
221,6044,232,35,"Varanus gilleni"
258,5972,309,77,"Varanus gilleni"
236,6676,157,47,"Varanus gilleni"
226,6322,244,46,"Varanus gilleni"
219,6408,303,47,"Varanus gilleni"
227,6551,143,29,"Varanus gilleni"
231,6354,306,54,"Varanus gilleni"
258,5155,395,94,"Varanus gilleni"
239,6648,169,51,"Varanus gilleni"
254,5222,335,83,"Varanus gilleni"
203,5959,231,33,"Varanus gilleni"
212,6383,232,41,"Varanus gilleni"
280,4262,502,121,"Varanus gilleni"
238,6626,182,41,"Varanus gilleni"
237,6120,352,60,"Varanus gilleni"
249,6255,232,65,"Varanus gilleni"
205,6338,301,50,"Varanus gilleni"
221,6124,239,48,"Varanus gilleni"
242,6199,276,64,"Varanus gilleni"
245,6140,367,62,"Varanus gilleni"
246,6000,247,71,"Varanus gilleni"
180,5965,247,12,"Varanus gilleni"
268,4641,381,100,"Varanus gilleni"
235,6576,173,40,"Varanus gilleni"
250,6322,225,68,"Varanus gilleni"
251,6073,275,70,"Varanus gilleni"
193,5555,184,14,"Varanus gilleni"
262,5335,350,79,"Varanus gilleni"
238,6461,212,50,"Varanus gilleni"
200,5837,201,23,"Varanus gilleni"
229,6582,177,40,"Varanus gilleni"
240,5959,248,75,"Varanus gilleni"
252,5319,366,83,"Varanus gilleni"
206,6157,180,29,"Varanus gilleni"
232,5742,299,61,"Varanus gilleni"
266,6134,287,69,"Varanus gilleni"
208,6083,153,27,"Varanus gilleni"
273,3486,436,108,"Varanus gilleni"
252,5300,381,86,"Varanus gilleni"
240,6413,208,60,"Varanus gilleni"
234,6081,339,58,"Varanus gilleni"
232,5834,327,63,"Varanus gilleni"
242,5706,329,76,"Varanus gilleni"
228,6532,150,36,"Varanus gilleni"
209,6274,172,39,"Varanus gilleni"
227,6228,309,51,"Varanus gilleni"
255,6186,258,71,"Varanus gilleni"
261,4949,411,96,"Varanus gilleni"
262,5396,366,79,"Varanus gilleni"
246,6275,188,57,"Varanus gilleni"
263,5978,319,71,"Varanus gilleni"
201,6189,286,39,"Varanus gilleni"
214,6313,156,33,"Varanus gilleni"
238,5799,354,71,"Varanus gilleni"
210,6231,178,26,"Varanus gilleni"
201,6277,318,42,"Varanus gilleni"
277,4609,421,108,"Varanus gilleni"
227,6550,177,36,"Varanus gilleni"
265,5266,343,92,"Varanus gilleni"
239,6235,325,60,"Varanus gilleni"
244,5925,240,82,"Varanus gilleni"
235,6380,301,55,"Varanus gilleni"
237,6354,216,51,"Varanus gilleni"
244,5986,241,73,"Varanus gilleni"
223,6134,246,46,"Varanus gilleni"
252,6044,351,68,"Varanus gilleni"
215,5925,256,30,"Varanus gilleni"
194,5514,226,19,"Varanus gilleni"
213,6314,168,29,"Varanus gilleni"
257,6221,264,60,"Varanus gilleni"
238,6395,194,57,"Varanus gilleni"
256,5196,385,89,"Varanus gilleni"
233,6277,355,55,"Varanus gilleni"
192,5531,173,15,"Varanus gilleni"
218,6441,201,57,"Varanus gilleni"
202,5739,247,22,"Varanus gilleni"
250,5589,369,85,"Varanus gilleni"
247,6198,234,66,"Varanus gilleni"
256,6196,297,59,"Varanus gilleni"
255,6307,255,60,"Varanus gilleni"
238,6397,234,59,"Varanus gilleni"
209,6069,155,16,"Varanus gilleni"
247,6286,282,58,"Varanus gilleni"
257,6343,249,67,"Varanus gilleni"
190,5283,193,10,"Varanus gilleni"
216,6349,168,27,"Varanus gilleni"
225,6497,215,45,"Varanus gilleni"
214,6083,228,29,"Varanus gilleni"
227,6333,343,50,"Varanus gilleni"
261,5018,452,98,"Varanus gilleni"
240,6566,181,48,"Varanus gilleni"
237,6613,181,42,"Varanus gilleni"
259,5181,421,95,"Varanus gilleni"
260,5851,227,80,"Varanus gilleni"
234,5801,287,69,"Varanus gilleni"
264,5115,410,92,"Varanus gilleni"
230,6596,182,41,"Varanus gilleni"
204,6033,223,36,"Varanus gilleni"
246,6212,216,63,"Varanus gilleni"
265,5767,324,69,"Varanus gilleni"
252,6180,329,59,"Varanus gilleni"
201,6034,219,15,"Varanus gilleni"
193,5522,167,15,"Varanus gilleni"
215,5931,211,40,"Varanus gilleni"
260,5064,395,88,"Varanus gilleni"
229,6514,172,39,"Varanus gilleni"
223,6386,159,35,"Varanus gilleni"
275,4486,474,112,"Varanus gilleni"
266,5596,352,77,"Varanus gilleni"
225,6456,164,30,"Varanus gilleni"
246,6399,240,58,"Varanus gilleni"
229,6476,153,38,"Varanus gilleni"
223,6427,268,47,"Varanus gilleni"
219,6142,304,51,"Varanus gilleni"
264,4661,356,92,"Varanus gilleni"
219,6401,180,33,"Varanus gilleni"
231,6622,155,40,"Varanus gilleni"
265,5495,324,78,"Varanus gilleni"
218,6135,325,50,"Varanus gilleni"
233,6387,278,51,"Varanus gilleni"
268,5994,305,72,"Varanus gilleni"
195,5608,194,13,"Varanus gilleni"
227,6247,320,61,"Varanus gilleni"
261,6038,309,79,"Varanus gilleni"
274,4688,441,103,"Varanus gilleni"
202,5902,168,26,"Varanus gilleni"
246,6380,243,56,"Varanus gilleni"
221,6339,167,31,"Varanus gilleni"
225,6271,316,51,"Varanus gilleni"
201,5881,154,24,"Varanus gilleni"
240,6301,280,60,"Varanus gilleni"
264,5461,349,82,"Varanus gilleni"
267,5827,297,87,"Varanus gilleni"
257,6091,362,62,"Varanus gilleni"
201,5743,257,20,"Varanus gilleni"
237,6600,152,44,"Varanus gilleni"
269,5579,354,85,"Varanus gilleni"
197,5631,215,16,"Varanus gilleni"
256,5215,392,88,"Varanus gilleni"
241,6564,197,48,"Varanus gilleni"
232,6279,228,46,"Varanus gilleni"
238,5654,311,67,"Varanus gilleni"
224,6397,175,32,"Varanus gilleni"
229,6538,145,37,"Varanus gilleni"
268,4914,432,98,"Varanus gilleni"
236,6369,203,57,"Varanus gilleni"
235,6618,170,44,"Varanus gilleni"
248,6246,221,66,"Varanus gilleni"
255,5240,380,97,"Varanus gilleni"
201,6058,293,31,"Varanus gilleni"
265,4733,451,99,"Varanus gilleni"
227,6220,204,35,"Varanus gilleni"
189,5560,224,15,"Varanus gilleni"
208,6213,159,23,"Varanus gilleni"
254,5830,348,68,"Varanus gilleni"
244,6364,195,55,"Varanus gilleni"
202,6154,176,19,"Varanus gilleni"
253,5510,279,93,"Varanus gilleni"
242,6516,162,59,"Varanus gilleni"
238,5547,285,75,"Varanus gilleni"
254,5344,297,82,"Varanus gilleni"
273,4833,406,101,"Varanus gilleni"
201,6059,232,17,"Varanus gilleni"
