"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
259,4240,477,109,"Varanus glebopalma"
258,4845,382,97,"Varanus glebopalma"
272,2009,1073,117,"Varanus glebopalma"
270,3106,812,110,"Varanus glebopalma"
264,2394,1082,104,"Varanus glebopalma"
262,3624,625,113,"Varanus glebopalma"
266,3132,789,112,"Varanus glebopalma"
269,3486,609,109,"Varanus glebopalma"
254,3371,689,111,"Varanus glebopalma"
265,2923,988,119,"Varanus glebopalma"
251,2229,1250,111,"Varanus glebopalma"
273,1449,1357,106,"Varanus glebopalma"
269,1969,1040,110,"Varanus glebopalma"
260,4141,466,106,"Varanus glebopalma"
259,3128,832,117,"Varanus glebopalma"
271,2652,851,116,"Varanus glebopalma"
266,3107,733,107,"Varanus glebopalma"
273,2387,938,122,"Varanus glebopalma"
264,2028,1263,107,"Varanus glebopalma"
268,2933,711,116,"Varanus glebopalma"
272,1973,1501,110,"Varanus glebopalma"
265,3425,739,111,"Varanus glebopalma"
259,2149,1322,110,"Varanus glebopalma"
282,2336,1027,115,"Varanus glebopalma"
254,3188,798,110,"Varanus glebopalma"
263,3218,684,116,"Varanus glebopalma"
269,3083,665,117,"Varanus glebopalma"
266,2050,1078,108,"Varanus glebopalma"
268,2925,744,116,"Varanus glebopalma"
282,2239,926,113,"Varanus glebopalma"
269,3152,851,120,"Varanus glebopalma"
270,1926,1174,98,"Varanus glebopalma"
269,2928,768,112,"Varanus glebopalma"
277,1920,1387,108,"Varanus glebopalma"
264,1966,1258,124,"Varanus glebopalma"
258,4835,397,97,"Varanus glebopalma"
269,1583,1367,102,"Varanus glebopalma"
263,2657,996,107,"Varanus glebopalma"
268,2830,883,114,"Varanus glebopalma"
268,2949,740,122,"Varanus glebopalma"
252,4433,557,104,"Varanus glebopalma"
272,2879,798,111,"Varanus glebopalma"
270,2563,1031,110,"Varanus glebopalma"
271,1492,1446,107,"Varanus glebopalma"
257,3396,709,113,"Varanus glebopalma"
260,3986,561,111,"Varanus glebopalma"
264,4162,598,112,"Varanus glebopalma"
268,3430,641,110,"Varanus glebopalma"
264,2726,1013,117,"Varanus glebopalma"
278,1642,1654,107,"Varanus glebopalma"
259,4890,400,97,"Varanus glebopalma"
258,3424,672,112,"Varanus glebopalma"
262,4185,586,111,"Varanus glebopalma"
274,2023,834,110,"Varanus glebopalma"
260,3114,787,111,"Varanus glebopalma"
271,2754,791,115,"Varanus glebopalma"
261,3485,622,110,"Varanus glebopalma"
264,1512,1471,94,"Varanus glebopalma"
269,2828,817,111,"Varanus glebopalma"
260,4068,458,107,"Varanus glebopalma"
272,3020,817,109,"Varanus glebopalma"
260,4488,439,100,"Varanus glebopalma"
268,1734,1263,114,"Varanus glebopalma"
255,4916,376,93,"Varanus glebopalma"
265,1764,1730,109,"Varanus glebopalma"
271,2771,785,110,"Varanus glebopalma"
256,2079,1124,105,"Varanus glebopalma"
268,3672,561,109,"Varanus glebopalma"
263,2795,984,109,"Varanus glebopalma"
275,1734,1664,109,"Varanus glebopalma"
262,4195,495,109,"Varanus glebopalma"
278,1886,1437,102,"Varanus glebopalma"
265,2913,884,113,"Varanus glebopalma"
273,1511,1343,110,"Varanus glebopalma"
275,2013,1473,106,"Varanus glebopalma"
