"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
248,5703,318,83,"Varanus hamersleyensis"
238,5419,374,91,"Varanus hamersleyensis"
230,5375,485,91,"Varanus hamersleyensis"
243,5593,318,91,"Varanus hamersleyensis"
250,5761,264,82,"Varanus hamersleyensis"
230,5387,398,96,"Varanus hamersleyensis"
253,5544,314,84,"Varanus hamersleyensis"
250,5733,285,84,"Varanus hamersleyensis"
251,5664,351,86,"Varanus hamersleyensis"
249,5726,316,84,"Varanus hamersleyensis"
257,4869,370,96,"Varanus hamersleyensis"
251,5603,283,83,"Varanus hamersleyensis"
244,5685,341,84,"Varanus hamersleyensis"
233,5486,422,91,"Varanus hamersleyensis"
239,5567,322,88,"Varanus hamersleyensis"
234,5352,465,94,"Varanus hamersleyensis"
235,5414,358,92,"Varanus hamersleyensis"
251,5509,322,80,"Varanus hamersleyensis"
243,5625,351,89,"Varanus hamersleyensis"
252,5667,316,86,"Varanus hamersleyensis"
254,5543,301,85,"Varanus hamersleyensis"
241,5549,369,93,"Varanus hamersleyensis"
223,5335,489,91,"Varanus hamersleyensis"
252,5557,312,82,"Varanus hamersleyensis"
252,5619,294,83,"Varanus hamersleyensis"
255,5739,275,87,"Varanus hamersleyensis"
237,5462,446,92,"Varanus hamersleyensis"
240,5570,407,85,"Varanus hamersleyensis"
252,5554,307,85,"Varanus hamersleyensis"
254,5611,288,80,"Varanus hamersleyensis"
237,5567,414,88,"Varanus hamersleyensis"
235,5542,396,85,"Varanus hamersleyensis"
235,5378,413,93,"Varanus hamersleyensis"
245,5528,360,83,"Varanus hamersleyensis"
243,5622,380,83,"Varanus hamersleyensis"
242,5568,350,93,"Varanus hamersleyensis"
246,5599,386,88,"Varanus hamersleyensis"
250,5740,260,82,"Varanus hamersleyensis"
251,5565,329,81,"Varanus hamersleyensis"
245,5682,335,83,"Varanus hamersleyensis"
252,5504,323,82,"Varanus hamersleyensis"
251,5573,298,80,"Varanus hamersleyensis"
234,5363,421,93,"Varanus hamersleyensis"
248,5656,347,88,"Varanus hamersleyensis"
252,5641,278,78,"Varanus hamersleyensis"
240,5633,387,88,"Varanus hamersleyensis"
253,5956,305,79,"Varanus hamersleyensis"
242,5550,385,91,"Varanus hamersleyensis"
251,5629,274,81,"Varanus hamersleyensis"
236,5481,450,91,"Varanus hamersleyensis"
236,5617,407,84,"Varanus hamersleyensis"
251,5567,344,83,"Varanus hamersleyensis"
236,5404,461,89,"Varanus hamersleyensis"
237,5559,336,91,"Varanus hamersleyensis"
252,5585,319,81,"Varanus hamersleyensis"
250,5722,274,86,"Varanus hamersleyensis"
252,5524,324,84,"Varanus hamersleyensis"
243,5703,302,81,"Varanus hamersleyensis"
250,5592,345,81,"Varanus hamersleyensis"
244,5584,370,91,"Varanus hamersleyensis"
246,5565,373,88,"Varanus hamersleyensis"
249,5544,342,85,"Varanus hamersleyensis"
237,5594,385,88,"Varanus hamersleyensis"
244,5704,322,84,"Varanus hamersleyensis"
239,5644,364,86,"Varanus hamersleyensis"
243,5567,350,93,"Varanus hamersleyensis"
250,5699,333,84,"Varanus hamersleyensis"
245,5581,368,93,"Varanus hamersleyensis"
232,5493,429,88,"Varanus hamersleyensis"
239,5515,376,92,"Varanus hamersleyensis"
237,5579,392,84,"Varanus hamersleyensis"
250,5532,326,81,"Varanus hamersleyensis"
255,5653,264,85,"Varanus hamersleyensis"
238,5440,466,91,"Varanus hamersleyensis"
254,5728,265,85,"Varanus hamersleyensis"
253,5629,308,81,"Varanus hamersleyensis"
254,5691,319,86,"Varanus hamersleyensis"
227,5339,495,91,"Varanus hamersleyensis"
246,5425,422,84,"Varanus hamersleyensis"
241,5488,399,94,"Varanus hamersleyensis"
242,5525,416,90,"Varanus hamersleyensis"
250,5547,337,85,"Varanus hamersleyensis"
245,5668,337,84,"Varanus hamersleyensis"
248,5707,332,84,"Varanus hamersleyensis"
