"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
239,5309,240,74,"Varanus panoptes"
204,4139,366,83,"Varanus panoptes"
259,4739,428,104,"Varanus panoptes"
232,5148,468,55,"Varanus panoptes"
215,6102,228,41,"Varanus panoptes"
245,6416,245,66,"Varanus panoptes"
241,6427,203,61,"Varanus panoptes"
234,4177,568,64,"Varanus panoptes"
258,764,2107,46,"Varanus panoptes"
247,5771,319,71,"Varanus panoptes"
245,5003,454,79,"Varanus panoptes"
201,4744,389,82,"Varanus panoptes"
256,4804,416,92,"Varanus panoptes"
278,1576,1757,103,"Varanus panoptes"
248,2992,1052,99,"Varanus panoptes"
241,3710,269,81,"Varanus panoptes"
231,2121,1169,110,"Varanus panoptes"
250,5274,375,85,"Varanus panoptes"
273,1741,1199,111,"Varanus panoptes"
238,4164,615,76,"Varanus panoptes"
241,5271,404,87,"Varanus panoptes"
261,5784,212,80,"Varanus panoptes"
265,1872,1352,127,"Varanus panoptes"
238,4360,600,70,"Varanus panoptes"
257,1236,1568,111,"Varanus panoptes"
275,1799,1160,115,"Varanus panoptes"
211,3016,860,88,"Varanus panoptes"
260,1807,1302,111,"Varanus panoptes"
199,5617,247,28,"Varanus panoptes"
252,2508,865,113,"Varanus panoptes"
272,2643,814,114,"Varanus panoptes"
252,6356,291,70,"Varanus panoptes"
244,6272,239,66,"Varanus panoptes"
273,2421,844,109,"Varanus panoptes"
266,4847,307,88,"Varanus panoptes"
261,4940,341,96,"Varanus panoptes"
258,5282,287,85,"Varanus panoptes"
207,4180,414,88,"Varanus panoptes"
245,1729,1761,99,"Varanus panoptes"
247,4937,409,95,"Varanus panoptes"
269,2726,867,122,"Varanus panoptes"
274,2181,1256,110,"Varanus panoptes"
262,2675,890,107,"Varanus panoptes"
249,5689,260,79,"Varanus panoptes"
281,3151,577,115,"Varanus panoptes"
266,2626,838,113,"Varanus panoptes"
263,4698,305,87,"Varanus panoptes"
244,6410,268,66,"Varanus panoptes"
259,2000,991,115,"Varanus panoptes"
263,4089,474,111,"Varanus panoptes"
228,6434,240,45,"Varanus panoptes"
218,3947,301,87,"Varanus panoptes"
239,5430,332,83,"Varanus panoptes"
258,2104,1226,120,"Varanus panoptes"
249,5344,351,89,"Varanus panoptes"
235,3277,848,111,"Varanus panoptes"
259,4167,463,106,"Varanus panoptes"
217,6292,241,44,"Varanus panoptes"
232,4986,472,57,"Varanus panoptes"
237,6409,248,59,"Varanus panoptes"
236,4667,509,72,"Varanus panoptes"
235,6349,218,51,"Varanus panoptes"
243,6320,252,67,"Varanus panoptes"
266,3375,724,122,"Varanus panoptes"
246,5859,251,70,"Varanus panoptes"
254,6134,240,73,"Varanus panoptes"
246,5881,249,70,"Varanus panoptes"
261,2881,1050,111,"Varanus panoptes"
276,2022,1157,108,"Varanus panoptes"
