"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
188,5479,311,53,"Varanus rosenbergi"
182,5202,299,54,"Varanus rosenbergi"
178,4164,320,49,"Varanus rosenbergi"
156,4580,368,29,"Varanus rosenbergi"
180,5232,309,45,"Varanus rosenbergi"
168,2348,1072,76,"Varanus rosenbergi"
184,4089,218,17,"Varanus rosenbergi"
183,3936,199,15,"Varanus rosenbergi"
167,4733,366,47,"Varanus rosenbergi"
173,4802,317,33,"Varanus rosenbergi"
152,3069,777,59,"Varanus rosenbergi"
160,3077,959,72,"Varanus rosenbergi"
156,4178,373,40,"Varanus rosenbergi"
125,4761,763,11,"Varanus rosenbergi"
156,3828,382,30,"Varanus rosenbergi"
172,4652,647,81,"Varanus rosenbergi"
160,4331,381,43,"Varanus rosenbergi"
130,4206,608,33,"Varanus rosenbergi"
164,4129,1037,29,"Varanus rosenbergi"
152,4011,479,40,"Varanus rosenbergi"
169,3715,354,28,"Varanus rosenbergi"
181,4818,283,15,"Varanus rosenbergi"
172,3434,298,19,"Varanus rosenbergi"
174,3955,303,25,"Varanus rosenbergi"
137,4316,1140,37,"Varanus rosenbergi"
154,3395,393,41,"Varanus rosenbergi"
151,4584,405,32,"Varanus rosenbergi"
158,2713,574,32,"Varanus rosenbergi"
157,4758,352,26,"Varanus rosenbergi"
162,2620,1082,67,"Varanus rosenbergi"
172,2789,376,26,"Varanus rosenbergi"
147,3029,655,50,"Varanus rosenbergi"
168,3348,455,34,"Varanus rosenbergi"
159,2377,1247,69,"Varanus rosenbergi"
156,3743,778,74,"Varanus rosenbergi"
165,2798,443,29,"Varanus rosenbergi"
147,3601,571,43,"Varanus rosenbergi"
183,4106,211,13,"Varanus rosenbergi"
157,3856,425,34,"Varanus rosenbergi"
168,3197,410,21,"Varanus rosenbergi"
170,3939,1080,23,"Varanus rosenbergi"
146,3715,480,52,"Varanus rosenbergi"
163,2842,569,37,"Varanus rosenbergi"
170,3329,321,22,"Varanus rosenbergi"
166,3625,368,45,"Varanus rosenbergi"
187,3478,1234,23,"Varanus rosenbergi"
166,3649,1101,17,"Varanus rosenbergi"
186,4501,589,77,"Varanus rosenbergi"
157,3842,938,29,"Varanus rosenbergi"
152,2997,812,65,"Varanus rosenbergi"
171,3377,308,19,"Varanus rosenbergi"
178,3945,197,17,"Varanus rosenbergi"
161,4436,410,60,"Varanus rosenbergi"
163,4074,769,79,"Varanus rosenbergi"
182,5213,281,40,"Varanus rosenbergi"
171,3346,375,27,"Varanus rosenbergi"
164,4029,807,72,"Varanus rosenbergi"
165,3602,346,26,"Varanus rosenbergi"
166,3591,416,19,"Varanus rosenbergi"
189,5493,297,53,"Varanus rosenbergi"
161,3748,399,35,"Varanus rosenbergi"
180,5357,333,51,"Varanus rosenbergi"
154,3478,528,45,"Varanus rosenbergi"
140,4245,504,32,"Varanus rosenbergi"
176,5125,350,48,"Varanus rosenbergi"
167,3683,374,21,"Varanus rosenbergi"
148,3284,452,55,"Varanus rosenbergi"
175,3725,310,42,"Varanus rosenbergi"
168,3738,391,22,"Varanus rosenbergi"
190,4058,716,85,"Varanus rosenbergi"
171,3789,315,20,"Varanus rosenbergi"
177,3522,309,40,"Varanus rosenbergi"
178,4367,293,35,"Varanus rosenbergi"
153,3473,532,45,"Varanus rosenbergi"
126,4885,824,11,"Varanus rosenbergi"
182,3513,248,27,"Varanus rosenbergi"
155,3952,406,55,"Varanus rosenbergi"
182,4003,209,13,"Varanus rosenbergi"
151,3125,866,65,"Varanus rosenbergi"
150,3249,563,51,"Varanus rosenbergi"
189,5579,285,42,"Varanus rosenbergi"
160,4157,366,48,"Varanus rosenbergi"
