"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
253,1600,1147,119,"Varanus semiremex"
217,3255,1652,82,"Varanus semiremex"
223,2314,1271,97,"Varanus semiremex"
212,3627,802,54,"Varanus semiremex"
231,3029,1891,85,"Varanus semiremex"
244,2980,1786,93,"Varanus semiremex"
229,3826,567,58,"Varanus semiremex"
241,2691,2416,72,"Varanus semiremex"
196,3639,868,50,"Varanus semiremex"
240,3345,809,90,"Varanus semiremex"
261,1361,1444,97,"Varanus semiremex"
247,1577,1593,110,"Varanus semiremex"
228,3552,687,64,"Varanus semiremex"
242,3096,958,93,"Varanus semiremex"
210,3167,1028,88,"Varanus semiremex"
218,3121,1330,58,"Varanus semiremex"
231,2280,1043,99,"Varanus semiremex"
222,3333,1311,83,"Varanus semiremex"
220,3351,1007,48,"Varanus semiremex"
214,3375,1198,54,"Varanus semiremex"
211,2221,2105,91,"Varanus semiremex"
200,2694,2162,78,"Varanus semiremex"
259,1401,1341,102,"Varanus semiremex"
261,1672,1190,104,"Varanus semiremex"
261,1752,1124,112,"Varanus semiremex"
218,3478,911,54,"Varanus semiremex"
228,3709,823,62,"Varanus semiremex"
259,1828,1656,97,"Varanus semiremex"
243,1335,1855,104,"Varanus semiremex"
236,2169,880,110,"Varanus semiremex"
253,1596,1342,114,"Varanus semiremex"
263,1804,1164,114,"Varanus semiremex"
218,3588,754,64,"Varanus semiremex"
266,1043,1679,101,"Varanus semiremex"
249,1737,1383,116,"Varanus semiremex"
209,3569,1031,60,"Varanus semiremex"
233,3439,854,61,"Varanus semiremex"
237,3087,1548,83,"Varanus semiremex"
252,2059,979,111,"Varanus semiremex"
227,3479,781,72,"Varanus semiremex"
208,2086,1367,95,"Varanus semiremex"
265,1132,1557,114,"Varanus semiremex"
214,3715,763,51,"Varanus semiremex"
237,3053,1539,93,"Varanus semiremex"
260,1588,1257,115,"Varanus semiremex"
226,3374,797,58,"Varanus semiremex"
248,1441,1404,114,"Varanus semiremex"
188,2546,2504,68,"Varanus semiremex"
257,1442,1345,115,"Varanus semiremex"
259,1360,1341,112,"Varanus semiremex"
227,3255,688,89,"Varanus semiremex"
264,1256,1600,117,"Varanus semiremex"
215,3459,902,52,"Varanus semiremex"
228,3575,662,67,"Varanus semiremex"
