"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
267,2456,869,128,"Varanus sparnus"
268,2470,864,128,"Varanus sparnus"
267,2663,786,120,"Varanus sparnus"
272,2438,801,126,"Varanus sparnus"
272,2758,758,123,"Varanus sparnus"
268,2417,882,127,"Varanus sparnus"
273,2760,781,123,"Varanus sparnus"
269,2696,750,119,"Varanus sparnus"
264,2511,914,128,"Varanus sparnus"
264,2610,809,119,"Varanus sparnus"
271,2733,757,120,"Varanus sparnus"
265,2583,878,124,"Varanus sparnus"
267,2655,788,120,"Varanus sparnus"
274,2800,761,123,"Varanus sparnus"
277,2889,734,125,"Varanus sparnus"
274,2450,735,124,"Varanus sparnus"
266,2622,793,123,"Varanus sparnus"
269,2654,744,122,"Varanus sparnus"
263,2535,866,123,"Varanus sparnus"
264,2497,940,128,"Varanus sparnus"
275,2866,746,123,"Varanus sparnus"
267,2661,752,118,"Varanus sparnus"
273,2813,743,122,"Varanus sparnus"
272,2398,832,127,"Varanus sparnus"
266,2457,892,125,"Varanus sparnus"
266,2559,806,124,"Varanus sparnus"
264,2573,803,122,"Varanus sparnus"
272,2728,726,120,"Varanus sparnus"
267,2487,903,129,"Varanus sparnus"
271,2402,842,127,"Varanus sparnus"
273,2732,751,123,"Varanus sparnus"
272,2395,827,126,"Varanus sparnus"
269,2688,740,118,"Varanus sparnus"
266,2608,821,123,"Varanus sparnus"
276,2821,719,123,"Varanus sparnus"
270,2537,803,125,"Varanus sparnus"
271,2440,851,127,"Varanus sparnus"
268,2665,814,123,"Varanus sparnus"
273,2372,804,126,"Varanus sparnus"
270,2761,820,122,"Varanus sparnus"
271,2473,800,125,"Varanus sparnus"
271,2701,778,122,"Varanus sparnus"
271,2797,878,125,"Varanus sparnus"
274,2796,745,121,"Varanus sparnus"
275,2835,713,122,"Varanus sparnus"
275,2808,783,122,"Varanus sparnus"
271,2518,790,125,"Varanus sparnus"
268,2684,782,120,"Varanus sparnus"
266,2617,839,124,"Varanus sparnus"
266,2592,810,124,"Varanus sparnus"
273,2401,759,125,"Varanus sparnus"
264,2586,804,120,"Varanus sparnus"
275,2776,776,123,"Varanus sparnus"
271,2434,829,127,"Varanus sparnus"
273,2769,744,120,"Varanus sparnus"
269,2440,871,128,"Varanus sparnus"
265,2533,866,126,"Varanus sparnus"
277,2869,728,125,"Varanus sparnus"
272,2753,758,121,"Varanus sparnus"
266,2634,790,119,"Varanus sparnus"
266,2527,830,125,"Varanus sparnus"
269,2468,869,128,"Varanus sparnus"
267,2619,798,122,"Varanus sparnus"
273,2352,783,124,"Varanus sparnus"
268,2567,811,125,"Varanus sparnus"
269,2728,818,122,"Varanus sparnus"
266,2582,805,122,"Varanus sparnus"
261,2542,950,125,"Varanus sparnus"
263,2525,940,128,"Varanus sparnus"
267,2648,831,122,"Varanus sparnus"
273,2482,757,125,"Varanus sparnus"
271,2724,752,119,"Varanus sparnus"
269,2471,841,127,"Varanus sparnus"
264,2503,868,125,"Varanus sparnus"
273,2846,781,123,"Varanus sparnus"
270,2706,755,121,"Varanus sparnus"
267,2501,834,125,"Varanus sparnus"
