"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
136,5251,799,12,"Varanus varius"
237,3047,994,90,"Varanus varius"
161,5621,532,20,"Varanus varius"
185,6035,316,11,"Varanus varius"
186,4154,711,47,"Varanus varius"
181,5942,313,12,"Varanus varius"
229,3727,658,53,"Varanus varius"
223,4635,629,59,"Varanus varius"
206,5704,546,36,"Varanus varius"
206,5839,513,36,"Varanus varius"
207,3250,1247,38,"Varanus varius"
201,4847,654,41,"Varanus varius"
154,4847,434,20,"Varanus varius"
204,5260,577,34,"Varanus varius"
206,4114,665,48,"Varanus varius"
231,3428,660,83,"Varanus varius"
154,4788,807,26,"Varanus varius"
167,5053,295,19,"Varanus varius"
164,4842,310,26,"Varanus varius"
118,4225,1035,34,"Varanus varius"
207,5361,525,36,"Varanus varius"
141,3349,1194,16,"Varanus varius"
229,4409,604,57,"Varanus varius"
175,3738,1227,49,"Varanus varius"
165,3543,1390,19,"Varanus varius"
183,6017,425,20,"Varanus varius"
136,5235,722,18,"Varanus varius"
214,4714,784,53,"Varanus varius"
224,4214,696,63,"Varanus varius"
227,3340,615,97,"Varanus varius"
180,6020,372,11,"Varanus varius"
197,3156,1712,43,"Varanus varius"
168,5394,313,16,"Varanus varius"
146,4576,786,33,"Varanus varius"
174,3516,1413,21,"Varanus varius"
150,3261,700,15,"Varanus varius"
164,5297,372,18,"Varanus varius"
130,5251,864,17,"Varanus varius"
146,5350,554,7,"Varanus varius"
171,5601,335,12,"Varanus varius"
197,4662,633,43,"Varanus varius"
159,5104,408,19,"Varanus varius"
188,3820,828,46,"Varanus varius"
215,3538,1026,51,"Varanus varius"
121,4592,781,9,"Varanus varius"
187,5534,595,29,"Varanus varius"
155,5609,613,11,"Varanus varius"
228,4145,679,58,"Varanus varius"
163,5577,533,13,"Varanus varius"
220,3265,1083,52,"Varanus varius"
205,4379,710,45,"Varanus varius"
220,2393,911,108,"Varanus varius"
210,4895,602,45,"Varanus varius"
232,4344,547,66,"Varanus varius"
168,5861,430,11,"Varanus varius"
170,3608,1655,38,"Varanus varius"
150,4948,735,28,"Varanus varius"
128,4084,986,28,"Varanus varius"
191,4152,673,44,"Varanus varius"
134,3596,606,20,"Varanus varius"
179,3646,1431,48,"Varanus varius"
118,5021,722,11,"Varanus varius"
220,4380,772,56,"Varanus varius"
156,5115,636,15,"Varanus varius"
189,3911,1055,42,"Varanus varius"
206,5667,524,34,"Varanus varius"
100,4605,897,9,"Varanus varius"
239,3910,683,75,"Varanus varius"
118,4646,842,9,"Varanus varius"
228,4203,719,52,"Varanus varius"
142,3633,932,24,"Varanus varius"
161,5269,401,16,"Varanus varius"
178,4466,721,32,"Varanus varius"
154,5281,630,23,"Varanus varius"
151,4876,586,27,"Varanus varius"
124,4461,940,13,"Varanus varius"
219,4644,565,54,"Varanus varius"
139,5375,882,24,"Varanus varius"
172,5868,439,11,"Varanus varius"
178,5135,589,33,"Varanus varius"
240,3725,583,74,"Varanus varius"
151,5440,691,11,"Varanus varius"
113,4431,514,23,"Varanus varius"
207,5740,515,33,"Varanus varius"
191,4675,662,32,"Varanus varius"
241,2244,3166,80,"Varanus varius"
130,3754,882,26,"Varanus varius"
199,3400,1253,40,"Varanus varius"
141,4000,951,19,"Varanus varius"
183,5516,622,26,"Varanus varius"
174,3798,962,26,"Varanus varius"
207,5850,497,36,"Varanus varius"
184,6060,362,12,"Varanus varius"
162,5191,372,19,"Varanus varius"
171,4118,1003,42,"Varanus varius"
114,4299,984,35,"Varanus varius"
172,5158,637,33,"Varanus varius"
196,3299,1364,39,"Varanus varius"
198,6006,428,25,"Varanus varius"
245,2879,1997,89,"Varanus varius"
203,5303,543,38,"Varanus varius"
222,4680,593,57,"Varanus varius"
166,5802,477,9,"Varanus varius"
178,5099,606,29,"Varanus varius"
158,5140,649,20,"Varanus varius"
156,5274,728,22,"Varanus varius"
168,5667,398,14,"Varanus varius"
129,4202,784,36,"Varanus varius"
217,3524,910,54,"Varanus varius"
151,3192,927,15,"Varanus varius"
151,4822,416,26,"Varanus varius"
181,5999,375,9,"Varanus varius"
166,4895,701,26,"Varanus varius"
122,4788,965,33,"Varanus varius"
123,4935,844,20,"Varanus varius"
168,5205,336,16,"Varanus varius"
236,3493,746,83,"Varanus varius"
193,4920,639,38,"Varanus varius"
173,5822,510,10,"Varanus varius"
163,5693,531,14,"Varanus varius"
148,4600,408,27,"Varanus varius"
175,5555,303,12,"Varanus varius"
198,3025,1995,35,"Varanus varius"
158,4845,351,25,"Varanus varius"
187,6041,295,16,"Varanus varius"
179,5976,416,14,"Varanus varius"
208,3771,663,46,"Varanus varius"
107,3743,988,11,"Varanus varius"
136,5044,650,14,"Varanus varius"
203,5484,578,32,"Varanus varius"
151,3422,856,12,"Varanus varius"
150,5312,764,29,"Varanus varius"
165,5640,448,15,"Varanus varius"
133,3655,565,16,"Varanus varius"
162,5337,396,17,"Varanus varius"
204,5905,479,33,"Varanus varius"
155,5475,593,11,"Varanus varius"
209,5676,548,35,"Varanus varius"
249,2957,1046,98,"Varanus varius"
204,5390,592,35,"Varanus varius"
133,4271,807,13,"Varanus varius"
225,4509,669,56,"Varanus varius"
149,3268,650,14,"Varanus varius"
227,4281,604,60,"Varanus varius"
201,4901,648,48,"Varanus varius"
176,4585,807,41,"Varanus varius"
226,4253,604,59,"Varanus varius"
228,3713,783,63,"Varanus varius"
136,4273,507,20,"Varanus varius"
172,5854,426,10,"Varanus varius"
167,4969,621,28,"Varanus varius"
168,4827,279,23,"Varanus varius"
114,4562,874,12,"Varanus varius"
203,5305,530,40,"Varanus varius"
230,4009,560,62,"Varanus varius"
138,3350,599,19,"Varanus varius"
147,5459,651,21,"Varanus varius"
228,4467,616,55,"Varanus varius"
205,5561,561,32,"Varanus varius"
148,3100,829,17,"Varanus varius"
227,4499,565,57,"Varanus varius"
165,5302,339,18,"Varanus varius"
208,4855,621,48,"Varanus varius"
223,4593,664,59,"Varanus varius"
171,5792,513,13,"Varanus varius"
236,2923,981,60,"Varanus varius"
171,5773,518,9,"Varanus varius"
176,4192,761,36,"Varanus varius"
219,4682,623,52,"Varanus varius"
231,3935,646,63,"Varanus varius"
165,5295,259,13,"Varanus varius"
184,4132,796,43,"Varanus varius"
230,4042,623,49,"Varanus varius"
241,3941,636,76,"Varanus varius"
160,5515,613,13,"Varanus varius"
107,3881,912,10,"Varanus varius"
138,5239,873,31,"Varanus varius"
227,4565,624,60,"Varanus varius"
195,4503,640,41,"Varanus varius"
142,4040,1298,39,"Varanus varius"
242,3686,597,75,"Varanus varius"
199,3959,784,46,"Varanus varius"
203,4688,673,50,"Varanus varius"
218,4050,673,61,"Varanus varius"
232,3941,627,55,"Varanus varius"
201,3710,1189,49,"Varanus varius"
112,4049,1127,42,"Varanus varius"
118,4461,930,29,"Varanus varius"
212,4145,632,42,"Varanus varius"
161,5315,422,16,"Varanus varius"
231,3277,937,60,"Varanus varius"
162,5078,525,25,"Varanus varius"
145,5478,777,7,"Varanus varius"
171,5094,684,27,"Varanus varius"
233,3577,675,77,"Varanus varius"
195,4866,592,46,"Varanus varius"
233,3424,1068,68,"Varanus varius"
249,1932,1491,102,"Varanus varius"
175,5113,710,33,"Varanus varius"
177,5786,510,12,"Varanus varius"
135,3412,1174,17,"Varanus varius"
159,5357,555,19,"Varanus varius"
155,4905,377,23,"Varanus varius"
149,4540,417,31,"Varanus varius"
197,4849,739,43,"Varanus varius"
191,3236,1384,34,"Varanus varius"
150,2963,1034,10,"Varanus varius"
177,5808,289,10,"Varanus varius"
110,4626,525,23,"Varanus varius"
145,5224,604,9,"Varanus varius"
199,3248,1493,38,"Varanus varius"
205,5565,522,31,"Varanus varius"
185,3773,1002,38,"Varanus varius"
189,6013,463,24,"Varanus varius"
240,3924,645,77,"Varanus varius"
210,4725,576,54,"Varanus varius"
175,5395,283,17,"Varanus varius"
192,5585,598,31,"Varanus varius"
143,3077,1172,14,"Varanus varius"
170,5876,473,13,"Varanus varius"
171,5886,447,12,"Varanus varius"
196,3379,1166,36,"Varanus varius"
243,3061,868,92,"Varanus varius"
194,4746,675,39,"Varanus varius"
103,4750,823,21,"Varanus varius"
191,5047,716,34,"Varanus varius"
192,5326,625,32,"Varanus varius"
183,5285,589,28,"Varanus varius"
227,3157,1214,91,"Varanus varius"
178,5749,516,13,"Varanus varius"
177,5666,295,13,"Varanus varius"
164,5205,251,12,"Varanus varius"
226,4571,557,59,"Varanus varius"
231,3350,694,86,"Varanus varius"
229,4385,523,63,"Varanus varius"
128,4524,723,10,"Varanus varius"
131,4341,751,33,"Varanus varius"
180,5870,502,12,"Varanus varius"
119,3950,751,15,"Varanus varius"
139,5368,865,26,"Varanus varius"
187,4690,772,38,"Varanus varius"
208,5853,489,37,"Varanus varius"
234,3472,565,82,"Varanus varius"
226,3533,750,94,"Varanus varius"
229,4253,581,50,"Varanus varius"
123,4842,788,13,"Varanus varius"
235,3600,941,71,"Varanus varius"
175,5576,296,14,"Varanus varius"
116,4590,816,21,"Varanus varius"
92,4696,888,18,"Varanus varius"
139,3226,986,15,"Varanus varius"
191,4342,625,41,"Varanus varius"
159,5681,510,11,"Varanus varius"
151,4741,461,20,"Varanus varius"
248,2931,1051,98,"Varanus varius"
171,5788,393,14,"Varanus varius"
227,4163,571,62,"Varanus varius"
238,3762,741,75,"Varanus varius"
131,4485,768,36,"Varanus varius"
152,3708,1241,28,"Varanus varius"
221,2579,808,105,"Varanus varius"
161,3850,1309,41,"Varanus varius"
166,5731,491,10,"Varanus varius"
221,4458,716,49,"Varanus varius"
200,6034,429,26,"Varanus varius"
189,3356,1386,39,"Varanus varius"
218,3769,627,54,"Varanus varius"
241,2029,1564,97,"Varanus varius"
152,4140,1063,49,"Varanus varius"
171,5551,319,12,"Varanus varius"
222,3278,1064,56,"Varanus varius"
181,5877,273,10,"Varanus varius"
224,4457,670,62,"Varanus varius"
210,4796,723,54,"Varanus varius"
209,4841,664,54,"Varanus varius"
205,5393,574,33,"Varanus varius"
231,2972,1243,60,"Varanus varius"
176,5846,367,13,"Varanus varius"
159,4948,349,21,"Varanus varius"
149,4130,993,30,"Varanus varius"
201,5552,560,37,"Varanus varius"
167,5076,306,20,"Varanus varius"
118,4412,894,29,"Varanus varius"
188,5930,480,19,"Varanus varius"
154,4825,674,34,"Varanus varius"
227,3629,634,73,"Varanus varius"
169,5759,408,13,"Varanus varius"
150,3085,1031,14,"Varanus varius"
164,5618,456,14,"Varanus varius"
146,4498,417,27,"Varanus varius"
207,5759,516,37,"Varanus varius"
172,3946,798,20,"Varanus varius"
229,3390,674,97,"Varanus varius"
184,5798,490,15,"Varanus varius"
146,4728,852,23,"Varanus varius"
156,5042,413,24,"Varanus varius"
190,5954,471,19,"Varanus varius"
193,1954,1279,102,"Varanus varius"
170,5556,343,12,"Varanus varius"
207,5399,590,38,"Varanus varius"
172,5874,403,13,"Varanus varius"
186,3849,1104,53,"Varanus varius"
164,4741,297,27,"Varanus varius"
116,4956,775,15,"Varanus varius"
136,5156,777,13,"Varanus varius"
224,3309,680,92,"Varanus varius"
160,4890,325,25,"Varanus varius"
185,5916,270,9,"Varanus varius"
157,5538,567,13,"Varanus varius"
227,4040,650,53,"Varanus varius"
229,4217,578,52,"Varanus varius"
244,3381,834,84,"Varanus varius"
160,4674,716,33,"Varanus varius"
153,4863,593,20,"Varanus varius"
131,4431,719,18,"Varanus varius"
128,4489,908,26,"Varanus varius"
204,4280,730,46,"Varanus varius"
177,4098,816,39,"Varanus varius"
201,3182,1351,81,"Varanus varius"
226,4265,508,48,"Varanus varius"
177,3496,1070,30,"Varanus varius"
145,2751,933,22,"Varanus varius"
205,3483,1043,40,"Varanus varius"
171,5781,386,13,"Varanus varius"
197,6073,404,20,"Varanus varius"
201,3681,1430,50,"Varanus varius"
198,5365,614,31,"Varanus varius"
172,4045,840,28,"Varanus varius"
201,4569,632,42,"Varanus varius"
155,4524,733,33,"Varanus varius"
101,4052,1127,12,"Varanus varius"
152,4765,395,26,"Varanus varius"
142,4558,547,31,"Varanus varius"
204,5275,598,33,"Varanus varius"
230,2131,2120,92,"Varanus varius"
205,5569,551,32,"Varanus varius"
141,3606,934,12,"Varanus varius"
168,5583,391,12,"Varanus varius"
172,5952,455,15,"Varanus varius"
247,3091,904,96,"Varanus varius"
159,5625,525,8,"Varanus varius"
167,5375,606,27,"Varanus varius"
229,2345,1136,101,"Varanus varius"
229,3581,659,90,"Varanus varius"
163,5710,494,12,"Varanus varius"
162,5211,386,19,"Varanus varius"
195,3496,1017,35,"Varanus varius"
141,4711,538,31,"Varanus varius"
236,3314,1258,79,"Varanus varius"
163,4372,656,39,"Varanus varius"
229,4015,606,62,"Varanus varius"
206,4423,743,45,"Varanus varius"
190,3854,1057,44,"Varanus varius"
177,5805,297,12,"Varanus varius"
168,4806,700,28,"Varanus varius"
203,5449,584,38,"Varanus varius"
150,3104,659,13,"Varanus varius"
239,4043,644,80,"Varanus varius"
165,4923,659,35,"Varanus varius"
230,4038,615,50,"Varanus varius"
205,5318,571,38,"Varanus varius"
147,3606,651,15,"Varanus varius"
158,5072,369,20,"Varanus varius"
217,3536,807,52,"Varanus varius"
172,3670,1300,24,"Varanus varius"
165,5190,335,17,"Varanus varius"
166,5713,494,13,"Varanus varius"
131,3815,636,20,"Varanus varius"
141,4339,1029,25,"Varanus varius"
144,3385,807,13,"Varanus varius"
187,5158,640,25,"Varanus varius"
155,4805,778,37,"Varanus varius"
142,3548,871,13,"Varanus varius"
232,4193,571,65,"Varanus varius"
