"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
216,6209,344,43,"Vermicella annulata"
200,3267,1229,32,"Vermicella annulata"
203,5925,473,32,"Vermicella annulata"
261,1792,1095,113,"Vermicella annulata"
240,4127,555,68,"Vermicella annulata"
187,6030,424,22,"Vermicella annulata"
236,3546,667,83,"Vermicella annulata"
243,5542,332,77,"Vermicella annulata"
269,2885,862,110,"Vermicella annulata"
219,5580,498,52,"Vermicella annulata"
237,4066,666,83,"Vermicella annulata"
253,5455,315,90,"Vermicella annulata"
208,6176,402,31,"Vermicella annulata"
213,5960,434,37,"Vermicella annulata"
262,2669,987,107,"Vermicella annulata"
203,6010,449,27,"Vermicella annulata"
264,2983,839,113,"Vermicella annulata"
169,5490,341,14,"Vermicella annulata"
216,6406,204,36,"Vermicella annulata"
269,1674,1496,124,"Vermicella annulata"
252,5550,298,81,"Vermicella annulata"
242,5934,298,58,"Vermicella annulata"
199,3868,808,41,"Vermicella annulata"
243,5897,265,69,"Vermicella annulata"
232,5246,447,54,"Vermicella annulata"
244,5174,419,76,"Vermicella annulata"
210,5864,470,37,"Vermicella annulata"
211,3701,598,95,"Vermicella annulata"
170,5605,374,14,"Vermicella annulata"
214,4715,561,59,"Vermicella annulata"
269,2603,818,109,"Vermicella annulata"
173,5344,302,16,"Vermicella annulata"
171,5783,470,8,"Vermicella annulata"
215,6351,266,28,"Vermicella annulata"
205,6107,177,18,"Vermicella annulata"
189,5950,262,16,"Vermicella annulata"
206,6127,173,21,"Vermicella annulata"
142,5333,708,11,"Vermicella annulata"
259,1186,1611,103,"Vermicella annulata"
187,5704,218,12,"Vermicella annulata"
178,5632,554,16,"Vermicella annulata"
235,4502,515,66,"Vermicella annulata"
210,5834,532,45,"Vermicella annulata"
184,6068,352,10,"Vermicella annulata"
267,1042,1625,109,"Vermicella annulata"
129,4073,1086,18,"Vermicella annulata"
263,3933,559,109,"Vermicella annulata"
250,3300,750,117,"Vermicella annulata"
263,3297,692,109,"Vermicella annulata"
262,2621,875,110,"Vermicella annulata"
235,6126,288,52,"Vermicella annulata"
226,3918,782,57,"Vermicella annulata"
190,6110,299,17,"Vermicella annulata"
227,4081,619,65,"Vermicella annulata"
217,5619,469,54,"Vermicella annulata"
207,5922,475,32,"Vermicella annulata"
234,5142,482,57,"Vermicella annulata"
192,6022,270,14,"Vermicella annulata"
234,3421,821,63,"Vermicella annulata"
227,2364,1188,104,"Vermicella annulata"
261,1964,1137,118,"Vermicella annulata"
132,4021,955,15,"Vermicella annulata"
188,3631,1487,43,"Vermicella annulata"
