"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
262,5866,242,73,"Vermicella snelli"
257,5232,320,93,"Vermicella snelli"
240,5588,314,89,"Vermicella snelli"
260,5697,260,83,"Vermicella snelli"
243,4963,411,100,"Vermicella snelli"
250,6229,264,67,"Vermicella snelli"
244,5001,466,90,"Vermicella snelli"
242,5998,265,71,"Vermicella snelli"
247,4918,415,97,"Vermicella snelli"
253,6110,237,69,"Vermicella snelli"
269,5024,356,101,"Vermicella snelli"
241,5505,421,91,"Vermicella snelli"
258,5702,296,82,"Vermicella snelli"
244,5829,243,79,"Vermicella snelli"
268,4350,371,97,"Vermicella snelli"
237,5204,461,86,"Vermicella snelli"
247,5784,286,84,"Vermicella snelli"
258,4330,371,97,"Vermicella snelli"
246,4879,412,95,"Vermicella snelli"
256,6152,253,73,"Vermicella snelli"
237,5325,370,85,"Vermicella snelli"
249,5945,255,76,"Vermicella snelli"
228,5315,405,82,"Vermicella snelli"
274,4312,318,99,"Vermicella snelli"
253,5015,460,96,"Vermicella snelli"
225,5204,443,90,"Vermicella snelli"
257,5904,242,69,"Vermicella snelli"
253,6233,237,65,"Vermicella snelli"
243,5206,407,90,"Vermicella snelli"
271,3656,263,94,"Vermicella snelli"
260,5574,304,92,"Vermicella snelli"
235,5492,328,79,"Vermicella snelli"
258,4690,391,96,"Vermicella snelli"
254,4850,392,94,"Vermicella snelli"
253,5636,264,80,"Vermicella snelli"
258,5912,263,70,"Vermicella snelli"
261,4841,361,101,"Vermicella snelli"
263,5662,267,88,"Vermicella snelli"
238,4888,486,89,"Vermicella snelli"
254,5789,281,75,"Vermicella snelli"
263,4955,367,97,"Vermicella snelli"
244,5505,345,86,"Vermicella snelli"
251,6186,248,70,"Vermicella snelli"
259,5982,265,67,"Vermicella snelli"
249,5876,306,72,"Vermicella snelli"
258,4932,362,92,"Vermicella snelli"
249,5111,399,99,"Vermicella snelli"
257,4472,348,96,"Vermicella snelli"
259,6204,229,75,"Vermicella snelli"
253,5665,335,83,"Vermicella snelli"
232,5021,509,88,"Vermicella snelli"
239,5596,339,84,"Vermicella snelli"
253,6044,252,77,"Vermicella snelli"
251,5803,327,77,"Vermicella snelli"
254,5568,284,86,"Vermicella snelli"
258,5054,388,94,"Vermicella snelli"
250,5733,284,84,"Vermicella snelli"
257,4833,361,95,"Vermicella snelli"
258,5937,245,77,"Vermicella snelli"
245,5995,277,71,"Vermicella snelli"
241,5455,419,90,"Vermicella snelli"
254,6098,295,72,"Vermicella snelli"
256,6198,231,67,"Vermicella snelli"
252,5738,322,74,"Vermicella snelli"
274,4311,330,100,"Vermicella snelli"
255,6179,244,69,"Vermicella snelli"
256,6221,280,76,"Vermicella snelli"
249,4852,435,98,"Vermicella snelli"
259,5449,310,85,"Vermicella snelli"
272,4428,313,92,"Vermicella snelli"
245,6227,231,67,"Vermicella snelli"
250,5260,428,102,"Vermicella snelli"
257,5542,360,90,"Vermicella snelli"
244,5076,379,87,"Vermicella snelli"
268,4976,328,92,"Vermicella snelli"
260,6097,236,77,"Vermicella snelli"
245,5197,354,90,"Vermicella snelli"
256,6156,234,78,"Vermicella snelli"
250,4802,460,98,"Vermicella snelli"
242,5217,427,91,"Vermicella snelli"
258,4817,391,96,"Vermicella snelli"
231,5438,423,80,"Vermicella snelli"
255,4774,414,99,"Vermicella snelli"
270,4564,329,99,"Vermicella snelli"
247,4887,416,95,"Vermicella snelli"
260,6043,221,68,"Vermicella snelli"
252,5988,229,66,"Vermicella snelli"
255,4984,386,96,"Vermicella snelli"
248,5946,268,74,"Vermicella snelli"
256,5224,423,91,"Vermicella snelli"
254,6103,261,71,"Vermicella snelli"
257,4981,382,91,"Vermicella snelli"
257,4792,385,92,"Vermicella snelli"
241,6181,297,69,"Vermicella snelli"
249,4766,437,95,"Vermicella snelli"
255,6210,248,69,"Vermicella snelli"
254,5894,249,77,"Vermicella snelli"
246,6214,265,73,"Vermicella snelli"
267,4860,353,96,"Vermicella snelli"
229,5385,364,91,"Vermicella snelli"
273,3786,322,96,"Vermicella snelli"
248,5578,332,83,"Vermicella snelli"
245,5787,276,83,"Vermicella snelli"
243,5328,401,88,"Vermicella snelli"
258,5360,402,94,"Vermicella snelli"
233,5040,478,91,"Vermicella snelli"
