taxon,n_biomes,main_biome,prop_main_biome
Acanthophis antarcticus,7,trop_grassland,0.36
Acanthophis hawkei,2,trop_grassland,0.99
Acanthophis praelongus,2,trop_grassland,0.98
Acanthophis pyrrhus,3,desert,0.86
Acanthophis wellsi,1,desert,1
Acrochordus arafurae,3,trop_grassland,0.86
Amalosia jacovae,3,temp_forest,0.74
Amalosia lesueurii,3,temp_forest,0.88
Amalosia obscura,1,trop_grassland,1
Amalosia rhombifer,3,trop_grassland,0.95
Amphibolurus muricatus,5,temp_forest,0.67
Amphibolurus norrisi,3,mediter_woodland,0.54
Anepischetosia maccoyi,3,temp_forest,0.88
Anilios affinis,4,trop_grassland,0.67
Anilios ammodytes,1,desert,1
Anilios aspinus,1,trop_grassland,1
Anilios australis,2,mediter_woodland,1
Anilios bicolor,4,mediter_woodland,0.6
Anilios bituberculatus,6,desert,0.47
Anilios broomi,5,trop_grassland,0.61
Anilios centralis,1,desert,1
Anilios chamodracaena,1,trop_grassland,1
Anilios diversus,5,trop_grassland,0.74
Anilios endoterus,3,desert,1
Anilios ganei,1,desert,1
Anilios grypus,2,desert,0.53
Anilios guentheri,2,trop_grassland,0.94
Anilios hamatus,3,desert,0.84
Anilios howi,1,trop_grassland,1
Anilios kimberleyensis,1,trop_grassland,1
Anilios leptosomus,2,mediter_woodland,0.7
Anilios leucoproctus,2,trop_grassland,0.8
Anilios ligatus,6,temp_grassland,0.38
Anilios longissimus,1,desert,1
Anilios margaretae,1,desert,1
Anilios micrommus,1,trop_grassland,1
Anilios minimus,1,trop_grassland,1
Anilios nema,1,trop_grassland,1
Anilios nigrescens,5,temp_forest,0.69
Anilios pilbarensis,2,desert,0.97
Anilios pinguis,1,mediter_woodland,1
Anilios proximus,6,temp_grassland,0.33
Anilios robertsi,2,trop_grassland,0.67
Anilios silvia,1,temp_forest,1
Anilios splendidus,1,desert,1
Anilios torresianus,3,trop_grassland,0.82
Anilios tovelli,1,trop_grassland,1
Anilios troglodytes,1,trop_grassland,1
Anilios unguirostris,7,trop_grassland,0.47
Anilios waitii,2,desert,0.7
Anilios wiedii,6,trop_grassland,0.57
Anilios yampiensis,1,trop_grassland,1
Anilios yirrikalae,1,trop_grassland,1
Anomalopus brevicollis,3,trop_grassland,0.85
Anomalopus gowi,2,trop_grassland,0.86
Anomalopus leuckartii,3,trop_grassland,0.4
Anomalopus mackayi,3,temp_grassland,0.54
Anomalopus pluto,1,trop_grassland,1
Anomalopus swansoni,1,temp_forest,1
Anomalopus verreauxi,3,temp_forest,0.55
Antaioserpens warro,3,trop_grassland,0.86
Antaresia childreni,1,trop_grassland,1
Antaresia maculosa,4,trop_grassland,0.75
Antaresia perthensis,3,desert,0.98
Antaresia stimsoni,4,desert,0.72
Aprasia aurita,3,mediter_woodland,0.73
Aprasia clairae,1,mediter_woodland,1
Aprasia haroldi,2,mediter_woodland,0.78
Aprasia inaurita,3,mediter_woodland,0.57
Aprasia litorea,1,desert,1
Aprasia parapulchella,1,temp_forest,1
Aprasia picturata,2,mediter_woodland,0.8
