ID,cluster,coeff
AMSR_138399_Ct_uber,cluster_2,0.993068
AMSR_152993_Ct_uber,cluster_2,0.998901
AMSR_153434_Ct_uber,cluster_7,0.998901
CUMV_14377_Ct_gree,cluster_9,0.998901
CUMV_14378_Ct_gree,cluster_9,0.998901
CUMV_14467_Ct_leae,cluster_8,0.998901
CUMV_14468_Ct_leae,cluster_8,0.998901
CUMV_14469_Ct_leae,cluster_8,0.998901
CUMV_14470_Ct_leae,cluster_8,0.998901
CUMV_14730_Ct_leon,cluster_1,0.998901
CUMV_14742_Ct_leon,cluster_1,0.998901
CUMV_14744_Ct_leon,cluster_1,0.998901
CUMV_14847_Ct_quat,cluster_12,0.998901
NA_ABTC10512_Ct_leae,cluster_8,0.998901
NA_ABTC113897_Ct_hebe,cluster_3,0.998901
NA_ABTC86833_Ct_regi,cluster_10,0.998901
NA_CCM1955_Ct_leon,cluster_1,0.563181
NTMR_13629_Ct_gree,cluster_9,0.998901
NTMR_25649_Ct_leon,cluster_11,0.998901
QMJ_62373_Ct_asta,cluster_4,0.998901
SAMAR_24688_Ct_leae,cluster_8,0.998901
SAMAR_25645_Ct_orie,cluster_2,0.998901
SAMAR_28517_Ct_olym,cluster_7,0.998901
SAMAR_29853_Ct_leae,cluster_8,0.998901
SAMAR_31877_Ct_regi,cluster_10,0.998901
SAMAR_31889_Ct_leae,cluster_8,0.998901
SAMAR_32054_Ct_leae,cluster_8,0.998901
SAMAR_32289_Ct_regi,cluster_10,0.998901
SAMAR_36086_Ct_leae,cluster_8,0.998901
SAMAR_38335_Ct_orie,cluster_2,0.998901
SAMAR_38585_Ct_leae,cluster_8,0.998901
SAMAR_39580_Ct_orie,cluster_2,0.998901
SAMAR_40597_Ct_regi,cluster_10,0.998901
SAMAR_40799_Ct_leae,cluster_8,0.998901
SAMAR_40888_Ct_regi,cluster_10,0.998901
SAMAR_41282_Ct_olym,cluster_7,0.998901
SAMAR_42675_Ct_pulc,cluster_6,0.998901
SAMAR_42701_Ct_pulc,cluster_6,0.998901
SAMAR_42708_Ct_pulc,cluster_6,0.998901
SAMAR_42776_Ct_hebe,cluster_3,0.998901
SAMAR_42788_Ct_hebe,cluster_3,0.998901
SAMAR_42823_Ct_asta,cluster_4,0.998901
SAMAR_42840_Ct_asta,cluster_4,0.998901
SAMAR_42843_Ct_asta,cluster_4,0.998901
SAMAR_42880_Ct_hebe,cluster_3,0.998901
SAMAR_42903_Ct_asta,cluster_4,0.998901
SAMAR_42949_Ct_orie,cluster_4,0.998901
SAMAR_42950_Ct_orie,cluster_4,0.998901
SAMAR_43599_Ct_olym,cluster_7,0.998901
SAMAR_43880_Ct_leae,cluster_8,0.998901
SAMAR_44654_Ct_olym,cluster_7,0.998901
SAMAR_45620_Ct_olym,cluster_7,0.998901
SAMAR_45966_Ct_leae,cluster_8,0.998901
